时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,2.224904341066156,-2.3281272827848768e-07,-9.341407748142556e-08,-1.3084260337411429e-05,3.241072992322632e-05,-2.3393033533484872e-05,6.165631492368314e-05,-3.0604692467878184e-05,8.462304539051526e-05,-3.45783770730566e-05,9.892868369874219e-05,-3.567225891398387e-05,0.00010304053155518643,-3.463630351631218e-05,9.644185489608102e-05,-3.244453572621927e-05,7.969389384608147e-05,-3.010185846199431e-05,5.43869663084511e-05,-2.8457203591817215e-05,2.2984218777248568e-05,-2.8053278225232686e-05,-1.1424846839476924e-05,-2.9035533466152525e-05,-4.54350758938772e-05,-3.113242554136442e-05,-7.566799922234921e-05,-3.370739417035614e-05,-9.91109071996876e-05,-3.587234359354391e-05,-0.0001134191109655107,-3.664431847666196e-05,-0.00011715247155550496,-3.512220952929861e-05,-0.0001099237618158963,-3.065891733069249e-05,-9.244537429644991e-05,-2.300499690903735e-05,-6.646786174911151e-05,-1.2408362776834989e-05,-3.4615668174585044e-05,2.3277298151773274e-07,-9.355808039489189e-08
3,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,5.099688706007966,-5.337152321465712e-07,-2.1409880196777359e-07,-3.6478374986064564e-05,9.090621876721879e-05,-6.541328442310764e-05,0.00017305488514678073,-8.568122880442683e-05,0.00023772848230789077,-9.686202346635994e-05,0.00027819379289596485,-9.995063246844096e-05,0.00029010432311574083,-9.705126734925911e-05,0.0002719701364813742,-9.090212172658941e-05,0.00022533414951896543,-8.432820653563859e-05,0.0001546353399786281,-7.971355141004184e-05,6.67693070201431e-05,-7.857871202819425e-05,-2.9605566480497956e-05,-8.132716568769698e-05,-0.00012494237609453218,-8.719349786466206e-05,-0.00020976797838873407,-9.43929294479132e-05,-0.000275634673981271,-0.00010044178171536397,-0.00031596696714282426,-0.00010259626454342419,-0.00032672245826511725,-9.834428195603601e-05,-0.00030680448738528224,-8.58819184286148e-05,-0.00025818881801198575,-6.450911346995303e-05,-0.00018574697561827771,-3.490027801115371e-05,-9.678077158237859e-05,5.336040652799052e-07,-2.1446364967768896e-07
4,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,8.393491556503031,-8.786729547192149e-07,-3.5233289784544185e-07,-8.008931916827327e-05,0.0002007069375353638,-0.00014411011092761895,0.0003823841037028919,-0.00018900924864239874,0.0005258079133124162,-0.00021379136844328135,0.0006159561536318749,-0.0002206388823833889,0.0006430850554905575,-0.000214220272423544,0.000603783225994946,-0.0002006210377083352,0.0005013732795359427,-0.00018611355084143191,0.00034561331424655373,-0.0001759759339016042,0.0001517223339986078,-0.0001735545303539966,-6.116234970232367e-05,-0.00017971105069532537,-0.00027192811745459515,-0.00019272326989550265,-0.0004596223842007072,-0.00020863162935559366,-0.0006055597340415397,-0.00022195754646107745,-0.0006951918648239932,-0.00022667230427658882,-0.0007195625249598287,-0.00021727124382842035,-0.0006762117720488013,-0.0001898051992546718,-0.000569447054226728,-0.0001427314692040047,-0.0004099449791097598,-7.748678607234046e-05,-0.00021371421908376417,8.784279229613618e-07,-3.530410781106716e-07
5,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,11.713169896752225,-1.226920535642967e-06,-4.915380747540503e-07,-0.00016940402879478923,0.0004254384345091981,-0.0003058543988909365,0.0008111396267671183,-0.00040157243878749104,0.0011162947773289335,-0.00045429205122752935,0.0013085991033313826,-0.0004686811805707171,0.0013669709387511652,-0.0004548147419514502,0.0012838570110273093,-0.0004258198133701124,0.0010661351669175305,-0.0003951713890147771,0.0007344958296364137,-0.0003741202112563832,0.0003213548555786263,-0.0003696869270230274,-0.000132464486631985,-0.00038352444201698307,-0.0005819072473872833,-0.0004117777182214324,-0.0009822627049633783,-0.00044589563781444923,-0.0012936628084967625,-0.0004742072270061997,-0.0014850589404722676,-0.00048398486178798214,-0.0015373052911308357,-0.00046368298775873563,-0.0014450693391480833,-0.0004050523728576102,-0.0012173979522822566,-0.00030486658308012947,-0.0008768659648215669,-0.0001660688215241276,-0.00045736443093815146,1.226399816692815e-06,-4.928373447929588e-07
6,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,13.40619915129806,-1.4053555653555838e-06,-5.624068194554002e-07,-0.0002641630197356514,0.0006616720085600279,-0.0004776983322101926,0.0012618711814472083,-0.0006273179473352618,0.001736874419444547,-0.0007093651011521185,0.0020358674196896812,-0.0007312711117693305,0.0021255665689831945,-0.0007090811193694807,0.0019939091672094575,-0.0006636381762361789,0.0016515293291305196,-0.000616215366909295,0.001130809655397191,-0.0005844035394972015,0.00048259153592892086,-0.0005789661546634319,-0.00022906911589306176,-0.0006021341373536183,-0.0009334912797970897,-0.0006475123361172149,-0.0015605660578539545,-0.0007014774097977589,-0.002047805193879198,-0.000745724454597827,-0.0023465510317444444,-0.0007604975607138704,-0.0024267804482381197,-0.0007280153755060152,-0.002280080761806682,-0.000635649934044877,-0.0019205358648456327,-0.00047849587244327567,-0.0013834083767291173,-0.00026106824230232094,-0.0007216935319273585,1.404541459220754e-06,-5.642761829243489e-07
7,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,14.373893229946932,-1.5082624376893311e-06,-6.028111597286734e-07,-0.00035850861963363136,0.0008939883807682498,-0.0006488101279493822,0.0017049809533415262,-0.0008518541534169775,0.0023464398717822814,-0.0009625949529436275,0.0027490392479631704,-0.000991369686258086,0.0028672644088027647,-0.0009604175581168194,0.002684528737610382,-0.0008985091416895188,0.0022152531815524965,-0.0008348225097611947,0.0015035925965694189,-0.0007932368449803304,0.0006189224131019178,-0.0007880537387299057,-0.0003513659125304332,-0.0008217880817617423,-0.001310897320427384,-0.0008852184016794737,-0.0021641434614008996,-0.0009594651719508642,-0.0028260131066063553,-0.0010195645063008094,-0.00323027495298245,-0.0010388642718450341,-0.0033360623136399373,-0.0009935770360610346,-0.0031319061955994024,-0.0008669282001370951,-0.002636948743624783,-0.0006524725927351608,-0.0018991782467774557,-0.000356282445267081,-0.000990769488240835,1.5071559464405435e-06,-6.052291749918371e-07
8,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,14.994613011848722,-1.575243411655287e-06,-6.286434478556573e-07,-0.00045224089556716765,0.0011218250439017667,-0.0008187478562633601,0.002139331104482749,-0.001074545456778313,0.002943303945772692,-0.0012132190039322464,0.0034459662009398507,-0.0012481577578824616,0.0035895979806893265,-0.0012080092521977507,0.0033531151187380258,-0.0011296631933625735,0.002754777002383104,-0.0010502842820421224,0.0018505883371437875,-0.000999963645426493,0.0007285401824728366,-0.000996317971864042,-0.0005005859734963362,-0.001041843954631273,-0.0017147162991227073,-0.0011242110740242515,-0.0027929507651015596,-0.0012191133954461647,-0.0036276781170245303,-0.0012949236346995812,-0.004135183926281478,-0.001318248793756901,-0.004263831786338672,-0.0012595468854550908,-0.003999143298859744,-0.0010981457098290569,-0.0033653457082728597,-0.0008262089820657909,-0.0024231794235070043,-0.00045135301879436834,-0.001264047158376562,1.5738464985743893e-06,-6.316012176697931e-07
9,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,15.421581075050355,-1.6223381803850374e-06,-6.463392885653175e-07,-0.0005452542203411675,0.00134499684868035,-0.0009872848873564986,0.0025645394779382235,-0.0012950684405781268,0.0035268866140286954,-0.001460850778340745,0.004125891640569649,-0.001501221749648539,0.004291676710787554,-0.0014514467164678622,0.003998704663937693,-0.001356715728655321,0.0032691371425353846,-0.0012622482544585982,0.0021709098834188528,-0.0012042576781490922,0.0008107044675646605,-0.0012034429779396536,-0.0006772696603559224,-0.0012619766089350425,-0.002145258798466338,-0.0013641390313227858,-0.0034470653897840215,-0.001480036024810805,-0.0044526659555028355,-0.001571384236759737,-0.00506097392534643,-0.0015982176969537867,-0.005209672034149848,-0.0015255023855893148,-0.004881328950040045,-0.0013289252544665608,-0.004105288050917964,-0.0009994109109368926,-0.0029550665972224097,-0.0005461053739294998,-0.001541335369323423,1.6206533665724948e-06,-6.49833517369126e-07
10,1.1162659931550212,12767016.570240665,-877.4174942543891,18.269866664673657,1.6755505042455792,0.1673261704878787,0.03739475220912287,0.004295370893613105,1.7190998141332072,1437.070636118224,10.0,10.0,0.0,10.0,10.0,0.0,15.728983877021518,-1.6573124416364238e-06,-6.590144636172991e-07,-0.0006374581703490525,0.0015634128476272942,-0.001154238315744237,0.0029804174678663108,-0.0015131689007637423,0.004096900863243179,-0.001705192444684961,0.004788441023204131,-0.0017502483659338586,0.004973061053130035,-0.0016904242800214405,0.004620825766668195,-0.0015793825154961237,0.0037578703105752608,-0.0014704542527128161,0.002464145049369328,-0.001405875142729377,0.0008650929143265303,-0.0014091869102407456,-0.0008816211692368267,-0.0014819302502602875,-0.0026025972337882855,-0.0016047205292180422,-0.004126430160218601,-0.0017419213350484022,-0.005300806051442209,-0.0018486104283178492,-0.006007387860490854,-0.0018784262855249603,-0.006173273669753244,-0.0017911128432800336,-0.005778140385677763,-0.0015589773285202603,-0.004856480809148735,-0.0011718580446443269,-0.0034946128682549903,-0.0006404136777821627,-0.0018225103275814412,1.655342713837308e-06,-6.630449037669778e-07
