时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,17.464235047430506,-7.6046142123333705e-06,-4.460685309845223e-06,1.278648875436928e-05,-4.268892519178265e-05,6.191046092567582e-05,-0.00010727085228521492,0.00011875610804324702,-0.00018911159680994283,0.00016874638882280094,-0.0002707666556602783,0.00020157559378122114,-0.0003344190411121451,0.00021332101975544618,-0.00036529487877767184,0.00020674546243331504,-0.0003545586676841358,0.00018974767895076463,-0.0003010568282572467,0.00017237598984594005,-0.00021171566099345367,0.00016319388558244243,-0.00010037103464100589,0.0001661602080837752,1.493205906568419e-05,0.00017919489248644863,0.00011570194818616181,0.00019503156177291751,0.0001868937598626487,0.00020401437998194348,0.00021991198076477426,0.0001977594292192902,0.00021405265224994853,0.00017241561938002964,0.0001762398266590707,0.00013049174508795853,0.00011925532151795807,8.075258110833414e-05,5.896865251924981e-05,3.607373678941494e-05,1.0942709003945421e-05,4.918857602311587e-06,-7.631986138340823e-06
3,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,37.3268328876058,-1.6354143194630998e-05,-9.455768753705986e-06,7.19956490251059e-05,-0.00014092508205248066,0.0002589599716687161,-0.0003789782810598146,0.0004748716123098272,-0.0006823692964553883,0.0006646874398617658,-0.000984569873230338,0.0007891027998686242,-0.0012167431615636116,0.0008330073910907462,-0.001321596601014294,0.000806946165432277,-0.0012649326799819014,0.0007414374866670265,-0.001042735262923935,0.000675506344665591,-0.0006828886375475165,0.0006424281326048658,-0.00024064651367162952,0.0006572942924138277,0.00021211540851031962,0.000711208929795247,0.0006020332632090417,0.0007746803070881442,0.0008699720045994673,0.000808903086240621,0.000983068634375169,0.000780555992249956,0.0009403114053468712,0.0006749254958433224,0.0007710890762324784,0.0005031490133467687,0.000527746616436411,0.00030149601371041047,0.00027425297505268687,0.00012248431537548437,7.29382128940199e-05,1.0429385590613554e-05,-1.641506258862542e-05
4,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,47.988512707689324,-2.1245421325718736e-05,-1.1967717121648868e-05,0.00019720784237324426,-0.00029823074751370986,0.0006284683211004245,-0.0008397095694389581,0.001125151803307261,-0.0015319352236781508,0.0015616843627735968,-0.0022206981392778394,0.0018480864456681624,-0.002745647097105911,0.0019492639487379484,-0.002973462339207719,0.0018887027881074696,-0.00282492383187102,0.001736227954691894,-0.0022914235246190716,0.0015822248348445667,-0.001438987093222978,0.0015046746450229017,-0.00039789704720724926,0.0015395742303322723,0.0006623314955122319,0.0016664195085056162,0.0015687135032588344,0.0018155079110100808,0.00218238822859572,0.0018945437990728015,0.0024275563674173704,0.0018242412863050063,0.0023045881476092896,0.0015701409528425245,0.0018857414296131769,0.0011600463081586825,0.0012964520565635635,0.0006816872167860308,0.0006877961061434116,0.00026055358067831854,0.00020569747789267164,1.3207931978305321e-05,-2.1329380363286547e-05
5,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,52.01668531856183,-2.3267083771796502e-05,-1.2762451187136037e-05,0.0003283106809791817,-0.00045238021721326187,0.001004024274009004,-0.0012997809202581877,0.0017811107589692891,-0.0023852156384048637,0.002464533341581259,-0.003465602399028754,0.002914411066684942,-0.0042878845403495,0.003075270655107483,-0.004642161961893197,0.0029820064943492505,-0.004404152055488754,0.0027420480998220625,-0.0035606399479035304,0.0024964689826971697,-0.0022155167502820768,0.0023689078935774455,-0.0005737978508543681,0.002418385285213509,0.0010971666067009786,0.0026148257976809533,0.002523888210412092,0.0028490624401496323,0.0034866633188569028,0.002974425620957055,0.0038661851049898825,0.0028639014062425945,0.003664578002452855,0.0024619166977444054,0.0029978641816016845,0.0018128456431848762,0.0020650771069512398,0.001056900858999074,0.0011039258027093213,0.00039367265469486063,0.00034286501654527956,1.4098985003101724e-05,-2.335871493046308e-05
6,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,54.11525524392384,-2.445571992697751e-05,-1.3056072960541873e-05,0.0004611319957114302,-0.0006064740608209399,0.001380948150429626,-0.0017631650941419778,0.0024377788953148277,-0.003247436643475752,0.0033682386272939706,-0.004726263711653654,0.003983351618200045,-0.005852813921659609,0.004206821456832372,-0.006340101112454703,0.004083261361237869,-0.006018678131006866,0.003755760512359272,-0.004870481702144107,0.003415168596008087,-0.0030365567188619207,0.0032316264406219426,-0.000795727186395049,0.0032894291153737474,0.0014873096762884363,0.0035513388812271718,0.003438187253554806,0.003869940132304343,0.0047553675310354135,0.004043657863054892,0.005275149148163597,0.00389605143808349,0.005001130109104902,0.003348795409852799,0.0040931973302026714,0.002462211578095118,0.0028237444632369857,0.0014294266396971888,0.001516119655116521,0.0005248441031193356,0.00048004175797119043,1.4443420715717449e-05,-2.4545346591742177e-05
7,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,55.39018663643856,-2.529040235565401e-05,-1.3134661412475756e-05,0.0005946520754895779,-0.0007612109735302752,0.0017580249703187782,-0.002230737789094442,0.0030937713948917546,-0.004119783230338548,0.004271310222063637,-0.006004356098833541,0.0050534216598314575,-0.007442791271939386,0.005342554206461437,-0.008070478589866559,0.005191312655740165,-0.0076726492314173975,0.00477641876787781,-0.0062260833791781345,0.004337487607365579,-0.0039081701422757475,0.004091940175850062,-0.0010704642544715395,0.004151615214877628,0.0018256611494166194,0.004474637400032909,0.004304714701125567,0.004876720538777878,0.005982324186716296,0.005100973440379376,0.006649353388940717,0.004919844442364758,0.00631036426270055,0.004230515768303664,0.0051689924449598145,0.0031084551585147035,0.0035706030133916024,0.001799953606571478,0.0019231244628355,0.000654848888216031,0.0006162940983560623,1.4556578094621385e-05,-2.5369761750332978e-05
8,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,56.235770231229075,-2.5941885899175064e-05,-1.310030462247572e-05,0.000728464132801294,-0.0009168002860762683,0.0021346805279312746,-0.0027026998397987902,0.00374831093548093,-0.005002491853811646,0.005172780190550427,-0.007300240519535483,0.006123537180535822,-0.009058405712530306,0.006481382411876229,-0.009834193622970857,0.006305179567187914,-0.009367326750756537,0.005803204224515725,-0.007629103884657936,0.0052627442446441875,-0.004832427135329092,0.004949203298261064,-0.0014004413822433686,0.005004211078165246,0.0021095783702596302,0.005383836247479881,0.00512085628300068,0.005868407967209646,0.007165192718826545,0.0061454037416536645,0.007986893633443652,0.0059345085176418615,0.0075908558119744006,0.00510662817320661,0.006224252107083077,0.003751474005404893,0.004304981560199682,0.0021686376218325253,0.002324484185160173,0.0007839456520920249,0.0007512844348264905,1.4550963089658045e-05,-2.600326361261893e-05
9,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,56.827621119174744,-2.6486159590968946e-05,-1.2998546459257037e-05,0.0008623522504995378,-0.0010733018978901032,0.002510543049510432,-0.0031790427277051986,0.004400812669570359,-0.005895495652078228,0.0060718420993415055,-0.008613846567594688,0.007192729496349266,-0.010699656386028216,0.007622284802631968,-0.011631372580381273,0.007423906393277706,-0.011103002253454276,0.006835305818250288,-0.009080039250047425,0.006190275558954338,-0.00581007310134778,0.005802823587778738,-0.001786667266726265,0.005846578544739231,0.0023378527875098486,0.006278168234790539,0.00588534524135799,0.006844112952874657,0.008302808844396695,0.007176035000782219,0.009286815668375338,0.0069392468239880154,0.008841887225760762,0.005976573242099195,0.007258465146172416,0.004390993183575347,0.005026526699516202,0.0025354406711725805,0.002719958285275976,0.0009122208320007275,0.000884846708763947,1.447675708233882e-05,-2.6522119140043383e-05
10,3.268941500863343,145678617.56933826,-22376.593885059017,1292.891024527597,1.785862631138401,0.4281210989992658,0.08409759085166726,0.010632306863481449,2.030518456915442,681.5910624338686,5.842580204314981,9.391401953110323,463.23031219747423,8.851792925276236,5.598149135419321,830.58328589053,57.25566175943774,-2.6962073352752678e-05,-1.2852768879182128e-05,0.000996176590782021,-0.001230718377455895,0.002885323315258412,-0.0036596788070289753,0.005050771750083945,-0.006798612994782933,0.006967757321167231,-0.009944939657956234,0.008260078331168319,-0.012366317197961295,0.008764267144014203,-0.013461846701234946,0.00854654708939268,-0.012879596909737666,0.007871913896847825,-0.010578941007556098,0.00711942333467074,-0.006841347104657246,0.006652226282283612,-0.0022296083174594126,0.0066781115814867455,0.0025098175902869744,0.007156905118638644,0.00659741716327257,0.007802977164213948,0.00939443944773421,0.008191961374766483,0.010548506793197738,0.007933237326825325,0.010062989640235897,0.006839733136439656,0.008271287331612191,0.0050266569962345185,0.005734992333881808,0.0029002401159462913,0.003109380534587266,0.0010396900017482689,0.0010168784007586393,1.4359720971616278e-05,-2.696534328333544e-05
