时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,5.822112526356822,-1.181244909533341e-06,-6.043867345721245e-07,6.184420392358785e-07,-1.0559879364663372e-05,6.090827991975127e-06,-2.9342457798339166e-05,1.2247352812999319e-05,-5.298557550720376e-05,1.7507497096989423e-05,-7.648669628470035e-05,2.0867451618599223e-05,-9.498705259434837e-05,2.2025140057143268e-05,-0.00010462725360516303,2.1323250127798948e-05,-0.00010321490313784102,1.9550855337626038e-05,-9.057628715948138e-05,1.7657869063127767e-05,-6.853687030179829e-05,1.6451090605180008e-05,-4.053939092603444e-05,1.6346666911373347e-05,-1.0972668192287316e-05,1.7245989417432446e-05,1.5664646380259363e-05,1.8575556779421292e-05,3.5608980601421225e-05,1.948714331968652e-05,4.6524220302187765e-05,1.9163561785854418e-05,4.7906768958890844e-05,1.713560478623669e-05,4.112412113966646e-05,1.3504299993847004e-05,2.9079482588629388e-05,8.987992080028033e-06,1.557193530255136e-05,4.776431610504976e-06,4.472046617016659e-06,1.1673721905066112e-06,-6.415500895317965e-07
3,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,12.956289950709948,-2.6324827807524566e-06,-1.3387143590628857e-06,2.2873762143906306e-06,-2.606935240314711e-05,1.615465155441029e-05,-7.316797049761756e-05,3.17730576037139e-05,-0.00013260847724382873,4.513614521765453e-05,-0.00019169211282609185,5.368401175752118e-05,-0.00023799054768650763,5.663747307249995e-05,-0.00026158993651189777,5.486421432119085e-05,-0.0002568450333724569,5.0378855403669e-05,-0.0002233124867535834,4.561477464918765e-05,-0.0001657181710853417,4.264238791107117e-05,-9.298061121768318e-05,4.252623427457188e-05,-1.647868379049228e-05,4.4996756286550754e-05,5.211533211551931e-05,4.854698051798174e-05,0.00010303190736843696,5.094993052189397e-05,0.0001302102371701859,5.005745154113296e-05,0.00013236227721222745,4.463419503555108e-05,0.00011308748283890574,3.494835991366074e-05,8.001852402219448e-05,2.2906872858432648e-05,4.317786383362531e-05,1.1684592709438376e-05,1.2859197129281472e-05,2.5965579187390382e-06,-1.4350652007298377e-06
4,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,20.438991798540716,-4.160906605331815e-06,-2.0969454750643644e-06,5.765717576390456e-06,-4.720914191604257e-05,3.160813052910524e-05,-0.0001339763629293056,6.072482622633407e-05,-0.00024372531663657997,8.5660763407391e-05,-0.00035276100542743605,0.00010162921771073735,-0.000437724470574272,0.00010715873205496781,-0.00047990930140897215,0.00010386222804314856,-0.00046864454022622096,9.551508322685403e-05,-0.00040311318486002825,8.669600413956746e-05,-0.00029232454287508186,8.131249874900253e-05,-0.0001532797076910498,8.137198629480724e-05,-7.684656170646489e-06,8.63388950764408e-05,0.000122180205695309,9.330140433831094e-05,0.00021766138012359082,9.795401436526088e-05,0.00026720084180634326,9.613648620159751e-05,0.00026839430854269734,8.545439949084177e-05,0.0002282374316821202,6.64381121245683e-05,0.00016152036327837793,4.282386826671669e-05,8.771296198090875e-05,2.0850958263551238e-05,2.694570009562982e-05,4.0924766935172265e-06,-2.280698835674646e-06
5,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,28.43185001236289,-5.805293858787957e-06,-2.8815794622353713e-06,1.3104494927455115e-05,-8.00175042062293e-05,5.8324972198295805e-05,-0.0002299500599695409,0.00010923829424837754,-0.00041992696038486944,0.00015285599597294916,-0.00060844787064116,0.00018081291517682495,-0.0007543295578256185,0.00019051530785823938,-0.0008244790992937195,0.00018476457636676215,-0.0008000041813390884,0.00017017620341902066,-0.0006795308155957198,0.00015482051145658223,-0.0004792143328269116,0.00014562539937052577,-0.00022950709854893824,0.00014616759095538854,3.069416832246801e-05,0.00015547351592561245,0.0002614419921201634,0.0001682676559929438,0.00042929182643194734,0.00017671899852976454,0.0005135667023763505,0.00017323724691230622,0.000510100824476531,0.00015345126139477315,0.0004317249947375298,0.00011835854322343617,0.000305417945026126,7.486600387291502e-05,0.00016673768105449313,3.451063187426098e-05,5.26318343322374e-05,5.68289233595797e-06,-3.2106901604983407e-06
6,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,36.87246329397326,-7.569549382347415e-06,-3.64516662447655e-06,3.0092326749211424e-05,-0.00014081706806797796,0.00011244076539237612,-0.00041044028873404436,0.00020494019402466753,-0.0007524854797378049,0.00028415937071224365,-0.0010913081061412922,0.0003350102508150077,-0.0013514259866155942,0.00035276578748627633,-0.001472030648963459,0.00034240425195911263,-0.0014184202102856063,0.0003158525874265097,-0.0011882584463407321,0.0002878249575948697,-0.0008116940699707838,0.0002711275794031457,-0.0003454475065978651,0.00027251630206897535,0.00013800799955800044,0.00029029549419121924,0.0005641986936485451,0.00031459888245917797,0.0008707812021588625,0.00033058239382061615,0.0010193281778450602,0.00032374834498945373,0.0010024177758054754,0.00028572086881022656,0.0008446020182540526,0.00021845147233416114,0.0005971033360830715,0.00013528448425507842,0.00032740385538843514,5.84436233512634e-05,0.00010582371264850354,7.34198642838881e-06,-4.2578963755385076e-06
7,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,41.436927023496104,-8.552206851895915e-06,-3.988995499457653e-06,4.902276626109101e-05,-0.00020141844604031325,0.00016893584285317074,-0.0005919507573363243,0.00030335114817968097,-0.0010877240438360138,0.0004184523449033274,-0.0015784822151240598,0.0004925107684425076,-0.001953917113360149,0.0005186393967443524,-0.002125055823806615,0.0005038376199487555,-0.0020411145637132953,0.000465166931209922,-0.0016987538324662562,0.000423941672843845,-0.0011423240844264915,0.0003990144444018405,-0.0004552598683144528,0.00040062951039913106,0.0002557547716539379,0.00042663305719345396,0.0008809996110074474,0.0004626050104725609,0.0013285807083568812,0.00048645031188278417,0.0015419068214500343,0.0004763815257535831,0.001510246043956074,0.000419725292429327,0.0012701973859956567,0.0003193747560697902,0.0008978497893279094,0.00019540691035019743,0.0004933888392125389,8.117903937644663e-05,0.00016130485195907946,8.21758325999056e-06,-4.890742289865696e-06
8,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,44.24666314617177,-9.181045948660005e-06,-4.142965558720589e-06,6.874568036084779e-05,-0.00026182886740695163,0.00022621283639527286,-0.0007737497929165368,0.00040244022759456727,-0.001424137422668362,0.0005533872200411493,-0.0020680530678334314,0.0006508224523515573,-0.002560215471844002,0.0006856705547142851,-0.0027833088625953124,0.0006667389466237143,-0.0026702819390866214,0.0006159518063332511,-0.0022166127885131265,0.0005610789958281021,-0.0014807015910149421,0.0005271180670985517,-0.0005726092442989834,0.0005281048372859816,0.0003667516584863381,0.000561761620536651,0.0011922756502339843,0.0006092845837830813,0.0017822924820359424,0.0006412452813615596,0.0020618088119891773,0.0006283069518767258,0.0020166043121431125,0.0005532438552812343,0.0016952344492125746,0.00041980017365243934,0.0011986328463440507,0.00025488855410995637,0.0006597059450353347,0.00010318157005785181,0.00021717052934911696,8.739223714433635e-06,-5.3342921998717655e-06
9,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,46.1367310866037,-9.62490692761573e-06,-4.197174074599512e-06,8.886917446326268e-05,-0.00032222563950314763,0.0002838244951007118,-0.0009561135930994775,0.0005017336879107333,-0.0017622410165181242,0.0006884964853265279,-0.002560962433848102,0.0008095128319174543,-0.003171892666563107,0.000853480667158795,-0.003449174588382176,0.0008307859819118946,-0.0033092472957344603,0.0007679229789132891,-0.0027461393215337778,0.0006989531634537821,-0.0018320380128414443,0.0006551088537000259,-0.0007034231117928458,0.0006545299611450219,0.0004646565207362968,0.0006951781891722375,0.0014916490517211149,0.0007540767022739685,0.002225907419108489,0.0007944188120592963,0.0025737608665498788,0.0007790774391039304,0.0025172264659870727,0.000686009482577313,0.002116586414195882,0.0005196812626086506,0.0014974377569199474,0.00031388824001729306,0.000825273735602313,0.00012474532693066757,0.00027297952929615195,9.07600063375215e-06,-5.677943105094871e-06
10,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,47.485503667467725,-9.960356088571659e-06,-4.192497125817953e-06,0.00010920946208883019,-0.0003826728226260972,0.00034155302342693793,-0.001139130218076536,0.0006009926008814863,-0.0021022223831095037,0.0008235361202795662,-0.003057602831352109,0.0009683493112905123,-0.0037896588459531786,0.001021863277793941,-0.004123776371986162,0.0009958068538251773,-0.003959604962501033,0.0009209400237780718,-0.0032894043394600106,0.0008374381946698655,-0.002198827140575446,0.0007828487558965699,-0.0008505052034823135,0.0007797300344460999,0.0005465184732337982,0.0008266619105016687,0.0017762137329693716,0.0008967296379637237,0.0026567553808469835,0.0009457258258766916,0.0030754870263867565,0.0009285015315107745,0.003010330486481044,0.0008179224107832716,0.002532993053244454,0.0006190236366674423,0.0017934821185235585,0.00037250048272983023,0.0009896850259127753,0.00014601412028774995,0.00032856340574861535,9.304584770773646e-06,-5.962290858845125e-06
11,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,48.487880641976076,-1.0226846822225364e-05,-4.15003100056237e-06,0.00012966654038317746,-0.00044318893422482436,0.0003992713185162598,-0.0013228059316993507,0.0007000666965031549,-0.0024441150260088255,0.0009583402016185072,-0.003558098527998207,0.00112716158106881,-0.004413800861084937,0.0011906580421980877,-0.0048076265880477075,0.001161664369669093,-0.004622132738977307,0.0010748943057076808,-0.0038474590845450326,0.0009764467944866893,-0.0025823657928116814,0.0009102532353258755,-0.0010153342355047653,0.0009036018564809677,0.0006107710057970936,0.0009560788114900247,0.002044427062022852,0.0010370846940529982,0.00307342750826172,0.0010950069066922338,0.0035657999134223782,0.001076451252290595,0.0034950012461613337,0.000948912063133593,0.0029438197615822177,0.0007178223813682575,0.002086380793257876,0.0004307735874773822,0.0011527438509944632,0.00016706333439069432,0.0003838412826594943,9.464494621962316e-06,-6.208265215987494e-06
12,0.8039488764657802,24201884.18126781,-9.094947017729282e-13,32.09374745656501,0.9840161471832236,0.09372287070498513,0.038433708455156604,0.003914659111204861,1.0073274162757493,874.7521688660763,8.58650895149128,6.11770643434161,686.3538914690083,8.58650895149128,6.11770643434161,686.3538914690083,49.254211143771684,-1.0446717512729854e-05,-4.081751654106025e-06,0.00015017957386657862,-0.0005037728566536377,0.0004568949731686772,-0.001507111294946065,0.0007988470049211389,-0.0027878812853568955,0.001092777899698141,-0.0040624444390044544,0.0012858052555742266,-0.005044396634914682,0.0013597212204882728,-0.005500933411736731,0.0013282313598539902,-0.005297202453533831,0.0012296853743409407,-0.004420852065289086,0.0011159032022664138,-0.002983368648143988,0.001037256507939056,-0.0011987559348683844,0.0010260693450493668,0.0006564948651017712,0.001083328255212721,0.0022953682457633982,0.0011750177394180294,0.0034750742957183663,0.0012421318985509897,0.004043980055278965,0.001222816274478857,0.003970683479284742,0.001078909679285133,0.0033486818207602823,0.0008160578842004776,0.0023759009990162103,0.0004887280941111332,0.0013143326456406057,0.00018793424724467803,0.00043876560648466216,9.57812069376718e-06,-6.427713807926622e-06
