时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,1.9241828417088553,-3.5357501428628733e-07,-2.3488924510710077e-07,1.6322192462411583e-06,-8.247243941100595e-06,6.031538813911313e-06,-2.4251163487315766e-05,1.094786044286789e-05,-4.441518313293359e-05,1.5107305723263685e-05,-6.414326869950146e-05,1.7711913877051037e-05,-7.89573460456287e-05,1.854118670862957e-05,-8.533011383261399e-05,1.7904091650860817e-05,-8.13332766591443e-05,1.6471429999077972e-05,-6.69777798940479e-05,1.5034437621052904e-05,-4.418963444101578e-05,1.4247428060734524e-05,-1.642961899566866e-05,1.4418327482720427e-05,1.197082350478057e-05,1.540585563787462e-05,3.663405972505971e-05,1.6660266112377397e-05,5.396616612046487e-05,1.7405794905370023e-05,6.183331132195834e-05,1.6916811715249526e-05,5.995257887475174e-05,1.480316975453081e-05,4.9920293243819875e-05,1.120965588463593e-05,3.4871810155948565e-05,6.857576188890027e-06,1.8841313909470156e-05,2.90806662541847e-06,5.9443167621299844e-06,3.4803247769855216e-07,-2.5345947490185265e-07
3,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,4.325888903024804,-7.960822488338563e-07,-5.246964825461669e-07,4.488942767150632e-06,-2.112584424313792e-05,1.5899889242362655e-05,-6.245982803875217e-05,2.865955551023859e-05,-0.00011461541813285333,3.9465680835474345e-05,-0.00016566090777245308,4.624344782006946e-05,-0.00020392646796534242,4.8413318437093045e-05,-0.00022019845966592827,4.677076218421717e-05,-0.00020942865092964076,4.3055478322916405e-05,-0.00017163567757336884,3.9327319572580365e-05,-0.00011185030227376194,3.729641492456246e-05,-3.9126082551314306e-05,3.7772642524729836e-05,3.519595941589814e-05,4.038988831293846e-05,9.964610939507218e-05,4.3706163654255686e-05,0.00014480244351016395,4.5679211846786865e-05,0.00016506773725182062,4.439358820597192e-05,0.00015969941377630363,3.8815872016345146e-05,0.0001328897943166902,2.9324867143484736e-05,9.288105358798352e-05,1.7825041848015158e-05,5.0294804352455955e-05,7.388683096334156e-06,1.5999735273033604e-05,7.815839662418734e-07,-5.733140164384917e-07
4,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,6.664093908872473,-1.2287610103002152e-06,-8.012456065691392e-07,8.622438289130783e-06,-3.7934064065750934e-05,2.935990341277203e-05,-0.00011275625618590092,5.2556107185987573e-05,-0.00020729465258667744,7.221901514567479e-05,-0.0002998506870354634,8.457453381580194e-05,-0.00036912667322659123,8.855642374510633e-05,-0.0003982693951321608,8.559472714648484e-05,-0.00037802322479161296,7.884353335277071e-05,-0.00030840148118986457,7.205541936383644e-05,-0.00019860220196588218,6.83629388264811e-05,-6.520727083518826e-05,6.926449447344226e-05,7.099150442688005e-05,7.410311861708296e-05,0.00018894999081258266,8.023409891202746e-05,0.0002713694123172138,8.389163965769599e-05,0.0003079665619251857,8.153119305858827e-05,0.00029737553911500915,7.123267595563207e-05,0.0002473059397857239,5.368992017391095e-05,0.00017292890575286662,3.242628272753106e-05,9.382195497548668e-05,1.3134109700974345e-05,3.006959864023823e-05,1.2022065746985837e-06,-8.903654305031812e-07
5,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,9.635555152962635,-1.7833925673381444e-06,-1.137835380479337e-06,1.7446005723301768e-05,-7.059302877936093e-05,5.661351881167793e-05,-0.00021130438916088756,0.00010042497385719627,-0.0003893962422001244,0.00013760867077874155,-0.000563855894390196,0.00016104894616109905,-0.0006942513225528916,0.00016869877852845357,-0.0007484916708556046,0.00016319502894091394,-0.000708889474189969,0.00015044219025372467,-0.0005753961093825564,0.00013753087873959353,-0.00036548394409319847,0.00013044807574228467,-0.00011074685115051988,0.00013212408760511618,0.00014913347038295657,0.00014137891066483125,0.00037393916307151885,0.00015318155068438696,0.0005305690759779654,0.00016028276472873038,0.0005993195539582968,0.00015580990401015943,0.0005775545135460848,0.00013601146783313135,0.00048003609378915215,0.00010220434115189333,0.00033586044222870705,6.120332564961803e-05,0.00018263537979165876,2.4030986485067203e-05,5.9051785310055545e-05,1.7327757414650594e-06,-1.3078975429635495e-06
6,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,12.360438407352904,-2.3022999616263937e-06,-1.4137166472022448e-06,3.336207514933738e-05,-0.00012539742377459231,0.00010379522590928527,-0.0003778962745522878,0.00018254368903925487,-0.000698093376220653,0.00024948759099217415,-0.0010121765884360079,0.0002919134469599718,-0.0012470632591320033,0.0003060651036724419,-0.001344550285426437,0.00029647015952013155,-0.0012723878660182853,0.00027352589798013507,-0.0010302316762414278,0.0002499189934042575,-0.0006495168356454996,0.000236581519673336,-0.00018737910469888275,0.00023909723917363664,0.00028422545886191996,0.00025561069766298275,0.0006922063815548809,0.00027710816111154194,0.0009762728862458703,0.0002903060452809356,0.0011004240528422098,0.0002824480448044351,0.0010597048776287176,0.0002464744901387501,0.0008808685554439214,0.00018471912156479108,0.0006168410956840989,0.00010972430168411916,0.00033616363759820367,4.179437140174329e-05,0.00010953361351701324,2.2105985049695577e-06,-1.722154677362105e-06
7,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,13.857065119408903,-2.5976494318264045e-06,-1.5323254962970274e-06,4.9902727123778876e-05,-0.00018040802078931196,0.000151783289693441,-0.0005459304372078248,0.0002656419805193998,-0.001010254874193265,0.0003625895279266496,-0.001466528288864516,0.0004243743653987011,-0.001808621784264933,0.00044546304953335675,-0.0019517722509520927,0.0004320729924292288,-0.0018487552765534762,0.0003988753011442953,-0.0014986221432682712,0.00036407316890081095,-0.0009466178870371289,0.00034368883532316495,-0.00027546078983449105,0.0003462719921726283,0.00041037395784420733,0.00036959919929989497,0.0010045098173216574,0.0004007978367997713,0.001418972956387185,0.00042042282942361393,0.0016010118637376982,0.0004095445029854423,0.0015430456602965287,0.00035752731078547473,0.0012837108317894199,0.00026763450016967417,0.0008998488567493298,0.00015826130541231437,0.0004911752210011415,5.922708689319903e-05,0.00016075251343462347,2.4645176979961853e-06,-1.9804433679646896e-06
8,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,14.79292754415553,-2.7910509218213746e-06,-1.5791015889802391e-06,6.668356473169215e-05,-0.00023550282134750098,0.0001999800374553157,-0.0007147713974582841,0.0003488971075031529,-0.0013246450366751611,0.0004759097194802465,-0.0019252059142032677,0.0005573248369440145,-0.0023770964415635756,0.000585774045923142,-0.002568704102358942,0.000568944338796163,-0.0024374819620784616,0.0005255181915107403,-0.0019815174341690695,0.00047908316324358325,-0.001259547972874689,0.00045085566640381115,-0.00037966109678026473,0.00045265302607229923,0.0005212014411827741,0.000482219136804156,0.001303245213612517,0.0005230056896412638,0.001850526743158616,0.00054934879208223,0.002093178129375894,0.0005359089690419957,0.0020206336816637823,0.00046822113917074313,0.0016831209550936543,0.00035035533314110374,0.0011811972555629045,0.00020660558829137046,0.0006456587773333727,7.643567581971967e-05,0.0002119692069977756,2.6164839460157453e-06,-2.1670344431845353e-06
9,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,15.428782839253152,-2.9300538015538377e-06,-1.587387512322451e-06,8.35644292623935e-05,-0.00029066629271290293,0.000248182096081719,-0.0008842804661021999,0.00043203995390179165,-0.0016410041756012295,0.0005891250362681182,-0.002387894028790821,0.0006904114076749453,-0.0029522350657049516,0.0007266444767365344,-0.0031953079751287764,0.000706757271531065,-0.00303889802549545,0.0006531668264535612,-0.002479740128570568,0.0005946919070385118,-0.001589688266047562,0.0005578287757298058,-0.0005019061477637703,0.0005579584070854628,0.000614337597498541,0.0005931391657539769,0.0015857747386456716,0.0006433558073399309,0.002268252403348536,0.0006766964631721676,0.002574427272117694,0.0006611932589820896,0.0024903553908260027,0.0005782970543314947,0.002077494718322311,0.00043274221531274724,0.0014598292644736547,0.00025473630927384046,0.0007990481856879004,9.348542374868999e-05,0.0002629711389689252,2.7141400256559294e-06,-2.31495576998447e-06
10,3.8898126613645863,71848316.50524777,1.8189894035458565e-11,225.3054158638013,2.654520921922396,0.22535047366943056,0.10430555585580907,0.005916357870348295,2.704688161560616,1527.3539158735928,9.345563589058273,4.537111709823655,443.93390427521433,9.345563589058273,4.537111709823655,443.93390427521433,15.88535070690584,-3.0366772433631715e-06,-1.572630289200145e-06,0.00010047849069980946,-0.00034588531708104164,0.0002962893677665239,-0.0010543786826141145,0.0005149331556446524,-0.001959191231599068,0.0007020637116947023,-0.002854425727606505,0.0008234392245056909,-0.0035339062488154724,0.0008678752119858113,-0.003831561545544583,0.0008453288010843225,-0.003653161234713755,0.0007816673301435395,-0.0029936823222795916,0.0007107729610766019,-0.0019376903698369381,0.0006644925689533935,-0.0006430942316048998,0.0006620601081514738,0.0006886909016947945,0.0007022019008674535,0.0018509010060075574,0.0007616615427953208,0.0026709521591545865,0.0008022691463295924,0.003043664239994285,0.0007852211519248818,0.0029513003407422066,0.0006876277395371157,0.00246615382262963,0.0005147310756105634,0.0017353059143689834,0.00030264796533813995,0.0009511117950094304,0.00011040930467272142,0.0003136709680822065,2.779548541028224e-06,-2.439514777974569e-06
