时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,3.2024533668177533,-5.111399602744776e-07,-1.5507409369060536e-07,7.963462146536054e-07,-7.912459217620591e-06,4.47009545564533e-06,-2.269431581144411e-05,8.551989482269024e-06,-4.1145116603001844e-05,1.2001807223555856e-05,-5.926800195954998e-05,1.4176760957997707e-05,-7.32154163400056e-05,1.4898172618596187e-05,-7.996425891225094e-05,1.4407758524787929e-05,-7.784026287052088e-05,1.3234829884118445e-05,-6.67902794478894e-05,1.2008878304576223e-05,-4.835784015051605e-05,1.126038739517786e-05,-2.5369823730099726e-05,1.1257386393035232e-05,-1.3933271693404995e-06,1.1922143632666262e-05,1.9937290491820325e-05,1.2856722644437527e-05,3.559824355818321e-05,1.3477255084767668e-05,4.373107414699499e-05,1.3221678701578368e-05,4.3967846044410095e-05,1.1767320215046894e-05,3.746401759307931e-05,9.185742748855753e-06,2.6632659516589912e-05,5.979004791260474e-06,1.4633221891981772e-05,2.979522107172305e-06,4.714496692166254e-06,5.074233990054435e-07,-1.6752944979296692e-07
3,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,7.038303668551543,-1.1242969545444318e-06,-3.3917487289932916e-07,2.24665978272834e-06,-1.906997779537969e-05,1.1218848700568535e-05,-5.494371640784123e-05,2.119372004092473e-05,-9.979344315189639e-05,2.963262696618585e-05,-0.00014384838966668067,3.495972479177139e-05,-0.0001776546408748297,3.6732392972341015e-05,-0.00019376178176996872,3.553885143075352e-05,-0.0001880345493737494,3.267590502419937e-05,-0.00016033863182246302,2.9690642030680202e-05,-0.00011448940968958186,2.7890059636950935e-05,-5.748274767903077e-05,2.7935237037286114e-05,1.8463315191832468e-06,2.9631087802699323e-05,5.448991090702907e-05,3.19856105651923e-05,9.294890081536697e-05,3.354117533344944e-05,0.00011261262990037359,3.289185896985404e-05,0.00011257153999791081,2.922835702395287e-05,9.570661223650223e-05,2.2728451570690004e-05,6.803964819788254e-05,1.4652719309401047e-05,3.747614676228565e-05,7.1009734945573376e-06,1.218869307060144e-05,1.115096451711164e-06,-3.7002691038992563e-07
4,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,11.254136666500992,-1.799683303365774e-06,-5.38459649545703e-07,4.757922585628254e-06,-3.4438021473452944e-05,2.1201605081211914e-05,-9.972075384513116e-05,3.948714902130439e-05,-0.00018146260864189013,5.4970961344792045e-05,-0.0002617431877758808,6.475822333719109e-05,-0.00032313124173207467,6.802701591092123e-05,-0.00035184663333665846,6.58490080179023e-05,-0.00034022412989312195,6.060512607508201e-05,-0.0002880116912084361,5.5147468942780785e-05,-0.0002022943083835268,5.189465343446116e-05,-9.60777283426558e-05,5.207427633290938e-05,1.419844420857943e-05,5.532161335277904e-05,0.0001117598359587293,5.977932144658229e-05,0.0001826329684504582,6.271046156440622e-05,0.00021822487709999332,6.146818072427799e-05,0.00021685112020978703,5.452444388906692e-05,0.00018391843474040864,4.221261733299437e-05,0.00013073150991110656,2.6917013240189527e-05,7.216861010321386e-05,1.2625114411361788e-05,2.3689300283548166e-05,1.782574552243637e-06,-5.958682293088322e-07
5,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,15.680473622022038,-2.511172999711752e-06,-7.421337216353175e-07,9.057064265647005e-06,-5.620720657661339e-05,3.631357080815379e-05,-0.00016361934176530973,6.661338096922987e-05,-0.0002982877909285633,9.228786315416108e-05,-0.00043049502577128656,0.00010853998914409757,-0.0005311876217600422,0.00011399261613797368,-0.0005773284181789154,0.00011040409390494847,-0.0005560773124982313,0.00010171634936245865,-0.0004670123383976254,9.2677621129575e-05,-0.0003220350988235211,8.733836587649186e-05,-0.0001430151425074,8.777081467922379e-05,4.2377983627945985e-05,9.33695205694535e-05,0.00020588766955701205,0.00010099374248534597,0.00032396048918982974,0.00010599064878005577,0.0003821126107671818,0.00010384337476907022,0.00037753120459271334,9.193561769638652e-05,0.0003194095405745235,7.083490491037238e-05,0.0002269616593528868,4.463039039186757e-05,0.00012552789008258975,2.0179593843357644e-05,4.155459948962842e-05,2.482399206304064e-06,-8.387527781341569e-07
6,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,20.991398628191615,-3.3703446293409415e-06,-9.721903197311535e-07,1.8471401116838915e-05,-9.678394191667524e-05,6.625525659213608e-05,-0.0002835410628778157,0.00011930633775835653,-0.0005179757274295018,0.00016428237741701016,-0.0007479738166197519,0.00019281873634130234,-0.0009223103673918754,0.00020247723084127557,-0.001000235500273959,0.0001962682217774236,-0.0009589861411431666,0.00018104064132671343,-0.0007978141422326378,0.00016512889916156712,-0.0005378877608711298,0.00015573037258190703,-0.00021815564315992927,0.00015660429643002014,0.0001120412842420366,0.0001667446322465685,0.00040225646006295494,0.0001805482833226269,0.0006104028032667762,0.0001896086026294913,0.0007106005988570277,0.00018570253300864353,0.0006978859611074157,0.00016403820621768359,0.0005888644029385068,0.00012563803294973367,0.0004182054033140402,7.797849046920509e-05,0.00023171345312018431,3.361627352462503e-05,7.738443861046617e-05,3.319087497368365e-06,-1.1444633511378923e-06
7,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,24.92302901140118,-4.014360506154181e-06,-1.1204657055776704e-06,3.194445890351676e-05,-0.00014900734134900014,0.0001064112693507046,-0.00043868316691818277,0.0001889465726926413,-0.0008026550429719162,0.0002589526438574501,-0.0011596769520578977,0.00030351804111109534,-0.001429587951195918,0.00031881134225972757,-0.0015484604048198228,0.000309349494114546,-0.0014804966141850587,0.0002856121773759224,-0.0012244511654746386,0.0002605286564434465,-0.0008135609696291343,0.00024546089481092726,-0.0003091146899438479,0.0002465395304999108,0.00021112484375661713,0.000262408122978238,0.0006675407428575315,0.0002843095133450517,0.0009936276039554336,0.00029884160935520176,0.001148455710320926,0.00029275244747162385,0.0011241939545546154,0.0002582482663582074,0.0009472093128500006,0.00019692008096582308,0.0006725680365648139,0.00012079984814130685,0.00037311077036060746,5.010266852680905e-05,0.00012534734085593171,3.933637672769181e-06,-1.3919977330073655e-06
8,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,27.304702966755137,-4.411875043300868e-06,-1.1897716641338585e-06,4.61164368678528e-05,-0.0002012624857369903,0.00014732284297640854,-0.0005944364802129479,0.00025934102532673865,-0.0010889131346801487,0.00035441985362766787,-0.0015742108570194339,0.000415183515646137,-0.0019410406383645197,0.0004363777163355325,-0.002102068658737458,0.00042387606032524583,-0.0020082430923869577,0.00039160798763353976,-0.0016576474577972677,0.0003570127253599959,-0.0010954911814812097,0.00033570287110056533,-0.0004054124036625382,0.00033640288019095454,0.0003062745641222501,0.00035763792506416514,0.0009305471535489293,0.0003876008737527102,0.001376191685435635,0.00040781279352625823,0.0015869595185872259,0.0003997860750294623,0.0015519741871595056,0.00035252934119176513,0.00130731215170617,0.0002681384011071586,0.0009285060632179106,0.0001632959480301487,0.0005155970244520484,6.60515326284071e-05,0.00017384088355366668,4.301545928253272e-06,-1.5611485234138028e-06
9,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,28.88737816191299,-4.682494067292834e-06,-1.218301673153284e-06,6.0629739095277525e-05,-0.0002535809783706452,0.0001885447540178282,-0.0007507679672249264,0.0003299720361600872,-0.001376726884129128,0.00045012310016417077,-0.0019917223667726284,0.0005272471676022144,-0.002457216157883962,0.000554634509151588,-0.002662276788437736,0.0005393512065114304,-0.0025443673248150504,0.0004985724302589118,-0.0021006600047624746,0.000454137974596843,-0.0013881229549218106,0.0004259814355512402,-0.0005125989903720703,0.00042564573480091396,0.00039108227424431715,0.0004517929974412256,0.0011844026896617832,0.000489709148303507,0.0017512441421445857,0.0005157985956757558,0.002019789360073566,0.0005061597497189016,0.0019758739890388673,0.0004464104985785649,0.0016650904688562194,0.00033905960558250895,0.0011833095807553071,0.0002054816758138145,0.000657715407957537,8.166914829521685e-05,0.00022233525510216996,4.542571748919242e-06,-1.689598887186913e-06
10,2.0307236562072464,30634144.648767866,-1191.5059730965495,41.65439078421313,1.3052637286021649,0.10383491627287848,0.06456245012783207,0.004113676448817971,1.3269678138564809,1137.9754024471576,10.0,10.0,1000.0,10.0,10.0,1000.0,30.008232780877574,-4.879979156347954e-06,-1.2232071165563507e-06,7.532413478235504e-05,-0.00030597904488098023,0.0002298806914188987,-0.0009076824280222091,0.0004006158925816756,-0.0016661459981029234,0.0005458241073419105,-0.0024123972549104727,0.0006394714266901882,-0.002978546954708621,0.0006733599150381787,-0.003229873899298803,0.0006555790296182951,-0.0030901030193441633,0.0006063354530045196,-0.002555213360227585,0.0005517474974383288,-0.0016936611193899308,0.0005161307886215289,-0.0006332842876589404,0.0005140713319911974,0.00046267053442111775,0.0005446352732660917,0.0014261467338022183,0.0005903647986798302,0.0021159461456542075,0.000622528303641017,0.0024444210704416725,0.0006116434260352008,0.0023938329792839177,0.0005397410132168645,0.0020190286939778456,0.00040963326321194666,0.001436007924622465,0.00024740164682605497,0.0007989606184845591,9.706404289683524e-05,0.0002706474982248759,4.710531803393887e-06,-1.7943270150994505e-06
