时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,1.8715634945073956,-3.939022254562409e-06,-2.1505058451677666e-06,-2.807078497426558e-06,-1.4882344999645631e-05,2.9302946429609635e-06,-3.643688067547588e-05,9.245589467017306e-06,-6.294717901900725e-05,1.4679231728188615e-05,-8.953554784512979e-05,1.8318425596189533e-05,-0.00011156425827072469,1.9873679567933584e-05,-0.00012532429261661606,1.9617569625970425e-05,-0.00012857536409435432,1.8219272367149287e-05,-0.00012083529092132116,1.6514315959921778e-05,-0.00010337654150796655,1.5258903691316527e-05,-7.893577954652563e-05,1.4922481798639666e-05,-5.118973879430867e-05,1.5567967591687297e-05,-2.408897535952937e-05,1.68524438312822e-05,-1.1662415933604514e-06,1.8151737868395564e-05,1.5057429775003976e-05,1.8776226586205163e-05,2.346142766795512e-05,1.821414627162754e-05,2.4438618841501317e-05,1.6324843913373802e-05,1.9712863147648584e-05,1.341527951794862e-05,1.1898314144381161e-05,1.0176581302696295e-05,3.877182608569489e-06,5.385629682009987e-06,-1.0130742925355868e-06
3,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,4.009374727402791,-8.449041756788753e-06,-4.603743662778109e-06,-5.352235293816052e-06,-3.3925939118553855e-05,8.095116912601344e-06,-8.399754590416018e-05,2.2924864377357562e-05,-0.00014576085632113028,3.570186434577826e-05,-0.00020771698270586822,4.4257752766463035e-05,-0.00025881315091921825,4.789522782276583e-05,-0.000290154884950314,4.7256633152815424e-05,-0.00029635254103567264,4.393621166328024e-05,-0.0002762543571718244,3.993103267100798e-05,-0.00023296134734431667,3.704906896071352e-05,-0.00017313714783277246,3.6404472767656247e-05,-0.00010574152041224923,3.812199717009617e-05,-4.040971955716891e-05,4.1334092802819135e-05,1.423795870219256e-05,4.448317214134861e-05,5.205562702766479e-05,4.5852313891060565e-05,7.033659993772988e-05,4.416953854248971e-05,7.010994009371064e-05,3.909494325894279e-05,5.571905697677924e-05,3.142583935105788e-05,3.377226703084748e-05,2.2959041285341622e-05,1.1654305962551248e-05,1.154880213344227e-05,-2.173581735853472e-06
4,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,6.404944549102539,-1.3518133539704083e-05,-7.345254601509032e-06,-6.901331699697115e-06,-5.92648722489925e-05,1.7409673395507235e-05,-0.00014879261849809025,4.4247973458010366e-05,-0.0002595089059139111,6.738764291682577e-05,-0.0003705004030142066,8.286487162105602e-05,-0.00046143794963706466,8.939077633598201e-05,-0.000515860828503968,8.81367153582855e-05,-0.0005237716144422298,8.203557331613688e-05,-0.00048307275249265095,7.47735643774687e-05,-0.0003996414337897228,6.968973595043333e-05,-0.0002860634734324275,6.882537420423541e-05,-0.0001592649426664305,7.235677205205286e-05,-3.7458003062518514e-05,7.857822271551845e-05,6.30630513423066e-05,8.446962528598748e-05,0.0001307051030595791,8.671082838834144e-05,0.0001604359034419049,8.285017024634249e-05,0.00015438622198339066,7.226080087736414e-05,0.00012109621729079578,5.6565281221450564e-05,7.357226045660236e-05,3.9401948349581804e-05,2.6514593664443567e-05,1.8469803689317302e-05,-3.4793487268537192e-06
5,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,8.812468328941145,-1.86325569670213e-05,-1.0084947744495236e-05,-6.074365670833057e-06,-9.20135937332731e-05,3.3141048622200816e-05,-0.00023467110806313192,7.641447348269637e-05,-0.0004113695547073889,0.00011370677100261676,-0.0005881845947780366,0.0001385889436216447,-0.0007318152478562076,0.0001489595443524873,-0.0008151642845981799,0.0001467296166970316,-0.0008217701125185562,0.0001367044196699648,-0.0007482976422571477,0.0001249421760706361,-0.0006047341445494083,0.00011693742064985327,-0.00041231593379718586,0.00011602617294742705,-0.00019957796316857416,0.00012241128720591753,2.7802107844899046e-06,0.0001331086628368734,0.0001673121168831952,0.00014289597082417388,0.00027455986087947866,0.00014604622097214042,0.00031624852830191685,0.00013835073311271913,0.00029636290922643047,0.00011879681569424157,0.00022993105496543968,9.034046864311224e-05,0.00013978799539960383,5.953698673915089e-05,5.1933186408507464e-05,2.544149031298889e-05,-4.799639981455938e-06
6,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,11.451951065897216,-2.427297362030197e-05,-1.3049904752634892e-05,3.2088288675020574e-07,-0.00014466207965263192,6.490395468465899e-05,-0.00037623638512234553,0.00013597285518921316,-0.0006631208757723979,0.0001970780124830291,-0.0009491068866963327,0.00023766654874189425,-0.0011785650856746149,0.00025429710576612455,-0.0013060853460235592,0.00025015691198643263,-0.0013041706347575227,0.00023325373523773481,-0.0011676166502219338,0.0002137234033218075,-0.0009139481464648517,0.00020079337898219453,-0.0005799390101240057,0.00020004938142308425,-0.00021486866536098915,0.00021170083144317575,0.00012831113734194466,0.00023041604018758397,0.0004023570385350672,0.0002469329541387316,0.000573985751691796,0.0002511077718603446,0.0006294861416887267,0.00023553375145905583,0.0005766625083739288,0.00019857972897259756,0.00044278481650251685,0.0001458189598072249,0.0002690096236580329,8.938440650976764e-05,0.00010235116178606535,3.3104591717915565e-05,-6.262476663466376e-06
7,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,13.687323021545833,-2.9099380526031072e-05,-1.5483944116158635e-05,1.612007912520707e-05,-0.00022100586688410533,0.00011906377100303637,-0.0005857333868406348,0.00023180090976355287,-0.0010369784521970277,0.0003283801173089429,-0.001484626178660774,0.00039221947333848247,-0.0018391155829036291,0.0004179509487881939,-0.0020273199003285687,0.00041065475432146503,-0.002005245799692307,0.0003830789156763837,-0.0017653029250772375,0.0003514702643817132,-0.0013370950647547866,0.0003307599464061161,-0.000781762584609167,0.00033007047699758755,-0.00018091847986973514,0.00034970688916645973,0.0003779247006606761,0.0003806966088986045,0.0008169132156123325,0.00040737093500193145,0.0010816072442938745,0.00041251497387065366,0.0011503783179410457,0.00038361146067030964,0.0010376820181064647,0.0003181350365444821,0.0007906399757168943,0.00022604231053809478,0.00047970989013158724,0.00012859415619423378,0.000185288711291635,3.9613853473806604e-05,-7.526500946383637e-06
8,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,14.959294549900989,-3.189038621127761e-05,-1.6790796396157958e-05,3.5356009725375966e-05,-0.0002959707893656882,0.00017666208490256098,-0.0007938581986077708,0.0003307894869226945,-0.0014091146798999449,0.00046248185168235533,-0.0020175259064162798,0.000549334944460239,-0.0024954823303823584,0.0005841124161506808,-0.002742139923598968,0.000573659818583564,-0.0026971305919787545,0.0005352509263521718,-0.0023507029895895636,0.0004911056082034493,-0.0017448408673772081,0.0004619092845951472,-0.0009654026057758556,0.00046054041808332144,-0.00012670994571917866,0.0004876444300899166,0.0006488099115493289,0.0005307068072521535,0.0012524344619918894,0.0005675237839519606,0.001608493595802706,0.0005735246214103751,0.0016876152359014149,0.0005308255639698892,0.0015113212229236823,0.0004359616835134378,0.0011471568484094855,0.0003034968156436723,0.0006954817405052899,0.00016419992485688844,0.00027058916067455266,4.333139944309934e-05,-8.268505155889777e-06
9,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,15.771268922461365,-3.3710067873324454e-05,-1.7558238528654223e-05,5.623583217935517e-05,-0.00037049761254042985,0.0002358469223016304,-0.0010020620406165333,0.00043113777907879383,-0.0017819899331634195,0.0005977324187370995,-0.002551855145393027,0.0007075777673495172,-0.0031538947834222255,0.0007515806207937085,-0.0034594763257224195,0.0007381708803432086,-0.0033918186826512407,0.000688884046421084,-0.0029389897804651326,0.000631742394635774,-0.0021553420530969433,0.0005932336121292565,-0.0011514563306858233,0.0005902476523824282,-7.440362274681486e-05,0.0006240898401378282,0.0009183853868676358,0.000678902059518337,0.0016872005579350426,0.0007259153354812321,0.002135041013694759,0.0007329837742643685,0.0022247572027340105,0.0006766056033767108,0.0019849800120460906,0.0005522593418743303,0.0015037600000824952,0.0003791972764577988,0.0009114236006007267,0.0001978928686806682,0.00035618083533354593,4.571686348712859e-05,-8.760376351820382e-06
10,15.487546003335623,213736539.12079412,-48353.20098219506,2921.076400414748,2.5785369346121114,0.23084224026756878,0.16252631038042953,0.01292922790914368,2.632632056663361,712.1280518875392,3.4522144545565547,2.247420907382823,473.7610066272258,2.525377504176366,4.851228061565863,55.915931228425166,16.330075130830718,-3.4996898874223516e-05,-1.8028172779974777e-05,7.800537119117526e-05,-0.00044492998833026766,0.0002958262987431054,-0.0012108687623445075,0.0005320731378648579,-0.0021565749765118224,0.0007334312675421398,-0.003089346791689181,0.0008663551533451313,-0.0038171528488673574,0.0009198828133249832,-0.0041834335256164135,0.0009038216803011905,-0.0040948417679495435,0.0008436809625716513,-0.003537098213226789,0.0007730984009716547,-0.0025767521416529405,0.0007244100971282954,-0.001348957128762968,0.000718790604158706,-3.344844898217613e-05,0.0007585610095500317,0.0011773250983750992,0.0008247645360868987,0.0021125516414381143,0.0008820786944521877,0.002653727557155184,0.0008905839295351571,0.0027557520148060134,0.0008208977348554982,0.002454220337503761,0.0006672811321272116,0.001857564838363003,0.00045369000667284725,0.0011259552308386584,0.00023043121686533303,0.0004414014411124626,4.737177039349367e-05,-9.114132562515438e-06
