时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,8.057237988343209,-6.341239729435094e-07,-5.378663587542608e-07,4.142639290801813e-06,-1.107089705883075e-05,1.527866004641664e-05,-3.5710755482319195e-05,2.8546591267158085e-05,-6.847335727530756e-05,4.020906701497252e-05,-0.0001015443847757306,4.7754773751276e-05,-0.00012694083110616845,5.032642329736246e-05,-0.00013814901241137448,4.868712907903405e-05,-0.00013143882792174684,4.475425483703791e-05,-0.00010659513954502039,4.085098853212955e-05,-6.694905892277086e-05,3.8886847144758104e-05,-1.8707931260357846e-05,3.970070854308563e-05,3.0283766971913498e-05,4.276581591397742e-05,7.211322946441555e-05,4.636198931662243e-05,0.0001003853628946262,4.818107534644072e-05,0.00011149970670387346,4.6187228656553066e-05,0.00010534837350658139,3.945608738754887e-05,8.528883640018575e-05,2.870441623676019e-05,5.7396769694871225e-05,1.6313772317311342e-05,2.917054377953765e-05,5.775537373423242e-06,7.950145112691093e-06,6.204458495659588e-07,-5.617054424117168e-07
3,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,17.873756417010224,-1.4113936921412787e-06,-1.185350070551809e-06,1.2412832137581173e-05,-3.077783380220083e-05,4.421451862735763e-05,-0.00010064677946731276,8.212414994155185e-05,-0.00019383012952514238,0.0001155004933735528,-0.0002879978154776509,0.00013715063799406822,-0.000360229978376701,0.00014459101539155984,-0.0003917705727286236,0.0001399706517023271,-0.0003718465658079742,0.00012875892099359468,-0.0002998065455092257,0.00011761695674388414,-0.00018523270985445144,0.00011204686952768728,-4.602387042424979e-05,0.0001144857620765758,9.517429527097498e-05,0.00012342851680447218,0.0002155040223264204,0.00013390185203108457,0.00029649122714564606,0.0001392083909592553,0.00032775082287203014,0.0001334290978582512,0.0003090117141094295,0.00011387476203653076,0.00025003358274442903,8.263537438938687e-05,0.00016843913564403725,4.664701711237477e-05,8.596221941150681e-05,1.609007314800456e-05,2.3884750233371914e-05,1.3721138448660465e-06,-1.2540762192101563e-06
4,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,30.193648676905514,-2.404713546497333e-06,-1.9673818505907754e-06,3.5301551591280104e-05,-7.970132430998642e-05,0.00012049433427830037,-0.00026545597684426135,0.00022205866966907195,-0.0005141978332238828,0.00031168328276323664,-0.0007660561441096502,0.0003701053522438806,-0.0009592065545927402,0.00039053793976626626,-0.0010428549197503108,0.000378521433696417,-0.0009876830887168377,0.00034854344239143315,-0.0007917412596324591,0.000318465524832003,-0.0004808347767410685,0.00030324750959694855,-0.00010340637852110329,0.00030971477674323646,0.0002790988648442684,0.00033399868648422624,0.0006045545280042775,0.0003626517374594572,0.0008227095567584092,0.0003773377691833539,0.0009053504468706042,0.0003617384285363048,0.0008518553878148486,0.00030839492404205606,0.0006889377520315485,0.0002230413478140678,0.00046468364015484414,0.00012476140421002397,0.00023829268449549425,4.155429868372775e-05,6.769435066689752e-05,2.298897946641991e-06,-2.1534333286171188e-06
5,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,37.15025693321853,-2.993400219325206e-06,-2.361034361760857e-06,6.77379129819586e-05,-0.00014521226813334065,0.00022578572747333078,-0.0004891794115369763,0.0004141528823856182,-0.0009512069681628456,0.0005807217049570829,-0.0014200938526573626,0.0006899307854734059,-0.001780532833891227,0.0007289756055595531,-0.00193751209879994,0.000707568863734376,-0.0018359242779950168,0.0006520065388672275,-0.0014716530272416146,0.0005952435393978688,-0.0008923990287556139,0.0005654388743008899,-0.0001882805973936997,0.0005760419882308088,0.0005260170203976026,0.0006205553558193539,0.0011342300595456381,0.0006741550840160878,0.0015421124257918287,0.0007022995971098487,0.0016966437302160043,0.0006738834990240284,0.0015965533406148758,0.0005744782189121691,0.0012918067923768709,0.0004147551356545021,0.0008723178756459602,0.00023073913290888305,0.00044866454728085327,7.524074875789892e-05,0.00012900981438448134,2.796650471687796e-06,-2.707938478512706e-06
6,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,40.569011598288434,-3.3072585669106984e-06,-2.512469038531318e-06,0.00010070609839203322,-0.00021065484622618654,0.0003317390260067445,-0.0007141287144800511,0.0006070249540247191,-0.0013920413856086116,0.0008509032902573048,-0.002081627743589495,0.0010117071093542283,-0.002613606808116251,0.0010704577661774304,-0.0028481816074551396,0.0010405076777226698,-0.00270390063631522,0.0009593518137012821,-0.0021739677112379216,0.0008747753654742119,-0.0013275511458081069,0.0008284596153209984,-0.0002962075737737244,0.0008412541417922465,0.0007520634577462426,0.0009048230869039373,0.0016464427351590403,0.000983313286121826,0.002248051042282768,0.0010257119622788667,0.0024784319076437923,0.000985475067084428,0.002335231054206304,0.0008406164576623306,0.001891452011203336,0.0006065678291368598,0.0012787438431927313,0.0003365405105616421,0.0006590127086312545,0.00010854331269765134,0.00019070102733325335,3.0193840450912884e-06,-3.020748926368452e-06
7,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,42.58594498407771,-3.512488758287283e-06,-2.5679004813460133e-06,0.0001338375078992617,-0.0002761436581218782,0.0004377341989376727,-0.0009401430901099541,0.000799766603493152,-0.001836154954861854,0.0011210599722667547,-0.0027497856809484715,0.0013340994892085515,-0.0034574695275475637,0.0014136090191305688,-0.003774200869941131,0.0013760339926100246,-0.0035916993452197107,0.0012693990659900121,-0.0028999467360375543,0.0011559737532480987,-0.0017890154846225354,0.0010912165388875115,-0.00043143559269950355,0.0011041361319738883,0.0009516790083620403,0.0011853979859358375,0.0021347862620818827,0.0012885644683059436,0.0029338942341599742,0.001345988945854266,0.003244507361547301,0.0012950984929057977,0.00306264662647461,0.001105751999618518,0.0024839322833389316,0.0007978837278828264,0.0016813965463077026,0.00044201326605703133,0.0008679697851786976,0.00014160614695047106,0.0002522296418314735,3.1335911875976934e-06,-3.2374533726236286e-06
8,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,43.90553171991691,-3.6639258565204026e-06,-2.575544619259024e-06,0.00016701502533892975,-0.00034172633445499385,0.0005435794156564068,-0.0011672108406821052,0.0009920940433110238,-0.0022834630548816746,0.0013908159809055732,-0.0034244450198477687,0.0016566664600482762,-0.0043120391244544,0.001757970113669211,-0.004715635236171141,0.0017137221500365812,-0.004499646102438873,0.0015817866937598046,-0.003650273669603415,0.0014385334655450902,-0.002277890548468887,0.001353416820248646,-0.0005954690853252688,0.001364351085143479,0.0011230427066161869,0.0014618643574486386,0.0025972818347535422,0.001589425549742599,0.0035976961200690992,0.001662637337883294,0.00399313306044785,0.0016023286936226757,0.003777396342512498,0.0013695922020314872,0.0030682327504295633,0.0009885657429961844,0.002079635485617466,0.0005471509058707971,0.0010751972118631966,0.00017449364190619894,0.000313452994582021,3.1941721183520406e-06,-3.406116768020564e-06
9,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,44.827256035491764,-3.7848761578976175e-06,-2.5559143902288546e-06,0.00020018317171424858,-0.0004074123078129688,0.0006491721991839552,-0.0013952909151017426,0.0011838397464514448,-0.0027338623707582384,0.0016599309629039148,-0.00410545844340602,0.001979107985485646,-0.005177167477175242,0.002103216398605708,-0.005672392035778429,0.00205326761944063,-0.0054277618382793675,0.001896263662195324,-0.004425134958511551,0.0017222606293061,-0.002794564043582924,0.0016148942652897107,-0.0007889017436611425,0.001621714224243486,0.001265393158579662,0.0017339840703236415,0.003033078081260445,0.0018856043824715789,0.004238610657920056,0.001975346887553455,0.004723553258183511,0.0019068914357097395,0.004478870826655128,0.0016319440796757937,0.0036439130620184025,0.001178517916275542,0.0024731820823079968,0.000651937027798338,0.0012805473637549788,0.00020723094041666797,0.0003743092225233465,3.2244701735462455e-06,-3.547171275101913e-06
10,0.457977269820425,16136344.6332496,1553.3408017573133,21.461216508622798,1.5494040789286676,0.21358383356746857,0.024979367382799,0.00398535147649173,1.624676051130368,1408.7768005778864,9.856923636982547,6.165752718246897,913.2493190076627,9.856923636982547,6.165752718246897,913.2493190076627,45.49906542287048,-3.886845902102263e-06,-2.519159066159646e-06,0.00023330830009270955,-0.00047319462288045557,0.0007544390911367729,-0.0016243239332852791,0.0013748709393420658,-0.003187228100364551,0.0019282022913167845,-0.004792647940110562,0.002301161158139441,-0.006052655930880664,0.0024490568058860365,-0.006644294434872807,0.0023943948340788093,-0.006375935420097234,0.0022126046478155295,-0.0052245263661063685,0.002006987206170349,-0.003339171568555684,0.0018755125506021786,-0.001012021857110426,0.0018760771272570073,0.0013783085809470279,0.002001561210152821,0.0034416707551194335,0.002176852895439803,0.004856117636722625,0.00228384695425263,0.0054352917975726755,0.0022085410317503867,0.005166677958997071,0.0018926277337545784,0.004210683519983206,0.0013676416660070492,0.002861849393840159,0.0007563411304773434,0.00148392114998675,0.00023982507569035992,0.0004347598791110828,3.2360245277078245e-06,-3.6707002833244625e-06
