时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,15.49294883613769,-1.3758102013514472e-06,-1.3856003509683407e-06,3.525185178034977e-06,-1.4739174122765577e-05,1.433792527251328e-05,-4.039587971412625e-05,2.650360130120696e-05,-7.275370988491889e-05,3.687609911978452e-05,-0.0001045506738962069,4.342034177152006e-05,-0.00012860204204406242,4.5531842719181894e-05,-0.00013917929307574088,4.39619199610854e-05,-0.0001330989194150434,4.040389154510094e-05,-0.00011030387640736285,3.686542512536804e-05,-7.384948371682586e-05,3.499462514860876e-05,-2.9301472779452333e-05,3.5542232235592674e-05,1.633891927421545e-05,3.811530333740069e-05,5.598275079284673e-05,4.13058852783252e-05,8.381663759650712e-05,4.317170131434426e-05,9.641311939322675e-05,4.19334062540557e-05,9.336368873176768e-05,3.6673496649093283e-05,7.73070751546527e-05,2.780578225241444e-05,5.3346314817945795e-05,1.7149669930524512e-05,2.798353734602877e-05,7.558542562265422e-06,7.773637783272003e-06,1.3583574291360846e-06,-1.41669313971938e-06
3,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,33.39603787558884,-2.971089038889325e-06,-2.9782587366312854e-06,1.056023300693032e-05,-3.783175276241954e-05,3.9381658620750116e-05,-0.00010570165585230668,7.185098339633028e-05,-0.00019153655090529127,9.95710329877125e-05,-0.0002759158231415541,0.00011708451571022026,-0.00033952252624386785,0.00012275087256560197,-0.00036690948177564163,0.00011856320322058486,-0.0003494732982101512,0.00010905404990868931,-0.00028705413732412654,9.961891112236859e-05,-0.00018791693126274503,9.470157687641419e-05,-6.713512798724374e-05,9.633111305425688e-05,5.631536676027794e-05,0.00010343735587480499,0.00016321207747532255,0.00011218402564993127,0.00023779281125736073,0.00011726902144684429,0.0002707803775261242,0.00011382815935559421,0.0002611097982641054,9.935253227425671e-05,0.00021600814601673897,7.498109894028048e-05,0.0001494137388996163,4.5708939851134286e-05,7.908652131196073e-05,1.9374756013910405e-05,2.296961438800821e-05,2.9239780057846685e-06,-3.0627431158702405e-06
4,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,56.90806885807072,-5.084855859806453e-06,-5.038309098657002e-06,3.067466405708126e-05,-9.045948473801875e-05,0.0001032922053717164,-0.0002598824044548498,0.00018517305067526784,-0.0004748951843141643,0.000255188134291756,-0.0006863579499516211,0.0002995401365099648,-0.0008450763546472634,0.0003140013664387765,-0.0009115686298131694,0.00030350136901459885,-0.000863779922920812,0.0002794411534149454,-0.000701269367373291,0.00025551542315215025,-0.00044522851352932864,0.00024311323098545932,-0.0001343859180479828,0.00024752103750737373,0.00018243236688606269,0.00026605552571838946,0.0004557171907857479,0.0002888181765045625,0.0006448686081700273,0.00030201619877504526,0.0007260514479467418,0.00029293584807112155,0.0006966891800340674,0.0002550041927616993,0.00057566785676098,0.00019121675357659893,0.00039923380156743377,0.00011468382846536636,0.00021351457302094427,4.594839936392773e-05,6.516820205567513e-05,4.964358068128061e-06,-5.256277752507449e-06
5,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,73.13733329700187,-6.579223506777567e-06,-6.3981954727258036e-06,6.569689143510487e-05,-0.00017031001318778904,0.00020754439035304653,-0.0004998587830518462,0.000367480268102952,-0.0009192415658163015,0.000504449832419772,-0.0013321179575116124,0.0005915908967737896,-0.001641615571292591,0.0006204760265659694,-0.001769786219794985,0.0006003596174059242,-0.001672947681657086,0.0005531784502790895,-0.001350044338305127,0.0005056628782213053,-0.0008427754866668863,0.00048043853886189144,-0.00022761475972089742,0.000488409341831531,0.00039881071685802854,0.000524725167970829,0.0009383453051672141,0.0005699346004937081,0.00131040550007066,0.0005964476176955313,0.0014677047107468015,0.0005785757884072345,0.0014052694074672216,0.0005029170573025467,0.0011608262979841987,0.00037542410618264294,0.0008065661705023231,0.00022249173262034377,0.00043421966506131034,8.53866369844806e-05,0.00013656380249484296,6.341762533144226e-06,-6.830338040699769e-06
6,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,80.96788559822082,-7.333135750594827e-06,-6.9962928016869495e-06,0.00010216277870052689,-0.00024937197275898114,0.0003134087118162303,-0.0007402777261234796,0.0005515412669490876,-0.0013662833426316974,0.0007557888207247868,-0.0019835293512559414,0.0008863710793662322,-0.0024469717142545557,0.0009305190398861367,-0.002639688510559601,0.0009013802456496464,-0.002495929231265636,0.0008309565456050502,-0.002013679092962626,0.0007588364014052677,-0.001254930116361818,0.0007191719485162612,-0.00033388092780476015,0.0007291192809937791,0.0006048024311125506,0.000782284022655236,0.001413834403514412,0.0008499086586382744,0.001972047889033951,0.0008903479289125176,0.0022081870564763495,0.0008643672370179504,0.002114599324773693,0.0007512284764821705,0.001747822698846843,0.0005597045092559991,0.0012161159483137294,0.0003297386694733873,0.0006569805047832483,0.00012374360146479515,0.0002095143157888657,6.978187897201132e-06,-7.644187328246673e-06
7,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,85.53485543388932,-7.79976681271161e-06,-7.298077599950019e-06,0.00013913698062542588,-0.0003282473527160209,0.0004196752254502118,-0.000981532311922767,0.0007358616549456667,-0.0018161809531811563,0.0010074927545375965,-0.0026407009907296053,0.0011820707639523663,-0.0032615852415637542,0.001242355500787499,-0.0035225746327549948,0.0012049183302633617,-0.003335452726258306,0.0011112778876002786,-0.0026968179640506954,0.0010136143861016905,-0.0016885285503673113,0.0009578350043080517,-0.0004621749932896432,0.0009679818933054004,0.0007896559356300888,0.001036809123003895,0.001870383838393662,0.0011266205038684722,0.0026178604860276297,0.001181583513438448,0.002936379291228989,0.0011484262513221208,0.0028151878191187804,0.00099856609560827,0.00232932205822095,0.0007433674208772751,0.0016228597881044681,0.0004364278804872922,0.0008788557623049191,0.00016155126428636743,0.000282610170664085,7.327430650326907e-06,-8.161839643875305e-06
8,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,88.50676494421346,-8.12645406950004e-06,-7.454786976730723e-06,0.00017632539080160404,-0.0004071532495233182,0.0005259811457928426,-0.0012238307840709021,0.0009200081460382036,-0.0022691635781773695,0.0012590728934760624,-0.0033039645664581165,0.0014781775801953124,-0.00408601073549607,0.0015554907863644005,-0.004419357280255152,0.001510532573164633,-0.004192911615438286,0.0013937665791608417,-0.0034014180463913437,0.0012696649328572743,-0.002146108966325385,0.001196091122328515,-0.0006155474144011962,0.001204603149943202,0.0009499692284576085,0.0012878224172404814,0.0023044733494331534,0.0013995285692639289,0.003244467092870899,0.0014696157697615378,0.003649287467913586,0.0014303059435589655,0.003504592695068047,0.0012446507330033168,0.0029035095506366984,0.0009263342977956644,0.0020255873990276847,0.0005426592897039347,0.001099133218786528,0.00019902220390653663,0.00035547832558201865,7.536955749823833e-06,-8.53420417143047e-06
9,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,90.57606236729049,-8.374352564273469e-06,-7.529210092376856e-06,0.00021359930342307253,-0.0004861681640739876,0.0006321546465500895,-0.0014672294340852664,0.0011037573703672984,-0.0027252815931496587,0.0015102568596747853,-0.00397341026772755,0.001774388262320188,-0.00492044247649965,0.0018696220878632501,-0.005330402053088658,0.0018179535142699035,-0.005068899210090095,0.0016782047074171333,-0.004128335718719743,0.001526813630128472,-0.002628795626418568,0.0014337767343035055,-0.0007953547085434693,0.0014387896868581441,0.001084233758120184,0.0015350759084349673,0.002714557005580984,0.0016683381819440994,0.0038504085820245597,0.0017541436239015534,0.004345644003953119,0.001709753667649127,0.004181803126953158,0.001489322718393335,0.003469650608538156,0.0011085537414628984,0.0024238184364785134,0.0006484717609163068,0.0013175334687201843,0.00023624637325058893,0.00042797063630334276,7.667981770983498e-06,-8.823922994347608e-06
10,0.43227734707233995,7427138.7929452285,368.2080733138122,2.926109652773974,0.6977309280444814,0.09057368771817025,0.03056265903382986,0.00216995272337895,0.7279245392131724,1159.716488029563,6.066094385842803,3.0458553194994904,599.6741827405924,6.066094385842803,3.0458553194994904,599.6741827405924,92.08402669155342,-8.573594852720884e-06,-7.552318070973916e-06,0.0002508884734127621,-0.0005653168967362284,0.0007380891915308661,-0.0017117139102000838,0.0012869542188534192,-0.003184483445194418,0.0017608371750263117,-0.004648974808352833,0.0020704545897884266,-0.005764846584499917,0.0021844881373305554,-0.006255749661143231,0.0021269412275261505,-0.005963570956963568,0.0019643987569824546,-0.004877871223412344,0.0017849152405163778,-0.0031370484000573383,0.0016707710490060804,-0.001002207823390997,0.0016704081500590533,0.001191725854840352,0.0017783951790286152,0.003099862705064421,0.0019328317332076884,0.004434938357775767,0.0020349333505327465,0.005024791068158827,0.0019865623404308514,0.004846289387524582,0.0017324388397544988,0.00402735672449019,0.0012899611622721244,0.0028172966709362024,0.0007538674419574594,0.0015339073683358143,0.0002732640703673061,0.0005000100356901868,7.750691949259496e-06,-9.061865862209833e-06
