时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,7.11513908532582,-7.11886168840943e-07,-3.51115885251696e-07,5.61512151778179e-06,-1.3637964694006602e-05,1.9066166054096563e-05,-4.1442639969808417e-05,3.4514882571026585e-05,-7.723304449087783e-05,4.784196014497953e-05,-0.00011261755128028426,5.631611414761292e-05,-0.00013917219255991874,5.90768141880082e-05,-0.00015012200468532736,5.707569974433264e-05,-0.00014168712654803313,5.253863218376727e-05,-0.00011381428657487458,4.81183784316642e-05,-7.018211065052508e-05,4.597409949140255e-05,-1.748159422646087e-05,4.703878667198833e-05,3.589067368085319e-05,5.0695511886350495e-05,8.147938999698613e-05,5.497621750416151e-05,0.00011243423327101728,5.724187636514949e-05,0.00012485243446698415,5.514526394442258e-05,0.00011852066456932535,4.7573130109624816e-05,9.690474685163477e-05,3.5251171955465687e-05,6.638976651550578e-05,2.0796521907002735e-05,3.49457958229624e-05,8.159728348132158e-06,1.0467799275028256e-05,1.1709980069690822e-06,-4.813250364327631e-07
3,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,16.112878837038455,-1.616211644777318e-06,-7.88827692565932e-07,1.7929315201539634e-05,-4.043795149227682e-05,5.862948465657187e-05,-0.0001241949842600169,0.00010542909310039954,-0.00023228202250984427,0.00014586522175694014,-0.00033926159438555053,0.00017163544851902485,-0.00041946164118868563,0.00018008516909825875,-0.00045217073408157905,0.0001740552368879776,-0.00042579195467108217,0.00016027907225222142,-0.0003401177197773276,0.0001468279944985,-0.00020637269634295844,0.00014030881294987277,-4.503038722672012e-05,0.00014360543868217247,0.00011818279878442944,0.0001548529256619269,0.0002573428722295387,0.00016801671577683987,0.00035144899996072325,0.00017497203731766411,0.00038856114723219686,0.00016847814583688297,0.0003680835427021976,0.00014510154374764583,0.0003007221883294558,0.00010709448834513084,0.00020613700894673578,6.25499447157613e-05,0.00010883239258008387,2.36632284552635e-05,3.3082923538276086e-05,2.646795874927741e-06,-1.0987727234132416e-06
4,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,26.756427845362794,-2.7019114466084565e-06,-1.281033681916647e-06,5.347071618261318e-05,-0.00011069085685411588,0.00016746976673418543,-0.0003445323719273907,0.00029867601401085834,-0.000647339502948718,0.00041231817104769235,-0.0009476785022199159,0.0004851160127352773,-0.0011729744794180064,0.0005094193863750854,-0.001264432341370466,0.0004928642774774249,-0.0011889369329716004,0.000454082384296224,-0.0009456227115904977,0.0004157280447428941,-0.0005660976520592295,0.0003966533055685922,-0.0001083495718196555,0.00040539576930874623,0.0003545388415895003,0.00043700405992990376,0.0007487771507879411,0.0004744382117157117,0.001014536323170859,0.0004944140693841174,0.0011178508702508103,0.00047601257941985877,0.0010571789772417994,0.00040924871400905096,0.0008632219920654294,0.0003005899928207726,0.0005921225967098749,0.00017335598491689038,0.00031366503417957424,6.255623192534456e-05,9.69024735711271e-05,4.3718212504693045e-06,-1.8636030457018142e-06
5,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,31.753048269518498,-3.2322658715694445e-06,-1.4786897499056907e-06,9.736769251375545e-05,-0.00019394041511480977,0.0002989171736921322,-0.0006079317356189852,0.0005309525924754237,-0.0011453946578460804,0.0007323646856693258,-0.0016797393448854505,0.0008621551352051639,-0.0020818396413935284,0.0009064893767591818,-0.0022468063004458406,0.0008781517802382838,-0.002115258881042147,0.0008093815588376777,-0.001685082961327371,0.0007400407392354971,-0.001011929048711499,0.0007039920062504757,-0.00019854781173400608,0.0007173277388859008,0.0006251191655905748,0.0007721679463864958,0.0013275073291353012,0.0008385951928709138,0.00180169583826665,0.0008748632676397508,0.001986849713942343,0.0008430061760894694,0.0018800632660492058,0.0007246305380175854,0.0015359876795323652,0.0005311394879853222,0.0010545360396286955,0.00030441542006206845,0.0005597357371589165,0.00010722617366762551,0.0001742638698371769,5.1550115738014526e-06,-2.266598586868621e-06
6,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,34.25045822187475,-3.514656737857199e-06,-1.5496800839938445e-06,0.00014178549179406517,-0.0002773564189871359,0.00043087952557516407,-0.0008730316995398603,0.000763738353591455,-0.0016480689429789856,0.0010532547069488857,-0.0024204923018832296,0.0012409399070302193,-0.0030041391874181937,0.0013065678282387979,-0.0032474739431747014,0.0012674257339305686,-0.0030642992461068054,0.0011686379295227883,-0.0024507034907464325,0.0010669610234063142,-0.0014858690441415699,0.001011634095433563,-0.0003169581129717135,0.0010271978691694075,0.0008692651646417359,0.001103772240679568,0.0018831185770298688,0.0011990057030829583,0.0025699763258837534,0.0012524406014229696,0.002841485259698729,0.0012083526177627281,0.002692887470190834,0.0010392564544260984,0.00220248399947165,0.0007612326402021909,0.0015137422274266801,0.0004349336610887825,0.0008047263782658313,0.00015125742404050916,0.0002516351317180606,5.525054677821484e-06,-2.503902177267997e-06
7,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,35.736900913920415,-3.696951681852452e-06,-1.5693387570037172e-06,0.00018635741430269708,-0.0003609793258204636,0.0005627941730527511,-0.0011396407057855484,0.000996239464631024,-0.0021548777540583244,0.001373985234835197,-0.0031692188886646017,0.0016203362365313915,-0.00393910894467175,0.0017084999359169592,-0.004265914721940656,0.0016596120627700476,-0.004036118186254565,0.0015309078836667942,-0.003243438620588847,0.0013956506989168964,-0.0019899764800050917,0.0013187588087985906,-0.0004667798213904978,0.0013340981633775423,0.0010828118428456352,0.0014307607218698004,0.002410845040199208,0.0015544913985718338,0.003314488242935815,0.001625961600891779,0.0036772267676902738,0.0015710271653572728,0.003491866834396721,0.0013524130493907751,0.0028598949442385675,0.00099054447993904,0.001967923204948662,0.0005649466179319387,0.0010476674841478604,0.00019492650662512932,0.0003286183851874794,5.728570060456744e-06,-2.673832853092074e-06
8,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,36.71438508692288,-3.829036447913186e-06,-1.5630818041386334e-06,0.00023095843444388052,-0.00044482175133991745,0.0006944634612886479,-0.0014076953261841771,0.0012281627156497414,-0.002665669761086836,0.0016941645389562665,-0.003925709939184846,0.0019998802309240137,-0.0048865502534690035,0.0021118016105573486,-0.005302032530326819,0.0020542648192773587,-0.00503082124780936,0.0018958213421952732,-0.0040636847231133545,0.0017258125146477953,-0.002524996755260874,0.0016250980061229465,-0.0006491098157967053,0.0016377290907658563,0.001264380147993108,0.0017527614190027084,0.002909158317101865,0.001904613529325622,0.004033716036173418,0.001994974739498711,0.004492719686684831,0.0019306433652450483,0.004275909693677066,0.0016638444462996835,0.003507434707810212,0.001218973912938122,0.0024165852818512352,0.0006944833928421808,0.001288298754423146,0.00023833620937323003,0.0004051014733715008,5.8487547978095924e-06,-2.8095777802652188e-06
9,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,37.39846060777712,-3.932325217322663e-06,-1.5418349487936497e-06,0.00027552567662312866,-0.0005288731706535662,0.0008257707809394422,-0.0016771187237600983,0.0014593142965873005,-0.0031802898493014375,0.0020135122942802233,-0.0046897499349641105,0.0023792213685660097,-0.005846229555390642,0.0025160943735031546,-0.006355630752172725,0.002451030658798372,-0.006048306652004796,0.0022630895509462836,-0.004911489419185813,0.0020572273780123064,-0.0030911687466020636,0.0019304692395550878,-0.0008643911461926198,0.0019378921292419508,0.0014133531126691282,0.0020695188292075605,0.003377338863366198,0.002249056100805349,0.0047269281940967665,0.0023591411479902797,0.00528730192902616,0.0022868988945547834,0.005044477134519277,0.0019733364183961272,0.004144710274199069,0.0014464150064757127,0.002859477565778799,0.000823529682445959,0.0015264868103781722,0.0002815243706032267,0.00048102915335835846,5.9213433674088525e-06,-2.9253796459594704e-06
10,1.65772522588517,47556304.87303629,-77.18948187912974,78.3058940368337,1.9836772271068357,0.28854667582582394,0.07257139406223134,0.004509291128295345,2.090511441013418,1629.143626837083,7.035362225327989,8.029633516969799,583.6860728572073,4.249980965197742,6.167245035220285,900.5676635287614,37.89699545075095,-4.01752743897414e-06,-1.5110780314312802e-06,0.000320018738604188,-0.000613112323096414,0.0009566272746754749,-0.001947821501621788,0.0016895326047223452,-0.0036985653906444716,0.002331781998630662,-0.005461094742023109,0.002758040587831445,-0.006817864445930892,0.002921025552811611,-0.007426432519809106,0.0028495755137984352,-0.007088349669235719,0.002632438782076897,-0.005786726603453411,0.002389691597269244,-0.003688505798528735,0.0022347106195478384,-0.001112798163647053,0.0022344168057910805,0.0015294076193571268,0.002380811317152867,0.003814962203730787,0.002587537466495513,0.005393664874991074,0.002718149746194351,0.006060539509889359,0.0026395065317965814,0.005797202918401708,0.0022806741724838977,0.004771444334177365,0.0016727468960393654,0.003296416303099717,0.0009520468722563267,0.001762131948973786,0.00032450159878539734,0.0005563627641356651,5.964229101087615e-06,-3.028354888084278e-06
