时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,4.216143269249163,-1.966924409843342e-06,-4.753599474911328e-06,1.0105711690545242e-08,-1.4413809196782488e-05,6.1212235489606135e-06,-3.3928108373830686e-05,1.3221742305661355e-05,-5.9118938724933885e-05,1.9411113396701427e-05,-8.458492554435282e-05,2.344897362105751e-05,-0.00010500475725506967,2.4922328315505824e-05,-0.00011608752352191466,2.4192783702763375e-05,-0.00011532423015135157,2.21680436145176e-05,-0.00010239525864880584,1.9963316042698e-05,-7.916943461436744e-05,1.853707430187934e-05,-4.9301170126759246e-05,1.8393140421592148e-05,-1.7504501912920907e-05,1.943056827557801e-05,1.1359523101887277e-05,2.098955702858875e-05,3.3208691961454645e-05,2.20877319594327e-05,4.5498971698555525e-05,2.178007094346968e-05,4.766677150547206e-05,1.9529237592381545e-05,4.11662649510925e-05,1.5460646484644885e-05,2.9094637770622155e-05,1.0408701945278807e-05,1.548527426505247e-05,5.733055282825327e-06,4.402363553625998e-06,2.0240992619769466e-06,-5.753514218461446e-07
3,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,9.79406157687394,-4.575844129230063e-06,-1.1041664398630972e-05,1.1644359131093274e-06,-3.646734628089722e-05,1.7640578991221823e-05,-8.837064300602025e-05,3.6802980150405186e-05,-0.00015558974724921553,5.3534518965155706e-05,-0.00022355963495517415,6.446997800864634e-05,-0.0002777917306606156,6.847585484669342e-05,-0.0003065417520145505,6.652530831989532e-05,-0.0003029240023582237,6.108676701377506e-05,-0.0002660706597898989,5.520401036868901e-05,-0.00020115475189508397,5.149678424398554e-05,-0.00011829355658634638,5.1334508057539534e-05,-3.054861067849096e-05,5.4411877354563205e-05,4.8601238873087974e-05,5.8867298466003097e-05,0.00010783333181374724,6.19360904025508e-05,0.00014010106891761695,6.095728642341279e-05,0.00014387942026847553,5.441830308643371e-05,0.00012328941433918783,4.26837829027327e-05,8.708131993597907e-05,2.8143974954807203e-05,4.6697637875722e-05,1.4718659314847632e-05,1.3790250360754296e-05,4.703046995636201e-06,-1.3410402681649477e-06
4,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,15.379975376305516,-7.1989771929043935e-06,-1.733421369009513e-05,4.538144141792944e-06,-6.434517087561719e-05,3.5766786047868176e-05,-0.00016131464211586397,7.208054070889036e-05,-0.00028722038128336814,0.0001038171031570232,-0.00041447316272678105,0.00012458552934792693,-0.0005153913069446502,0.00013221400308353464,-0.0005674351149980874,0.00012854125683546227,-0.0005573679593554701,0.00011827299225451255,-0.00048356286692773483,0.00010723583222627337,-0.0003560942615519381,0.00010045811787233134,-0.0001946432039862361,0.00010056033657324907,-2.462985839138742e-05,0.00010690713493001772,0.0001276999989868329,0.0001158143518935235,0.00024030080722768345,0.00012181570168817638,0.0002994864111557766,0.00011964561488163642,0.00030239374248003316,0.00010631644158701488,0.00025726137531512463,8.258398803023555e-05,0.00018148075395320686,5.326942222211237e-05,9.784922768242138e-05,2.630020425840031e-05,2.9762398687709776e-05,7.385951927824541e-06,-2.115954191473799e-06
5,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,21.093286143336865,-9.899885288974964e-06,-2.375662708212928e-05,1.2585889869465582e-05,-0.0001048691727384508,6.786662011098905e-05,-0.000273929064946419,0.00013203991068358245,-0.0004938224118100372,0.00018812427890362753,-0.0007157690890011545,0.00022485314037731994,-0.0008904687403102427,0.00023837326123569549,-0.0009776393870829267,0.00023191287043038442,-0.0009536237750898425,0.00021380467112246088,-0.0008156465204264293,0.0001944263750301913,-0.0005820555040514808,0.00018278481930499607,-0.00028858992787672165,0.00018358916668706506,1.8592059225757437e-05,0.0001956485801779126,0.00029182425724010236,0.00021217999374843158,0.0004910928828497643,0.00022309140592383778,0.0005916555158630202,0.00021864066436566554,0.0005885861223265202,0.000193315419578799,0.0004973314242878855,0.00014859645590542075,0.00035019592387682317,9.35881168653852e-05,0.00018953833677588805,4.324039946555853e-05,5.904185525010479e-05,1.0127423880647104e-05,-2.924265462837623e-06
6,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,26.52985134207354,-1.250606667288001e-05,-2.9830901052887137e-05,3.067521060592936e-05,-0.00017075582246942866,0.00012901354262465987,-0.0004673570453933205,0.00024278031360927017,-0.0008534914742720593,0.0003421207217634951,-0.0012424762292981351,0.00040724586417876407,-0.0015462465076066714,0.00043134391332588963,-0.0016927042016261402,0.0004200120174499003,-0.001639572691989175,0.00038789521179977956,-0.0013821981587482295,0.000353428501405813,-0.0009540827361714014,0.00033282345825949225,-0.00042021886591909243,0.0003347253185561327,0.00013548503692892907,0.0003570950084413109,0.0006263741493132449,0.00038754137800142696,0.000979767999711075,0.00040739953756025783,0.0011509449791332156,0.00039853508369804664,0.0011315293590514663,0.000350689357099927,0.000950549703899084,0.0002667514664998912,0.0006680125134490382,0.0001639553517531674,0.0003624517184793793,7.045663764793226e-05,0.00011500206015905053,1.2726893447695496e-05,-3.727150050517946e-06
7,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,29.435426149734432,-1.3934552339775414e-05,-3.303645889629544e-05,5.098546274496712e-05,-0.00023398273330132985,0.00019280864741049413,-0.0006592162610995718,0.00035643720269072437,-0.0012130986121334294,0.0004992446565496002,-0.0017706212571606775,0.000593054787197345,-0.0022044810276730083,0.000628087714827267,-0.0024103724884800433,0.0006121179831902898,-0.002327174609827486,0.0005658604938604796,-0.001948332361619898,0.0005157145610827608,-0.0013226886580689887,0.0004852664300739957,-0.0005448774097529753,0.000487458463105432,0.0002628855997014886,0.0005197328397344602,0.000974315438908148,0.0005641631077174407,0.001483485175718978,0.0005932612244756081,0.0017253463575783948,0.0005800779200218572,0.0016880767683471233,0.000509288927067928,0.001414644986761011,0.0003851945846726471,0.0009933653391519983,0.0002334999980233325,0.0005396453997694386,9.604668728387545e-05,0.00017273503393570215,1.4106289910570671e-05,-4.189472515929423e-06
8,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,31.216823716716597,-1.4840250338056413e-05,-3.496687231793694e-05,7.221562028500462e-05,-0.00029599784831107286,0.0002575268658284757,-0.00085044284663139,0.0004708954713748257,-0.0015731275764953021,0.0006571150041346301,-0.0023006348168003584,0.0007798000238923248,-0.002866258608173683,0.000826182192687067,-0.00313329575449918,0.0008059599169318003,-0.003021587006781455,0.0007455806437340523,-0.002522483828083994,0.0006792187585246669,-0.0016999933057985617,0.0006379446645191953,-0.0006782705489738743,0.0006393650576333431,0.0003821713339108626,0.0006808163739032456,0.001315289885094079,0.0007390523972492452,0.0019816808762686865,0.0007776687193157422,0.002295720869361998,0.0007605916849382739,0.002241958236988781,0.0006671295886837885,0.0018772077124829779,0.0005028923765455547,0.0013180517413900136,0.0003021822294389447,0.0007167465587687808,0.00012073192501009685,0.0002306568894744125,1.4944648570861611e-05,-4.499780552223629e-06
9,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,32.41183718232088,-1.5474127678811623e-05,-3.623166621383738e-05,9.390936971654745e-05,-0.0003574654511076836,0.000322641306503874,-0.0010417808337411588,0.0005855945821848739,-0.0019345598758333158,0.0008151787952636269,-0.002833947198519537,0.0009669715463844848,-0.0035336836113941763,0.001025182639556178,-0.003864447305549949,0.0010011610142603943,-0.003726775222081895,0.0009267252243343474,-0.0031096287102348845,0.0008436139084563987,-0.0020918779576400257,0.000790482209215765,-0.0008269500151344152,0.0007899808732208985,0.00048646731595301346,0.0008397885977002497,0.0016425181286476229,0.0009116023758021396,0.0024680996698920035,0.0009600495933500541,0.002856705376731095,0.0009396393348645692,0.002788950521007932,0.000823992414817251,0.002335242262970429,0.0006198767077871623,0.001640221034369325,0.00037025104515567915,0.0008928176326386475,0.00014488633925647523,0.0002884142868978738,1.5501854100435237e-05,-4.730494496377423e-06
10,1.1850544134752778,25660578.36810088,-2596.6083670399385,103.42849074223525,1.6060213405321997,0.16659724029551412,0.04669346063427072,0.007217525023090521,1.6509831061978055,822.3482187196486,6.389742985582405,1.105452947798859,675.2051163840642,6.163998346739471,9.147635729042525,371.48420707070136,33.26210224116137,-1.594905619999709e-05,-3.710487980541384e-05,0.00011585296113129269,-0.00041866273924902255,0.00038789205251117204,-0.0012335095277157605,0.0007002434913040107,-0.0022977561009084224,0.0009731338966098994,-0.0033711174347591227,0.0011542774489285838,-0.0042076412275783735,0.0012248268229948158,-0.004605147115052947,0.0011975006679442945,-0.004444558589316782,0.0011091131031192257,-0.0037120899817199918,0.0010087391928283575,-0.002501105851814918,0.0009427076341869939,-0.0009939893606571793,0.0009390949985587214,0.0005725744880479124,0.0009963891673105672,0.0019528902384253581,0.0010815227187969403,0.002939929303686746,0.0011401292460027023,0.0034059503729452767,0.0011170172135596386,0.0033272606524430842,0.0009797866931740727,0.002787522965723706,0.0007361804569107481,0.0019591472861852748,0.000437837109736069,0.0010675060616865488,0.00016868726813538617,0.00034587454726485575,1.589478311885373e-05,-4.91419670445619e-06
