时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,13.183534220448491,-2.9355102854978754e-06,-8.769833556687748e-06,2.8795010157959944e-05,-4.461002968504825e-05,9.340707250781904e-05,-0.0001149782571464264,0.00016893561133686912,-0.0002057362819695254,0.00023552739025930946,-0.00029608675060358085,0.0002788312000892325,-0.0003644687958896813,0.0002932465969563872,-0.0003929263279383949,0.0002826279755485374,-0.0003708083446140362,0.0002582626015087099,-0.0002970704826362902,0.00023459362461977697,-0.00018096141219458783,0.0002237404282481952,-4.066283531621067e-05,0.00023067398164053644,0.00010032473907409347,0.0002511631132064053,0.00021846305190762017,0.0002735500130756001,0.0002955353030853007,0.00028348842087733595,0.00032239898958262347,0.0002695684108255915,0.00030034303193263374,0.00022784360767131787,0.0002401948444622213,0.0001639434769905281,0.0001596636713154051,9.22986188680889e-05,7.960033854604598e-05,3.2433789209734286e-05,1.9617977286642683e-05,1.9435401621894778e-06,-4.252635022475129e-06
3,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,28.560408841654347,-6.497950488226604e-06,-1.88847805305085e-05,0.00014827425469737248,-0.00017987194580809714,0.0004575233118691469,-0.0005129044609593216,0.0008216229721175363,-0.0009477256047276412,0.001145155188051399,-0.0013837129331541159,0.0013579693051669406,-0.0017150041746149189,0.001431449708223329,-0.0018527801223669179,0.0013826104854054698,-0.0017436791962163354,0.0012652713584335585,-0.0013815031886545233,0.0011498288793157663,-0.0008110429771041208,0.0010963526914830525,-0.00012186988099519525,0.0011301545744399684,0.0005693854221545514,0.0012308417010955034,0.001145630594279485,0.0013407361268017175,0.0015166678704122494,0.0013885758077174667,0.001638308318425331,0.0013179101115703342,0.001518861583390677,0.0011098534112036367,0.0012137589541034077,0.000793385546323853,0.0008113852275344689,0.0004406435468292887,0.00041388996809388855,0.00014775218214550665,0.00011614143898391532,4.094870024872737e-06,-9.326404302759715e-06
4,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,33.62230479368306,-7.853208763225617e-06,-2.2053055855663675e-05,0.00030309481270489064,-0.00033722338531386414,0.0009200446809874446,-0.0010028510990669022,0.001648312861315031,-0.001877076600693363,0.0022982436624653726,-0.002757281282692808,0.0027294179543560296,-0.0034291426714430067,0.0028827617668492392,-0.003712725215865402,0.002789360025737615,-0.003499589180001388,0.0025545319856635686,-0.002776067384433825,0.0023189361669982552,-0.001631011051086165,0.0022050319441198722,-0.00024402378449636666,0.0022668496378844393,0.0011494475628333702,0.0024659569510836424,0.0023118049984680415,0.0026868765068691148,0.003059621352916581,0.0027847536383389503,0.003303524816310711,0.002643857458657299,0.0030615934795986677,0.0022250376667746403,0.0024473769902334133,0.0015872308991992114,0.00163965953358405,0.000877160453887715,0.0008428275011686342,0.00028911000969631393,0.000245443620485209,4.6479745403133986e-06,-1.1145388248366937e-05
5,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,35.708377034644315,-8.557681169213631e-06,-2.322727226408024e-05,0.0004587898069427315,-0.0004928851474160962,0.0013827499966718127,-0.0014951103424048107,0.00247453013099603,-0.0028162583470116,0.0034516668266130154,-0.004150207633864097,0.004104368570541633,-0.005172485311767611,0.004342260020061312,-0.005611160023244666,0.004208010931509212,-0.005302455400047085,0.0038557556042414388,-0.004224778763194679,0.003495319734233757,-0.0025099228961149756,0.003312965124559028,-0.00042622973330150185,0.0033947139338347926,0.001672468505682652,0.003687349521811956,0.0034271045495232948,0.004018969615843041,0.004559280677187643,0.004170052123720371,0.0049331655097745,0.003963095023684854,0.004576466021117352,0.003336549461778976,0.0036612886888458523,0.0023787324215934578,0.0024566195668999746,0.001311763552314201,0.001267675771191022,0.0004290731879093317,0.0003749983046430482,4.7540507388920415e-06,-1.2010863519348396e-05
6,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,36.836489337749704,-9.05370266818326e-06,-2.3757751951010698e-05,0.0006147381598088557,-0.0006488606604898345,0.0018449228197257254,-0.0019920205350084028,0.003299168258420982,-0.0037677409708091352,0.004603721076505256,-0.005564895603571367,0.005480536633178979,-0.006947290454898963,0.00580730465926113,-0.007550296643252218,0.0056358833844283515,-0.007154750717636363,0.005166457609110273,-0.005730844246506411,0.0046767094840919204,-0.0034522001019944106,0.004417887156888917,-0.0006743647889325311,0.004511196983956797,0.0021313069171725696,0.00489203772087863,0.004483735802414511,0.005333745275692046,0.006008011052141647,0.005541310213418934,0.0065204754334866515,0.005273048806414125,0.006058041297925134,0.0044427506746400535,0.004851479837143567,0.0031672540928657966,0.0032595064322313108,0.001744583771716255,0.0016866079067615611,0.0005681423672854249,0.0005035662650863295,4.717634561252372e-06,-1.2567501350599924e-05
7,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,37.53521886932729,-9.457147419284841e-06,-2.3998327211195838e-05,0.0007707489960428761,-0.000805657945527695,0.0023062532989575704,-0.0024941437443661697,0.0041216428153161445,-0.00473208574664826,0.005753454284568887,-0.007001868933653573,0.006856637215355396,-0.00875403565765788,0.007276424972796065,-0.009530579958637504,0.007071512318169717,-0.009056945523640303,0.006485326930827773,-0.007294892675780558,0.005861978047010327,-0.004458810497270067,0.005518746365600686,-0.0009898588371676162,0.005615147875199984,0.002524112930976728,0.006078655786677162,0.005479643778008817,0.006629656370999007,0.0074038317989157726,0.006896974325601681,0.008063759880345486,0.006572390867190578,0.007504995881982818,0.0055427250211515225,0.0060169824530419,0.003952348526959814,0.00404764173967452,0.0021755462577367425,0.002099157322656327,0.0007064286059052893,0.0006308223296351282,4.618541497522466e-06,-1.2984176656719589e-05
8,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,38.00322106872281,-9.811506044914346e-06,-2.4082064093096113e-05,0.0009267078520469446,-0.0009634343419610391,0.0027664670043705967,-0.003001586640831574,0.00494139024999448,-0.005709314510461844,0.006899951871277781,-0.008461067360608128,0.008231456284898766,-0.01059260385419839,0.008748251581999647,-0.011551857076804287,0.0085135488338077,-0.011008880716858972,0.007811170831724518,-0.008916838265665371,0.007050121825864443,-0.005529872101646959,0.006614638486558526,-0.0013731415621320864,0.006705603592535509,0.0028501506851345785,0.007246063077279982,0.006413920265521154,0.007905388263896203,0.008745842512943738,0.008235684405275586,0.009562251312443776,0.007859905381715288,0.008916730139323306,0.006635568798684891,0.0071573452424761475,0.004733497860767009,0.004820694847910157,0.002604464865164361,0.002505095781145855,0.0008439343818149941,0.0007566232308729807,4.486826992127371e-06,-1.3324320086508146e-05
9,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,38.331926807177325,-1.0136735369003312e-05,-2.4070278321475958e-05,0.0010825232231618915,-0.0011222298592082087,0.0032252967985626838,-0.0035142955584674565,0.005757847594406445,-0.006699248383806145,0.008042302794250543,-0.009942202700172377,0.009603790733396548,-0.012462638690387122,0.010221432280112689,-0.013613732943807834,0.009960663582167776,-0.013010146770962855,0.009142816954570965,-0.010596320279450492,0.008240163094371538,-0.006665187672063547,0.007704699353824973,-0.0018242844324167634,0.00778166044148355,0.0031090700091307073,0.008393192329186717,0.007286042021370624,0.009159699160322903,0.010033496675978257,0.009556134952925711,0.0110154811839278,0.009134399512329978,0.010292875797597622,0.007720366689519764,0.00827228063693788,0.00551014739716047,0.0055784436067957905,0.0030311084772046215,0.0029042685219360636,0.0009806238781132415,0.000880882919595046,4.3363766839093525e-06,-1.3617088987928194e-05
10,6.365315020571364,118711256.2523737,30994.285360673864,1072.8381076922637,2.8490614505467486,0.7777210866153027,0.09023075234345512,0.010626802598217145,3.341924672319055,1111.6690414840657,6.592327345049211,2.3485385159339507,207.32744891243527,9.50776052746068,4.8647207144598354,797.7554109236722,38.56926317522189,-1.044324224623252e-05,-2.3995174862860607e-05,0.0012381128176082129,-0.0012820358302573919,0.003682479159184503,-0.004032147361369279,0.006570454148432647,-0.0077016173859623775,0.009179600110278142,-0.011444879783173661,0.010972443773551608,-0.014363670372899687,0.01169462208894004,-0.0157156995817839,0.011411533856710804,-0.015060221101990554,0.010479099317365848,-0.01233285736544289,0.009431133954187838,-0.00786442404266277,0.00878808342427524,-0.002343206727082992,0.008842444264841407,0.003300681366353977,0.009519012553083682,0.008095642644440718,0.010391381698275018,0.011266389952696666,0.010857044499449171,0.012423101414745761,0.01039468871801673,0.011633159510066214,0.008796195663548464,0.009361569586789093,0.006281723918595266,0.006320711294517845,0.003455225169426133,0.0032965507021210597,0.0011164448462810763,0.0010035382628022322,4.174516483227403e-06,-1.387773474137428e-05
