时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,1.6600934982693003,-3.65087480521492e-06,-1.400334820361961e-06,-2.628521476323053e-06,-1.3118242330277e-05,3.4863676338566823e-06,-3.3949167238466344e-05,1.0544026657623611e-05,-6.04676266723859e-05,1.68415983370103e-05,-8.80076027463037e-05,2.125873429176063e-05,-0.00011208080876438414,2.3370208076633534e-05,-0.0001290202814433511,2.3389121165716318e-05,-0.00013649024293952038,2.1991881017408302e-05,-0.00013376206151810704,2.0069182818035864e-05,-0.00012171783675712118,1.8459065323650325e-05,-0.0001025879505883786,1.7722366501843462e-05,-7.947486097371054e-05,1.8013995937549484e-05,-5.5751570990649784e-05,1.90823279507745e-05,-3.4446523283701826e-05,2.0394937936365495e-05,-1.7730907628566632e-05,2.135006417277477e-05,-6.606533331019039e-06,2.150290261054858e-05,-8.532547877602006e-07,2.072642100909132e-05,7.558568652330018e-07,1.924424874605755e-05,1.9967719378897766e-08,1.7537377021196487e-05,-1.2679604536303625e-06,1.404327591885793e-05,-1.064120657485236e-06
3,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,4.327680519048526,-9.537689396537744e-06,-3.6458235837793974e-06,-6.222724253909384e-06,-3.591102869857922e-05,1.1033227266183165e-05,-9.402806519680701e-05,3.1046885681218775e-05,-0.0001684666473335758,4.896589547816023e-05,-0.0002459382645027386,6.15468130140876e-05,-0.00031341586616837747,6.753408197568093e-05,-0.00036014073850221896,6.752969659779679e-05,-0.000379220313593499,6.34983382444787e-05,-0.00036851560528264674,5.804030764620159e-05,-0.0003306978642880495,5.3599771922427894e-05,-0.00027249123638786396,5.179033230595005e-05,-0.00020325671588298564,5.30024113208117e-05,-0.00013318260079570176,5.6396214359467534e-05,-7.141833560603663e-05,6.028194310431325e-05,-2.450327387556204e-05,6.276975475512047e-05,4.61051989739747e-06,6.247696036472582e-05,1.675993386802064e-05,5.904835940075072e-05,1.5969867402010708e-05,5.329818243308921e-05,8.19290737812929e-06,4.6966341924960395e-05,-3.786695603977635e-07,3.667651441888975e-05,-2.798045231350177e-06
4,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,6.700066949170706,-1.4796839071287655e-05,-5.633965597636174e-06,-8.37662768110536e-06,-5.896857641184332e-05,2.0852526751351213e-05,-0.00015622291293141568,5.485852942664911e-05,-0.00028139338968001277,8.536715171048514e-05,-0.00041179599340797666,0.00010677967651155744,-0.0005248335664354331,0.00011689995629750513,-0.0006016792398442063,0.00011675771826469512,-0.000630227687348303,0.00010977048503502578,-0.0006067699190381737,0.00010047702619696046,-0.0005361646868950558,9.313779576977141e-05,-0.0004305300301547842,9.052775848650088e-05,-0.0003067279935415727,9.322287475557368e-05,-0.0001831154978666783,9.957866827677248e-05,-7.616673607474005e-05,0.00010641715798587977,2.396593117924526e-06,0.00011021939266000702,4.742156229917735e-05,0.00010844161662648475,6.0751336289345995e-05,0.00010050903297065059,5.020805498001447e-05,8.813284553198674e-05,2.7382281594815333e-05,7.491349262379087e-05,4.650424790161112e-06,5.687575547455282e-05,-4.369679292239356e-06
5,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,8.669236375627335,-1.9182530328177955e-05,-7.272615550630478e-06,-8.910105145253907e-06,-8.142020048177328e-05,3.264199083462399e-05,-0.0002180608649948762,8.104935562718937e-05,-0.00039450671641318375,0.0001245062354127427,-0.0005783082993768233,0.0001549591952756673,-0.000736743027925191,0.00016922771575755632,-0.000842376749060421,0.00016880070560643635,-0.000877546399161451,0.0001586468465001628,-0.0008369453834415018,0.00014537661442658932,-0.0007279574480845805,0.00013518561468872935,-0.0005687634993578602,0.0001320599030260031,-0.00038461922277881227,0.00013669996949117901,-0.0002030034831645316,0.00014647693638771215,-4.854105172859389e-05,0.00015646466281364857,6.13428675783712e-05,0.00016125622652258308,0.0001192082279667998,0.0001569915661622307,0.00012830974912024195,0.000142915564683072,0.00010113666092816081,0.00012191906168970674,5.614856735191079e-05,9.997411135834353e-05,1.3343263422122427e-05,7.369287067509616e-05,-5.701090890927462e-06
6,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,10.427302832049312,-2.3117634479235924e-05,-8.720220512145852e-06,-7.800011114579461e-06,-0.0001056273404125914,4.768926381207874e-05,-0.00028593587918242046,0.00011232641058047879,-0.000519277408053522,0.0001703236934635901,-0.0007620770628379658,0.00021085703514811015,-0.0009699699399145246,0.00022964405932411136,-0.001105597452132629,0.00022872030729680727,-0.0011449243042486324,0.00021485444996863917,-0.0010809276933482078,0.00019705651652821333,-0.0009241450094540325,0.00018375728219106129,-0.0007000995437486557,0.00018031780905092764,-0.000444144791549786,0.00018751406784886724,-0.00019469378447580142,0.00020145902071572926,1.3907500991134824e-05,0.00021505168387306726,0.0001575164557750179,0.00022056186448308874,0.00022616472387072193,0.0002125436188009061,0.0002251212993953566,0.00019010199323367218,0.0001729015821118181,0.00015771910115808122,9.672309934267164e-05,0.00012447146516463416,2.6305945572569493e-05,8.874605165948658e-05,-6.9169952687208574e-06
7,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,12.461512680868832,-2.770244215387272e-05,-1.0362630673772995e-05,-3.2641157352227576e-06,-0.0001421389568811879,7.424766494150787e-05,-0.0003901034025013388,0.0001643438573780638,-0.0007113953193674771,0.0002449986618983217,-0.0010447360191204289,0.00030107892072609387,-0.0013271819638087403,0.0003266244263350655,-0.0015055693328699785,0.00032458812415324395,-0.001545834070390353,0.0003046335964750012,-0.0014385153629454764,0.0002796161017117968,-0.0011996592000744287,0.0002615423814467244,-0.0008671271595617558,0.00025794376199461515,-0.000493077187384063,0.0002696212296509803,-0.00013401392641698107,0.0002904934582458171,0.00015974792502655103,0.0003097401205283949,0.00035321081427927537,0.00031569634186920734,0.0004326467142344573,0.0003002918207217408,0.0004072411761635196,0.000262540121801056,0.00030618879578324864,0.00020984514007853802,0.00017196594571369455,0.0001567995222864082,5.1128810334899106e-05,0.0001062088325717725,-8.369967769577384e-06
8,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,14.784163918838972,-3.30058726840046e-05,-1.214861003249705e-05,1.060053625350016e-05,-0.00020653058160382038,0.00012875019042601029,-0.0005770184113817331,0.00026525421462951694,-0.0010566357957252123,0.0003867683582989063,-0.0015511510495037264,0.0004704884980229485,-0.001963204337759801,0.0005075773679576181,-0.00221060129426347,0.0005027793147702437,-0.002241247100147604,0.0004711106187512062,-0.0020420128740375265,0.0004325216650899452,-0.001640246663941055,0.00040564667137585894,-0.001097910649178464,0.00040203488395348637,-0.000499529758854048,0.0004224252489075855,6.384969492789918e-05,0.00045637857355456545,0.0005117439720666075,0.00048574064793237834,0.0007891051965147039,0.000491135930969154,0.0008760525934839069,0.0004594768979135746,0.0007905450285630266,0.00038990201232335015,0.0005835728922042924,0.00029597979649251857,0.00032805748221832666,0.00020351049864762746,0.00010372425522266269,0.00012620454768884608,-1.0132212637307067e-05
9,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,16.343210698969827,-3.6648843503835416e-05,-1.3222599441203557e-05,3.182109352811593e-05,-0.0002809952609726036,0.00019826342622290014,-0.000795743562739419,0.00038924114061359924,-0.0014606104495458428,0.0005582392335933979,-0.002141855599930652,0.0006737391769313925,-0.002701208555125236,0.0007237381941383309,-0.0030223373983213437,0.0007151103806875865,-0.0030324089299100365,0.0006690669964004138,-0.0027148490744667267,0.000613843354782521,-0.0021114491040697186,0.0005759562075984192,-0.001313799447265418,0.0005718664269981532,-0.0004457365679988967,0.0006023441228543412,0.00036006212785634056,0.0006516731523813522,0.0009870817343513466,0.0006926525298277798,0.0013567904946149413,0.0006963471170698904,0.0014428909099545785,0.0006435238190017379,0.001275096765333622,0.0005337049909526116,0.0009318083507673696,0.00038841690355908117,0.0005235024944874757,0.0002475191142662294,0.0001703017858040509,0.00013966148871198694,-1.1439864378711638e-05
10,6.840730985250354,340764670.96863854,-66809.39753449697,10857.037206170477,2.8742693604608007,0.30048441670669246,0.10085732050738916,0.019766747056020134,2.955968049635314,523.6864702752732,5.928706834776107,6.28599239726891,890.3747495043391,1.5498976729636091,8.58573159607144,974.8135982130577,17.291324246597227,-3.893757737659568e-05,-1.3760550825676846e-05,5.5574506178344757e-05,-0.00035490211626868184,0.0002703926857027217,-0.001014209392996682,0.0005154969998926836,-0.0018641490492015893,0.0007314302429963454,-0.002731118585294659,0.0008782694274757911,-0.003435800130327073,0.0009409778032337719,-0.003827840008373537,0.0009284242562581325,-0.003813990784184128,0.00086773485441895,-0.00337467295952934,0.0007952332919384918,-0.002566578803374943,0.0007453700491151662,-0.00151133494505134,0.0007397951642507916,-0.00037241269112513886,0.0007796208193706739,0.0006756697450350911,0.0008439728502913739,0.0014803209365582414,0.0008964401258404935,0.0019397056469327009,0.0008982010935973673,0.002021532630738545,0.0008236360158108332,0.0017678563215292086,0.0006726951405581583,0.0012850700215140103,0.0004751885633891973,0.000721613871606204,0.0002854150876012568,0.00023814930561815088,0.0001478682069781309,-1.2340785008973546e-05
