时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,3.451632043555939,-5.055096723415533e-06,-8.260685170652472e-07,-3.2106091271881895e-06,-1.142233789383671e-05,1.001310395533686e-06,-2.7893304969650613e-05,5.490228824284928e-06,-4.751162772865097e-05,9.301315957298325e-06,-6.710069373338243e-05,1.1863574036161678e-05,-8.372613679275844e-05,1.3006697520169074e-05,-9.509136209231532e-05,1.2911614422448923e-05,-9.982653363035395e-05,1.200209969171297e-05,-9.762490694733738e-05,1.0803402860986812e-05,-8.920797484447235e-05,9.796788437304448e-06,-7.6129382570328e-05,9.300664922600774e-06,-6.0454653889727616e-05,9.405308477946631e-06,-4.4374514721181644e-05,9.977000442554333e-06,-2.982172719984207e-05,1.0729216144639749e-05,-1.816162352573851e-05,1.133785576229045e-05,-1.001372085295093e-05,1.1561725243050324e-05,-5.237069262833488e-06,1.1325180058242006e-05,-3.080891563187064e-06,1.0732020724306682e-05,-2.4696031002952696e-06,9.989845161519727e-06,-2.3652099763370234e-06,8.432364703925329e-06,-1.8369381036818342e-06
3,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,9.343768040410124,-1.3707067969893322e-05,-2.2357549171464957e-06,-8.351282998180091e-06,-3.20327208315856e-05,3.651871118192293e-06,-7.866908781871716e-05,1.648987716225316e-05,-0.00013443498098125823,2.741489938616733e-05,-0.0001901798505694877,3.4761608676313834e-05,-0.00023734139759510852,3.8021986841103694e-05,-0.00026916584695303275,3.7714552063919344e-05,-0.00028160674585271255,3.507341993668857e-05,-0.00027376201839479864,3.163418711642564e-05,-0.00024779241419144746,2.8802812171000276e-05,-0.0002083503334388696,2.7499708003791467e-05,-0.00016162921274517867,2.796161405577304e-05,-0.00011420614180766945,2.9751428840482063e-05,-7.188723082841916e-05,3.197191151365276e-05,-3.87667460302973e-05,3.361642567008405e-05,-1.667315893377852e-05,3.39411444113842e-05,-5.101319602204869e-06,3.272905020150943e-05,-1.6364168305424287e-06,3.035154864170356e-05,-2.777966703018076e-06,2.7567396993740967e-05,-4.994072081738602e-06,2.286213083914688e-05,-4.978340047710895e-06
4,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,14.851417285671449,-2.1821546442383133e-05,-3.552438361955064e-06,-1.2616563703006996e-05,-5.3026488287803776e-05,7.583873886267018e-06,-0.00013096966459036268,2.9250961527653864e-05,-0.0002244903080089377,4.772168439444941e-05,-0.00031803164686957606,6.013701132081204e-05,-0.0003968652538896184,6.560930390737029e-05,-0.00044929300342251327,6.501835043117765e-05,-0.00046828260183283144,6.0485292838639264e-05,-0.00045228395284272426,5.465807253462393e-05,-0.00040512233073473935,4.9958911108161646e-05,-0.0003350169674788681,4.795662489086573e-05,-0.00025291739188540907,4.901238326971942e-05,-0.0001704611042747263,5.22926747148684e-05,-9.79225632951938e-05,5.614779936944955e-05,-4.252777239529135e-05,5.874153897243134e-05,-7.4431695729161274e-06,5.872841183205603e-05,8.38248783273315e-06,5.574738348630259e-05,9.510334672590424e-06,5.0561628719043996e-05,2.5971088158902693e-06,4.4739788660777214e-05,-5.4287438429248785e-06,3.639160635722059e-05,-7.922257520397172e-06
5,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,20.517836775660932,-3.0199369876550436e-05,-4.905161186172686e-06,-1.6186644931009917e-05,-7.719671248724548e-05,1.3778238535885438e-05,-0.00019187027361844113,4.599200377291131e-05,-0.0003298962035136663,7.34858046132253e-05,-0.00046795079735248717,9.19407528005466e-05,-0.0005836958648810035,9.999729626210987e-05,-0.0006592729947177114,9.897668072677333e-05,-0.0006839230054782814,9.209709339723653e-05,-0.0006553260788355361,8.338737272351163e-05,-0.0005794925022194143,7.65286066224636e-05,-0.0004692740254775083,7.387650117066264e-05,-0.00034179097425934634,7.590108385670667e-05,-0.00021524587392250362,8.119948511603219e-05,-0.00010570088659798045,8.708932337146533e-05,-2.4406745237052075e-05,9.061042006745852e-05,2.3828585728091347e-05,8.961674445210602e-05,4.094497767980894e-05,8.359201165511521e-05,3.458226237270473e-05,7.391369837938345e-05,1.5922564619618645e-05,6.34033837822408e-05,-3.1193921393371866e-06,5.0354529952461064e-05,-1.0960434633212523e-05
6,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,26.138644471758827,-3.854168561796695e-05,-6.243639717309465e-06,-1.8480974889553165e-05,-0.0001050409667525785,2.313428925065979e-05,-0.0002628243026386339,6.793296835409245e-05,-0.00045322431324004356,0.00010617937850852156,-0.0006434968518833307,0.00013178632494268463,-0.0008019503660708127,0.0001428216635435563,-0.000903108734647675,0.0001411518080271638,-0.0009316175007409779,0.00013134964189034576,-0.0008842861116277317,0.0001191520182393594,-0.0007700045306901999,0.00010979329723303748,-0.0006076260507898866,0.00010658055982589044,-0.00042223849790762585,0.00011006306594521105,-0.00024050610624932672,0.00011803924963140359,-8.592550813871856e-05,0.0001264292052090694,2.51387468183346e-05,0.000130770337328339,8.591364700990037e-05,0.00012786848681051296,9.973936581299185e-05,0.00011705597973948728,7.860254895358451e-05,0.00010063648030203948,4.002759671416292e-05,8.327881703935552e-05,2.987082209436828e-06,6.424998741790356e-05,-1.398616248517909e-05
7,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,31.650562480216582,-4.675745025964474e-05,-7.550454099401613e-06,-1.8790226505879866e-05,-0.00013831433631275217,3.723019120380318e-05,-0.00034851559827012304,9.754303302279215e-05,-0.0006026053616790411,0.00014899178821136058,-0.0008560150876455775,0.0001832986658038664,-0.0010652212315889237,0.00019783235433830525,-0.0011950939326365983,0.00019516151251855975,-0.0012245053782485287,0.00018158266094273586,-0.001149315145308609,0.00016500524318765493,-0.0009823429906657103,0.000152635299103076,-0.0007504428854391172,0.00014896560438050317,-0.0004892611630024249,0.00015458115633780895,-0.00023663500850610412,0.00016615027657016098,-2.582476683618727e-05,0.00017766894581346275,0.0001201835914642289,0.00018262941921283972,0.00019225826268858643,0.00017644284981529842,0.0001959476883176613,0.0001583136653683483,0.0001494635023119427,0.00013193882498023992,7.929918328469486e-05,0.00010469132454480718,1.4412447436434871e-05,7.792218534654134e-05,-1.6969167385777845e-05
8,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,37.273744522371096,-5.518202626193958e-05,-8.872987193490153e-06,-1.5727944428456908e-05,-0.00018259774568343972,6.007329554275266e-05,-0.00046364015565319706,0.00014155753077142803,-0.0008035767654008271,0.00021090072575732073,-0.0011413723715268317,0.00025685507094851004,-0.001416996925847086,0.00027587066205903937,-0.0015818932435679037,0.00027152199814307437,-0.0016070265760842514,0.0002525200961003303,-0.001487229348962717,0.0002298145872108595,-0.0012412608684640328,0.00021337014350534397,-0.000907720822828147,0.00020931683568963945,-0.0005376232674104136,0.00021821403232783444,-0.00018497623976605025,0.0002350020556345243,0.00010293493600598703,0.0002507889254161448,0.00029378069994086747,0.0002560267630032364,0.0003754090953263623,0.00024410248636924864,0.00035711191052658573,0.00021414683905247406,0.0002667819762653544,0.0001721087473793831,0.0001446329413815982,0.00012960206003587125,3.4800895791228865e-05,9.192085533103107e-05,-2.003628294800655e-05
9,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,42.65093334342651,-6.329243244646043e-05,-1.011813786120647e-05,-6.8964943687235345e-06,-0.00024299283642833266,9.657295525150884e-05,-0.0006218493677157944,0.00020740632453130614,-0.0010797271845147702,0.00030133533918952745,-0.0015322507466178725,0.0003630709468945741,-0.001896086032174545,0.00038786775909205806,-0.0021038637751072463,0.00038075115113387,-0.0021157126307055373,0.0003538292461000082,-0.001925530821081506,0.0003223342116787026,-0.0015611412871867222,0.0003001370266937696,-0.001078503512931381,0.00029568423990349404,-0.0005511050676092938,0.0003094391265966976,-5.643222404029387e-05,0.0003337366889528674,0.0003380535404776911,0.00035535850930969897,0.0005868540487494581,0.0003602282799366602,0.000674042466737928,0.00033878376302463046,0.0006151290592736664,0.0002902048585044598,0.0004529354392855465,0.0002240234125247685,0.00024844186530432376,0.00015839812328486265,6.851525174868883e-05,0.00010536181831288724,-2.3006033275016592e-05
10,0.3797021780930352,19023794.936596204,572.6652293818388,44.96582833592752,0.8137662976625009,0.07298605460592338,0.020232170566738032,0.005461944789178504,0.830900041267614,540.4506697950384,2.7287337533280143,5.887246501741723,46.05983595208659,1.6380641370594091,2.701727957543066,214.00973554392976,47.16662340721185,-7.016903431006583e-05,-1.1132924642987302e-05,9.545256792482426e-06,-0.0003213874687079951,0.00014948800408739438,-0.0008283037928671483,0.00029863601768266,-0.0014397345251099187,0.00042438213209262715,-0.0020401618619053786,0.0005063079416872065,-0.002515382625665583,0.0005382100022970183,-0.002773354455202054,0.0005270230816601055,-0.002760327589408786,0.0004892667060789286,-0.0024696184643732363,0.00044578432360420584,-0.001941817727402592,0.0004156469080065011,-0.0012566613763690647,0.0004104504008321846,-0.0005181089296026666,0.0004305653690485928,0.00016474042180132482,0.0004647717319632096,0.0006974946844189632,0.0004938768738483025,0.0010174128357421314,0.0004975387359200831,0.0011042046144030542,0.0004621711976248114,0.0009826210216716158,0.0003871773759664429,0.0007164622705830481,0.00028725607371168834,0.00039539830209450857,0.00018976373881778375,0.00011734309403323506,0.00011670494923516451,-2.5550922740567556e-05
