时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,2.4550224627993185,-3.349011193628397e-05,-1.929835056139773e-06,-2.815948267988262e-05,-1.6867629408403238e-05,-1.7643692731062597e-05,-4.3685602876173496e-05,-5.834416339479682e-06,-7.756978643857392e-05,4.882486534700598e-06,-0.00011296112916318846,1.2946527917369153e-05,-0.00014450299710385819,1.774007163845591e-05,-0.00016777147657538627,1.9519362018031587e-05,-0.0001798551041542516,1.9187351468814215e-05,-0.00017967471212528488,1.796540991929084e-05,-0.00016800220163161057,1.703783120101147e-05,-0.00014718401572425647,1.7248716358982084e-05,-0.00012062526563240586,1.8920839757426433e-05,-9.21297016224409e-05,2.18379256579917e-05,-6.52171513798967e-05,2.538823128403944e-05,-4.2546007434277344e-05,2.8819122361072185e-05,-2.55501914571136e-05,3.151529081146316e-05,-1.4357727340358152e-05,3.320144416989753e-05,-8.003349861616302e-06,3.399182402192914e-05,-4.883647183418116e-06,3.4255237742675335e-05,-3.366210920134276e-06,3.345503346971909e-05,-1.991941243481662e-06
3,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,6.0123231440159834,-8.223117874201863e-05,-4.7653151066280354e-06,-6.838938192151117e-05,-4.3126720969045024e-05,-4.106610373784402e-05,-0.00011276790262183058,-1.0192654313659665e-05,-0.00020134997611101501,1.7896539536408653e-05,-0.0002941152124634955,3.8979735518026036e-05,-0.0003765449024345603,5.1350826827994324e-05,-0.00043650653115587,5.568103357222481e-05,-0.0004659696894129005,5.44204754529856e-05,-0.00046197927169659876,5.090028718959909e-05,-0.00042676346043650547,4.8343700447908654e-05,-0.0003669900808203508,4.9012613325159856e-05,-0.0002923271812875615,5.369157227626691e-05,-0.00021357621551552523,6.163432695720694e-05,-0.00014072281559832068,7.097541313066811e-05,-8.126920741675303e-05,7.947028134769225e-05,-3.9162330570196225e-05,8.531835697539293e-05,-1.4512329201165376e-05,8.778614433474311e-05,-4.139260541538482e-06,8.740641605388694e-05,-2.805254504812653e-06,8.566211695531955e-05,-4.878147573491856e-06,8.213161089219745e-05,-4.9416732713140914e-06
4,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,8.368445238576532,-0.00011466067545984267,-6.666474389528847e-06,-9.438783032663564e-05,-6.232827823195713e-05,-5.442223720420867e-05,-0.00016413865116271813,-9.099955337882288e-06,-0.0002941710361752927,3.217932745160073e-05,-0.00043050208328515024,6.307916062521384e-05,-0.0005512743723911512,8.101084654303891e-05,-0.0006380895348282423,8.697132569474829e-05,-0.000678735935379479,8.465926384700402e-05,-0.0006687625884087249,7.911534394291579e-05,-0.0006117005903664621,7.520725264422771e-05,-0.0005179482620346736,7.631094246454741e-05,-0.00040255761210953754,8.350659734184928e-05,-0.00028233653953168994,9.54927040799807e-05,-0.00017280287569318203,0.00010923186727537086,-8.555930758875729e-05,0.00012112290688210162,-2.6582990466755017e-05,0.00012831837918012,4.26092696487915e-06,0.00012974341364201052,1.2418248098457824e-05,0.0001264604879117407,6.773946732340051e-06,0.00012123234257029232,-2.894038142420902e-06,0.00011450575856575177,-6.9409474073068415e-06
5,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,11.058260563040854,-0.0001518354198442507,-8.854961339298423e-06,-0.00012297003892230852,-8.707412151945066e-05,-6.62812371880637e-05,-0.00023137918215243434,-1.7745253452695043e-06,-0.0004164441868604116,5.699647437803372e-05,-0.0006105638519579597,0.0001007907350817308,-0.0007816729078266541,0.00012580080434794897,-0.0009025806212699379,0.00013348567885939293,-0.0009552107483853654,0.00012930113109664934,-0.0009330926698601243,0.0001206922461629622,-0.0008417838805584473,0.00011482657709520593,-0.0006972374740328206,0.00011660018193867254,-0.0005224664714114596,0.000127409491909528,-0.0003431302887563825,0.00014501617456176718,-0.00018286002341211615,0.0001645449811929703,-5.9196984242351446e-05,0.00018031343238120227,1.9090029190400085e-05,0.00018791188140997593,5.2822439872128823e-05,0.0001858443402821787,5.125676687906091e-05,0.00017617012305632282,2.9277076814722556e-05,0.00016390693650277787,3.5416315515630295e-06,0.00015159887981707403,-9.274188385314236e-06
6,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,13.434111864421434,-0.0001848167294826892,-1.0797634817302653e-05,-0.00014660323896163884,-0.00011288362285555092,-7.20064786328038e-05,-0.0003026304242180715,1.3052849838245623e-05,-0.0005466670068133397,9.048218021330899e-05,-0.0008024703012084458,0.0001478481857650302,-0.0010265457735105256,0.00018001389261870803,-0.0011818171355577767,0.00018898410867865451,-0.001243652859286011,0.00018221251385271402,-0.0012034563945088838,0.00016986536765273977,-0.0010693484824399815,0.0001616951691367514,-0.0008639452918924884,0.00016426298463073592,-0.000619711679632546,0.0001792106912564671,-0.0003727583579637736,0.00020306678691061676,-0.00015622953683607673,0.0002286692107396026,5.479479993372673e-06,0.0002477975940122516,0.00010057933246294623,0.0002541926785130396,0.00013111256935529123,0.0002459704336195866,0.00011138158788666594,0.0002266136202680815,6.401709584695257e-05,0.00020418296318484126,1.4545248256225966e-05,0.00018448365894242354,-1.1388117415372144e-05
7,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,15.6400392054775,-0.00021557557466526562,-1.2599829373233305e-05,-0.00016624846285985352,-0.00014230295218492078,-7.07697581001818e-05,-0.00038498736041314073,3.818221841198767e-05,-0.0006976367617262062,0.00013714865538023424,-0.001024735441412338,0.0002099322604143249,-0.0013089989848746946,0.0002498593843197365,-0.0015014367759050064,0.0002596435925891217,-0.0015696052249988845,0.0002491871455450177,-0.001502575111741841,0.0002319661204354277,-0.001311944249889274,0.00022085553210934394,-0.001028881363824787,0.00022438159984707374,-0.0006978336089221607,0.0002443659369997465,-0.0003680667495433307,0.00027565525809084305,-8.459813725430489e-05,0.00030809046139340695,0.00011977297272017213,0.00033018075838302355,0.00022981589892054035,0.00033334982683409716,0.00024960612509199013,0.0003153607529557833,0.00020040293784263707,0.0002817574297869453,0.00011525425982158401,0.0002448046978441479,3.15119359179185e-05,0.0002151207065581439,-1.3406454358356398e-05
8,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,18.2731303149315,-0.00025249626419104063,-1.4724187277012205e-05,-0.00018439050269184116,-0.00018976798620912457,-5.4504489233729285e-05,-0.0005196758154261204,9.353080439747293e-05,-0.0009448239331804257,0.00022733667989817608,-0.0013876001001715643,0.00032453687246048114,-0.0017673326609442927,0.0003760262968580053,-0.0020149670739984214,0.00038583643928239743,-0.002085160727760276,0.0003680837016108027,-0.0019636146268920437,0.00034188265825009555,-0.0016686265713211615,0.0003253941870635754,-0.0012468191313307272,0.00033040171184504637,-0.0007639350959777025,0.00035884482104162605,-0.0002923866055171022,0.00040240350573711437,0.00010215787091944158,0.00044544764513013596,0.0003726148957115198,0.00047060926425735686,0.0004984613123814167,0.0004652755284240332,0.0004883225616105295,0.0004268546108796523,0.0003767829372915596,0.0003649969605313935,0.00021627991383823612,0.0002999571442344688,6.586658946643517e-05,0.00025182629575948263,-1.5912624514862854e-05
9,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,20.603162967060143,-0.0002854217042894656,-1.6527724822604514e-05,-0.00019066532374037117,-0.0002542815651154437,-1.3290846682961064e-05,-0.0007048451649413644,0.00018809877035694456,-0.0012843923284007225,0.00036879811464773194,-0.00188384582830811,0.0004980799498020851,-0.002389557193258256,0.0005637145216423155,-0.002704544728958148,0.0005717478861776799,-0.0027660024557583118,0.0005422638701622826,-0.0025559035236892486,0.0005022971677926119,-0.0021032065052025172,0.0004774281979456583,-0.0014775883737642799,0.0004839728973702503,-0.0007759691923530807,0.0005238698032323545,-0.000104246329423353,0.0005840005631947232,0.00044243904385306477,0.000640569326239995,0.0007971538024977586,0.0006675273961244629,0.0009328955876790077,0.0006464692285590307,0.0008662754559924762,0.0005746579636838652,0.0006525718604425448,0.0004683248746119937,0.0003734633009411415,0.0003599834684610162,0.00012015786805858887,0.00028443911541798267,-1.8271210380171822e-05
10,6.661345727634666,149040962.31377214,32037.772391705803,803.9777545715272,2.2906824243740065,0.27328691130491295,0.130341276040669,0.008019729747639533,2.3748746474430193,1022.5192625158717,0.17981990027639405,1.4367254978939723,442.4179496269862,0.17981990027639405,1.4367254978939723,442.4179496269862,22.50135032520047,-0.00031254614239997037,-1.7852980527324304e-05,-0.0001803867156480886,-0.00034219983991837623,6.208305660087245e-05,-0.0009591123651457684,0.0003357951266014921,-0.0017499580923414342,0.0005792688158222449,-0.002561416986558687,0.0007506962207142711,-0.0032340162166620344,0.0008338733645580456,-0.003632509395575872,0.0008377080117470808,-0.0036708104026075172,0.0007904137954350977,-0.0033269598520892962,0.0007298519023835494,-0.0026460313206331893,0.0006918761258425718,-0.0017309099616417021,0.0006991950721004194,-0.0007227358706825604,0.0007538065788734958,0.00022557210233559673,0.0008357766164654586,0.0009779555301191567,0.000909584216369066,0.0014405452241263354,0.0009367025117609476,0.0015785590247861358,0.0008905294767897878,0.0014213082504789722,0.0007684613876138406,0.0010544781747228512,0.0005966361632332391,0.0006017140698357721,0.0004254513507876181,0.00019965414101887532,0.00031112287243123884,-2.0379129177152505e-05
