时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,2.0428466122152003,-3.131621090225172e-07,-9.941409493365266e-08,1.3853885795204493e-06,-6.492870202748071e-06,5.289160605197398e-06,-2.0947573134899174e-05,9.826027200084308e-06,-3.984847875349908e-05,1.3746958419624495e-05,-5.872664190595313e-05,1.6251423529434774e-05,-7.314310437380067e-05,1.7092048610056747e-05,-7.954563706725852e-05,1.653786756847038e-05,-7.594386858443634e-05,1.5216379952733667e-05,-6.227469077693495e-05,1.3879960943202097e-05,-4.0394532182945295e-05,1.3153964947386642e-05,-1.3703849986525403e-05,1.3330435582490225e-05,1.3522753726426149e-05,1.4266878002513647e-05,3.6972771121645404e-05,1.54277767816039e-05,5.313680235781191e-05,1.6066926856721965e-05,5.9988703344231234e-05,1.550120226000362e-05,5.736830802956593e-05,1.3389318992839986e-05,4.698918772416531e-05,9.91969360391684e-06,3.206941893524277e-05,5.837673319236707e-06,1.6661222609554978e-05,2.286999112814898e-06,4.81290791509299e-06,3.990379881000126e-07,-2.157231731263373e-07
3,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,4.447005377075461,-6.821711420504135e-07,-2.1557123370867664e-07,3.5778873931378703e-06,-1.5939042232776935e-05,1.3250232367696794e-05,-5.1617158480005836e-05,2.4495448600478825e-05,-9.833940402443098e-05,3.422318137587167e-05,-0.00014502940483780772,4.044649191983286e-05,-0.00018064918660131362,4.254643346806277e-05,-0.00019634778298732367,4.118398194482967e-05,-0.00018715584751283654,3.7912227163505304e-05,-0.00015290607047614458,3.4599967811945214e-05,-9.822068459899387e-05,3.280640367611151e-05,-3.157939917578657e-05,3.326454256631806e-05,3.6349641078704743e-05,3.5623000215536425e-05,9.47969396016871e-05,3.854405066725768e-05,0.00013499351026550322,4.015695256516558e-05,0.00015187317320135835,3.8744659652891786e-05,0.0001450330283812274,3.344620490154189e-05,0.00011875751730230378,2.4731757516181324e-05,8.110127610893051e-05,1.4473478763642788e-05,4.222070522731041e-05,5.551637759051691e-06,1.2288220659049765e-05,8.683303423894288e-07,-4.709492544248896e-07
4,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,7.122602055924114,-1.0936741442236036e-06,-3.431953180559173e-07,7.113690355828802e-06,-2.9973944517814122e-05,2.5487921727174534e-05,-9.74770407354394e-05,4.6854040625732564e-05,-0.0001860177976209502,6.535583754412322e-05,-0.0002745505625470456,7.721645820778897e-05,-0.00034202852526802333,8.124768439135297e-05,-0.0003715360746968971,7.868832411907053e-05,-0.00035355240761950177,7.24782858668635e-05,-0.0002877317755687224,6.617344314046896e-05,-0.00018289518070102408,6.275825427562501e-05,-5.5258548348051656e-05,6.365194080516262e-05,7.475514946546794e-05,6.819821816457576e-05,0.00018651131664538777,7.383686127163145e-05,0.00026319502924389114,7.69663959547083e-05,0.00029508239291454596,7.426838346612473e-05,0.00028139245981805184,6.407058115739918e-05,0.00023034377889352144,4.727273757359611e-05,0.00015740663668339726,2.748782022794715e-05,8.211615101903942e-05,1.0287333323100703e-05,2.408780282973836e-05,1.3899102812071857e-06,-7.575654206509861e-07
5,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,10.001998268497239,-1.5381355096966402e-06,-4.771431156981602e-07,1.3165542088648877e-05,-5.231222208221718e-05,4.556899513374082e-05,-0.0001709026645872531,8.324436821901217e-05,-0.00032672459103939703,0.0001159066873514467,-0.0004826606070923666,0.0001369053624363507,-0.0006014519524516867,0.00014412054044078218,-0.0006530744175405523,0.00013968675319205658,-0.0006205741758416878,0.00012874451926373805,-0.0005032674494160694,0.00011756212232972592,-0.0003167590329679811,0.00011145301210372604,-8.982239429553076e-05,0.00011299624866106346,0.00014124737323917071,0.00012108428784841627,0.0003397330860976201,0.0001311814187661308,0.00047567809015962266,0.0001368413018883957,0.0005317310491671913,0.0001320866014281628,0.0005064686764502871,0.00011388211451566895,0.0004145183010610544,8.382260863651254e-05,0.00028346424172516244,4.839335876001363e-05,0.0001481918777183134,1.7614308379258433e-05,4.381564812804636e-05,1.9496974541316645e-06,-1.0711838110150823e-06
6,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,13.154915505941666,-2.0288792544770355e-06,-6.150528146186857e-07,2.5555025081743843e-05,-9.53883583009748e-05,8.524775789138441e-05,-0.0003132835296526242,0.00015461408063010792,-0.000600250895745819,0.00021485264148072856,-0.0008879082084249715,0.00025378509979248517,-0.001107303828004369,0.0002674433932613687,-0.0012026756474342252,0.0002595693204335021,-0.0011423626472701048,0.00023943068090192648,-0.0009248272924742676,0.00021850975251881858,-0.0005787752503474659,0.00020673753647119735,-0.0001574474855068362,0.00020914489208728227,0.00027180172151529695,0.00022393182225002734,0.000640672766361191,0.0002427762422304532,0.0008933047643909869,0.0002535881127996905,0.0009972190874697532,0.00024501292511410887,0.000949582398105054,0.00021119576776964093,0.0007774946049793785,0.0001550564787772871,0.0005322699803210598,8.879391180012014e-05,0.0002789459899078486,3.1287689013447345e-05,8.316901478504786e-05,2.558715924357415e-06,-1.4276037191263874e-06
7,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,14.924339745408222,-2.3087458941034725e-06,-6.830253232047265e-07,3.8676365736515936e-05,-0.0001395813537824345,0.00012641677196645933,-0.0004599683389654545,0.0002283229187835109,-0.0008827463804513641,0.0003169615239100355,-0.0013073823276036228,0.0003745623598975379,-0.0016321686899820945,0.000395211052709683,-0.0017746042543684223,0.0003841077308781532,-0.0016875828455100528,0.0003545316561019917,-0.0013683732157272286,0.0003232150086482871,-0.0008588993209262607,0.0003049407614023906,-0.00023742913241071232,0.00030753707086508743,0.00039671351063620355,0.00032878197428548567,0.0009425522164507186,0.00035659377660067054,0.0013172680733798741,0.00037298830872121037,0.0014724750036593606,0.00036084254237234967,0.0014035950784873797,0.00031117746874796454,0.001150368803296371,0.0002282001626014013,0.0007884481973947765,0.00013007628439432498,0.00041392812917767803,4.4960279305474694e-05,0.0001240191397563771,2.896461884618527e-06,-1.641367647574592e-06
8,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,16.024239058573738,-2.4866446180040843e-06,-7.173738542345907e-07,5.198530600136069e-05,-0.00018386914927752217,0.00016777020841075968,-0.0006074134964856945,0.0003021924458766274,-0.0011673710816006613,0.000419302584645697,-0.0017310359334029555,0.0004958299528427691,-0.0021637563534587507,0.0005238670829268167,-0.0023559909656386394,0.0005098709812584179,-0.0022448285120197273,0.0004708863510700506,-0.0018259779624784848,0.00042877022351677494,-0.001154266808893744,0.000403257227496535,-0.00033278990552094875,0.0004052605299788895,0.0005071897908406136,0.0004324521111868634,0.001231859911215394,0.0004691552348485456,0.0017311304770385658,0.000491423756643197,0.0019403241277582957,0.00047613280279753704,0.0018527557474062961,0.00041094160693665383,0.0015205269997634351,0.000301241947724678,0.0010434558536845538,0.00017122457978503632,0.0005486409206782157,5.844930761103671e-05,0.00016493951362817373,3.1033171321779463e-06,-1.7856268963890577e-06
9,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,16.769689404438925,-2.6107455606438953e-06,-7.339336802504843e-07,6.536957730319375e-05,-0.00022821078993387755,0.00020912705264680503,-0.0007554247591526524,0.00037596666253651576,-0.0014537512117747762,0.0005215548496547643,-0.0021583647394661787,0.0006172263278733316,-0.002701550947399641,0.0006530419497388663,-0.002946475386971299,0.0006365119628730821,-0.002814076859010433,0.0005881864345869067,-0.0022981156435981165,0.0005349003875053295,-0.0014659488509853299,0.0005014196721641102,-0.00044521084251219616,0.0005020224197295179,0.0006010263031630239,0.0005346009155073044,0.0015060453848952035,0.0005800734556576934,0.0021322322014694266,0.0006084933809130698,0.0023982499155340152,0.0005905201065897905,0.0022949122042145173,0.0005102138581136699,0.001886330951364217,0.00037402909470117085,0.0012962204615283664,0.00021220771014529683,0.0006825237005250186,7.181063199015931e-05,0.00020573445826458907,3.241158509273474e-06,-1.8929877704483822e-06
10,1.1290981135510716,28254482.87422437,2131.884055684899,64.5179671301405,2.5088679524210997,0.20900267044386975,0.052434737793517594,0.005310434093018165,2.554553314782949,1690.5122226232004,8.763455694785964,8.828970058752763,530.3661875527937,6.858613580120546,4.3026187409085885,643.7968318220724,17.303641671657804,-2.7029132872973026e-06,-7.398913110859186e-07,7.877754512045454e-05,-0.0002725863959251238,0.00025040263234328054,-0.0009039146278781125,0.00044952268289034925,-0.0017417279665610966,0.0006235594968442248,-0.0025891705051635555,0.0007385682244423236,-0.0032453758665129816,0.0007825470793885621,-0.003545979900805513,0.0007638571266282693,-0.003395426878208943,0.0007062857207731935,-0.002785123811329242,0.0006414841134756954,-0.0017945536961525162,0.0005993143843042956,-0.0005755625905247046,0.000597693807016365,0.0006771424107507769,0.000635068671223422,0.0017639078426213255,0.0006891597993509055,0.002519362734557892,0.0007239999837921207,0.002845141302765544,0.0007038290777486668,0.002729140431509692,0.0006088678468157516,0.002247095375703307,0.0004464971494011414,0.0015463041303420539,0.0002530178070573659,0.000815352152805214,8.507261068820016e-05,0.0002463256544396988,3.338069789344776e-06,-1.978253869246878e-06
