时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,10.077812893499376,-3.921603762285127e-06,-1.4342664662309733e-06,2.060575865606937e-06,-1.6185118898376308e-05,1.3222623486083258e-05,-4.326599038214317e-05,2.554856146143811e-05,-7.680371789739828e-05,3.601025161104673e-05,-0.00010957287638318293,4.268716609303682e-05,-0.0001345169504797899,4.5035182854092245e-05,-0.00014606905127113553,4.379617831113857e-05,-0.00014117473304830984,4.059596640983916e-05,-0.00011982463381657993,3.7349672662190425e-05,-8.50182276950723e-05,3.562963953021084e-05,-4.2170873401164866e-05,3.616315805383991e-05,1.9240914677773065e-06,3.860205053179772e-05,4.038774979870133e-05,4.1640400045639696e-05,6.755961251159642e-05,4.345952075304949e-05,8.006095883856385e-05,4.2376257729361956e-05,7.74063954623218e-05,3.749715583524407e-05,6.20426303094312e-05,2.9164800230161128e-05,3.8806247192093604e-05,1.904173577080245e-05,1.391792976868954e-05,9.769976980209065e-06,-6.2973170205075855e-06,3.861804433166794e-06,-1.6440065348367988e-05
3,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,22.0076879197703,-8.572546674703583e-06,-3.1232512140364843e-06,7.735212951149435e-06,-4.218103847632955e-05,3.770099890101042e-05,-0.00011444839653878054,7.08177034422243e-05,-0.00020413191588752592,9.892166622994554e-05,-0.00029167665196814206,0.00011680548364214927,-0.00035786221533745064,0.00012298004412086998,-0.0003874734940340173,0.00011944968829770118,-0.00037214811495067294,0.00011063527197129247,-0.00031187342017372643,0.00010176245241424724,-0.00021491071770405633,9.713286857531346e-05,-9.617995746537917e-05,9.873529095477409e-05,2.5591065061560576e-05,0.00010559420215342644,0.0001314303540219576,0.00011407896452177148,0.0002057276888586732,0.00011912797243839031,0.0002391819399914706,0.00011605002443862719,0.00023050071716539984,0.00010235189916884035,0.00018651394408283908,7.899141567154267e-05,0.00012068209281863488,5.0618922264174815e-05,5.032509914158034e-05,2.464225770290408e-05,-6.89430934705204e-06,8.432064106682668e-06,-3.591720116619103e-05
4,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,35.89928433175099,-1.4009603087013611e-05,-5.063248881864756e-06,2.390742152887458e-05,-9.269500892795678e-05,9.21765933990085e-05,-0.0002562747884821082,0.00016761158751178363,-0.00045964410413630813,0.00023158031061127932,-0.0006578324216239737,0.0002721418733419793,-0.0008063578749861477,0.0002858437494751693,-0.0008698926437427777,0.0002772505995641367,-0.000828998092329065,0.0002565277417116091,-0.0006837011532012962,0.00023577126894288344,-0.0004533788633839029,0.00022501002123794387,-0.0001730264567237126,0.00022892536049654792,0.00011339563476554119,0.0002452443655288368,0.0003613255417686494,0.00026538900425197284,0.000534102317182494,0.00027733150161766127,0.0006099406304904737,0.00026988125592108367,0.0005859636828320219,0.00023707663347881036,0.00047847749891383304,0.00018121179956141883,0.0003194521396318051,0.00011342090754085769,0.00014999183247164794,5.144751984887065e-05,1.2087129243427648e-05,1.374080288323726e-05,-5.861699427780943e-05
5,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,47.27342822635093,-1.8505622463345126e-05,-6.5895950434688635e-06,5.904670927451098e-05,-0.00018059395729311356,0.00019603652037817278,-0.000507778866510118,0.0003472180395752975,-0.000915085708678718,0.0004753315744182557,-0.0013115055565886726,0.0005564579859276606,-0.0016066325074521972,0.0005835613601873763,-0.0017285164005058763,0.0005655938977859352,-0.0016375325145906493,0.0005228412661296635,-0.0013337838102612772,0.0004797486819867961,-0.0008569540021789217,0.00045691141069810893,-0.00027877334093354643,0.0004642602767248525,0.0003105294899321264,0.0004974697089666307,0.0008193736489837544,0.0005389906725380338,0.0011723705975225818,0.0005638165076826674,0.0013247932456785312,0.0005484622913279611,0.0012709642889469676,0.00048031515073461016,0.001044810958034876,0.00036411517774912594,0.0007125443929659913,0.00022317325130266944,0.0003591497170703331,9.458862165769075e-05,7.145510325753277e-05,1.8046904415689045e-05,-7.721353635210529e-05
6,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,52.660965060340025,-2.0678227602559115e-05,-7.251590320060785e-06,9.697205182260634e-05,-0.0002677458584385673,0.0003026893518167225,-0.0007594962579946724,0.0005294986382517285,-0.0013723562417389157,0.0007217541938267399,-0.0019689616821575505,0.0008437336244855096,-0.002412558773831563,0.0008847133617937342,-0.0025941764361702563,0.0008576515281392579,-0.002453688574027667,0.0007925325474256075,-0.0019910571947938526,0.0007259972984501988,-0.0012661744137525597,0.0006894799617427792,-0.000387577395697164,0.0006987420165749412,0.0005079457182457832,0.0007479640465745464,0.0012813038197772284,0.0008108289548409964,0.0018178135043553153,0.0008490841762958401,0.002049347872982618,0.0008263971466631313,0.0019672206281563472,0.000723021597627826,0.001623031961082977,0.0005460229539944635,0.0011174438665015251,0.000331162353851581,0.0005795741251356338,0.00013533792267415344,0.00014135311899437296,2.0045149445621113e-05,-8.601903367247559e-05
7,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,55.77307654204897,-2.1969233178656047e-05,-7.58475723635089e-06,0.00013590338070405359,-0.0003547829570874188,0.00041018058924459816,-0.0010120646976009137,0.0007123798995065804,-0.0018322647843413361,0.0009687608033705971,-0.0026315414422372857,0.0011319973342879604,-0.0032265396115596263,0.0011875587120797604,-0.00347096676398826,0.0011519698911251729,-0.00328386898162003,0.0010644054215850492,-0.0026647096448799866,0.0009734601146237387,-0.0016932241408073678,0.0009216262010090531,-0.0005144667883340602,0.0009310885047516596,0.0006883179904689967,0.0009951770514718505,0.0017283816591074524,0.0010791451900626547,0.0024513920841781126,0.0011313678359781655,0.002765394991633896,0.0011022036443535481,0.0026583237310608627,0.0009642951766215464,0.0021991770053943183,0.000726817191117838,0.0015228476572267554,0.0004380810839567977,0.0008023861613415038,0.00017502127809085482,0.0002147029248301111,2.1167548300919332e-05,-9.109928736285977e-05
8,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,57.78510279738182,-2.2835635278766743e-05,-7.758711787495185e-06,0.00017528458380140102,-0.000441925148577148,0.0005179188083912825,-0.0012657699063800952,0.0008952587970881308,-0.002295268119783901,0.0012157685167387643,-0.003300024965022309,0.0014207228403001026,-0.004049851680556864,0.001491661284180156,-0.004360822808126911,0.001448221495456004,-0.0041307890242490986,0.0013382323603039375,-0.003358291027848422,0.0012219696163094586,-0.0021424560136468697,0.0011531817250557514,-0.0006644670396670994,0.0011610729938523968,0.0008461734210440324,0.0012387984058866196,0.0021549797705344843,0.001343570566968886,0.0030676356531918066,0.0014103118281943417,0.0034678940107180905,0.0013756322502191543,0.0033398530362722715,0.0012040711766284381,0.0027695272730906585,0.0009066518604720708,0.0019257093385037817,0.0005442786173721774,0.0010250890768769008,0.0002141122393368377,0.0002893768530964985,2.1868220629435912e-05,-9.437711296371496e-05
9,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,59.18044245672115,-2.3465458089706e-05,-7.843249508617771e-06,0.0002148777354345119,-0.0005292454610409748,0.0006256348041984776,-0.0015206862743218405,0.0010778386559244244,-0.002761490606491947,0.0014624642777693578,-0.003974664005412286,0.0017096013499476957,-0.004882962638245931,0.0017967440949997015,-0.005264507747494296,0.0017461860838233994,-0.004995562676734267,0.0016138591631872255,-0.004073287726310532,0.001471422785010201,-0.002615710374986556,0.0013840585895416914,-0.0008397087146181293,0.0013885814236991052,0.000979199332033286,0.0014786638756824231,0.0025587416478635968,0.0016038992716253771,0.0036642851868125877,0.001685708939542594,0.0041547980839090936,0.0016465286146827207,0.004010042183346554,0.0014422921019840113,0.0033326137089286266,0.0010855811350698671,0.002324828526546956,0.0006499020364351564,0.0012466898492955718,0.0002528099068778227,0.0003645127383249938,2.2334094726598307e-05,-9.664372671519815e-05
10,0.32982880273003734,12683603.327084167,185.986346190502,9.972020300472032,1.0631161652580512,0.1342932020423565,0.026711206896089426,0.003127864901511091,1.1067618102745058,1248.1992396381345,1.8765605036025192,2.5457175661383795,83.02565547911672,1.8955445784356684,0.2263852132825548,98.75805983383111,60.193792180447275,-2.3950001532528295e-05,-7.872284912834812e-06,0.00025455859364612667,-0.0006167623230497346,0.0007331717815557047,-0.0017768032663071829,0.001259924519157775,-0.003230914091979757,0.0017086172085317034,-0.004655477920675779,0.0019983810483717567,-0.005725985945544479,0.0021025613493300885,-0.006182282710183993,0.0020456535824920343,-0.0058786388895270564,0.0018911297455366913,-0.0048103583276884205,0.0017217131374041962,-0.003113855296893614,0.0016141725684404265,-0.0010412419478399834,0.001613514729604599,0.0010862210436783158,0.0017146333765208888,0.0029384485841107196,0.001859950887866919,0.004240163250698548,0.001957367178537959,0.004825040257466652,0.0019147319113016232,0.004667974961407801,0.001678864326170699,0.0038876807609291796,0.0012635919048749836,0.0027195954547287187,0.0007550057993785508,0.0014666924111253273,0.0002912068931980928,0.000439687401966078,2.2655988331745927e-05,-9.828339089862431e-05
