时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,5.293014322802942,-7.140399446913867e-07,-8.834657376112312e-08,5.432713454666066e-07,-5.2817791538288896e-06,3.521423236823176e-06,-1.715283790158067e-05,7.004737944480591e-06,-3.2737979798324765e-05,1.0028030370310382e-05,-4.83942660929809e-05,1.1975844050361833e-05,-6.050571476290828e-05,1.2654020065682805e-05,-6.617223570926222e-05,1.2260589418310434e-05,-6.375231226770121e-05,1.126684272157234e-05,-5.315787899507367e-05,1.0242099962368535e-05,-3.584982394521088e-05,9.66432069060076e-06,-1.4538030297344181e-05,9.76381692954781e-06,7.355316173419896e-06,1.0444791777762685e-05,2.6366372004011493e-05,1.131384095163837e-05,3.966454169356475e-05,1.1814987956957128e-05,4.559881539997533e-05,1.143470041966489e-05,4.4006104468711844e-05,9.911713103686236e-06,3.6219321959260874e-05,7.378954529665175e-06,2.4773352820724007e-05,4.384325052342926e-06,1.286918751330299e-05,1.7665579487027602e-06,3.704378633544892e-06,3.5160053462058354e-07,-1.63635629202084e-07
3,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,11.812521700050917,-1.5943167387550823e-06,-1.9604965151561322e-07,1.5573612069217192e-06,-1.2968128135423308e-05,8.936663510074595e-06,-4.2263258133057984e-05,1.757025877718701e-05,-8.078226643931667e-05,2.5070107204328038e-05,-0.0001194936800702372,2.9907593467772613e-05,-0.0001494013889817735,3.159696810612814e-05,-0.00016327493401135723,3.0625746922450734e-05,-0.00015701402205099343,2.8162115666052273e-05,-0.0001303927002489456,2.5621624420392837e-05,-8.705396246510736e-05,2.4196292113832235e-05,-3.376451021139456e-05,2.4463013903617718e-05,2.0923970882180914e-05,2.6183877924127134e-05,6.835053886327606e-05,2.8373713480566075e-05,0.00010143364558797323,2.9636375862761863e-05,0.00011604019446238759,2.867940429235088e-05,0.00011176062438556434,2.4843021230713096e-05,9.193373110504535e-05,1.8459473159147463e-05,6.29166562384249e-05,1.0907857175104873e-05,3.275093663045737e-05,4.307647049174612e-06,9.494991993575517e-06,7.843718676213928e-07,-3.6665972406450503e-07
4,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,18.98510261011574,-2.564037180932831e-06,-3.1250992668099287e-07,3.2985007351191314e-06,-2.35665204417389e-05,1.684342668862602e-05,-7.710180638482102e-05,3.269211627094501e-05,-0.00014760416480747132,4.6471506365606546e-05,-0.00021848899488791977,5.537159585774777e-05,-0.0002731752698818106,5.849204739481293e-05,-0.00029830527737119373,5.671910191096133e-05,-0.0002862878518493995,5.2194388357114874e-05,-0.00023669144691252888,4.7523839256881444e-05,-0.00015624661326133125,4.4911661143842273e-05,-5.747537830005137e-05,4.543242422904583e-05,4.3782664627324214e-05,4.8651885396429397e-05,0.00013147370590558028,5.274255197366456e-05,0.0001924624314719768,5.510349064339315e-05,0.0002190767234919177,5.331949735461115e-05,0.00021055363026785713,4.615258160663038e-05,0.00017309501487479,3.421860565643057e-05,0.00011852423024128047,2.009435002698373e-05,6.182382217006722e-05,7.754961084144842e-06,1.8055158395359192e-05,1.2598884099464998e-06,-5.92635671308174e-07
5,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,26.721842323847376,-3.6121211957598788e-06,-4.3438946604781896e-07,6.322911692459873e-06,-3.892855892156672e-05,2.8934691467806415e-05,-0.00012789462093016374,5.538657611738752e-05,-0.0002452454569965629,7.84045119144123e-05,-0.000363287084265034,9.329792325626422e-05,-0.00045422561920552127,9.854925429868215e-05,-0.0004956142634514806,9.561558067504568e-05,-0.00047466489602782054,8.805714945339825e-05,-0.00039062164225641083,8.02316753724138e-05,-0.0002547888940826785,7.585027092309308e-05,-8.824166411885413e-05,7.674478392089987e-05,8.233060592455592e-05,8.220601798199991e-05,0.00022985181588662992,8.915477337382526e-05,0.0003321483852465766,9.317834073548859e-05,0.0003762561767247983,9.016067219919849e-05,0.00036087832659399325,7.798050341349449e-05,0.00029649715287182794,5.7676141391737987e-05,0.00020312463761291486,3.3634980028647465e-05,0.00010616459890044097,1.264829053709426e-05,3.123111611306224e-05,1.7716106367028516e-06,-8.410798033156531e-07
6,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,36.3843798392419,-4.926324072171149e-06,-5.764447737187803e-07,1.3199076186741212e-05,-6.876160071329886e-05,5.3641019431204343e-05,-0.00022710696978198288,0.0001009127598226946,-0.00043639652475449564,0.00014209327069424394,-0.000647088998844027,0.0001688240617936427,-0.0008092331549636001,0.00017835870088457893,-0.0008823546721805961,0.00017321817109302177,-0.0008433058645463258,0.00015968817829412353,-0.0006906164814950843,0.00014555083031145822,-0.00044460381545552994,0.00013752736440061805,-0.00014328761302712843,0.0001390288621911651,0.00016508677029188494,0.00014887913863242185,0.00043149327039969707,0.000161539003004165,0.0006157171352479973,0.00016894988484409442,0.0006941970371523636,0.00016352695832849015,0.0006645286024459992,0.00014132091251637608,0.0005457118423359873,0.00010420198410327642,0.00037411088319540226,6.02213605608063e-05,0.00019598786515857657,2.1882419776842543e-05,5.814252955161776e-05,2.4073441166735498e-06,-1.1637858416814899e-06
7,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,43.5575563565688,-5.909768554363077e-06,-6.664068070061439e-07,2.3007670255391148e-05,-0.00010712825645691294,8.65291728485168e-05,-0.00035530086354064634,0.00016070061924022358,-0.0006839265572756384,0.00022538955776320264,-0.0010151780810384277,0.000267558759695672,-0.0012702890002560005,0.0002828471091133751,-0.0013852431152924175,0.0002750285667980787,-0.001323262408201886,0.00025376703879220584,-0.0010817694634465945,0.00023120892815952265,-0.0006926482276437666,0.0002180461479470301,-0.00021586888014317067,0.0002199173861189454,0.00027227408176321217,0.00023522342401320205,0.000694086577970796,0.0002553051743154446,0.000985696514223615,0.00026729186341739933,0.001109554841856434,0.0002589212647429307,0.0010616615596629087,0.00022371897001921732,0.0008720269990306394,0.00016460145216046373,0.0005983116505858671,9.447238629248278e-05,0.00031402545491257273,3.341393114003943e-05,9.372382653082604e-05,2.874212811664184e-06,-1.4218701488415626e-06
8,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,47.93176472468401,-6.5170162595088095e-06,-7.068631551888029e-07,3.334279959487975e-05,-0.00014560890442840452,0.00012002349701533789,-0.0004843032045110496,0.0002211505621848245,-0.0009335366840706129,0.0003094531727108286,-0.0013870830067090102,0.00036727661809313666,-0.0017371197535883591,0.00038861079333538947,-0.001895783218111465,0.0003783385489894834,-0.0018123559282666334,0.00034932965867432364,-0.001482893849575632,0.0003180168714658328,-0.000950683675721383,0.0002991528216268968,-0.0002976154919420645,0.00030082719097360573,0.00037184428685987236,0.00032124773740980535,0.0009510716852192885,0.00034873584965386867,0.001352193373647788,0.00036552518884624784,0.001523333203886983,0.0003544727651635798,0.0014586429151080987,0.0003063911659288467,0.0011990236331205655,0.00022518381604016378,0.0008234505671227095,0.00012869343557905016,0.0004328196131937867,4.473801378917159e-05,0.0001296781575807381,3.1544068385260984e-06,-1.596176987708667e-06
9,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,50.85267581046192,-6.929350231134624e-06,-7.216342541469661e-07,4.3931360437166973e-05,-0.00018414776993747186,0.00015375292104389065,-0.000613840560711075,0.00028178953959013343,-0.00118469891215447,0.00039372863996848184,-0.0017621004749847112,0.0004673776108286511,-0.0022090382265422025,0.0004950489794026489,-0.002413576697518035,0.0004825813377412258,-0.0023107789511717276,0.00044585591595111876,-0.0018950405188165368,0.00040548633056505524,-0.0012207901784389292,0.0003803544086690079,-0.0003916622921554816,0.00038121937392907425,0.00045974932702392575,0.0004063426373616885,0.0011977843713196223,0.00044116012882321876,0.0017103341063325571,0.00046296473172898666,0.0019308950997350696,0.00044955645990406697,0.0018514767488724292,0.0003888510696567687,0.0015236350464427,0.00028565651078526415,0.0010475065728988162,0.00016279546490578875,0.0005513151259033,5.591978856272341e-05,0.00016565315077957116,3.3379379947537757e-06,-1.7267972707346137e-06
10,0.14772650896067446,3083045.10300141,74.35665082936742,0.7261803949673344,0.7489587163356538,0.05860714274830349,0.01372822029044639,0.0016875421174141563,0.7610145877700996,1568.0527228825104,3.701039882626502,8.73828010993195,632.3664874496064,7.4191608867425884,5.13857283717945,619.1553225634558,52.92798100356095,-7.228696002622104e-06,-7.214697730969516e-07,5.4653217768981525e-05,-0.00022273108369151777,0.00018756102837888685,-0.0007438355691879656,0.00034242438955511134,-0.001437277732509039,0.000477992778024221,-0.0021400850056669074,0.0005676224867877959,-0.0026859722388007704,0.0006019244487660869,-0.0029387273718354816,0.0005875379783155887,-0.0028189127989138784,0.0005431523188484883,-0.002318946831909255,0.0004934429878303536,-0.001504097216404322,0.0004614777577619612,-0.0004995107324643903,0.00046090074913816777,0.0005341961224373492,0.0004902822566596376,0.0014322714506400517,0.0005323242700646171,0.002058166710374733,0.0005593521764502973,0.0023304520239463486,0.0005439435552223619,0.00223867233725955,0.0004709314684299862,0.0018447511467909786,0.00034593170664513694,0.0012697675987783361,0.00019676682519646034,0.0006691477524791586,6.699908268868108e-05,0.0002015258697086639,3.4654679968017587e-06,-1.8318824527526816e-06
