时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,13.306622921863433,-5.516348915261239e-07,-3.1791257125642215e-07,6.214228445371964e-06,-1.4618957305638176e-05,2.034541302880691e-05,-4.3130995713727306e-05,3.635445292369011e-05,-7.931869063570962e-05,5.0046906717375486e-05,-0.00011480060764131404,5.8671879298397706e-05,-0.00014122024112346175,6.139430060260562e-05,-0.00015189204181673496,5.922658075176305e-05,-0.00014311755056522205,5.447465548486557e-05,-0.00011489501494877847,4.987118862084694e-05,-7.091697943787798e-05,4.7635923620694514e-05,-1.7857226312576415e-05,4.8728806713480046e-05,3.5918489666983506e-05,5.251987588538061e-05,8.197659297018997e-05,5.699049270806732e-05,0.00011345839098694274,5.942368030953663e-05,0.0001264103545674615,5.7383065817295796e-05,0.00012052767555560479,4.967553003089698e-05,9.916150888850318e-05,3.697838148524069e-05,6.858898573521925e-05,2.1912411052181997e-05,3.671497428385499e-05,8.494188801016938e-06,1.1448139547182062e-05,5.431624917183379e-07,-3.324860641970997e-07
3,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,30.14824154181186,-1.253283716864721e-06,-7.144398063417089e-07,1.983421375563139e-05,-4.339070774191555e-05,6.27053206462343e-05,-0.0001294606667645624,0.00011132791020165633,-0.0002389805965731301,0.0001529849571625893,-0.00034648291604284017,0.00017929324848274015,-0.00042644163231009497,0.00018766711119815233,-0.0004583708612867876,0.00018113724604695524,-0.00043089587351525605,0.00016669612262869198,-0.0003439664272938622,0.0001526775005266208,-0.00020887597412518912,0.0001458882095229204,-4.609246260865845e-05,0.00014930035967458438,0.00011869417118746443,0.00016100394811845953,0.0002595701494555906,0.00017479564074978718,0.00035546597024982125,0.00018229436709961454,0.0003942647081597103,0.00017597138328881787,0.0003750940313021077,0.00015214202648297125,0.00030833542913907515,0.00011291607597589813,0.00021336134096066808,6.641551858806144e-05,0.00011452514286092694,2.5066622636720025e-05,3.618526330247172e-05,1.2274335682018718e-06,-7.591293444990632e-07
4,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,50.00051009290584,-2.0939145053609842e-06,-1.15821253063317e-06,5.9015016555164056e-05,-0.00011869940916617709,0.0001792525854716988,-0.0003591760875428568,0.00031574719199266917,-0.0006662342449330693,0.00043299481334051475,-0.0009682764610789924,0.0005074555564005366,-0.001193064277880295,0.0005316505926830047,-0.0012823807939301246,0.0005137464906886552,-0.0012037076638417676,0.0004731202226537044,-0.0009566286067804823,0.00043319107674548966,-0.0005729850210703673,0.00041339654973093597,-0.0001108122482695529,0.0004225312013307691,0.0003568401902065971,0.0004555103500006243,0.0007561527302352697,0.0004948024103275454,0.0010270691350818977,0.0005163815691105909,0.001135119628092445,0.0004984990941054688,0.001078001798718461,0.00043045006051563544,0.0008855383163818589,0.00031830136321419727,0.000613105241309695,0.00018547260939596872,0.0003300982115114921,6.766770170079593e-05,0.00010582310943491894,2.021034955182564e-06,-1.2849731800130016e-06
5,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,59.271131881768646,-2.503808965086799e-06,-1.3346987244640565e-06,0.00010713202790508845,-0.00020752271516462267,0.00031943209359232364,-0.0006325998865128718,0.0005605099715274863,-0.0011767610972410907,0.0007680697379183816,-0.0017132924917556403,0.0009006983531148306,-0.002113841152156369,0.0009448592188696171,-0.002274694985951739,0.0009142395998509255,-0.0021376289037466152,0.0008423493809880399,-0.0017013500611685944,0.0007703549533943521,-0.0010218701511613881,0.0007331129210871567,-0.00020189928226559242,0.0007471474777372487,0.0006288614414549322,0.0008043533794933834,0.0013390067217232894,0.0008739927489671542,0.0018214117040732353,0.0009130800321560421,0.002014486903180793,0.0008822439594197251,0.001914022669982625,0.000761836990821194,0.0015730514316802395,0.0005625194107765126,0.0010899768851686717,0.0003262771966100572,0.0005879269294700399,0.00011702775097704722,0.00018979101406242633,2.374919403792008e-06,-1.5595657617158416e-06
6,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,63.91086685652533,-2.723283518191284e-06,-1.3974139180215411e-06,0.00015579917969482058,-0.0002965242503250642,0.00046017159884689286,-0.0009078002551594074,0.0008058527410605718,-0.0016920306147282492,0.0011041005267049368,-0.002467128634860397,0.001295843137806034,-0.0030481262901894896,0.0013612608694780538,-0.0032852646102325676,0.0013189075707603652,-0.003094077423917028,0.0012157092071906094,-0.0024718776739772034,0.0011102789278047672,-0.0014983746722037545,0.0010532670854879694,-0.0003206378958332061,0.0010698211740836259,0.0008749954375097017,0.0011497405657381206,0.0018991954753315278,0.001249526883392217,0.0025971849905840273,0.0013069947954252852,0.002879646270149024,0.001264445378997044,0.00274000834545493,0.0010925977952136326,0.002254233878795242,0.0008064305408661272,0.001563545933732861,0.0004666928454428158,0.0008445942528342345,0.0001658976244165781,0.00027372979299552006,2.5383966693072974e-06,-1.7205487748591366e-06
7,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,66.67539197872938,-2.8656883947588674e-06,-1.413895964652789e-06,0.00020463766599932646,-0.0003857726290601701,0.0006008920448978167,-0.0011846313587604617,0.001050962461769282,-0.002211625708412594,0.001440062214134775,-0.003229153274109011,0.0016917310080792312,-0.003995253319929692,0.0017796725938188443,-0.00431366641584508,0.0017266434654607313,-0.004073198783580886,0.0015922163796652984,-0.0032692294888251243,0.0014520765472231755,-0.0020045923556307444,0.0013729814843632298,-0.000470230894977271,0.0013895805624740307,0.001091101751165668,0.0014905466950417604,0.0024319966032794174,0.0016201526250760943,0.0033495499137739405,0.0016968620878407025,0.0037261132348511816,0.001643993455849297,0.0035522077378387306,0.001421928602665971,0.002926286320479279,0.0010496155308531898,0.002031994609790245,0.000606659675270296,0.0010991205469435517,0.00021445826005735496,0.0003572319980461247,2.6249389777263544e-06,-1.8352093528477157e-06
8,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,68.49545568084389,-2.969312975303833e-06,-1.406958400109919e-06,0.0002535199053498097,-0.00047529389092109396,0.000741394073278103,-0.0014630569130362804,0.0012955457087759363,-0.002735439893809963,0.001775564570839256,-0.003999219407738655,0.0020879014673458214,-0.004955098467836707,0.0021996150443618213,-0.0053598851553378875,0.0021370054723813497,-0.005075178378602047,0.001971501278947225,-0.004093873910786287,0.001795444756067794,-0.002541326271150953,0.001691975563522149,-0.0006518135482993842,0.001706109205827417,0.0012757834890620367,0.0018263812112379544,0.002935881440022539,0.0019854124998174346,0.004077002623248721,0.0020822113441725455,0.004552550928141791,0.0020204813894935947,0.00434954764127568,0.0017495509639559397,0.0035884380628361857,0.0012919479987823764,0.002494838477082059,0.0007461789289481372,0.0013512488988300848,0.00026278238920030147,0.0004401855667318007,2.6728774300893606e-06,-1.9262891097902625e-06
9,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,69.77158337500418,-3.050628787788567e-06,-1.3864293756596838e-06,0.00030238252639468936,-0.0005650852045487028,0.000881562397093446,-0.0017430180419758087,0.0015394124343422028,-0.003263349333988646,0.002110333597792256,-0.004777155597357498,0.0024840126359487657,-0.005927480988114718,0.002620719783414593,-0.006423779895844964,0.002549649875931212,-0.0060999669967788115,0.0023532821654733685,-0.004945902214512222,0.002140167503912518,-0.003108844458779085,0.002010066598632305,-0.0008658394981047044,0.0020192073546816576,0.0014284322165522695,0.002156988634243508,0.00341015449987907,0.0023449920599933256,0.004778845058142796,0.002462705228535873,0.005358333703118009,0.002393606476148652,0.00513152310332119,0.002075247180142466,0.004240323276149553,0.001533315154414681,0.002951844475811323,0.0008852264629540386,0.0016008544844198316,0.00031089572174840334,0.000522537398789874,2.6987157608773598e-06,-2.003571632959555e-06
10,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,70.70392349969163,-3.1178607644176713e-06,-1.357230758806868e-06,0.00035118532851122284,-0.0006551308417156678,0.0010213101271409051,-0.0020244407194267844,0.0017824053466729561,-0.0037952105114754326,0.00244412990903232,-0.0055627612028554775,0.0028797556498247096,-0.006912173378463084,0.0030426468668631928,-0.007505134991936943,0.0029642560585194924,-0.007147401835252734,0.002737296802981073,-0.005825244998042928,0.002486048510613246,-0.003707205417062192,0.002327096013270556,-0.0011125112765176977,0.002328705969707476,0.001548715856392336,0.0024821495398934853,0.0038543995426742013,0.0026986136891603706,0.005454637712861782,0.0028380375496358558,0.006143054060778325,0.0027630854914539806,0.005897795029254183,0.0023988041779903,0.004881687816734507,0.0017735949456615166,0.0034028448583338063,0.0010237597559652665,0.0018478456910407204,0.0003588029899719315,0.0006042509904753585,2.7107099060162307e-06,-2.071940241812035e-06
11,0.9150411445508698,9458627.685247015,31.236791260968857,5.1195560033317555,1.072382860088687,0.15995019912892944,0.050895498907977885,0.002574860402557269,1.1329748553607653,1539.9910181033486,10.0,10.0,1000.0,10.0,10.0,1000.0,71.40374786191578,-3.1755758627276733e-06,-1.3221086489992529e-06,0.000399898324548149,-0.0007454088143147332,0.0011605629464004508,-0.0023072419199665576,0.0020243816618279167,-0.0043308658564206745,0.00277672898884029,-0.006355813409890534,0.003274834614158986,-0.007908914206085098,0.003465065661872911,-0.008603685123095872,0.0033805088897391187,-0.008217250852037214,0.0031232864493799498,-0.00673174164382382,0.002832896092674158,-0.004336355176652033,0.002642913764655988,-0.001391902733781708,0.002634449490434709,0.0016364382033991732,0.0028016614050313774,0.004268332350205659,0.0030460165839753003,0.006104058801323261,0.0032079148601449254,0.0069064001859739255,0.003128641029800843,0.0066480942561438485,0.002720007120690561,0.005512322450994573,0.00201265763214567,0.003847696567626494,0.0011617257969516962,0.0020921427043410863,0.00040649877193561546,0.0006852960193956826,2.713457672525945e-06,-2.1341042510489855e-06
