时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,4.370735514079108,-8.698962831052853e-06,-5.959195733629464e-06,-9.966562868943445e-06,-2.1266740638166478e-05,-3.897811711137878e-06,-4.0898889214955175e-05,2.612064221586001e-06,-6.420407332738295e-05,8.253128091031878e-06,-8.807785592121484e-05,1.2181670732950505e-05,-0.00010961098160569312,1.4076742047305947e-05,-0.0001264116765324341,1.4089636258052268e-05,-0.00013685884796250255,1.2723388551899827e-05,-0.00014023795686352698,1.0667533448325765e-05,-0.00013674557243739872,8.620987432576703e-06,-0.0001273662457287265,7.138066706606972e-06,-0.00011364565762994228,6.528336984479994e-06,-9.73997405488234e-05,6.829092592421171e-06,-8.041051892177842e-05,7.850967678188238e-06,-6.4162488927904e-05,9.276739825381019e-06,-4.966687633002308e-05,1.0777081100314791e-05,-3.7404549572814906e-05,1.2100675132871842e-05,-2.7396548043064848e-05,1.3102605159026705e-05,-1.9383330047769768e-05,1.3715709841594941e-05,-1.3084239087507444e-05,8.670849231153715e-06,-6.0001351061796765e-06
3,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,14.987575589865864,-2.991168066262672e-05,-2.043714680241952e-05,-3.38544595219894e-05,-7.39774626218597e-05,-1.220125931077872e-05,-0.00014346725295375052,1.1179010278583061e-05,-0.00022646930192235344,3.153857844045004e-05,-0.00031175997959220146,4.576423586395224e-05,-0.00038861738189072993,5.2640994162231634e-05,-0.000448126282257771,5.2700388785115925e-05,-0.00048420858622143004,4.778842188979354e-05,-0.0004941947899454942,4.045125596514066e-05,-0.0004788795445654057,3.326581980445418e-05,-0.00044207433929160505,2.8251655215408708e-05,-0.00038974856795550574,2.648532219428259e-05,-0.0003289115033815135,2.7994264839462992e-05,-0.000266430960724772,3.1936980370639766e-05,-0.0002079972304215229,3.699667460549672e-05,-0.0001574165395033646,4.185091617785798e-05,-0.00011635476277803852,4.55534754417436e-05,-8.45671082402731e-05,4.768847755862761e-05,-6.0542789527244666e-05,4.8304739895857815e-05,-4.245097270100819e-05,2.9803338172609777e-05,-2.0596615612356336e-05
4,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,23.74580927057559,-4.7503479574379404e-05,-3.238113335649733e-05,-5.3003060726183746e-05,-0.00011906708048743386,-1.7255999730421938e-05,-0.0002328427918187944,2.15388393796704e-05,-0.00036943588296887774,5.5445658133873004e-05,-0.0005101086375748794,7.9187322527041e-05,-0.0006366742380966858,9.066648135929555e-05,-0.0007338720522905882,9.07559072562244e-05,-0.0007912553170906955,8.258252100343097e-05,-0.0008042646484951227,7.047741353613297e-05,-0.0007743801329218184,5.881544486498728e-05,-0.0007083715285586117,5.098615952015064e-05,-0.000616804597807695,4.8714472745858486e-05,-0.0005120711719596765,5.187397385662795e-05,-0.0004062886430942989,5.8812836598413435e-05,-0.00030943941073413545,6.706991670465177e-05,-0.00022807964768537637,7.424074905202227e-05,-0.00016483551268088638,7.870275534002632e-05,-0.00011875371654432883,7.994888610363276e-05,-8.638585349648174e-05,7.852550899194067e-05,-6.340209691918141e-05,4.731214166619661e-05,-3.2665237623834285e-05
5,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,30.982900374267505,-6.210762947053614e-05,-4.224833447045538e-05,-6.819534856456437e-05,-0.00015798313780161866,-1.9570744507027477e-05,-0.0003114708980190862,3.3399501822620354e-05,-0.0004964984042272881,7.981621432120667e-05,-0.0006873326938634263,0.00011235366945113034,-0.0008586728742417604,0.00012806412157308707,-0.0009891371743351136,0.00012813901461643582,-0.001064051767242612,0.000116931758402064,-0.0010770675791578824,0.00010048727490364404,-0.0010304404355456279,8.489753352633757e-05,-0.0009339968006717999,7.483147437865302e-05,-0.0008030076673233726,7.255896031345978e-05,-0.0006553532513444834,7.768362326562899e-05,-0.0005084764858715199,8.762363983071827e-05,-0.00037666269772260776,9.867153493639968e-05,-0.00026912647000546625,0.00010728865896401922,-0.00018922797316702088,0.00011121143572432593,-0.0001349216714386627,0.00011000049233774925,-0.000100270800463171,0.00010500215865451918,-7.772982364473475e-05,6.183171606243828e-05,-4.266095985646894e-05
6,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,37.273769901581815,-7.485591620146512e-05,-5.082093015397568e-05,-8.069057904407301e-05,-0.00019358235330051363,-1.959025676703771e-05,-0.00038482156188693957,4.715895403470911e-05,-0.0006161447253630392,0.00010575474490777732,-0.0008549353976045604,0.00014684237207099777,-0.0010687755591309005,0.0001666268542648631,-0.0012301127307551868,0.00016662262511941728,-0.0013200148846134506,0.00015242112206870684,-0.001330381132660519,0.00013179522527040203,-0.0012643772050097962,0.00011255747052162644,-0.0011351169695057361,0.00010063164259204772,-0.0009628772793821913,9.876590670586575e-05,-0.0007713481762582039,0.00010618278427052341,-0.0005835770663123517,0.00011923026886723884,-0.00041832269213346095,0.00013281938441173305,-0.00028746435855936983,0.00014219348340159155,-0.00019490397663577468,0.0001444624955869891,-0.00013710619727003506,0.00013940225020299922,-0.00010506530566482167,0.0001294476853141652,-8.730121744866562e-05,7.449044401079642e-05,-5.1370863867795634e-05
7,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,43.67848461839825,-8.789025998255221e-05,-5.954058943331338e-05,-9.240881897107031e-05,-0.00023224051798489002,-1.6895067774451792e-05,-0.0004662203549132099,6.578613909433384e-05,-0.000750149932026939,0.000138455101214824,-0.001043344475464333,0.0001893839307924073,-0.0013049454822945214,0.00021379062095705723,-0.0015000514579375727,0.00021358856699459859,-0.001604680893179689,0.00019585605211431577,-0.0016087356115429435,0.0001704318298926719,-0.001516644791025974,0.00014717035853336051,-0.001345705297717559,0.00013345201942903889,-0.0011224821686609675,0.00013251296413998242,-0.0008779172771973987,0.00014299512921329586,-0.0006420045341235982,0.0001598182786324725,-0.0004389725480164636,0.00017610589419601736,-0.0002838305534783406,0.0001855712739094977,-0.00018086536387031083,0.0001846113704158354,-0.0001242924189602994,0.00017343668760075236,-0.00010079756113752476,0.00015610063624403356,-9.344501980071785e-05,8.741287075960688e-05,-6.026338188558254e-05
8,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,49.366835301869315,-9.951854072071289e-05,-6.727346122349821e-05,-0.00010157085377764428,-0.0002695032771256686,-1.121396627469622e-05,-0.0005465745453480077,8.784729137410894e-05,-0.0008836377740632487,0.00017494463392861548,-0.001231585039504182,0.00023589917360598576,-0.0015406841245438347,0.00026492335169737676,-0.0017683008378640017,0.00026437716998660963,-0.0018851832977293535,0.00024292625794809162,-0.0018792549905807684,0.00021259838111604585,-0.0017564943517907312,0.00018539357887088136,-0.0015389065320083723,0.00017018828709338383,-0.001260031372950324,0.00017064878633830943,-0.0009587932512172231,0.00018467537526610338,-0.0006727702179767489,0.00020552693851364276,-0.0004320737800047539,0.0002243024267712291,-0.0002549322887646966,0.0002330303900363723,-0.00014573764495899843,0.00022740185184229181,-9.582657735388356e-05,0.00020827588989194172,-8.667826871152317e-05,0.00018173485000455604,-9.486015614351611e-05,9.891771968513522e-05,-6.818808031827642e-05
9,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,54.31934986816755,-0.00010968769559165309,-7.399187085706288e-05,-0.00010814603814814185,-0.0003051888987190651,-2.6359224057533662e-06,-0.0006253834560465969,0.00011308634194109472,-0.0010156141359625372,0.00021479317454029038,-0.001418069083483347,0.0002858176428951496,-0.0017738257256945554,0.00031937345271124454,-0.0020322598316814358,0.0003183177753091612,-0.0021587339230014846,0.00029298630610074535,-0.0021392739577971373,0.0002576887638058881,-0.0019816988540450925,0.00022664320022295457,-0.001713195289452911,0.0002102400725407008,-0.0013748647983378246,0.00021251336593207254,-0.001014215609004701,0.00023047506424772284,-0.0006769114702982861,0.00025552052766119487,-0.00039924071086039044,0.0002765250705456876,-0.00020265899358257376,0.00028371277185982625,-9.135649192547161e-05,0.00027209559785891063,-5.319744231221317e-05,0.000243387868905868,-6.365520982113128e-05,0.00020606732663569475,-9.191438681386799e-05,0.00010895381907103127,-7.511427299991124e-05
10,1.0297921413508984,45847077.96038028,8863.635961363194,216.1461310922927,0.6263669620390151,0.07575175508894275,0.03864972585639477,0.00749970908183464,0.6500039770506226,299.3629924549558,3.829532008742332,2.662359728156222,509.71718565063964,3.829532008742332,2.662359728156222,509.71718565063964,58.91804165904443,-0.00011917359482808917,-8.021229950168681e-05,-0.00011257044655963628,-0.0003421734654739765,9.626966064538206e-06,-0.0007089961157849942,0.00014360256755856904,-0.0011566213561673038,0.0002612223577558829,-0.0016175465189703162,0.0003431131351033249,-0.0020226312284981032,0.0003814328525856992,-0.0023124109676200487,0.0003796339111653316,-0.0024463705705972207,0.0003499367606584336,-0.0024086158449696314,0.0003092007218436978,-0.0022092770484428634,0.00027410235916753753,-0.001881620625187334,0.00025667817728808296,-0.0014754888755466099,0.0002612939902506662,-0.0010482286197992885,0.0002838573683444639,-0.000654689489163203,0.0003135544015264603,-0.0003380694395289483,0.0003366699545201713,-0.00012326519237376756,0.0003413731291695742,-1.390317179600929e-05,0.00032198321795703883,6.510992367879097e-06,0.00028135229700735557,-3.0229552146429108e-05,0.00023090280884820028,-8.45069118481557e-05,0.0001182867833285392,-8.15744416689211e-05
