时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,11.596747787472868,-2.641056995535701e-06,-7.336413808254926e-07,1.0297378330169569e-05,-1.8202521503444584e-05,4.126145395796183e-05,-6.177522411798903e-05,7.930522529201023e-05,-0.00012111724028237126,0.00011368112721057391,-0.00018200666637409676,0.00013660814139679315,-0.00022941177777107438,0.00014498896254812083,-0.0002506854044414462,0.00014068798531142196,-0.00023827032725258618,0.00012934051826067768,-0.00019131385207724646,0.0001180769503940637,-0.00011595697191051948,0.00011283484667932368,-2.4175845319319108e-05,0.0001161344304130856,6.86617059081663e-05,0.00012611564079694236,0.0001470496244290109,0.0001372241876148386,0.00019865713008523502,0.0001423213652197588,0.00021690112074938212,0.00013546733398598113,0.00020218946884263155,0.0001144125551924734,0.00016162659380890258,8.193688346135881e-05,0.00010730926982111445,4.5591193723043606e-05,5.3675738355125017e-05,1.5770904068427986e-05,1.4369499394230788e-05,2.6289638318862408e-06,-7.446767992169108e-07
3,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,27.419311712678407,-6.258100840123874e-06,-1.723318734639042e-06,4.981603150579621e-05,-7.507964988308804e-05,0.00018294073912044958,-0.00026095017316536136,0.000346940420895908,-0.0005158700294598776,0.0004956969909086946,-0.0007784653143664273,0.0005954416892436203,-0.000983155541116126,0.0006323958593108789,-0.0010744303721035185,0.0006141825518387189,-0.0010188518640332877,0.0005649561031526305,-0.0008123378341808172,0.0005157065786895381,-0.0004815966052712323,0.0004925467471554935,-7.918279630605074e-05,0.0005067887002913967,0.00032721338536411456,0.0005504507471820069,0.0006692070243439015,0.0005990993750762636,0.0008925336292966786,0.0006211608909315689,0.0009685471460703858,0.0005903663273193133,0.0008996636893308046,0.0004969099176141435,0.0007178013363952682,0.00035337869648859217,0.00047657125775849506,0.00019338104743669589,0.00023935754516079543,6.280616513304315e-05,6.564355887600203e-05,6.2060263938985e-06,-1.7726182543556716e-06
4,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,35.5661104215058,-8.146353779320775e-06,-2.209941650413796e-06,0.0001205807294193694,-0.0001680918878772259,0.0004246128683105458,-0.0005924595453727074,0.0007995971536098217,-0.001177365649465233,0.0011407986833621348,-0.0017820385743182333,0.0013710863392952996,-0.002255037391257838,0.0014581989293016193,-0.0024677808557031374,0.0014182099218904304,-0.0023424166964451914,0.0013052117278247158,-0.0018687222454923228,0.0011899583388025512,-0.00110756128482927,0.001133287102158084,-0.00017981319273850568,0.0011627912557702637,0.0007580614797880902,0.0012614468349457573,0.0015474511393735936,0.0013732975729575457,0.0020623368474958375,0.0014248085502004868,0.002236456116324442,0.001354250503588278,0.0020760408227771684,0.0011383740133478167,0.0016557086307903725,0.0008065675597620412,0.0010996581298633986,0.0004372734760285197,0.0005536283086739427,0.00013693705578734537,0.00015370224028183422,8.02749442366734e-06,-2.324604883628647e-06
5,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,38.75516760304792,-8.909304441707975e-06,-2.3800102389668442e-06,0.0001927561609885331,-0.0002611130586706927,0.0006677935780816398,-0.0009263945363654202,0.0012538832707620633,-0.0018462500483282097,0.0017883536633150501,-0.002799809816025117,0.0021511943105502695,-0.0035486323692329683,0.0022912244012243317,-0.0038900859488769234,0.002231573102162047,-0.0037011801948143783,0.002054721737218605,-0.002964880712129629,0.0018705626738963975,-0.0017754821457458539,0.0017755274500170436,-0.0003216587741740553,0.001815465358486447,0.0011512700676561015,0.001966249455221312,0.0023936040579716276,0.0021411703512807093,0.0032063105700895884,0.0022239849099182185,0.003484523297120505,0.0021158988109366826,0.003237969317903948,0.00177889985992357,0.0025840825125472413,0.0012589213642087921,0.0017176152950525141,0.0006799152459011336,0.0008661594944261466,0.00020967347627934654,0.00024181226681508188,8.723687208512085e-06,-2.560397257414045e-06
6,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,40.441438474335136,-9.332312305591947e-06,-2.454076868852757e-06,0.00026530047475985713,-0.00035442003656031785,0.0009110109541626757,-0.0012628051932975111,0.001707712613108515,-0.002522078045826196,0.0024356206388559524,-0.0038307522042571505,0.0029325311259559843,-0.004862533937510726,0.0031280543076004524,-0.005340060065174181,0.0030509958088704614,-0.005094706533574821,0.0028105406509335716,-0.004102025199204682,0.0025548657633611624,-0.002488857284742245,0.00241666358849656,-0.0005107393810037513,0.002461958462161518,0.0014986146367195706,0.002661600077826909,0.003198069982527196,0.002899167907327426,0.004314613982955337,0.003015226129739889,0.004703772453241584,0.0028724283606247954,0.004378161637309161,0.0024165931255521415,0.0034977124679942107,0.001709680032918381,0.002327239227636911,0.0009215053151009253,0.001175329445819163,0.0002817564141013702,0.00032933545094424163,9.080069357856194e-06,-2.7001647064505954e-06
7,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,41.4744733542989,-9.608536722136775e-06,-2.48638225134106e-06,0.0003379631404948257,-0.00044809117113115256,0.0011539097135379673,-0.0016017472925809694,0.0021605517165056575,-0.00320484139255843,0.003081847986664178,-0.004874790410473289,0.003714161422875084,-0.0061966473420539715,0.003967673594110653,-0.006817678973002343,0.0038755121826288047,-0.006523166584816498,0.0035718425418672472,-0.005280669386912108,0.003242185023534889,-0.0032486762306127817,0.0030560684220570294,-0.0007485698346583016,0.0031015738906900415,0.0017981471166220759,0.0033466549258582205,0.003958693278352819,0.0036463285951418276,0.0053851625979370035,0.0037975826399421204,0.005892421934550785,0.0036230690834652014,0.005495264525057159,0.003050987641516293,0.004395689597094498,0.002158704270797011,0.0029279982243768047,0.0011621468447751556,0.0014808712003292043,0.00035339240334058907,0.00041615249872387777,9.289809355929031e-06,-2.7980668709518823e-06
8,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,42.16321997226339,-9.808220818264513e-06,-2.4966622874202637e-06,0.00041063533535328655,-0.0005421349257530919,0.001396289020749483,-0.0019431715336554406,0.0026120424581774723,-0.003894405529209419,0.003726484396697904,-0.005931712371968767,0.00449536703827336,-0.007550721734220092,0.004809283991613942,-0.008322705453424293,0.0047043558660480505,-0.007986397852398006,0.004337978636479627,-0.006500802812149775,0.00393200469973006,-0.004055165274406572,0.003693294539996178,-0.0010356632272564977,0.0037338265862333795,0.002049099005897106,0.004020813403594111,0.004674565950173002,0.004381939941424498,0.006417057334322374,0.004570316753905479,0.0070496975100810605,0.004367181977108314,0.006588682592451229,0.0036816433608348486,0.005277601102951065,0.0026057836605561913,0.0035196383399754244,0.001401810902290672,0.001782652433816617,0.00042464218884375214,0.0005022086643587845,9.423166214292409e-06,-2.873795011415749e-06
9,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,42.64709702115741,-9.963054402370293e-06,-2.4938323082845396e-06,0.00048325095921604856,-0.0006365346659464437,0.0016379912228610108,-0.002286981985698091,0.003061872107857423,-0.004590565312743958,0.00436902634589503,-0.007001211668560942,0.005275476105208412,-0.008924386892967201,0.005652126405453906,-0.009854751086948372,0.005536789462990387,-0.009484041199842152,0.005108321882769509,-0.007762157206619513,0.004623832738284474,-0.004908223523259018,0.004327931043686518,-0.001372144279478408,0.004358286005652885,0.0022511247653145636,0.004683542189592751,0.005345199029587493,0.005105355104789049,0.007409774880142296,0.00533273742108046,0.00817512739222471,0.005104142931359972,0.007658035273111935,0.004308100745109436,0.006143165016929878,0.0030506627116024237,0.004101971964621496,0.0016404137142697216,0.002080570101064797,0.0004955166004510106,0.0005874650310332621,9.511850527621146e-06,-2.9362285417972e-06
10,0.7711983715715767,10745221.822709804,9.094947017729282e-13,30.961278456810884,2.301670455661144,0.4876165232181458,0.022446867373466413,0.005665083924778319,2.5531822360005556,1504.1116122736455,3.232830172579401,9.672553399854248,687.633260781355,3.232830172579401,9.672553399854248,687.633260781355,42.99810229346549,-1.008939376558507e-05,-2.482504165083812e-06,0.0005557608097500832,-0.0007312633880856094,0.0018788758616427486,-0.002633062423108729,0.0035097463508400105,-0.005293083514544387,0.005008989671082845,-0.008082938063011665,0.0060538347567715214,-0.010317217825999531,0.0064954556170180805,-0.011413361025706628,0.006372084062518661,-0.011015655358538079,0.005882250068347258,-0.009064360500043526,0.0053171829408987376,-0.005807621182842802,0.004959579200124107,-0.0017579873236584487,0.004974542235295016,0.002404039266819813,0.005334333889140341,0.0059702584705264225,0.005815951287695128,0.008362927047045958,0.006084168125879929,0.009268345595491553,0.005833328032900726,0.008703014854170849,0.004929886138200869,0.006992141699204049,0.003493062506579135,0.004674831194759446,0.0018778463324877963,0.0023745291042749123,0.0005660055534279843,0.0006718878069579058,9.572241906094181e-06,-2.9899463468002964e-06
