时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,6.287055378288195,-5.45165515376793e-07,-5.014926203958222e-07,1.2671069032448589e-06,-6.497361670766538e-06,5.389744219753122e-06,-2.0747795008378038e-05,1.0254601439851348e-05,-3.962147950729688e-05,1.4495324349750294e-05,-5.859279417264988e-05,1.7224041499034552e-05,-7.313378235368346e-05,1.815713474245604e-05,-7.96023578891022e-05,1.7578931474153306e-05,-7.594644308551376e-05,1.6169582284704595e-05,-6.208742819647627e-05,1.4747323268221704e-05,-3.991645563919789e-05,1.3990188805150415e-05,-1.2908509823947027e-05,1.4209441656510147e-05,1.4569300331252606e-05,1.5240835156113804e-05,3.8121671894733545e-05,1.6494253390180744e-05,5.419238763437007e-05,1.7157563947853238e-05,6.076193008803227e-05,1.6498226525655032e-05,5.773337196440338e-05,1.4166352833303962e-05,4.692724362658519e-05,1.0393852222014966e-05,3.168587739152921e-05,6.013803248947305e-06,1.6170123842659214e-05,2.2798077442852315e-06,4.48861778488785e-06,5.270388817194034e-07,-1.6589654719910348e-07
3,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,13.746260521827265,-1.192555378362048e-06,-1.0958904293333094e-06,3.3518255440334885e-06,-1.5955929988668037e-05,1.3638659031623536e-05,-5.137955085179722e-05,2.5780223417558197e-05,-9.836677803512359e-05,3.637290116713154e-05,-0.00014562358755645797,4.3198343027788814e-05,-0.00018181329180983976,4.554250121457565e-05,-0.0001977990128088005,4.4108791403050845e-05,-0.00018842258645555588,4.059249713342747e-05,-0.0001534766446379826,3.704015025720351e-05,-9.770212995331935e-05,3.515381178552362e-05,-2.9823773347441938e-05,3.571986710267251e-05,3.918520843810863e-05,3.832989786837024e-05,9.827413629615993e-05,4.1499608003869e-05,0.0001384972700675093,4.3179407766155966e-05,0.00015477174343818823,4.151611935054192e-05,0.00014685246507071905,3.5621605952614254e-05,0.00011932357670813118,2.6079684077613175e-05,8.060815343565312e-05,1.499802633058447e-05,4.120504295970989e-05,5.555203162418862e-06,1.1506696392034616e-05,1.1521618763217865e-06,-3.6366402975921106e-07
4,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,21.91233313975411,-1.9023089840842137e-06,-1.7454621280810453e-06,6.742429896830321e-06,-2.9649787900900187e-05,2.619686195431778e-05,-9.637942719039037e-05,4.915936294982442e-05,-0.00018503418257237618,6.921017229985941e-05,-0.00027425486248722593,8.215312030362792e-05,-0.0003425272510869416,8.662504839474323e-05,-0.0003724733852815657,8.393868021260272e-05,-0.00035425936377697805,7.728920589764869e-05,-0.00028746518478284797,7.055291693192489e-05,-0.00018109539268711014,6.697180384552902e-05,-5.175399007079894e-05,6.806020550806374e-05,7.965428755669766e-05,7.3056478268026e-05,0.00019206021463517232,7.913308236085073e-05,0.0002683956878027662,8.23644402922122e-05,0.0002989554309577353,7.918852412719395e-05,0.0002832670210392135,6.789045189619371e-05,0.00023008391969146322,4.958481771671693e-05,0.00015550539279001211,2.832040841586543e-05,7.962299955484317e-05,1.0214442985078513e-05,2.23714610823687e-05,1.8361026695690299e-06,-5.819341804743947e-07
5,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,30.83973465478671,-2.680220533675736e-06,-2.453118532120782e-06,1.2782279592604273e-05,-5.166039899109396e-05,4.73366486921068e-05,-0.00016973476427610204,8.811003662976105e-05,-0.00032688366349554755,0.00012374927720354496,-0.000485174736764397,0.00014681514515115632,-0.0006062567804663268,0.00015486090638485703,-0.0006590720955419489,0.0001501646168658502,-0.0006259901744074168,0.00013835432957171734,-0.0005061897614517765,0.00012631207744675458,-0.0003157114294925478,0.0001198493067865241,-8.422118520887164e-05,0.00012173577326129102,0.00015087373511396405,0.00013066980721613452,0.0003518260139137871,0.00014160529062011494,0.00048802222284463474,0.00014746825298903932,0.0005420308296183503,0.00014180149811182955,0.0005129798804094138,0.00012147356460103142,0.00041656419033144187,8.84807438931003e-05,0.0002816900090549899,5.0143841118588554e-05,0.0001444783251752732,1.7538309913286762e-05,4.0849064654774754e-05,2.582799813180509e-06,-8.241939199275494e-07
6,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,40.44332971178523,-3.5219339926504774e-06,-3.2080503129950897e-06,2.514874467924041e-05,-9.310117215735219e-05,8.86827567859221e-05,-0.00030964058702987113,0.0001635971918851095,-0.0005985029763584721,0.00022917585997940556,-0.000889953594904709,0.00027182355927685527,-0.0011131764619866382,0.0002869776272167853,-0.0012106276134058794,0.00027862837992350347,-0.0011494711661227165,0.000256913354620249,-0.0009279234503322586,0.00023441879757325325,-0.0005754337651287259,0.00022197871455594022,-0.0001467740322373106,0.00022497536802946238,0.0002887977211161739,0.00024126082090420418,0.0006612347371711755,0.0002615854039491962,0.0009135977685608655,0.00027271549747813646,0.0010133526429285998,0.00026242606543364674,0.0009587187867790799,0.00022469966574635534,0.0007787346995100431,0.00016320793723798856,0.0005270569318837497,9.169244157602141e-05,0.00027085313289752034,3.09595879254082e-05,7.708182702788131e-05,3.3834547228911123e-06,-1.0938039510037084e-06
7,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,45.803497780916686,-3.997093031718415e-06,-3.6226283324718563e-06,3.8277148779183275e-05,-0.00013515599588409587,0.00013146315735428768,-0.0004528368575033647,0.00024127381897548174,-0.0008774350595019778,0.0003375382058264067,-0.0013066638234460713,0.00040045695627135533,-0.0016363146585359292,0.00042325572259976836,-0.001781468554171923,0.00041147779334158594,-0.001693415678727471,0.00037963738440339155,-0.0013690828159170756,0.0003460458435701935,-0.0008513987907034409,0.0003267871417709334,-0.00022070435061350942,0.0003302028702706714,0.00042110876518472483,0.0003535748870391371,0.0009707350239080483,0.00038348251119754186,0.0013439759766457125,0.0004002876429561773,0.0014925017763742071,0.00038561417389468435,0.0014133277659110553,0.0003302661170383513,0.0011489856088404355,0.0002395637740084118,0.00077841320518271,0.00013392457191201506,0.0004006069179421308,4.428428608542257e-05,0.00011445063853850213,3.8277901564772915e-06,-1.253720183333447e-06
8,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,49.14539015689689,-4.298124556527308e-06,-3.875427691828448e-06,5.1637135243125e-05,-0.000177188059612461,0.0001744863041048979,-0.0005966702533678462,0.0003191837451549418,-0.0011583542145138731,0.0004462172711286583,-0.0017273675920788335,0.0005296754147875992,-0.002165913802545875,0.0005605244976499407,-0.002361399441434716,0.0005456558271645271,-0.0022488914149369666,0.0005037109280440102,-0.0018236771760752235,0.0004586024103675479,-0.0011418683781277306,0.00043177109955115666,-0.0003091918109714601,0.0004348149272088222,0.0005398422991232171,0.00046476595391013454,0.0012684996134440722,0.0005041923627108399,0.0017650069678297802,0.0005269721886969988,0.0019648645767182987,0.0005083346064619058,0.0018635423784598886,0.00043566606124677916,0.0015168128797577866,0.000315841714701278,0.001028748121417391,0.00017602574581395528,0.00053013561265726,5.742076605672686e-05,0.00015187420654074127,4.103035631564389e-06,-1.3612082972994955e-06
9,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,51.412413333267914,-4.506727832198377e-06,-4.042065752875139e-06,6.510064676000872e-05,-0.0002192192388550163,0.00021755603904994008,-0.0007410249598204463,0.00039705641701276976,-0.001440982874939292,0.0005548787235859118,-0.0021516724232474465,0.0006591063580096185,-0.0027015792629330793,0.0006984066432749854,-0.0029501813927975983,0.000680810471157149,-0.0028159865798473706,0.0006288216329152674,-0.002292270132443815,0.000571807593332772,-0.0014479718289904318,0.0005366536413485315,-0.0004139368628738392,0.0005385055055443196,0.00064281721548181,0.000574478722026461,0.0015520427957016055,0.0006233169621788888,0.0021741309327334207,0.0006523636581988549,0.0024280481842376446,0.0006302269082313383,0.0023073428090832643,0.000540634442889866,0.001880703287284586,0.000391901218895103,0.001277092608618881,0.00021797610344936663,0.0006589509691384515,7.043169706783073e-05,0.00018919636359689346,4.288554820116659e-06,-1.4407172158579153e-06
10,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,53.041199283384074,-4.6607265845952355e-06,-4.1575432684363e-06,7.860877161232266e-05,-0.00026126054986359067,0.00026058266679891717,-0.0008858529311358141,0.00047476675233533845,-0.0017252080180808328,0.0006633638992550399,-0.0025794260804546006,0.0007885676625090842,-0.0032431721201040867,0.0008367141883329151,-0.0035477568686078597,0.0008167674451550085,-0.0033947943966381165,0.0007548216756877225,-0.002775162045320241,0.0006855389601860968,-0.0017702469758141164,0.0006413224362831082,-0.0005357088653517849,0.0006411507764605537,0.0007290788566951962,0.0006825625607029815,0.0018203052820403175,0.0007406799789951922,0.0025702834107552523,0.0007762790331577934,0.0028810807475703687,0.0007511302778087989,0.0027439271642789686,0.0006450585347609762,0.0022400689562403326,0.000467689403117696,0.0015230776708992904,0.0002597761911714806,0.000786869870222651,8.334996582463953e-05,0.0002263577925660991,4.421086903887271e-06,-1.5035706810535904e-06
11,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,54.25753905556063,-4.779685977004037e-06,-4.239963121771604e-06,9.212922293451202e-05,-0.0003033128092631042,0.0003035132719200383,-0.0010311149646979945,0.000552235706404635,-0.002010948149945309,0.0007715665138968002,-0.0030105234155755937,0.0009179322343224743,-0.0037905985189632925,0.0009753135092888469,-0.0041540862018770875,0.0009534039138082837,-0.003985370987074303,0.0008816110629257411,-0.0032725370030011382,0.0007997191941219085,-0.0021090216645332322,0.0007457097689449897,-0.0006749730544256292,0.0007426737007073915,0.0007980554893311476,0.0007889175817117363,0.0020726601370350353,0.0008561592277506959,0.0029528431501374503,0.0008985891479340852,0.003323403702711791,0.0008709311151898145,0.0031728417453369905,0.0007488591087906671,0.002594582410819164,0.0005431683332899846,0.001766501011293246,0.0003014229170236864,0.0009137937126209659,9.619217146906172e-05,0.0002633272556247992,4.519637141408653e-06,-1.5556246004011729e-06
12,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,55.19251214666947,-4.874960821336518e-06,-4.2998374138339285e-06,0.00010564164814870281,-0.0003453707866378557,0.00034631161031334297,-0.0011767675043792619,0.0006294051831576919,-0.002298113050580637,0.0008794031274826602,-0.003444835327755145,0.0010470941563628126,-0.004343711936825076,0.0011140875326990651,-0.004769034905765838,0.0010906084484948548,-0.004587625028679849,0.0010090986778725829,-0.00378437431345315,0.0009142820229041265,-0.0024643647977037023,0.000849765592880757,-0.0008318933497694168,0.0008430234043467947,0.0008494998788648889,0.0008934767943892314,0.0023088045810817537,0.0009696675082212653,0.0033214889428442762,0.0010191963750980086,0.003754714440360062,0.000989539517540309,0.003593831680316004,0.0008519706830001552,0.002944053693093992,0.0006183041037983392,0.002007241597332226,0.0003429095419106923,0.0010396617213720633,0.00010896691675975033,0.00030008515456335854,4.595236892757489e-06,-1.6002776468218062e-06
13,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,55.92479907315855,-4.953369853418741e-06,-4.343478530077629e-06,0.00011913179070569471,-0.0003874259086751328,0.00038894857935247075,-0.0013227676598316633,0.000706224510119535,-0.0025866200394818926,0.000986797707997599,-0.0038822487949096624,0.0011759553163941633,-0.004902390452932787,0.0012529280140234657,-0.005392499844697995,0.0012282794571198638,-0.005201500070747149,0.0011372031180551909,-0.004310687602521223,0.0010291688867862254,-0.002836374967269474,0.0009534439666823698,-0.001006655515168676,0.0009421491407313033,0.0008831525251555076,0.0009961704561331712,0.0025284331157776666,0.001081113872593289,0.0036759047151510515,0.0011379998535586623,0.004174720440613439,0.0011068631694936789,0.004006653892785305,0.000954325369313739,0.0032883036357535637,0.0006930593688681248,0.0022451865989371266,0.00038422457167995084,0.0011644183582515788,0.00012167753979610728,0.0003366146694797045,4.65451292484287e-06,-1.6395672676037002e-06
14,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,56.50657129433807,-5.019428689793875e-06,-4.375074022711439e-06,0.00013258899824994933,-0.00042946769206981487,0.00043140085374772526,-0.0014690683942317454,0.0007826510933135864,-0.0028763738301609224,0.0010936832151574327,-0.004322621544392671,0.0013044248929326768,-0.005466458041357926,0.0013917299371142657,-0.006024292514632081,0.0013663141905469471,-0.0058268198768493,0.0012658399189464692,-0.004851337468564133,0.0011443206350026033,-0.0032249705260410833,0.001056704857626202,-0.0011992484253206294,0.0010400140191344175,0.0008989537988426625,0.0010969486270517176,0.002731428748479431,0.0011904287092754505,0.004015939139350614,0.0012549169852583695,0.0045832617666798905,0.001222822146258246,0.004411162222400049,0.0010558614888050819,0.0036272157368889267,0.0007673982896408048,0.002480257301663026,0.0004253552945768087,0.0012880222758438584,0.0001343250389511269,0.0003729026640430582,4.701855162877277e-06,-1.67484309466957e-06
15,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,56.97220841670584,-5.07611481261666e-06,-4.397385419953569e-06,0.00014600451268912312,-0.0004714844448811802,0.0004736468442230648,-0.0016156236521070798,0.0008586434678744686,-0.0031672852870541102,0.0011999932603873568,-0.0047658257652866045,0.0014324130248724854,-0.006035764061353209,0.0015303904597932484,-0.0066642622309496784,0.0015046134579643996,-0.006463458450628333,0.0013949285518314479,-0.005406245465699764,0.0012596805463526747,-0.0036301382879771757,0.001159507375835808,-0.0014097326787526193,0.0011365763240217095,0.0008967737629186047,0.0011957533841510351,0.0029176100214577103,0.0012975331267215562,0.004341385804991905,0.0013698565340576506,0.004980134914104711,0.0013373296482610986,0.0048071790188448605,0.0011565123275401738,0.00396065326008731,0.000841281312246894,0.0027123641037927245,0.0004662861303421082,0.0014104279377223131,0.00014690825301014144,0.0004089355076015335,4.740160331724004e-06,-1.7069918487143277e-06
16,0.06018739577485811,1417411.1623409996,18.4368749715793,0.37409536805446164,0.8833545594892962,0.07868066539764652,0.007449630216151745,0.001833624109141297,0.9017022259443159,1755.1728832838817,4.813010705766434,1.859163351552553,353.7498338407793,4.955913738872917,5.697908508097601,678.6273336306472,57.346270842211545,-5.125550877373349e-06,-4.412386999302692e-06,0.00015937108249859582,-0.0005134638765857543,0.0005156678089866936,-0.0017623854552154775,0.0009341646315660827,-0.003459258279904822,0.0013056667821613882,-0.005211716746274094,0.001559834359653789,-0.006610126354764301,0.0016688087536043594,-0.007312208642411297,0.001643077180627933,-0.00711122042286404,0.001524386153732107,-0.005975244998149424,0.0013751909422216769,-0.004051761803140626,0.0012618137848803492,-0.0016380567266017063,0.0012318026937605997,0.0008765955441606508,0.0012925391538585612,0.0030869012404756576,0.001402361711264256,0.004652129882252469,0.00148273883430376,0.005365209352340987,0.0014503067210909575,0.005194579427645783,0.0012562151642276623,0.004288513206130375,0.0009146700795091152,0.002941435460683413,0.0005070012156835767,0.0015315970812868943,0.00015942518756236715,0.0004447013046846452,4.7714948217834866e-06,-1.7366455723448694e-06
