时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,2.2449847727599344,-7.592712831845261e-07,-2.676161308909087e-07,9.935811910668897e-07,-9.656500746785224e-06,5.501426427897591e-06,-2.680035385105747e-05,1.0434363148485133e-05,-4.7903095213706004e-05,1.4567606847309889e-05,-6.845427590210796e-05,1.7151650699809904e-05,-8.413293428837846e-05,1.798931009723381e-05,-9.156246591927789e-05,1.7381980113866923e-05,-8.88935087612368e-05,1.596995401094227e-05,-7.610315016399991e-05,1.4508229149596275e-05,-5.496249059890561e-05,1.362939999241582e-05,-2.8682279763243646e-05,1.3650337126393203e-05,-1.3028090554205135e-06,1.4474801374490737e-05,2.306084909298937e-05,1.5625009028406224e-05,4.0979504274013465e-05,1.6401209011672147e-05,5.033406477507073e-05,1.6127682006237465e-05,5.068437840178837e-05,1.441089878192093e-05,4.3312004297189335e-05,1.1325086931495308e-05,3.092865537796289e-05,7.459442026780535e-06,1.7108606222878523e-05,3.8043952492322704e-06,5.554810895625002e-06,7.549410922304262e-07,-2.8081363293759403e-07
3,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,4.87290366486052,-1.6493743708023456e-06,-5.789282427575811e-07,2.8705824864009404e-06,-2.3250681368033063e-05,1.3895716427884528e-05,-6.490414799616735e-05,2.5969494218821197e-05,-0.00011626526442115934,3.609642302389571e-05,-0.0001662808818045918,4.2434528796423804e-05,-0.0002043057121445221,4.4493413546755965e-05,-0.0002219951066017564,4.300823386518206e-05,-0.0002147686587247665,3.955150355847236e-05,-0.00018256730160855423,3.598355937504751e-05,-0.0001297838064170819,3.386715565170302e-05,-6.439046791090627e-05,3.398574933597679e-05,3.5723130456525435e-06,3.609647336503542e-05,6.387107544089347e-05,3.9003419811396054e-05,0.00010797316698693386,4.095260465737149e-05,0.0001306048008840622,4.024694075548023e-05,0.00013067634885038413,3.5895488948400595e-05,0.00011139793726137362,2.80834355980668e-05,7.956461240273571e-05,1.8296738762574758e-05,4.415592789793462e-05,9.044828134677254e-06,1.4524272655601923e-05,1.6386216307202763e-06,-6.117386368976652e-07
4,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,7.713198030050781,-2.6134879251906538e-06,-9.11748267119721e-07,6.220804613130532e-06,-4.21855124690664e-05,2.657076350315108e-05,-0.00011851503583444652,4.886361893999322e-05,-0.00021278409190693152,6.757787863551597e-05,-0.00030455455276558684,7.93034731756873e-05,-0.0003740373319082721,8.312151582376031e-05,-0.0004056715988401268,8.038180413363655e-05,-0.0003908982493222138,7.3993990934589e-05,-0.00032960667910752106,6.741521681400812e-05,-0.00023002690768359488,6.356140182190509e-05,-0.00010711017428159359,6.389986428864078e-05,2.0297235422214264e-05,6.797249515228805e-05,0.00013297194428009873,7.351962484077803e-05,0.0002148763704252115,7.721701862582116e-05,0.0002560986187062198,7.583943685541991e-05,0.00025460803027182555,6.749846526826971e-05,0.0002164905484617733,5.254511906558407e-05,0.00015462383590194055,3.381771808467726e-05,8.60637689057925e-05,1.612690353901681e-05,2.8660220378450247e-05,2.593322926785677e-06,-9.73356902444187e-07
5,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,10.884813219401021,-3.693881261109721e-06,-1.2755012942859873e-06,1.2790075412429928e-05,-7.242084574154562e-05,4.840308606802481e-05,-0.00020494836589995749,8.740337516213632e-05,-0.0003688582632051134,0.00012016405411482777,-0.0005283224059687809,0.00014071876920834412,-0.0006484649842085447,0.00014743790072728146,-0.0007017760299329961,0.00014265641532353819,-0.0006730947443861483,0.00013145883545701213,-0.000562232924499927,0.00011992676784522236,-0.000383826808385615,0.00011322757878715528,-0.00016448980663038098,0.00011398892697064256,6.219839440018008e-05,0.00012141160305973108,0.0002619556765622812,0.00013145056290349766,0.00040616378262298396,0.00013811462062225148,0.0004771411482824586,0.00013556419850742807,0.0004713108201445501,0.00012036753903974495,0.00039965428908023424,9.315897321554268e-05,0.00028537630370715643,5.9106103680445366e-05,0.00015926499147709717,2.698769274244268e-05,5.367728131074779e-05,3.6579936737470045e-06,-1.3853049073587235e-06
6,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,14.260001666468359,-4.851885915319852e-06,-1.6432963599040163e-06,2.663277519621316e-05,-0.0001266945203555592,9.017254401967965e-05,-0.0003614253450510557,0.0001596649195027117,-0.0006521095970685754,0.0002180688868847437,-0.0009347091779757388,0.0002548060211607256,-0.0011465773381696825,0.00026693191905972425,-0.001238149804316507,0.0002584966333921326,-0.0011820542832560235,0.000238467258397571,-0.0009779494608849093,0.00021769987688276995,-0.0006523386367173314,0.00020555777880242583,-0.00025348063303402124,0.00020693104410143576,0.00015765080902979176,0.00022050236231700552,0.0005187284106650575,0.00023894355447752973,0.0007776739118500702,0.00025122628068659794,0.0009023149960560304,0.0002465022656991191,0.0008862261856919723,0.0002183503381369161,0.000749615546079557,0.00016792605297353253,0.0005351125479144427,0.00010485784552347792,0.0002993452247203269,4.551454332396108e-05,0.00010201808296914955,4.786810380847677e-06,-1.8427348438017766e-06
7,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,16.34009094608128,-5.57514183915409e-06,-1.8465040245816465e-06,4.341173486002665e-05,-0.00018688211510894964,0.00013816571001158134,-0.0005359479163907092,0.00024165389341362936,-0.0009686624489268688,0.00032868423436136396,-0.001389386482983324,0.0003836250202626234,-0.0017042696141740961,0.00040203329839736985,-0.0018389006697727124,0.0003897142645415103,-0.0017520802084209585,0.00035978147627336037,-0.0014431762293998372,0.000328340542877943,-0.0009519280564695211,0.00030954005657087865,-0.00035087729396279875,0.00031103338256058683,0.00026816980332826525,0.00033115743118985834,0.0008112297725960606,0.0003589996870743341,0.001199667274993195,0.00037778375076213174,0.0013848459889782545,0.00037081700206541133,0.0013570372602808582,0.0003281202756193081,0.001146823668743984,0.0002513817713936052,0.0008187696613209647,0.00015536261816815472,0.0004587203423459496,6.516728451706373e-05,0.00015734320377306822,5.4772359454718474e-06,-2.1469279338030513e-06
8,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,17.616104807464065,-6.027284782175168e-06,-1.9506984241725466e-06,6.083243417484659e-05,-0.0002470666904913994,0.00018679473067386348,-0.0007110749138709488,0.0003242198313454289,-0.0012869038528752611,0.0004398956054866552,-0.001847242178980743,0.0005132346361628112,-0.002266865294533504,0.0005382527515586779,-0.0024462906041631937,0.0005223215041228157,-0.002330250332651009,0.0004824744951242761,-0.0019175957655461866,0.0004399550771784506,-0.0012611258266033722,0.0004137911021284386,-0.00045757788420872585,0.0004146622592873655,0.0003703732716659334,0.0004408458365524243,0.0010969230393792653,0.0004779915255472965,0.0016166218920456625,0.0005035071897935521,0.0018640905821843724,0.000494633589872495,0.001826068025593757,0.00043760654664411024,0.0015433718991550679,0.00033455247926229115,0.0011024547497284335,0.00020543859804817252,0.0006184109109799102,8.426423341539897e-05,0.0002129776574934407,5.896498670073624e-06,-2.352410598157227e-06
9,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,18.471473268452208,-6.337907014393627e-06,-2.0030107378330806e-06,7.856581470016402e-05,-0.00030731448239331295,0.00023566495125043724,-0.000886854272676896,0.0004069174803246566,-0.0016069450469484421,0.0005512320609611221,-0.002308596651826882,0.0006431677875022491,-0.0028350842101869654,0.0006751539085533243,-0.003061642204954504,0.0006559277402660619,-0.0029186681356275623,0.0006061969664724474,-0.00240420618628206,0.0005522096750714299,-0.0015838403897376588,0.0005179533169624927,-0.0005782973713858482,0.0005173994070581735,0.00045896510146148655,0.0005490731173868903,0.001370256076257473,0.0005953675437528058,0.0020231100585250683,0.0006278425780646599,0.0023351223954520503,0.000617471992888074,0.0022892053494164444,0.0005464778653226984,0.0019361551313959893,0.0004173032104140772,0.001384114784925737,0.00025514885385657856,0.0007773013033513297,0.00010301648191704017,0.0002684905637335136,6.174303194078776e-06,-2.5059734249441605e-06
10,3.5902001949155466,64131785.81658571,1.8189894035458565e-11,239.74850072654232,2.1081462006651317,0.17633547811510364,0.11084832698761639,0.006462293293898015,2.146842933903371,1110.3476781205313,7.658437567859039,7.025761257503849,404.3374071101939,7.658437567859039,7.025761257503849,404.3374071101939,19.080528532720706,-6.565978733393832e-06,-2.0248837110368537e-06,9.645944965481141e-05,-0.00036764715699007786,0.0002845907835410283,-0.0010632925589885113,0.0004895345499316216,-0.0019288262122320445,0.0006624653374612156,-0.0027736047018617933,0.0007731944704961558,-0.0034092932833732566,0.0008125208091895325,-0.003685629211250797,0.0007903435641556986,-0.0035183869471649963,0.0007307890334053851,-0.002904475149615374,0.0006649637335851754,-0.0019219389461808509,0.0006218841206827695,-0.0007152328842501004,0.0006190772964037743,0.0005315392138254499,0.0006556344765737723,0.00162877189551324,0.0007108932272785406,0.002416795029552123,0.0007505536969298774,0.002795880869621088,0.0007391336155792779,0.0027447799043441037,0.000654608935083195,0.0023239517684781525,0.0004995999666676888,0.0016629668428173984,0.00030454395779941156,0.0009349772580094404,0.00012153019806370012,0.00032372136544484725,6.36966696602111e-06,-2.6289269028885053e-06
