时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,7.929960811692878,-5.022014753855913e-06,-1.3974581091898035e-06,1.2876730477675605e-05,-3.126006919882612e-05,3.8703970916566924e-05,-7.66017581591549e-05,6.495870158442402e-05,-0.00012829249013169452,8.597371317782224e-05,-0.00017562377084253273,9.835344786010543e-05,-0.00020846034649853626,0.00010148735475049889,-0.00021908861562343497,9.733693305497262e-05,-0.00020363410737701132,8.958606941207292e-05,-0.00016276641182171023,8.239021911681329e-05,-0.00010160500334388368,7.904944558995685e-05,-2.8826773596056397e-05,8.096835977118141e-05,4.4880075171173184e-05,8.720684707325856e-05,0.00010874889933616548,9.47708246991865e-05,0.00015389395924092118,9.95770836685991e-05,0.00017491588779743302,9.781968541456414e-05,0.00017083922306099857,8.733789903813175e-05,0.00014521258982887268,6.856986825849208e-05,0.00010536181086678786,4.480176579354159e-05,6.097722645802638e-05,2.1586019145205247e-05,2.2260475011951773e-05,4.999508315149649e-06,-1.4204903590673483e-06
3,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,17.7840836442789,-1.1279247697127196e-05,-3.120562698859647e-06,4.886494247388388e-05,-0.00010147010969566312,0.0001353547565618643,-0.00025290611540435156,0.00022360395713952593,-0.0004263090492311506,0.00029441589437379835,-0.0005853104090768266,0.00033619651039179207,-0.0006952989084256681,0.00034674149025507473,-0.0007298425683177492,0.00033257158126510147,-0.0006755910866062751,0.00030611680697506023,-0.0005347502392361854,0.00028150358279060224,-0.000324803177522885,0.00027002685559031326,-7.548367508700588e-05,0.00027654499885948236,0.00017652243901400646,0.0002978692433912731,0.00039423969686283936,0.00032370661054569814,0.0005471815573341142,0.00033996582841790764,0.0006169074544103696,0.0003334934604461479,0.0006002475292674074,0.00029683332336452524,0.0005095972355592397,0.00023153872554409623,0.00037028107903261094,0.00014899876333100985,0.00021562305706146798,6.836592082250149e-05,8.059372607517353e-05,1.1202735450265321e-05,-3.2006259690407647e-06
4,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,26.348837105562698,-1.6765335068521353e-05,-4.572364836566896e-06,0.00014452176766582286,-0.0002641414089800717,0.00037559609738665507,-0.0006693452016828664,0.0006122247341590891,-0.0011356751879990936,0.0008028510535699596,-0.0015645294731733482,0.0009160402006574537,-0.0018615477126259833,0.0009452717790408376,-0.0019543958975692336,0.0009073648637147074,-0.0018062337822320237,0.0008352971796121262,-0.0014225756973385577,0.0007671791395186427,-0.0008506593671204296,0.0007340743599632809,-0.00017135814159560688,0.0007499430864834532,0.0005151681817976815,0.0008067737357067027,0.0011077096547684492,0.0008767228932300339,0.0015227343820040887,0.0009210107639166815,0.0017098260089718643,0.0009030952079600739,0.0016606071724608986,0.0008021044999457462,0.0014093978600554662,0.0006222160800573581,0.0010257105393614604,0.0003948826914348211,0.0006004799744428113,0.0001728128825954276,0.00022874984581985175,1.6558365266534355e-05,-4.79316506930139e-06
5,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,29.57804622686767,-1.8881139261846146e-05,-5.073020200535979e-06,0.00024458700376037,-0.00042750980881806695,0.0006213040387419838,-0.0010911390812707229,0.0010077219555986684,-0.001857218855293306,0.001320019561883593,-0.0025636916675817792,0.0015068007920225753,-0.0030550592276905987,0.0015566638856415833,-0.0032118947847341256,0.0014958689387504598,-0.0029730036676623955,0.0013772730901358149,-0.0023466882912490344,0.0012629774552304312,-0.0014097960524470927,0.0012046421897539345,-0.00029467098287758875,0.0012266379020226352,0.0008341712582891924,0.001317253210781466,0.0018099564697409152,0.0014314241885874726,0.002494671345150315,0.0015050443152236411,0.0028048344619965265,0.0014769549801579907,0.0027264309083403705,0.0013117594006052781,0.002315916546143766,0.0010158752354976779,0.001687544997051843,0.0006412991627005293,0.0009904118094273462,0.00027526140367740406,0.0003800802698519094,1.8542239099929576e-05,-5.437283016293566e-06
6,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,31.245969064711122,-2.0012241765142456e-05,-5.295039039791768e-06,0.00034555816683664404,-0.0005914363639964686,0.0008674954562784763,-0.0015159885712967222,0.00140344099827521,-0.00258590133687106,0.0018378586263171897,-0.0035752408182224264,0.002099602612536094,-0.004266827023080882,0.0021719391380938605,-0.004493639830232564,0.0020895842513258015,-0.004169645265041273,0.0019242871377804498,-0.003305372493826105,0.0017617562264420164,-0.0020066411648882497,0.0016747671177410725,-0.00045671814076639366,0.0016993114977469836,0.0011157391083289354,0.0018212678380084555,0.002478134455150312,0.001979061719589893,0.003437342608810967,0.002083078062297172,0.003876096721407594,0.0020466772890499357,0.003774190510263131,0.001818959749927473,0.0032098666462696984,0.001408036695751152,0.0023418100729799547,0.0008865086769955412,0.0013768512095246664,0.0003765357566838906,0.0005306179796168119,1.9541692430463337e-05,-5.802881950800971e-06
7,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,32.25570418972952,-2.0729851113692627e-05,-5.399265727185888e-06,0.00044680781970140513,-0.0007562322410689124,0.0011134759692334505,-0.0019442393450410423,0.0017985615100148875,-0.0033220583990011955,0.0023554104974293885,-0.004599513340864645,0.002693396713981709,-0.005497261907759584,0.0027900437346545944,-0.005800243137117821,0.0026875407101414005,-0.005397133320739016,0.0024755012131888166,-0.004300130742618406,0.0022627909736470113,-0.002643347231047791,0.0021437592360462124,-0.0006603279939422566,0.002167208908130496,0.0013564744904772939,0.002317933739326651,0.0031085097616111042,0.002518637130771107,0.004346981547594167,0.002654097369597992,0.004920114164514996,0.0026113796933459037,0.0048008905089637665,0.0023230992966888227,0.004088892707500102,0.0017984582870893989,0.0029868232909304854,0.001130638806050187,0.0017587329635787789,0.00047706738653333606,0.0006797985929976359,2.0128083781926307e-05,-6.050499291130045e-06
8,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,32.92535750860332,-2.123518544276571e-05,-5.442387098634113e-06,0.0005480933063619689,-0.0009219834071806807,0.0013589353652699112,-0.002375953555560053,0.0021926640807783866,-0.004065711651410632,0.002872135090749294,-0.005636502497845192,0.0032875530063514783,-0.006746366091365602,0.003410322390115118,-0.007131769260948437,0.0032891310722531087,-0.00665565952521999,0.003030405005771158,-0.005331353441195027,0.0027656685743133987,-0.00332056628869611,0.0026112527137430886,-0.0009064401008643215,0.0026299374198060005,0.0015551864027899007,0.0028067745594862943,0.003699738134790233,0.0030495851708513253,0.005222221596929659,0.0032175013824432817,0.005935620851058683,0.0031705154005966353,0.005805452391450394,0.002823773648630268,0.004952147835568555,0.002186930201174461,0.003621977478665564,0.0013736737703071097,0.0021356705648996675,0.0005769903644122407,0.0008274176046397971,2.050272691678344e-05,-6.236686323389452e-06
9,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,33.39536114205828,-2.1617058577950704e-05,-5.449454144260125e-06,0.0006492814732404188,-0.001088694423603182,0.0016036623055137177,-0.0028110725630467927,0.0025854221991664845,-0.004816726486167573,0.003387580412685714,-0.006686011566937349,0.003881522465382588,-0.008013913637302198,0.004032190654898176,-0.008488004693010932,0.0038938076152723183,-0.007945070504834213,0.0035885396705587188,-0.006399002576636635,0.003270026771863492,-0.004038430979202188,0.003076940684273176,-0.001195391489323492,0.003087176842346819,0.001711344218099113,0.003287398620156658,0.004251154518662136,0.0035714283688198533,0.006062349259089497,0.003772765780993234,0.006921935923088151,0.0037235875854146746,0.006787283786181094,0.0033205902358504407,0.005799157438888246,0.0025732118849757795,0.004246926295150307,0.0016155276611579965,0.0025074430214999935,0.0006763371365659741,0.0009733633106564767,2.0754526634540045e-05,-6.3863973042773515e-06
10,1.2813221392768321,32543947.00736684,4436.436523412003,73.1720917261526,2.1879743233786177,0.3701740187567569,0.08047720973284626,0.005178352543898139,2.3450537722623515,1563.9223368620603,1.1974849414987787,2.8550195102611013,31.13985852072392,1.1974849414987787,2.8550195102611013,31.13985852072392,33.73728322347358,-2.1920711522654933e-05,-5.433255720908825e-06,0.0007502808000274004,-0.0012563359205646388,0.0018474820791743764,-0.003249484239218311,0.0029765426893456604,-0.005574895643373291,0.0039013246012928,-0.007747752855105527,0.0044747817003799205,-0.009299569111304931,0.004655083907720902,-0.009868605582293029,0.004501036793568155,-0.009265057196948591,0.0041494573070925906,-0.007502854435460144,0.003775515284151145,-0.004796856827529421,0.0035405335997198183,-0.001527275298633589,0.003538631642069745,0.0018246767572995559,0.0037594444592376083,0.004762353318345534,0.004083719860733306,0.0068668942212202575,0.004319390531879467,0.007878591598571207,0.004270111408639968,0.007745966115765297,0.0038131527492949297,0.006629577914359835,0.002957043301545138,0.0048614140729309665,0.0018560821446808498,0.0028738868023687005,0.0007750984886042983,0.001117557118136634,2.092881483068823e-05,-6.512337299819511e-06
