时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,2.5870114053892057,-8.185114958922308e-07,-3.0239612539928004e-07,1.3439156553608692e-06,-1.053193689279243e-05,7.196305440168873e-06,-2.971123537107478e-05,1.3719235506471048e-05,-5.369132937895282e-05,1.9246280366549182e-05,-7.728977549986087e-05,2.273039144439485e-05,-9.547456021001836e-05,2.3872854035817243e-05,-0.00010426906281166494,2.306264908165602e-05,-0.00010145737498050035,2.116132196925831e-05,-8.695370769780809e-05,1.9192874530029175e-05,-6.277763892608581e-05,1.8014291082053057e-05,-3.264477879665209e-05,1.8048853163436116e-05,-1.25071430421276e-06,1.915537893399728e-05,2.6619703618109845e-05,2.067707053007252e-05,4.6991469838425555e-05,2.166518740305737e-05,5.743553896159081e-05,2.1217227480553393e-05,5.749860872691963e-05,1.882636616991008e-05,4.874242275923651e-05,1.4626664554051811e-05,3.438459272522157e-05,9.446471587664378e-06,1.8615029048331134e-05,4.643348224356532e-06,5.719266281039782e-06,8.098396068820482e-07,-3.2400087539152895e-07
3,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,5.88985024726562,-1.8660846547410251e-06,-6.841317105992034e-07,4.25986508415787e-06,-2.72688516163246e-05,1.9766385176560586e-05,-7.761082075807596e-05,3.706615993375641e-05,-0.00014070590838168482,5.17440556821658e-05,-0.0002027959052172608,6.101048816285747e-05,-0.00025043456416192975,6.406000821772592e-05,-0.00027295678510670223,6.192058489549505e-05,-0.00026440597229670696,5.6887459494446736e-05,-0.00022455230383077723,5.1698561550424344e-05,-0.00015884262675159872,4.8651108525834734e-05,-7.730729440753281e-05,4.887914897239124e-05,7.36720218054537e-06,5.199213501702261e-05,8.224412253077531e-05,5.619866723407537e-05,0.0001365716316605552,5.890872572661441e-05,0.00016378235276685627,5.765409584803568e-05,0.00016266735088501833,5.104577061183236e-05,0.00013749489122696524,3.9451157148579996e-05,9.705238692456721e-05,2.5149870079412916e-05,5.2811800689505434e-05,1.1894370904200423e-05,1.657690440299253e-05,1.8426894992053132e-06,-7.424871648007783e-07
4,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,9.484626871675045,-3.01119298149285e-06,-1.0901500786436874e-06,1.0032273361626822e-05,-5.261549512547794e-05,4.073465251340934e-05,-0.00015125763958148564,7.499713797919404e-05,-0.0002751602282388032,0.00010409616838796079,-0.0003970375473150587,0.00012249425544346294,-0.00049005197042664,0.00012857345765494526,-0.0005328410151235842,0.0001243561461963729,-0.0005134503807759125,0.00011439951078865702,-0.0004314314683723002,0.00010416731034725702,-0.0002977763149065408,9.826532314556339e-05,-0.00013273847745734428,9.8975812053311e-05,3.804356272675017e-05,0.0001055020325773695,0.00018840631421762367,0.00011419249119737059,0.0002965973946947329,0.00011975088593541393,0.0003493432172314639,0.00011711567559227655,0.00034425140819936825,0.00010343262862317868,0.0002900760968605388,7.946131891568649e-05,0.0002048014301967965,4.991205373571709e-05,0.0001119486852517454,2.2558916144885865e-05,3.583990820655898e-05,2.963998776091873e-06,-1.2080221144459377e-06
5,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,13.381393512713425,-4.2635261729195224e-06,-1.5067598565944392e-06,2.2699229603216926e-05,-9.771481495336702e-05,8.135548344874994e-05,-0.00028412177912633216,0.000146759441354322,-0.0005187058429730484,0.00020234066115818182,-0.0007492588576830633,0.00023755123599429967,-0.000924126453502652,0.00024926691531432433,-0.001002060187330038,0.00024128427005957776,-0.0009599450598433053,0.00022227110473382484,-0.0007969587415976603,0.00020271129426809592,-0.0005345159393140864,0.0001915321319879375,-0.00021208598223523297,0.00019322646018539384,0.0001203216512892481,0.00020629073163208096,0.0004116290331469502,0.00022356967206840726,0.0006193553284779278,0.00023458702539489484,0.0007176185880602744,0.00022927227038050508,0.0007018905103923095,0.00020192605546164055,0.0005895582052473731,0.00015407100881796197,0.0004162028734943742,9.514750390557375e-05,0.00022839459672853004,4.0739457810566764e-05,7.445853301896025e-05,4.171676349636879e-06,-1.736495630984818e-06
6,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,16.39330033317712,-5.250107482709513e-06,-1.786746408534467e-06,4.385120537880312e-05,-0.0001639418941389911,0.00014435501473278624,-0.00048116117970972916,0.0002562408764083457,-0.00088093412149147,0.0003513688543873925,-0.0012736705000812721,0.0004118276842653014,-0.001570373806556098,0.00043221851824414774,-0.001699815715280305,0.0004188156267104099,-0.0016220213745060292,0.0003862259832732527,-0.001335569144700562,0.00035236057181555483,-0.0008775840883296894,0.000332738250499325,-0.0003165746630929772,0.00033543026207529637,0.0002605415880413826,0.000358114248041642,0.000764879867381654,0.0003884257737474521,0.0011224546084137475,0.0004079187818270091,0.001288213189118898,0.00039867657566806084,0.0012544184561851198,0.00035047692670325185,0.0010516775950204123,0.00026598219699260604,0.0007424582993618337,0.0001619985286610867,0.0004085184099054594,6.62340594456002e-05,0.00013483777983279001,5.090748134408438e-06,-2.185822648972488e-06
7,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,18.034641388285323,-5.805383802123561e-06,-1.8991435898586799e-06,6.615403434886727e-05,-0.00022996215460913843,0.0002085878798546328,-0.0006786918582006395,0.0003669489485067904,-0.001244890571836279,0.0005016921890853615,-0.0018014163555146014,0.0005876767838577418,-0.0022216551158235737,0.0006171782688312605,-0.002404098842163898,0.0005987005673761381,-0.0022916424397738462,0.0005524937565941255,-0.0018820574975902027,0.000503761107550308,-0.0012280657730734685,0.00047475968434394176,-0.0004272323155702186,0.00047750624061354644,0.0003964411023858592,0.0005092361547485223,0.0011159422333646262,0.0005525369073973089,0.001625390963641459,0.0005808489746619797,0.001860219849948328,0.0005680669440294736,0.0018092831199894696,0.0004991321148737977,0.001516385378218505,0.00037775687653548903,0.001071000790076141,0.00022828119102638044,0.0005902797011656394,9.082209091108139e-05,0.00019611413781075765,5.578185179204237e-06,-2.4685610701159618e-06
8,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,19.057719505934298,-6.166376468453039e-06,-1.935784797941903e-06,8.89445495430173e-05,-0.00029597261101667094,0.0002732417123482292,-0.000876890520085174,0.00047794993713886345,-0.0016108486489796166,0.0006523094484637552,-0.0023331126293948228,0.0007640948878288574,-0.0028792790482962374,0.0008031975761751306,-0.0031173098491371703,0.0007800751021136231,-0.0029726739979347105,0.0007202818459792466,-0.002442020303368041,0.0006561348098813524,-0.0015933682440651008,0.0006167497996947461,-0.0005531178433031788,0.0006184636969705545,0.0005177218335272166,0.0006584921030309905,0.0014539068657222342,0.0007146086594104932,0.00211740315945283,0.0007520723884408505,0.0024237951825466114,0.0007362956145778829,0.0023582109161466355,0.0006470695292975921,0.0019773991083760272,0.0004890106189601523,0.001397654147631768,0.000294059327053777,0.0007713954186989398,0.00011490641824927004,0.00025739513199943693,5.871390857845124e-06,-2.6755662409500277e-06
9,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,19.751457025404857,-6.424204845450535e-06,-1.9319545291975493e-06,0.00011196635416696554,-0.00036204558617004243,0.0003380042877821701,-0.001075834799012865,0.00058888916719047,-0.0019789672597400865,0.0008028444353183706,-0.0028691241369715125,0.0009407092674492694,-0.0035439660952807546,0.00098993160547013,-0.003840670172787242,0.0009626383293981196,-0.0036669493974894325,0.0008893323346175282,-0.0030179538437476203,0.0008092449615203894,-0.0019766229415517297,0.0007584562498207003,-0.0006978820263805884,0.0007579985431745768,0.0006204123826201693,0.0008055105148986691,0.0017747399417173625,0.000874220138245302,0.0025946728982222398,0.0009211702212505218,0.002975587308671587,0.0009030143386337588,0.0028984982726749367,0.0007940718872669189,0.002432748327740675,0.000599686140994036,0.0017211587308400788,0.0003594215304715156,0.0009511969837639949,0.000138668845385339,0.00031841458641232174,6.061597752403949e-06,-2.841844015672294e-06
10,2.713305255317303,98479867.80093479,6701.974854486551,610.6536427729968,2.463383577069017,0.24008149821140237,0.11278164020413581,0.008744386658865597,2.5244287556315643,1013.7698499571919,10.0,10.0,1000.0,10.0,10.0,1000.0,20.24843279151783,-6.620698538368052e-06,-1.903871557289341e-06,0.00013509509556556981,-0.0004281967183665046,0.000402713700310479,-0.0012755141510762658,0.0006995698585452094,-0.0023492470948190194,0.0009530740424550597,-0.0034095326659183143,0.0011172855091962583,-0.004215965030115343,0.0011771547454531264,-0.0045746779461658706,0.0011461924039779766,-0.004375277286388312,0.0010594837922094239,-0.0036110041121414325,0.0009629582717616053,-0.0023792972453235066,0.0008997501807088721,-0.0008632511020466072,0.0008959582350246632,0.0007026332688432796,0.0009500983939337628,0.002076543542687714,0.0010311442983222466,0.003055424450681496,0.0010879114422220949,0.0035140629047594445,0.0010680300247655702,0.0034289333126313816,0.0009400196982820388,0.0028815700683706854,0.0007097516685569827,0.002040976563406116,0.0004244112058692272,0.0011294054596344457,0.00016219584831034546,0.00037906166034951447,6.190695420439376e-06,-2.983475927556167e-06
