时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,5.146343448650465,-5.211985344901508e-06,-2.2025114297966476e-06,6.121534613135851e-08,-1.642207526863301e-05,1.188726857496496e-05,-4.434441560726326e-05,2.5332966481497275e-05,-7.989148086606406e-05,3.694669769633349e-05,-0.00011522177157397966,4.44713068805828e-05,-0.00014256372326700158,4.7195331484694136e-05,-0.00015568151022970957,4.587710261723091e-05,-0.00015103650359150114,4.230614191252547e-05,-0.00012841220641597346,3.863439784175135e-05,-9.09089415808059e-05,3.6655329316495e-05,-4.4315797614620956e-05,3.722495018993725e-05,4.019202289639287e-06,3.99905962617009e-05,4.6609591683427765e-05,4.351701066734337e-05,7.726961080863334e-05,4.5786215595464765e-05,9.228827033187872e-05,4.4928112566243836e-05,9.110094045576785e-05,3.9954323160388766e-05,7.632375784545574e-05,3.125066770630533e-05,5.314407839925655e-05,2.0652996376005683e-05,2.8203485025604204e-05,1.1058052946311228e-05,8.181230865449637e-06,4.773326086435749e-06,-1.0415282427603993e-06
3,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,11.354248156192284,-1.1520169978852989e-05,-4.8341380260577826e-06,3.6184652824782016e-06,-4.336792464981108e-05,3.630967240595364e-05,-0.00011995162554841454,7.352042939526739e-05,-0.00021771814407707738,0.00010567852585954665,-0.0003148604983105506,0.00012648428089056087,-0.0003895906069005844,0.00013392988036273665,-0.00042435320501857035,0.00013011704090458526,-0.00040916722912022973,0.0001200508887534343,-0.00034344243624687604,0.00010977398635398655,-0.00023599672803216053,0.00010433416223563092,-0.00010329476346612337,0.00010613295558185588,3.375338276671029e-05,0.00011413399679438267,0.00015383617506213644,0.00012420312140272268,0.00023935209941795878,0.00013052925265321418,0.0002797740171365741,0.00012772432271894256,0.00027358155917062144,0.00011294644546025503,0.0002283716517283204,8.733520743460144e-05,0.00015913199154055953,5.6246671817552276e-05,8.506764428635746e-05,2.8147076105715436e-05,2.5591414609735493e-05,1.0525702528292383e-05,-2.3175140136245574e-06
4,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,18.683367493669117,-1.9027746860166122e-05,-7.854038978483493e-06,1.938914247711807e-05,-9.891104097172394e-05,9.84292820228816e-05,-0.0002824608101171336,0.00018837463217023814,-0.0005173392443587868,0.0002660870445490127,-0.0007504546918890348,0.00031626843765122464,-0.0009283373176019787,0.0003339820904187045,-0.0010077414553311807,0.00032427438120216716,-0.0009640595190752346,0.0002993225101991201,-0.0007959448163988336,0.0002739427976688998,-0.0005254399730183468,0.0002606088939116994,-0.00019365941024791482,0.00026530280495436296,0.00014715530491623746,0.0002854279412927487,0.0004437403340907526,0.0003105506802698063,0.0006521417361623759,0.00032592956302926566,0.0007462084968564579,0.00031785620388278017,0.000722487338971789,0.0002791189912994949,0.0006005104191091201,0.0002127215203290068,0.0004184530402091155,0.0001324990113504975,0.0002251593599128848,6.026888698926094e-05,7.013452681985002e-05,1.7291097771256668e-05,-3.8846819123098394e-06
5,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,23.712934201988357,-2.4286909364074047e-05,-9.755273350379582e-06,5.24621570884299e-05,-0.0001828359530742415,0.00020479703068554666,-0.0005352305738717667,0.0003778929316941313,-0.000986813636868269,0.0005273896517759597,-0.0014346781815102717,0.0006239457581991329,-0.0017747222006232577,0.0006579491781094304,-0.001922599094015438,0.0006388328329615202,-0.0018303109354080005,0.0005898237436040178,-0.0014953550175297403,0.0005395536055102285,-0.0009610613473665599,0.0005125175753022246,-0.0003082323346893996,0.0005208280282306656,0.0003603671646150201,0.000559756509170299,0.0009398696544275337,0.0006088289866380689,0.0013437478284904403,0.0006386594607294807,0.001520708932882536,0.0006216911180386779,0.0014644498347538574,0.0005433690577233666,0.0012141926263244695,0.0004097837282562944,0.0008459943231765465,0.000248890317732922,0.00045689920869628625,0.00010458058127602404,0.00014523963318394773,2.1878595547653225e-05,-5.071253859468111e-06
6,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,26.116543988189246,-2.6899103634220395e-05,-1.0503220872492255e-05,8.88932352584027e-05,-0.0002656700430235381,0.0003145633613543453,-0.000787992601070376,0.0005706905326514349,-0.001458138970547364,0.0007919757396054421,-0.0021230833491996687,0.0009352694240294255,-0.002627660761727457,0.0009861914031695273,-0.0028460211440634376,0.000958119113073359,-0.00270646109244133,0.0008848085711434237,-0.0022050963004297936,0.0008084808292705877,-0.00140641720425137,0.0007659283333226589,-0.00043094001832158545,0.0007760511772217735,0.0005678048367654123,0.0008326446307690037,0.0014328944919771698,0.0009054522360618109,0.0020346934787139983,0.0009501633197281979,0.002296347426605192,0.0009247657452887253,0.0022085440535906096,0.0008068426459986086,0.0018302916745142836,0.0006054705735070102,0.0012757499080364447,0.0003630620488553714,0.0006903749158890259,0.00014606887619387756,0.00022151414575594767,2.4020402401250234e-05,-5.738590184305724e-06
7,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,27.511453951043443,-2.8496369216602014e-05,-1.0807317797655757e-05,0.00012657319324603397,-0.00034825303586162,0.00042542847477041926,-0.0010415833772581303,0.0007643359016782895,-0.0019323332102172653,0.001057388190425479,-0.002817228485185115,0.001247882163285897,-0.0034897519443268677,0.0013165591639148506,-0.003782211474558298,0.0012802419755214244,-0.003598839561356319,0.0011826105448501613,-0.002933979593646706,0.0010791666505936082,-0.001872876362816083,0.0010192316738077214,-0.0005754263004548861,0.0010291747714945006,0.0007542082503629899,0.0011020682220790935,0.0019069055512932124,0.0011982755243026986,0.002709548249682755,0.0012584201973844776,0.0030592676405152563,0.001225504744870761,0.0029433556995537504,0.001068707888182692,0.002440323335218536,0.0007998618348878826,0.001702191916166605,0.0004759705149774616,0.0009225882244941943,0.0001863174968602178,0.0002977084944810761,2.5225093084701944e-05,-6.205110364013746e-06
8,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,28.414985302835003,-2.9601229162799793e-05,-1.0894676951480961e-05,0.00016482116972820865,-0.00043084422283861236,0.0005366463803114172,-0.0012962686234068595,0.0009580399007455257,-0.0024097689013021224,0.001322830601717536,-0.0035177530338350096,0.0015610243860238106,-0.004362090594211123,0.001648372743786044,-0.004732897611347343,0.001604628803411843,-0.004509935188266674,0.001482760599752146,-0.003685304766095475,0.001351205917118686,-0.0023644980032232524,0.0012720227149836199,-0.000746344228406358,0.0012797355320103706,0.0009146025895238444,0.0013674858196264848,0.002356949418124006,0.001486718740157181,0.0033637335344434134,0.0015629037424242142,0.0038055615796972267,0.0015235481741546146,0.0036658326050282865,0.0013288596735799687,0.0030421403768598207,0.0009931348416524909,0.002123993977076114,0.0005880300319441118,0.0011528452343074658,0.00022587819855961823,0.0003735182260082797,2.5975545403232635e-05,-6.572979422996652e-06
9,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,29.041550922608923,-3.0430313971314078e-05,-1.0859560293385248e-05,0.00020334237424922356,-0.0005135266650163228,0.0006478707000655346,-0.0015520904051185812,0.0011514051281174993,-0.0028904883798328983,0.0015878667990962116,-0.0042247815216294405,0.0018742469902061295,-0.005244985422330012,0.0019812063120340892,-0.005698669162518624,0.0019309116023797103,-0.005440688898830201,0.0017849650175796091,-0.004460394716263949,0.0016243660981913129,-0.002882968674169591,0.0015240904443264555,-0.0009456696496483719,0.0015274971960625562,0.0010468520060983354,0.001628609406868823,0.0027808966706985836,0.0017704552140736924,0.003995295689526551,0.0018633000859771198,0.004533586046171646,0.0018186627356798959,0.004374716731674062,0.0015871984149453786,0.0036348782622220156,0.0011853382778343568,0.0025406355056824467,0.0006994084759355242,0.0013808797396380442,0.00026498184330715915,0.0004488259161734439,2.6471998487337426e-05,-6.8845784846619075e-06
10,4.764362824460474,114679445.07718939,-2251.97278627129,492.6517175644069,2.2918735398489565,0.2993256381735672,0.08702316635406639,0.007411446584518915,2.3922216446880427,1154.1817589534446,1.7701273506285418,2.126873427260441,489.69946657340233,1.9147010614275626,4.695218873689021,526.3024711255941,29.495831078412934,-3.1089373600944086e-05,-1.074808171438205e-05,0.00024198257218876486,-0.0005963203069195468,0.000758900223051843,-0.001809007788315995,0.001344174040963977,-0.0033744028536408397,0.0018521843096766665,-0.004938223845247481,0.0021872004515338323,-0.006138411258514583,0.002314707261143728,-0.00667963348155336,0.0022587738243506385,-0.006391395101360182,0.002088969831802228,-0.00525976441491899,0.0018984548750803764,-0.0034290304543575846,0.0017752741816188032,-0.001174343950542326,0.0017722870792436331,0.0011498821141262621,0.001885222509061727,0.0031776363734220257,0.0020492252190683225,0.004603191175379543,0.0021593415619005907,0.005242449703963314,0.002110625889328149,0.005069317490538322,0.001843591394968753,0.004218056670693462,0.001376444815014038,0.0029518236564410713,0.0008101655204604249,0.0016065412918068297,0.00030373577969306154,0.0005235676533660026,2.681226017375667e-05,-7.1605856485959336e-06
