时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,4.632183394856745,-1.4475589442768424e-05,-2.360969875788935e-06,-8.035840351687854e-06,-2.2259534829918307e-05,7.016079097865688e-06,-5.6522596224433816e-05,2.372305023100331e-05,-9.891021984773145e-05,3.814732249647416e-05,-0.00014106399817887845,4.775469447602622e-05,-0.00017485887389099035,5.174187667165772e-05,-0.00019380676492334077,5.0929878494315724e-05,-0.00019415423400447558,4.728364329969842e-05,-0.00017545883091292795,4.319602116665972e-05,-0.00014056718156554282,4.072026141928039e-05,-9.500592264385077e-05,4.095087740712674e-05,-4.59007712454573e-05,4.3721739328247404e-05,-6.213885213183389e-07,4.7710866264635215e-05,3.4593365997737514e-05,5.092657719320153e-05,5.576397447758327e-05,5.14310320760855e-05,6.182974491609775e-05,4.80750031560859e-05,5.4712384463907475e-05,4.1001189665520305e-05,3.877428577674568e-05,3.1741387082872875e-05,1.979797397688796e-05,2.2847225511922934e-05,3.674060415858262e-06,1.5040399242047029e-05,-3.627047354706542e-06
3,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,10.26554319902306,-3.2129202498535406e-05,-5.224781537258711e-06,-1.3621808383259362e-05,-5.748716027578519e-05,2.6969477401704905e-05,-0.00014887078395045493,7.20688886039982e-05,-0.00026225650297025056,0.00011097039021969234,-0.0003747903820058048,0.0001367096780703069,-0.00046396321065631077,0.0001470621795694983,-0.0005116908298116589,0.0001443043693935928,-0.0005075147160617902,0.00013390759834914568,-0.0004503143348265037,0.00012254530717268627,-0.00034829896821945343,0.00011592914093022536,-0.00021730778840902434,0.00011704241624659563,-7.774070185273475e-05,0.00012526382536030787,4.9318534066048273e-05,0.0001366559165923898,0.00014605716771715194,0.00014536351439282464,0.00020119756058770572,0.00014571757358910768,0.00021192221387550327,0.00013439107230127432,0.00018408811578467105,0.00011189873066884263,0.0001307059232779555,8.292565276530418e-05,6.904424155704781e-05,5.5310406503240544e-05,1.6914927118098978e-05,3.3352936956291946e-05,-8.078766552914131e-06
4,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,16.08839573368691,-5.0453773407768614e-05,-8.15298067769484e-06,-8.401980761178222e-06,-0.00011522886871726757,7.716141493087727e-05,-0.00030547129975773597,0.0001720538857452828,-0.0005417398460476501,0.00025362753656117275,-0.0007751609465551987,0.0003070605526636922,-0.0009570969817857544,0.00032763143883997884,-0.0010483323557491588,0.0003202979808168587,-0.0010263020287051233,0.00029694413302620794,-0.0008890183878982415,0.0002720861702348375,-0.0006551495448422419,0.0002581324133013022,-0.00036030307094729683,0.0002614418407552672,-5.020986785134875e-05,0.00028031181820582703,0.00022795601401770187,0.0003055751359301647,0.00043448934198021653,0.0003237479387187109,0.0005445494650717069,0.00032184561461443527,0.0005525471267687386,0.00029236954185637065,0.00047265703673424637,0.00023681211123590366,0.00033540634706823603,0.00016646269178508037,0.00018115344585960196,0.00010011261820940425,5.176015971896154e-05,5.228653520595528e-05,-1.2765440721957432e-05
5,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,21.15671838910517,-6.652824618860742e-05,-1.0604768907811664e-05,2.3686385909755655e-05,-0.0002189922955238515,0.00019424075132138375,-0.0005943670724867143,0.00038243412844338735,-0.0010598554479283623,0.0005433011528235763,-0.0015166449770388987,0.0006474592144016995,-0.001865934981753473,0.0006856488150286179,-0.0020281401645248624,0.0006679515401939537,-0.0019579744226628803,0.0006184247856021016,-0.0016526739102953043,0.0005665921624315322,-0.0011522161723694767,0.0005378276705080869,-0.0005316522708352036,0.0005451039666776842,0.00011306529830351717,0.0005845431934632987,0.0006832560778676096,0.0006364265575819877,0.0010962978034656313,0.0006717765329597996,0.0013012920260921932,0.0006627393882285586,0.0012883488284590554,0.0005934884834482516,0.0010895770162303244,0.0004679173161179632,0.000771708789783134,0.00031134395141518714,0.00042215967368785704,0.00016537203795343605,0.0001314352187467578,6.871475363712407e-05,-1.7025104407166707e-05
6,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,23.592233619115483,-7.436552479778063e-05,-1.167189749804338e-05,6.869174260011512e-05,-0.00032666338165773296,0.00032896666306277985,-0.0008979701302348464,0.0006150201031919988,-0.0016055212220216926,0.000858716331870274,-0.0022972020134326017,0.001015706276610068,-0.0028208299548875258,0.0010720247782309692,-0.0030540954512867737,0.0010428756008831804,-0.0029279496590368798,0.0009647637322434079,-0.0024392834158881486,0.0008828918927279255,-0.0016512050949421683,0.0008365822174359883,-0.000681151678945308,0.000846336234036521,0.0003210891866890653,0.0009064336732054651,0.0012016810598188695,0.0009860198096280795,0.001832155799724871,0.0010392449839776747,0.0021340445920521936,0.001021825173959389,0.002093447863923306,0.0009086833240850806,0.0017624154768626442,0.0007064211787316089,0.0012470859266166538,0.00045594321669961956,0.0006855887484582175,0.0002239012452942516,0.00022049557233833536,7.653584981023378e-05,-1.9250297108942453e-05
7,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,24.9414152768598,-7.880043032684537e-05,-1.2170046232305374e-05,0.0001178101728514653,-0.0004339768000036995,0.00046758231777694833,-0.0012022896684068586,0.0008509551754088615,-0.0021534143255812687,0.001177049205237504,-0.003081642250702655,0.0013869039391712044,-0.00378114784477242,0.0014617935586192412,-0.004086763079061513,0.0014215523914451347,-0.0039056381574261853,0.0013145151885474331,-0.0032342852841478194,0.0012012492490346951,-0.0021588605377158903,0.0011352643835246697,-0.0008390928321226845,0.0011452796511522872,0.0005214003976213492,0.001224470884546622,0.001713482681062918,0.0013312035452037261,0.0025626023963250494,0.0014025522181466514,0.002962533447133769,0.001377231051025486,0.002895337793441475,0.0012203892300530316,0.0024330979204692715,0.0009412008298582908,0.001721414706127703,0.0005964314202412044,0.0009490264274652535,0.0002781703867213769,0.0003103461773548372,8.081124782188858e-05,-2.062342610511033e-05
8,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,25.79075277168616,-8.167516598754349e-05,-1.2405554137446313e-05,0.00016879120514913358,-0.000541429129141511,0.0006078104281222872,-0.0015081137130975443,0.0010880788790624605,-0.002705029971868801,0.0014963902542567875,-0.0038726608008918324,0.0017594857366985187,-0.0047512537896120515,0.0018537615974867745,-0.0051325284173690516,0.0018031209992282235,-0.004899599099349057,0.0016670476050983398,-0.0040483220394631255,0.001521120982417864,-0.0026875576618785348,0.0014332832206545873,-0.0010189896499382281,0.0014412166016656532,0.0007001257142503378,0.0015378317068894486,0.002205291604716199,0.0016711832477171575,0.003275585930051313,0.001761149447151363,0.00377665582727263,0.001728887171479338,0.00368621460023397,0.0015291831764925351,0.003096144950019397,0.0011735164501567362,0.002191261031043848,0.0007346332032005564,0.0012105767066399765,0.0003303286178751715,0.00040001811799202005,8.346159845044569e-05,-2.160221355551105e-05
9,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,26.36834181636871,-8.370710338061667e-05,-1.2497881642026479e-05,0.0002207271791851568,-0.0006491566084383095,0.0007486848601885931,-0.0018156093642336692,0.0013254201581746764,-0.003260744252266926,0.0018158248478635768,-0.004671080129894505,0.002132649152282786,-0.00573265533387721,0.002247277044977267,-0.006193766637484265,0.002187090629127887,-0.0059131597030403805,0.0020220062436116545,-0.004885638014298415,0.0018422309193235026,-0.0032422995447203766,0.0017303689569820881,-0.001226331903145413,0.0017338275845164182,0.000851646337477236,0.0018461384313713507,0.0026717513337400954,0.002005577173040912,0.003966367625665858,0.002114754321916257,0.0045725437146662135,0.002076724635485914,0.004463190809080833,0.0018352872787701668,0.0037496107377602292,0.0014038876762712195,0.002655458714554963,0.0008712956914030973,0.001469615874983318,0.0003812330221741134,0.0004891797024636676,8.52348402302846e-05,-2.2365068263523364e-05
10,7.21506057515391,155655247.37861243,-27104.029083649802,1725.2937748431946,2.5768946033289435,0.3583490772158201,0.12667368195127707,0.011818778228934604,2.704208930543468,812.2516421518218,1.2298123639825445,4.131150271538829,160.16101145437278,1.1805968064026544,2.753901353385994,613.1057875341659,26.780986146711836,-8.523237522949335e-05,-1.250310543798253e-05,0.00027317214300463344,-0.0007571851692502994,0.0008896960558350638,-0.0021247543638942025,0.0015624220118065828,-0.00382056848154763,0.0021347772915695585,-0.005477074982983595,0.002505837955473456,-0.006725833051603245,0.002641844194024286,-0.00727138168281307,0.002573057664917041,-0.006947713389233075,0.0023790873561572137,-0.005748118668803727,0.00216435139350798,-0.003825399657212093,0.00202632132381715,-0.001463731799492882,0.0020228886084464317,0.0009732355988297363,0.002149118764894986,0.0031102327871842996,0.0023340855902667856,0.004632613214949834,0.0024631018991043445,0.005348297585345239,0.0024205904404535454,0.005224859854772993,0.0021387173208914276,0.004392558435359306,0.0016325092071516774,0.0031134544109416885,0.0010067514700597508,0.0017258527465786645,0.00043128278250808275,0.0005776773206779773,8.648150627528602e-05,-2.2995599356687605e-05
