时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,1.9338863436872997,-1.143602630282325e-06,-4.0743893237495104e-07,-1.132217366446649e-05,1.9958298469327583e-05,-1.778896702801693e-05,3.873396415861671e-05,-2.2274349610261535e-05,5.2682855805103644e-05,-2.4639548856597536e-05,5.989519605507559e-05,-2.513899669459719e-05,5.916081692102508e-05,-2.4307535197773797e-05,5.011265566884237e-05,-2.2835994542983108e-05,3.327583513725243e-05,-2.1427929700788976e-05,1.00244405332289e-05,-2.0662385335889953e-05,-1.7550147136664573e-05,-2.088496853265831e-05,-4.684509068229372e-05,-2.2143486594203906e-05,-7.500464551656528e-05,-2.4176399680905136e-05,-9.920472779504518e-05,-2.6453776068356496e-05,-0.00011693491212982205,-2.8262841026221665e-05,-0.00012625027397042188,-2.8824618045839012e-05,-0.00012596909083500336,-2.742495930029073e-05,-0.00011579762954754199,-2.3542485522420532e-05,-9.637040720293949e-05,-1.6957352127997358e-05,-6.920067392387718e-05,-7.796226094433287e-06,-3.655192762303957e-05,1.1440597125625859e-06,-4.067581143757347e-07
3,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,4.3994357531011365,-2.6032560675405964e-06,-9.271384634328126e-07,-2.9632634149265916e-05,5.652417599239412e-05,-4.749757225598649e-05,0.00010932826101002947,-5.9911306665277065e-05,0.00014906617401122015,-6.650601118025825e-05,0.0001705510830954982,-6.796982528812629e-05,0.00017048353686495877,-6.57530927690074e-05,0.00014783449318053654,-6.173045866398007e-05,0.00010397772777721428,-5.781267177990738e-05,4.25737554339868e-05,-5.557565531303649e-05,-3.078424165041638e-05,-5.596721498247613e-05,-0.00010912408709197092,-5.913502071744241e-05,-0.00018478974042433232,-6.439736699069101e-05,-0.0002502057679603378,-7.035483641454567e-05,-0.0002986340803497432,-7.512056905666733e-05,-0.0003248488315139717,-7.663216789959208e-05,-0.00032566522675174574,-7.300027103885004e-05,-0.0003002721551516103,-6.284729230624825e-05,-0.00025033752134819324,-4.5593851349882405e-05,-0.0001798725015007049,-2.1586305210834182e-05,-9.488060272300468e-05,2.604477641260029e-06,-9.252056006089538e-07
4,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,6.98998286744336,-4.139014684957712e-06,-1.4736284860778474e-06,-5.644844019876757e-05,0.00011659496315486876,-9.245753580371466e-05,0.0002248015185883926,-0.00011752025624549729,0.0003072208222023767,-0.00013092492506901117,0.0003535725003005667,-0.00013403162981382826,0.0003572870338587882,-0.0001297148023319515,0.0003162541584886553,-0.00012169147145030052,0.00023308566190351616,-0.00011375134110035047,0.00011488916126627197,-0.00010902368560852692,-2.742632989384975e-05,-0.00010940108419438176,-0.00018023738604868136,-0.00011520548038570735,-0.00032857031829889693,-0.00012513681325728677,-0.00045759989694499955,-0.0001364975108663559,-0.0005541308651533807,-0.0001456460837478734,-0.0006079170794303355,-0.00014860537794168658,-0.0006126930051116347,-0.00014173717445212952,-0.0005668204363036384,-0.00012239355856387426,-0.0004734898330746558,-8.946430319133136e-05,-0.00034045004947524785,-4.363968324753563e-05,-0.00017931061442966355,4.141395632022835e-06,-1.4696277628848934e-06
5,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,9.772191042084266,-5.7912178524772155e-06,-2.06144826735796e-06,-0.00010182860542428704,0.0002281349609874536,-0.00017082087835268436,0.00043851016113686966,-0.00021889817439212116,0.0006005742887992163,-0.00024475219383784583,0.0006949593784653004,-0.00025095014145708135,0.0007092197578180295,-0.0002429288182088029,0.0006392288658019963,-0.0002277158799863691,0.0004896813517964519,-0.00021246854414049107,0.0002736775006432457,-0.00020309026745928753,1.1429078407075076e-05,-0.00020315476541311956,-0.0002717706367787949,-0.00021329652544642704,-0.0005480932583825696,-0.00023113665386991265,-0.000789968717301035,-0.0002517217852789578,-0.0009728410602828874,-0.00026837919055572437,-0.0010776168972631598,-0.00027384327611975056,-0.0010925756032530562,-0.0002614887453909895,-0.0010145636382133593,-0.0002265091146157883,-0.0008493615722110503,-0.00016689909181099568,-0.0006111764800040559,-8.39649416018971e-05,-0.00032132814540323975,5.795625281392306e-06,-2.0535762674906935e-06
6,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,12.320004261624284,-7.308459659989326e-06,-2.601551713602153e-06,-0.00017851078056008363,0.0004286112068398461,-0.0003062715753900487,0.0008216916234507509,-0.0003952922104075316,0.0011271202517232448,-0.0004432384042862397,0.0013095366286446405,-0.0004548636203656746,0.00134608911890694,-0.00044022258409950974,0.0012289848037684214,-0.0004122773796550024,0.0009664335894409545,-0.0003841737228115372,0.0005819122988092723,-0.00036668836869677536,0.00011181951048153623,-0.00036628089112381403,-0.0003982135896748214,-0.0003840371000123403,-0.0008979462820261182,-0.0004156091098578008,-0.001337587068829969,-0.00045208110253212484,-0.0016727688642754377,-0.00048155534952542173,-0.0018689562792053908,-0.0004911780017357356,-0.0019048759791684628,-0.0004693067466915407,-0.001774658425833306,-0.0004075469232435789,-0.001488494054086627,-0.0003024296982854023,-0.0010717196504669959,-0.00015634818694286863,-0.0005624323223170971,7.316383950896017e-06,-2.5866267482073147e-06
7,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,13.6908029371685,-8.129056820267856e-06,-2.8938812145749344e-06,-0.00025444556940761867,0.0006318660850600759,-0.00044197122975179467,0.001209591424630515,-0.0005724638951339118,0.0016600529469951845,-0.0006425718509671042,0.0019317052401400393,-0.0006593689067076029,0.0019911292334485065,-0.0006377536165625749,0.001826772318116441,-0.0005968573410536494,0.0014503622242613334,-0.0005559751104993282,0.0008958539740391646,-0.0005307908018566792,0.00021601262582575728,-0.0005305521288048602,-0.0005229712821804771,-0.0005566107167071011,-0.0012482192191298016,-0.0006024503870843137,-0.0018875169223207988,-0.0006550553597015329,-0.002376523236146722,-0.0006972760768865447,-0.0026651394067482297,-0.0007107589225560321,-0.002722458527532543,-0.0006790081655425491,-0.002539856080222047,-0.0005902108544142625,-0.0021319414878271507,-0.0004395402963548751,-0.0015352475533962594,-0.00023049187011324338,-0.000804773017015735,8.140520362571956e-06,-2.8716848631558916e-06
8,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,14.53749296109133,-8.640275013381434e-06,-3.0758446316125616e-06,-0.00032962888454736585,0.0008336775675434602,-0.0005769637064475951,0.0015943425222324625,-0.0007487536784584438,0.002188229689853168,-0.000840649803992985,0.0025476021719906955,-0.0008621692107387994,0.002628456107181865,-0.0008332405568942259,0.0024154763519519916,-0.0007793396662852391,0.001923939098677089,-0.0007260029560549327,0.0011983426172875737,-0.0006937890281468121,0.0003079014250967851,-0.0006945825389581796,-0.0006605583568681196,-0.0007297817148970783,-0.001611471432544672,-0.0007904915728051624,-0.002450186786982632,-0.0008594684488445858,-0.003092403810488444,-0.0009143092164611692,-0.003472488923214193,-0.000931282073156375,-0.003549929978510407,-0.000889234385727663,-0.0033133693707429026,-0.000773130107054564,-0.0027818551562286712,-0.0005769024921538108,-0.0020031455373032254,-0.00030515043726846283,-0.001049190979409039,8.655274878436948e-06,-3.04630850332275e-06
9,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,15.106179845316824,-8.988303700319641e-06,-3.199246501943381e-06,-0.00040410262604427137,0.0010326686900557797,-0.0007109638129579724,0.0019733842562503147,-0.0009236305734100773,0.0027079990635558177,-0.0010367823601653123,0.0031526321806398306,-0.0010625013476063725,0.0032527233171875535,-0.0010259212814553297,0.0029892257311430245,-0.0009590185151226366,0.0023810129003110072,-0.0008936394163010525,0.0014831916279886917,-0.0008551611560537773,0.00038149072892720707,-0.0008579341636340744,-0.0008165862590833021,-0.0009031708711917458,-0.0019927843165253502,-0.0009793819171419024,-0.0030300530073503877,-0.0010649703795358595,-0.0038241970843830033,-0.001132285950887058,-0.004294120530489337,-0.0011523510978897755,-0.004389768367025105,-0.00109956346576547,-0.004097094312686721,-0.000955866976162687,-0.0034396149821862114,-0.0007140759401238655,-0.0024763413998090873,-0.00037988809749539223,-0.0012962134357711824,9.00682991316149e-06,-3.1623537294179885e-06
10,3.5964792747737087,52147978.2184614,-7.275957614183426e-12,334.2109750508022,1.4564502316400778,0.12998245648236192,0.11077635844343131,0.008529468344986045,1.4868187195455282,587.3086596084928,10.0,10.0,0.0,10.0,10.0,0.0,15.510298171644376,-9.24057034081527e-06,-3.2879663274202372e-06,-0.00047786974127887185,0.0012282550188371757,-0.0008438089389978018,0.002345631834195435,-0.0010968083458940852,0.003217810133656424,-0.0012306055413030855,0.0037448350112424156,-0.0012599685315416984,0.0038616384395404346,-0.0012154040023188506,0.003545489380914633,-0.0011355332107067478,0.0028189177439917126,-0.0010585672583691094,0.0017477066557272539,-0.0010146327022082502,0.00043415785677053745,-0.0010203648283226001,-0.0009935201130349604,-0.0010765529844623213,-0.002394399537989511,-0.0011688980279337489,-0.0036290903001363747,-0.0012713285553324022,-0.004573588958324963,-0.001350959790181814,-0.005131428057865508,-0.0013737074829158463,-0.005243086791904189,-0.0013097319558764123,-0.004891884904307443,-0.0011381630849907028,-0.004105843233592208,-0.0008508175756098408,-0.002955253704533225,-0.0004544831669907548,-0.0015460788159147565,9.262609313094646e-06,-3.2437247430328416e-06
