时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,5.016546933105862,-1.5981669631587369e-06,-5.506947293286802e-07,6.0679380839398645e-06,-1.6749562037474126e-05,2.1507468676296573e-05,-4.9126813057455947e-05,3.933605877668373e-05,-9.101332844016198e-05,5.536329799815662e-05,-0.00013415007436630932,6.676849612040165e-05,-0.00017031350276399963,7.249641865028229e-05,-0.00019275200442255127,7.319456281579462e-05,-0.000197334620578895,7.075075250345827e-05,-0.0001831852524296857,6.75701178221321e-05,-0.00015271441575970593,6.578297339362006e-05,-0.00011105153479841115,6.659466164064388e-05,-6.499016038222486e-05,6.995747040776083e-05,-2.1645924599407027e-05,7.46608527324459e-05,1.2911705676443047e-05,7.8813796920287e-05,3.478002928399377e-05,8.056737674771862e-05,4.286745866064739e-05,7.884031986266093e-05,3.89346234445231e-05,7.379700465722836e-05,2.702876303346725e-05,6.690386273474726e-05,1.2449039235149562e-05,6.0515924586547365e-05,4.391103541082142e-07,5.6562256173487023e-05,-4.785736275128602e-06
3,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,11.05563278216326,-3.528903058567085e-06,-1.2094411266195687e-06,1.6283809520813762e-05,-4.233409413408542e-05,5.600103458736284e-05,-0.00012542858868088731,0.00010203307942382715,-0.00023342684707264812,0.00014338966737329875,-0.00034457463277434995,0.00017257472189046932,-0.00043685729101729644,0.00018675813798557192,-0.000492060911046189,0.00018767610340436443,-0.0004990326897855577,0.0001804186688776145,-0.00045551400947318576,0.0001714790261349683,-0.0003682888014216598,0.00016658710069153806,-0.00025165208595051775,0.0001689115631660271,-0.0001245040088074763,0.00017814028861385186,-6.620965166945206e-06,0.00019072433872684253,8.516924731427943e-05,0.00020122974322655813,0.00014013930627550792,0.0002043823245891431,0.0001554956759508176,0.0001971414339819422,0.0001365320799090763,0.00018009414646315855,9.509526441461624e-05,0.0001576727870471881,4.674305539093076e-05,0.00013705721512112043,7.156136271981096e-06,0.00012489707860626902,-1.067281381403399e-05
4,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,17.34055053256685,-5.550364751414603e-06,-1.8841984646748223e-06,3.4139797760434074e-05,-8.24124255383148e-05,0.00011288821989818547,-0.0002467569648843946,0.00020427059784297082,-0.0004609353060316874,0.0002861020469736199,-0.0006806376512143653,0.00034311774641643754,-0.0008604100947090149,0.00036955452164107535,-0.000962445762137268,0.0003690575109611657,-0.0009636775782134279,0.0003522351784378699,-0.0008598298047851247,0.0003326188679000164,-0.0006658431998513554,0.00032210327106752554,-0.0004126717379240373,0.0003271028236804078,-0.0001410827594851462,0.00034654471629376286,0.00010637053598089759,0.0003723678747017078,0.0002936399184016577,0.0003924630211986791,0.0003980563408704521,0.00039518108921595275,0.0004143605081281863,0.00037395232479500744,0.0003550812066203033,0.0003304351378832159,0.0002472462392924269,0.00027506943815549,0.00012624543720067747,0.00022471919029958863,2.8097933682058564e-05,0.00019629945657343036,-1.6969362404586805e-05
5,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,23.794571673025168,-7.65507862852652e-06,-2.5426770933424402e-06,7.492339519273989e-05,-0.00016547639059950135,0.00023572075954714266,-0.0005006253352653985,0.0004217060605242345,-0.0009370971469918358,0.0005869632853470859,-0.00138144933828479,0.0006999081219153171,-0.0017370800234428462,0.00074878269647702,-0.0019236467667596182,0.0007415490786924256,-0.0018927429891390853,0.0007008760241260428,-0.0016369045231786322,0.0006556866255051794,-0.0011906275392042191,0.0006314020007704981,-0.0006233883186531901,0.0006414767591659674,-2.598854398282926e-05,0.0006827770528549265,0.0005072671748983685,0.0007365140798322266,0.000897116532408683,0.0007748228579616644,0.0010947977310917661,0.000771121700069471,0.0010911082873905661,0.0007108654814842126,0.0009171597736082223,0.0005989075799475702,0.0006368270109522338,0.0004607416901178531,0.0003327988287706556,0.000336903310567849,8.918841887633854e-05,0.00026993116276073366,-2.3697784412435875e-05
6,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,26.91726840414033,-8.704138773750853e-06,-2.8199217870397956e-06,0.0001212345180337227,-0.0002555486491104707,0.0003709397615466185,-0.0007769087548407143,0.0006585860197949413,-0.001454701947883117,0.0009127180312233341,-0.002141043033907223,0.001084459187123906,-0.0026829549356347975,0.0011557835423597073,-0.0029536137878210587,0.0011392658369805367,-0.0028774370529610046,0.0010704676875751206,-0.0024444062407094195,0.0009950046986229207,-0.0017115882481686443,0.0009532953330104407,-0.0007919014654818866,0.0009669071255827445,0.000167817959188015,0.0010306993671196389,0.0010155510891624536,0.0011139018141008662,0.0016241524689735584,0.0011706740958354874,0.001916488748284553,0.0011572641292979693,0.0018801049475876842,0.0010500431272003692,0.0015681934448328035,0.0008578427855808043,0.0010869424629690577,0.0006238373712966717,0.0005725620751815467,0.00041583511931414746,0.00016302417005086966,0.0003056897880402514,-2.7146109198085474e-05
7,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,28.59849846485146,-9.294205766336717e-06,-2.934527302583371e-06,0.00016823331711720104,-0.0003457550027163359,0.000506446504596166,-0.0010541404197500928,0.0008948427930351672,-0.001974178378383753,0.0012368429374144615,-0.0029031277220127067,0.0014667299515542804,-0.0036313467086766496,0.0015602824649541302,-0.003985484523229443,0.0015342848310351774,-0.003862938211814674,0.0014365992366971651,-0.0032513586779167065,0.001329200766296993,-0.0022305678836062803,0.0012677115870128235,-0.0009570654098466292,0.0012824625597699772,0.0003661165100231471,0.0013669886821001728,0.0015290251738258316,0.0014788112904479578,0.0023564345244892425,0.0015538223949986367,0.0027428201188254234,0.0015304865851183934,0.0026727189577043426,0.001375621762560753,0.00222181313582236,0.0011020486580401879,0.0015389418212224091,0.0007710698301072416,0.0008139157053505588,0.0004782576577234559,0.00023840800457840925,0.00032502058514947843,-2.913173592597506e-05
8,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,29.638908227063,-9.680755832534361e-06,-2.976603688724502e-06,0.00021554302313906822,-0.00043629520600981935,0.0006419803586471687,-0.0013329304729789069,0.0011305573711645682,-0.002497160294151292,0.0015599755425328996,-0.003671106382284098,0.0018480576846698655,-0.004588154779624564,0.001964351952904222,-0.00502821489145087,0.0019293324051404303,-0.00486152856638703,0.0018024722543500096,-0.004073268127326795,0.0016617238400699426,-0.0027657913308897918,0.0015781404641654678,-0.0011389376776448547,0.0015915647394423604,0.0005481955432467226,0.001695046217649212,0.0020276406730149557,0.0018348392012044392,0.003075831124628089,0.0019283956704677428,0.003558566224554458,0.0018958039282262705,0.0034571971610387457,0.0016937587711997777,0.002869806209651932,0.001338881375699483,0.001987740201662811,0.0009108124718752874,0.001054121555832276,0.0005331893269579799,0.00031399132981224876,0.0003370649606464037,-3.045940792940286e-05
9,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,30.33876104328194,-9.959719799681641e-06,-2.9800162874298296e-06,0.0002629859385873973,-0.0005271794903510056,0.0007773512995226069,-0.0016133466011231045,0.0013656154173445581,-0.003024031762422786,0.00188217542929335,-0.004446028641825657,0.0022287559426977972,-0.0055554477588598125,0.0023686019355348936,-0.006085164364993147,0.0023253080767617214,-0.005877983726672141,0.0021692188519792793,-0.00491627030239332,0.0019938450828385855,-0.0033245109073716133,0.0018858922650023934,-0.0013454750290847538,0.0018954980745594918,0.000705927273608861,0.0020161371504774533,0.0025036738127377136,0.0021833218875694864,0.0037755383798858677,0.0022959510164994985,0.004358205978894074,0.002255148296642865,0.004229453689160412,0.002006858301066169,0.0035094558526479543,0.0015712137490326956,0.0024317422372451256,0.0010462997001413484,0.0012923489825492158,0.0005840583829583307,0.00038933776038060057,0.0003452602420234801,-3.14345445771445e-05
10,1.5288181072193399,95330269.06890674,-3803.830468994347,339.46997262066105,2.3784273088140173,0.3422372486594444,0.07557440720262035,0.006742193805458093,2.5038897603976715,1326.8747535922107,4.043391433143128,6.564114969355123,178.61870744048485,0.11512524318294481,0.79175657078369,719.4195597629605,30.835170698313416,-1.0174927731140987e-05,-2.9602683189514343e-06,0.00031045927991840233,-0.0006183738505886326,0.000912411264316378,-0.0018953130248694928,0.0015998554035216018,-0.0035547937657802934,0.0022033145352678587,-0.0052281576290422755,0.002608781163447998,-0.006533952248982749,0.002773117641093485,-0.007157686715301353,0.0027224502852244456,-0.0069143709798129655,0.0025372235094780517,-0.005783135998174322,0.002326053545122248,-0.003910091322039934,0.0021914978237278495,-0.0015804339065590557,0.0021947794556790665,0.0008354371889510528,0.002330747965786338,0.0029534346105348015,0.0025247554846412608,0.004452322789964479,0.0026570798889198714,0.005139147408121726,0.0026093019255031915,0.0049876054545297125,0.0023159555983496764,0.004139539774316333,0.0018003338233985922,0.0028702504534021712,0.001179009089340393,0.0015282435712083535,0.0006324363958129567,0.00046425781562382584,0.00035117865923194497,-3.219758083150025e-05
