时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,2.691175792266529,-8.578709252148065e-07,-9.161475093481847e-07,1.1908168929939563e-06,-7.778858536690178e-06,5.954361058064485e-06,-2.379004117583373e-05,1.1601131638607732e-05,-4.496744315632568e-05,1.65441318462272e-05,-6.636543992311499e-05,1.9749350615842095e-05,-8.303680784005541e-05,2.087752302619599e-05,-9.098735403116344e-05,2.0243074969409508e-05,-8.793320501845026e-05,1.8618530873360862e-05,-7.371520808251985e-05,1.694108927542289e-05,-5.0300201371128874e-05,1.5995549914615816e-05,-2.1374030429250742e-05,1.6155677291557847e-05,8.393146377419753e-06,1.725840293073468e-05,3.426805260625825e-05,1.865603869507157e-05,5.2382828995413956e-05,1.9441709397480204e-05,6.04864935766517e-05,1.8785289321862343e-05,5.83668858942832e-05,1.627294022555503e-05,4.785684046841501e-05,1.2132679073242116e-05,3.242295836296444e-05,7.260060880968647e-06,1.6423890890392838e-05,3.0184501451006384e-06,4.186039186563872e-06,8.554624346337733e-07,-9.176265569623378e-07
3,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,6.147747981663447,-1.9608353119560815e-06,-2.0926898138782932e-06,3.5437469145581077e-06,-2.0130152294098267e-05,1.621323897989327e-05,-6.240038789064479e-05,3.123178597750302e-05,-0.00011842995939748205,4.439186369563085e-05,-0.00017507015638618467,5.293869361930345e-05,-0.00021910051444144464,5.5960238042960526e-05,-0.00023981554506652885,5.428586029557861e-05,-0.0002310795223850098,4.997156777642719e-05,-0.0001924571199115825,4.5521329672224815e-05,-0.00012922936792511173,4.303939679281962e-05,-5.130778978088816e-05,4.353197161509561e-05,2.8737705601577803e-05,4.656058982017966e-05,9.815811143056668e-05,5.037461596680553e-05,0.000146529548584932,5.2515843607847364e-05,0.00016778440345930533,5.0728570635254346e-05,0.00016135658700734375,4.388466493114313e-05,0.00013220682611491316,3.260194397983512e-05,8.97239319044886e-05,1.9320861476056054e-05,4.5736445661554736e-05,7.772162784319044e-06,1.2034842579893665e-05,1.9543621529994042e-06,-2.096841724603371e-06
4,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,9.618060624591754,-3.0698637412935504e-06,-3.273453229245958e-06,7.418071192058524e-06,-3.6867563471444604e-05,3.128989276344706e-05,-0.00011592726889942988,5.9574190193562725e-05,-0.0002209258405158985,8.437877291120665e-05,-0.0003271059226604172,0.0001005153294365619,-0.0004094558314573597,0.0001062502099759841,-0.00044766406702624617,0.0001031266501454807,-0.00043006232085654797,9.501024503991086e-05,-0.00035580772483285577,8.663288875052735e-05,-0.00023493789309733543,8.199253231503887e-05,-8.632189994431995e-05,8.301684174812841e-05,6.608571004403294e-05,8.888137448227481e-05,0.00019796895658728527,9.624047394482317e-05,0.00028943407718111055,0.0001003732972845772,0.0003288995883957403,9.6933041893663e-05,0.00031529925778893327,8.373776416713913e-05,0.00025814631036186604,6.19746346342031e-05,0.0001754512357892793,3.6358535978675274e-05,8.994137396236917e-05,1.4118905032875581e-05,2.4349348283736778e-05,3.057546957465243e-06,-3.281692007720539e-06
5,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,13.730140719292747,-4.387599379273709e-06,-4.67110412164969e-06,1.584730007093064e-05,-6.772965052288468e-05,6.123980345574615e-05,-0.00021683513944609347,0.00011495256093075671,-0.00041528172939613896,0.00016209466031062453,-0.0006160444951350773,0.00019284383061432127,-0.0007713674519662302,0.00020387562582817106,-0.0008423425038273942,0.0001980477559484236,-0.0008065517359954298,0.0001826420394765448,-0.0006623263880646071,0.00016665600772249931,-0.0004289105714257995,0.00015777646168226527,-0.00014257028203105312,0.0001597874782965179,0.00015058183914596818,0.00017118041306812321,0.0004036763450580794,0.00018551827244918755,0.0005783280515554529,0.00019361672543944663,0.0006521805467651646,0.00018696136599660428,0.0006232024556465861,0.00016124916316022253,0.0005098459404157906,0.00011878671389582822,0.0003470524725715386,6.881816690999181e-05,0.0001789774462117875,2.5545675365338144e-05,4.9925294788486455e-05,4.363934541106787e-06,-4.687706966799362e-06
6,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,17.192724337694596,-5.503844895822452e-06,-5.844683008642182e-06,3.052660731709631e-05,-0.0001155760402598879,0.00011026215265394714,-0.0003760996520002762,0.00020444039408824447,-0.0007235323530753042,0.00028716953735577266,-0.001075342185939915,0.0003413538590337388,-0.0013473458343486206,0.0003611076310509849,-0.0014707471168916738,0.0003512137154264312,-0.0014057562027380822,0.0003241937545044628,-0.0011492235033341886,0.00029575571762119107,-0.0007350265348290845,0.0002795773214330605,-0.00022727844051119027,0.0002826582611281065,0.00029230733479616747,0.0003026382819348177,0.0007405102554924321,0.00032821188343719126,0.001049048434038408,0.0003429119137217281,0.0011780744078590324,0.0003312910722268062,0.0011239081606600105,0.00028544326854234615,0.0009193778836046711,0.00020945261859661875,0.0006267423021011745,0.0001200032832937731,0.0003247740851420038,4.274221914181832e-05,9.268901427875229e-05,5.461966504672126e-06,-5.875218614110968e-06
7,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,19.090376941822683,-6.122262463174957e-06,-6.4844381299112235e-06,4.592492212436025e-05,-0.00016310262333250143,0.0001601668468845742,-0.0005359314106837674,0.0002949214139530299,-0.0010339628122697931,0.00041341020980182,-0.0015389758627293935,0.0004913652433964919,-0.0019300219624562983,0.0005202900148624208,-0.0021080196292748953,0.0005066708450026022,-0.002015429795364718,0.00046800449880703105,-0.001647323677607901,0.00042659396985505614,-0.0010520420325178855,0.0004022544946392701,-0.0003215484049461144,0.0004055511885568571,0.0004266404197289497,0.00043362327149587825,0.001072573872214585,0.000470436811337261,0.0015176058987007137,0.0004920931876674098,0.0017039711832405949,0.0004758848751233378,0.0016260673213211604,0.0004100162677764036,0.0013310230096828422,0.00030027991956225954,0.000908513958637953,0.00017096624474710387,0.0004721558132456833,5.943257630311648e-05,0.00013639325943106903,6.06204933456733e-06,-6.529251873250727e-06
8,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,20.27601031431004,-6.514650027899731e-06,-6.881244273079637e-06,6.161933546220347e-05,-0.00021049422449970445,0.0002103427030212457,-0.00069623286758359,0.00038559684573086385,-0.0013461610244905897,0.0005398722791702477,-0.0020063628962351766,0.0006418596424021933,-0.0025189561033632474,0.0006804093104796536,-0.0027542970117457794,0.0006634692444826667,-0.002636757519034466,0.000613203939314181,-0.0021592677020215814,0.000558345590467048,-0.0013842980860469805,0.0005249565280196738,-0.00043142542412670954,0.0005275125313053406,0.0005461018063980068,0.0005630388283226164,0.001391474715604944,0.000610979019203153,0.0019753859603953016,0.0006399265062648031,0.0022217751883533924,0.0006196354350657766,0.0021227583804819205,0.0005341380412391085,0.0017394815734015402,0.00039081691027969835,0.0011888436781289423,0.00022164168311886433,0.0006192044062447148,7.583020412382767e-05,0.0001802632463687437,6.436098405432242e-06,-6.940446299920604e-06
9,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,21.081543704571338,-6.78686383766047e-06,-7.14832927605146e-06,7.744948370330221e-05,-0.00025783521116813163,0.000260568152903946,-0.0008570216630584467,0.0004761873357310197,-0.0016600985476229527,0.0006662321864159872,-0.0024775062971801472,0.0007924921881278556,-0.003114303927948128,0.0008411272482213471,-0.0034100288990092714,0.000821301245379845,-0.003270615548956886,0.0007595243468039601,-0.0026864531750511737,0.0006907708739631493,-0.001733745642580518,0.0006474417806769817,-0.0005593652737692654,0.0006482647385412519,0.0006478634422177397,0.0006905526542436309,0.0016942134636836292,0.0007494619860698861,0.002419453730379943,0.0007860319227020587,0.0027288430578939647,0.0007622167053183488,0.0026118067485548777,0.0006575881557040011,0.002143144876269677,0.00048097422301174227,0.0014666908034857633,0.0002720597396236614,0.0007653577139644666,9.203828873793297e-05,0.0002240562782367569,6.690001412040723e-06,-7.221947982462856e-06
10,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,21.659698878830124,-6.987632964515054e-06,-7.337802727381753e-06,9.333859956443218e-05,-0.00030515625852936995,0.00031073185492312954,-0.0010182830828271191,0.0005665453576668984,-0.00197572726978344,0.0007923102648818319,-0.0029523691756353264,0.0009430629423620612,-0.0037161066880430347,0.0010022427167535246,-0.004075408632993731,0.0009799849358985055,-0.003917414354547179,0.000906815114568953,-0.0032295502596686,0.0008237467613047664,-0.0021013240239906544,0.0007695952842324992,-0.0007065455277883175,0.0007676754996462118,0.0007305815858217225,0.000815998544030459,0.0019793839926125403,0.0008856893165620521,0.00284845669899119,0.0009302075732250746,0.0032239807671019297,0.0009034565211393393,0.0030922512806985363,0.0007802538157123895,0.002541317610416183,0.000570709716013278,0.0017416149978148954,0.0003222379892046301,0.0009103811676775187,0.00010810674872037438,0.0002676690923788826,6.872501914181876e-06,-7.4258275234689735e-06
11,0.5089331559055497,16015662.49806077,2.7284841053187847e-12,48.88058134047059,2.222389857927236,0.20829115155246702,0.019190629591875792,0.005811124092405039,2.273402284132099,1301.3093940682259,5.703772755428416,2.0084232405905915,290.68390439270854,5.703772755428416,2.0084232405905915,290.68390439270854,22.090702808807883,-7.142560344724389e-06,-7.477044520576216e-06,0.000109243058123496,-0.00035246384382625916,0.0003607643632066154,-0.0011799779401032418,0.0006565707988461352,-0.002292963454819179,0.0009179751015988983,-0.00343084903073951,0.0010934163728903122,-0.0043242865221162574,0.0011635922353379264,-0.004750433052022841,0.001139369371852169,-0.004577271189303417,0.0010549532107125641,-0.003788829363461557,0.0009571796048846984,-0.0024874698681243233,0.0008913383775105678,-0.0008735569934582008,0.0008856583671120836,0.0007935505594686348,0.0009392645760453757,0.0022462271979690964,0.0010195223636901422,0.0032616530875165645,0.0010723052951747295,0.0037065280662143337,0.001043224378020983,0.0035635584652451003,0.0009020456832872477,0.002933613264004774,0.0006599841726787578,0.0020133716592312077,0.00037217911222228815,0.0010541451931504022,0.00012406059292882824,0.00031104573128181286,7.009212793519631e-06,-7.579441339137798e-06
