时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,10.353677000597319,-6.8050510106580915e-06,-3.5720656141815387e-06,4.180425814285531e-06,-2.265857347891724e-05,2.9485551142506822e-05,-6.440548233730442e-05,5.985700675103006e-05,-0.00011993322479575442,8.723686972265764e-05,-0.00017702971324762946,0.00010596426342310493,-0.00022303657157157983,0.00011382878623964438,-0.00024738680926519814,0.00011215504432660811,-0.0002436927949363649,0.00010491125856209056,-0.00021096389023213824,9.713327090081025e-05,-0.0001537770508383431,9.311820098854273e-05,-8.134947100423407e-05,9.493331978061547e-05,-5.675231561476667e-06,0.00010171983461917344,6.091763908428181e-05,0.0001100366114236196,0.00010827629899958212,0.00011514523836071872,0.00013044730319986277,0.00011281354179577236,0.00012677288352634544,0.00010103473388416434,0.000101847200086842,8.107148241674568e-05,6.436529369617117e-05,5.746837579945174e-05,2.516717078377524e-05,3.689493342608772e-05,-5.141424392463047e-06,2.5563093958966437e-05,-1.8039173080002155e-05
3,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,22.042245710934562,-1.4523977281359124e-05,-7.5750804599742125e-06,1.901474231088106e-05,-6.286174752475258e-05,9.440583242609188e-05,-0.00018598588591687038,0.0001849555337424585,-0.000350443760054159,0.00026650759520189924,-0.0005193326499265085,0.0003219166349164558,-0.0006539755716012046,0.00034444770009810146,-0.0007219279093863785,0.0003381366380096108,-0.0007035760211085242,0.00031514309844873705,-0.0005960350441422668,0.00029094365975829937,-0.0004137537279257903,0.0002787458736512148,-0.00018566792846965753,0.000284817660026276,5.0614898773570244e-05,0.0003062655964080657,0.00025649395698156723,0.00033208351423851543,0.0004002941165512198,0.00034720328588945786,0.0004636599290635683,0.0003382240268921053,0.00044499923735348904,0.0002988910438006376,0.00035929779199377445,0.00023342807736578607,0.0002344517870951942,0.0001565613311306406,0.00010508293144141137,8.989211734249496e-05,5.10055391146017e-06,5.4450697132126917e-05,-3.846765208496202e-05
4,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,33.56203591899014,-2.2244578934032813e-05,-1.1404323577420358e-05,7.107671069113552e-05,-0.00015676188629352961,0.00027458937465791645,-0.00048636081212199343,0.0005184925399723744,-0.0009278478461584394,0.0007375846857377241,-0.0013800090702966112,0.0008853433569623606,-0.0017359362139858754,0.0009433829626863375,-0.0019057649024246449,0.000922604357600396,-0.0018353569540400544,0.0008562924951824117,-0.0015173890630581872,0.0007871962588531418,-0.0009931638287687498,0.0007521296669000855,-0.00034474308390606737,0.0007686987597240212,0.0003213613661587771,0.000828627526358629,0.0008959520286813014,0.0009003639912933659,0.0012897944913383686,0.0009405342266340821,0.0014519767609345647,0.000910557137312926,0.001379696459751573,0.0007926978838314906,0.0011174298387233133,0.0005998109718110653,0.0007460903553416653,0.00037519404271763236,0.00036513295313417857,0.0001818792513667967,7.150925930860423e-05,8.288297345994716e-05,-5.872290318003902e-05
5,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,38.055860753553475,-2.5376909831518423e-05,-1.2766788455577513e-05,0.00013289702854651602,-0.000253911619349298,0.0004732315950602801,-0.0008049752944861454,0.000880310780188469,-0.0015440908587173168,0.00124560813407569,-0.0023005205980729,0.0014917102858418676,-0.002893525624334579,0.0015877395868967223,-0.0031712639160427266,0.0015512674821106934,-0.0030424905552414476,0.0014373487105572046,-0.0024952372550518685,0.0013175962475220858,-0.0015998218545035488,0.001254628514483486,-0.0004956664702328724,0.0012793162808649244,0.0006361388604170443,0.0013786059935607042,0.0016097533164833885,0.0014991016749203395,0.002273366159769544,0.001566308298914821,0.0025408419658702612,0.0015134503487733194,0.0024085316783205414,0.001309711244442313,0.0019535141402283115,0.0009774090807418917,0.0013145317607346978,0.0005915183223232263,0.000661106811055301,0.0002606648224319023,0.00015791392657987167,9.389457860516192e-05,-6.67198909844856e-05
6,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,40.29858088495362,-2.7037122436001677e-05,-1.3342145261959664e-05,0.00019648385969730446,-0.00035049011011727745,0.0006733471934407132,-0.0011245841125546094,0.001242974771120327,-0.002164255029793624,0.0017541536228602706,-0.0032287823994997635,0.0020991413061446232,-0.004063002726212127,0.0022344376479575493,-0.004452671363227665,0.0021833662803245504,-0.004269171994672292,0.0020215940141306813,-0.003495597343778388,0.0018490040434457889,-0.002230843968141544,0.0017544759941859056,-0.0006712472641698729,0.0017834648310758492,0.0009276907120563617,0.0019195596007511896,0.002303192146547489,0.002088209076567576,0.0032402541597911297,0.0021834189416858737,0.003616947244546692,0.0021091509510045713,0.003428517063055577,0.0018205312561927955,0.00278460999127836,0.0013490558785060735,0.0018816509465487566,0.0008017690826953676,0.0009587745437374178,0.00033342733626517214,0.0002478416443485351,9.933147135284063e-05,-7.077764484323537e-05
7,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,41.63159011578973,-2.8105001940365945e-05,-1.3598893962080447e-05,0.0002607584798374605,-0.00044711190352878,0.0008738182120185307,-0.001446008343115454,0.001605427910086019,-0.0027896166025001418,0.002262337086779728,-0.004166863108088545,0.0027070341125923565,-0.005247593960226954,0.0028832367347586528,-0.005754693357414224,0.0028190423409290006,-0.0055218016799954885,0.0026094899611532768,-0.004526619950806027,0.0023820613959446347,-0.0028959849898376124,0.002252319293701973,-0.0008824661058828043,0.002281663115547445,0.0011844098534748181,0.002451863033821551,0.0029647733055679516,0.00266805408144328,0.0041798079706277915,0.0027924812535019285,0.00467105962609008,0.0026987975940674317,0.00443214379771493,0.002327007480645527,0.0036049421923504696,0.0017173289776267822,0.0024431551497957355,0.0010090867042696437,0.0012549046939189668,0.00040358626214863184,0.00033865848112288376,0.00010252532402983378,-7.324109095497809e-05
8,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,42.50547594207194,-2.8876185539979918e-05,-1.369453685773866e-05,0.0003253323651636729,-0.000543948628076117,0.00107418638279965,-0.0017694234191878526,0.0019671556910718763,-0.0034204414019950815,0.0027696219317315633,-0.005115263762020688,0.0033148876814468394,-0.006448201596305754,0.003533740307337201,-0.007078777002434293,0.003458058647839823,-0.006802462835294031,0.0032009722902048357,-0.0055910506594842434,0.0029168330497954696,-0.0035986038978739134,0.002748263533057298,-0.0011331550193439941,0.002773965783912144,0.0014022277283302128,0.002975482112383552,0.0035904911443550612,0.0032385603614185667,0.005088375525260772,0.0033934951446144067,0.0057000872918240445,0.003282603732492922,0.005416963250074507,0.0028296599598967337,0.004412670029319784,0.0020830605438239974,0.0029976907458541223,0.0012145317668655008,0.0015484673019472218,0.000472300428426015,0.00042949912600255275,0.00010459632414688171,-7.489859808237174e-05
9,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,43.11400720702836,-2.9477797343925422e-05,-1.3696881860533178e-05,0.0003900189142980007,-0.0006410473384979605,0.0012741880350359033,-0.0020948199584887917,0.0023277996216136514,-0.004056689963568877,0.003275559482933916,-0.006073988866401842,0.003922201079100085,-0.007664971822159286,0.004185460868669018,-0.008425300099044908,0.004100011332157141,-0.008111828466758909,0.003795763661241733,-0.006689892917652067,0.003453159369061775,-0.004340038765477517,0.0032422058160535014,-0.0014249433892460312,0.003260244816988911,0.0015793304845394482,0.0034902105118595965,0.00417850580765693,0.0037994554263562183,0.005964255130812455,0.003986197906122903,0.006702584373347733,0.0038604185968654403,0.006381831669978183,0.0033285284354701884,0.005206935811997443,0.0024464992961099473,0.0035446313079125647,0.0014185146839673216,0.0018389950767134426,0.0005400581783001915,0.0005199833527655312,0.00010602646870562374,-7.608932620419289e-05
10,1.3838651830278716,68742964.25888482,-3402.887710749339,292.8308279522081,2.093452820204769,0.38684119964156255,0.046108117575314474,0.007213199497117366,2.270880061285449,1100.2716606615863,2.0928022334191256,2.9011844045069948,585.0810480393384,0.5560974400658996,0.5839474646389071,359.7136996906909,43.55420499643294,-2.9973457214789442e-05,-1.3639936867730695e-05,0.00045470933710441245,-0.0007384100454815605,0.0014736373711907377,-0.0024221225700466237,0.0026870664098768383,-0.004698209933791103,0.0037797399021464316,-0.007042852097827671,0.004528475506368414,-0.00889775265924931,0.00483787347546451,-0.009794212807726207,0.004744425669379336,-0.009450004137796147,0.004393496055946341,-0.007823448672674498,0.003990786588587355,-0.005120817041166626,0.003733958386933538,-0.00175858465110862,0.0037402998829901453,0.0017147888281910386,0.0039957739273783315,0.00472781172857999,0.004350386549760918,0.0068064799131491716,0.004570216012220808,0.0076777097167271355,0.004431937079524428,0.007326072022119175,0.0038234523022171807,0.00598722482914272,0.0028076569043663205,0.004083601039226959,0.0016211896766949107,0.0021262179327034255,0.0006070910529717649,0.0006099083661080965,0.00010705719134899912,-7.69831100741984e-05
