时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,28.51494082503454,-1.8852308010406152e-06,-5.190242693905592e-06,2.1634600279038295e-05,-3.50119133773906e-05,6.628803501666306e-05,-9.082014069224972e-05,0.00011688629778572318,-0.00016096889338347982,0.00016055814616827374,-0.00022958127442838217,0.00018839942967125285,-0.00028056601779270405,0.00019732744635401583,-0.00030080141598290254,0.00019027317720752258,-0.00028279137009229704,0.0001746742295388881,-0.00022622100908575006,0.0001596813714751296,-0.000138227238886608,0.0001528337906421371,-3.219613762533293e-05,0.00015727984708349484,7.483958803272082e-05,0.0001705906766625606,0.00016573461517602894,0.00018567210349921975,0.00022682822069158473,0.00019342782493215522,0.0002506771539056193,0.00018617342239543488,0.0002373242602575972,0.0001606409658732989,0.00019397756684614632,0.00011962625472707022,0.00013328935586033103,7.182745620831264e-05,7.070926186476581e-05,2.9764061332612632e-05,2.128340374565695e-05,5.398689630215162e-06,-2.096922726600364e-06
3,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,66.29208943196822,-4.4300564758667704e-06,-1.2015947032685099e-05,0.00010537574382223888,-0.00014316106932293527,0.00030861948838691196,-0.00039558677381844407,0.0005397476451874755,-0.0007149540640788099,0.0007401434045476877,-0.0010285210940663531,0.0008687037076399513,-0.0012616801698401927,0.0009106534261836658,-0.0013532066079333938,0.0008787655395256463,-0.001267783125333258,0.000806874223709421,-0.001003508331030894,0.0007372382426313191,-0.0005933898150731492,0.000705095330050007,-9.993529190694206e-05,0.0007254300588731481,0.000396990379549543,0.0007870775524478143,0.0008169260702729302,0.0008568024102856362,0.0010960170407525627,0.0008918522871366173,0.0012000521776867098,0.0008562096217654067,0.0011303193166867153,0.0007348761063277428,0.0009216718432849935,0.000541581846584814,0.0006339879988902282,0.00031765187718832324,0.00033938308234858196,0.00012184721314518586,0.00010745513113486896,1.2495919834167405e-05,-4.9308728108330475e-06
4,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,82.54339105965418,-5.6035057511731175e-06,-1.4864003990974918e-05,0.00023452003083429283,-0.0002948359039184733,0.0006736882584699792,-0.0008413744741326808,0.0011738882108257105,-0.0015357058536775697,0.0016090686189946315,-0.0022195625102634326,0.0018902134338393464,-0.0027297224821528345,0.0019842383703929877,-0.0029320022671054003,0.0019170599383661468,-0.0027486686326474007,0.001760602995517046,-0.002174818308926913,0.0016063491309466068,-0.0012817615407747997,0.0015320190317628937,-0.0002056213433895085,0.0015720950493100703,0.0008788370227766616,0.0017037839472674888,0.0017949535575051614,0.001854981953535942,0.0024024344785930443,0.0019315865293430539,0.002626580219346937,0.0018537404435926845,0.002471250352102018,0.0015880435298175663,0.002013976767355618,0.0011649275734540256,0.0013862917188951591,0.0006757214342945278,0.0007450732303536925,0.00024942877323682553,0.00024075401296557605,1.5454346296008316e-05,-6.241884500526891e-06
5,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,89.0358356747225,-6.139207095402531e-06,-1.5925046564480144e-05,0.000364923111882585,-0.0004453268248624742,0.0010398772021246601,-0.0012894604799869693,0.0018091025204493294,-0.0023647970967114935,0.002480029959570428,-0.0034264981168846687,0.002916212111242272,-0.004221496984564519,0.003065573389597544,-0.004541839913470498,0.0029654575499735002,-0.0042669152457609355,0.002724122535308065,-0.0033883170637717354,0.002481646690662427,-0.0020149350964035794,0.0023592914583079752,-0.0003558672162039236,0.0024132949194785656,0.0013192386823809791,0.002611438388199425,0.002736699588573127,0.0028436738857264728,0.0036785296603271227,0.0029638049138339287,0.004028612785403981,0.002846393255844698,0.0037932105473432683,0.0024381097908738156,0.0030928265051688476,0.001785662483723016,0.0021306658417610115,0.0010310189729921015,0.0011476650353280807,0.00037429294193920093,0.00037407965936328314,1.6557503765188077e-05,-6.841929540086757e-06
6,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,92.5008067668991,-6.477496403129935e-06,-1.6430192050242192e-05,0.0004956710403176283,-0.0005961982704638648,0.001405931720973692,-0.0017413603026033343,0.0024436264701701745,-0.0032035356724619646,0.0033507094953264954,-0.004650372167204167,0.003943970406844494,-0.005737924817599008,0.004151796383616867,-0.006183874853740446,0.004021254715212694,-0.005824451277944329,0.0036950491429435226,-0.004647311574766773,0.0033610136620295223,-0.00279807688204023,0.0031848226129108327,-0.000557836297523494,0.003246690073764767,0.0017093759312531603,0.0035073282662830625,0.0036324659218807363,0.0038199414013657886,0.004914721958575915,0.00398574142274212,0.00539761609645904,0.003832059757831631,0.005089345274029459,0.0032840010101289683,0.004153276352213723,0.002403851438674368,0.002863918973316093,0.0013845382114798042,0.0015452937446086398,0.000497939147589271,0.0005063618987392437,1.7086795685006437e-05,-7.22037786337518e-06
7,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,94.63550232333093,-6.729405320462424e-06,-1.668988259579409e-05,0.0006265301624248528,-0.0007478511426778259,0.0017715029969031936,-0.0021974814540844834,0.003076912699373653,-0.004052314106611132,0.004220324417298074,-0.005891565065788137,0.004972517041800532,-0.007279409145725002,0.005241863843435074,-0.007858594522790656,0.0050834698983886345,-0.0074219407691074645,0.004672551707395362,-0.0059527649897883755,0.004243765842970013,-0.0036325664857002945,0.004007980213584212,-0.0008133642492579576,0.004071572138247017,0.0020470558755446783,0.0043905951674955415,0.004479930448022881,0.004782814476383792,0.006108832309266781,0.00499645652002138,0.006731767498593451,0.004810011042779175,0.006358285614738409,0.004125334339477462,0.005194397113861406,0.003019485616130597,0.0035854729773365708,0.0017365532658418555,0.0019376125160765847,0.0006207671555705984,0.0006373716180137047,1.736536891005303e-05,-7.500652518378373e-06
8,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,96.06459157867972,-6.935767666198028e-06,-1.6818421697355895e-05,0.0007573847917447022,-0.0009004076564681784,0.00213635804706282,-0.00265790087712724,0.003708537149794164,-0.00491115219032936,0.005088230049944055,-0.007150055079257314,0.006001029802332755,-0.00884591957427353,0.006334878641834049,-0.009565994190385741,0.00615125060784821,-0.009059445468796773,0.0056559067067932225,-0.0073048691660801985,0.005129317499423386,-0.004518804332807326,0.004828244265021946,-0.0011231064714323316,0.004887376435051702,0.0023314041521143723,0.005260551897559346,0.005278120240704679,0.005731491060846401,0.007259937577705333,0.0059951270335104195,0.008030300885444219,0.005779536892307588,0.007599459150908427,0.004961625480924563,0.006215793519996798,0.0036323483218104803,0.004295071502965338,0.002087068713144055,0.0023244635562073915,0.0007428997450674055,0.0007670120350517037,1.7512220244690576e-05,-7.728158136048043e-06
9,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,97.07193813246147,-7.1151063212311776e-06,-1.6867790384871053e-05,0.0008881545393309989,-0.0010538976810694147,0.0025002949912159267,-0.0031225774765161634,0.004338104987868236,-0.005779924980323097,0.005953810580320837,-0.008425652439472802,0.0070287132124446225,-0.010437236722486603,0.00742996458360312,-0.01130585543977991,0.007223756969728744,-0.010736777051480345,0.006644396865005746,-0.008703514745402735,0.0060170900584986175,-0.00545683024030498,0.005645111959537397,-0.0014873054539252877,0.005693569870532602,0.0025619869244081074,0.006116552046913191,0.006026494216616614,0.0066652049177303874,0.008367500503427727,0.006980943080782582,0.00929276180093749,0.0067399044531566915,0.008812518090057628,0.005792328608204562,0.007217212685973495,0.004242132260180016,0.004992538481275936,0.002435987978798835,0.002705735176048274,0.00086436592026133,0.0008952229925468903,1.7581475152986404e-05,-7.923502227367953e-06
10,0.6038602479892629,8768595.110408228,-133.1494521537768,6.560138618308536,1.0436751533396968,0.24726032571634177,0.04628289886991705,0.0030989131135067604,1.1836215530633125,1368.426151292503,5.70868493930151,1.939959726806702,133.33826884884013,1.9681286297254825,4.863382391571727,186.28466513510443,97.8050658487239,-7.2770178315185484e-06,-1.6865039049368504e-05,0.0010187730817045307,-0.0012083131090420325,0.0028631248081444553,-0.003591418881189624,0.004965234112805957,-0.0066584408619827645,0.006816462539075112,-0.009718086548566625,0.008054781722715476,-0.012053048778113586,0.00852625073807908,-0.013077856423682822,0.008300149046043568,-0.01245362936171015,0.0076373017582886255,-0.010148454406383976,0.006906503743138059,-0.0064465227459689954,0.006458086545536143,-0.001906023140525811,0.00648963441885887,0.0027385582728695606,0.006957969307077953,0.006724690777122024,0.007583206718390779,0.009431140520614053,0.00795309979594643,0.010518820254300034,0.007690368465074238,0.009997203430327865,0.006616868008964369,0.008198457340268575,0.004848488552279749,0.005677728301017838,0.002783170344248471,0.0030813324701470957,0.000985155783605144,0.0010219580720829747,1.760130712384429e-05,-8.097371551223667e-06
