时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,2.2403677496038794,-1.0622469792636714e-05,-7.178706240708006e-07,-7.569282664692253e-06,-1.4022195403632362e-05,-9.976099400236375e-08,-3.734862197522463e-05,8.107934884683442e-06,-6.614940910145567e-05,1.5205999105696297e-05,-9.496296914947006e-05,2.0038524072132208e-05,-0.0001185759573499566,2.2247230295638874e-05,-0.00013284378029102374,2.2197768576979815e-05,-0.00013532960080627979,2.076128482148028e-05,-0.00012563685231668935,1.9007207052001554e-05,-0.00010538638327003432,1.787810747431686e-05,-7.784878689853836e-05,1.7922833093658057e-05,-4.730169098785414e-05,1.915523785152968e-05,-1.822838264914263e-05,2.107888698210655e-05,5.49614058129538e-06,2.2874556068769554e-05,2.1280624421190006e-05,2.3697612006142925e-05,2.822686828178246e-05,2.2993369463334135e-05,2.7195827816205497e-05,2.0725959532481898e-05,2.0519048999561283e-05,1.7438761896678974e-05,1.1416495837254805e-05,1.4119822825985807e-05,3.231005559101532e-06,1.0612665604996903e-05,-7.363415204004246e-07
3,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,4.961786662595074,-2.3554724767963078e-05,-1.5912919947414167e-06,-1.5769907391937458e-05,-3.3787619965083604e-05,2.560354773047831e-06,-9.076610252455282e-05,2.2754926599084265e-05,-0.0001613576181879213,4.022824406381782e-05,-0.00023197738919583012,5.208129262784915e-05,-0.00028950265254349864,5.7402219123309745e-05,-0.0003234322170310766,5.710223846979429e-05,-0.0003275741467508682,5.3375185823705114e-05,-0.00030093980600578334,4.892274573126739e-05,-0.000247715176872175,4.612526205319618e-05,-0.00017633510398585412,4.6353794946345446e-05,-9.783848710844655e-05,4.959993891197309e-05,-2.3803358012190584e-05,5.453336673626495e-05,3.576129798623208e-05,5.898512070939561e-05,7.41755301711002e-05,6.07238318649994e-05,8.916807045954568e-05,5.8287462085012967e-05,8.307385946681934e-05,5.159782819074742e-05,6.211853144491821e-05,4.2142728654321936e-05,3.494612317047179e-05,3.265409554000897e-05,1.0677917831607821e-05,2.3529446178205176e-05,-1.6390212092467702e-06
4,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,7.8604268767010375,-3.736712566223384e-05,-2.521064241514913e-06,-2.2517772146181546e-05,-6.0241617208101876e-05,1.085097083436352e-05,-0.00016340320155436893,4.767395081187667e-05,-0.0002915690821910029,7.951790829746365e-05,-0.0004196438400991153,0.00010100319357949279,-0.0005231067357072203,0.00011042055422130179,-0.0005822184465670448,0.00010946225284425643,-0.0005853249368712645,0.0001022324970128512,-0.0005306390169288408,9.380088077459683e-05,-0.00042624308259542283,8.863375398756569e-05,-0.00028835664531038697,8.92746417323983e-05,-0.0001382040854194261,9.561886719901177e-05,1.9477141503945817e-06,0.00010500851930245422,0.0001128585905303581,0.00011316008176615051,0.00018173447165760505,0.00011567828250700786,0.0002043502720278473,0.00010969710153379862,0.00018547948296198134,9.511225802174769e-05,0.0001375659190561084,7.497870993427298e-05,7.79339146231662e-05,5.492613117007393e-05,2.5096317572405247e-05,3.7318588344943156e-05,-2.6129219206855282e-06
5,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,10.819121144747735,-5.1512930323283956e-05,-3.464157857514672e-06,-2.5410063132856214e-05,-9.802915137123584e-05,3.0125058185627696e-05,-0.0002687038076667282,9.14064656156306e-05,-0.0004810809361664066,0.00014428891874338206,-0.000692735764696719,0.00017969811316133444,-0.0008618143256177301,0.0001947427537646097,-0.0009544781170697116,0.0001923069320552739,-0.0009507817561754238,0.0001794020893378453,-0.0008478913638871575,0.0001647147836805856,-0.0006601763561401015,0.00015590581350390854,-0.000416238600294721,0.0001572954794478371,-0.00015345253408062212,0.00016855348215103028,8.899505641173299e-05,0.0001848270702806163,0.0002772971828057126,0.00019836867417336344,0.00038910928772219433,0.00020124910690215797,0.00041736398978959525,0.00018833677899412303,0.00037109751594643643,0.0001595654683165259,0.0002731624986174703,0.00012070358724669197,0.00015534274204746145,8.234422860683932e-05,5.186791007515505e-05,5.1427632763826336e-05,-3.625965533153364e-06
6,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,14.039684445085532,-6.698658433175246e-05,-4.466446496946783e-06,-1.793651872374272e-05,-0.00016777339750886366,7.95268872104648e-05,-0.0004654948066445671,0.0001867671534665283,-0.0008358717558225317,0.000278872111564624,-0.0012030453836607688,0.0003398606278518678,-0.0014916530082739214,0.0003646728363869118,-0.0016406681378366718,0.00035848880990027154,-0.0016143679019418147,0.00033387769135453216,-0.0014084016002523145,0.00030649217525976504,-0.0010500709754212776,0.00029021477177137994,-0.0005929200205492863,0.0002928611429451684,-0.00010666101814017669,0.00031361931445069926,0.00033576422428893037,0.0003431475944789688,0.0006716436701843078,0.00036657494279224547,0.0008599508032987665,0.0003686917493246254,0.0008885795927333225,0.0003397523291252045,0.000775956317742971,0.00027993873074190907,0.0005667732885805571,0.0002008948062404555,0.0003228144138053628,0.00012375529966683597,0.00011078399173485574,6.68280015125219e-05,-4.768058650734281e-06
7,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,15.965731035970013,-7.631056438599637e-05,-5.0298466857873675e-06,2.406490529638781e-08,-0.00024594068415280065,0.0001449354462125224,-0.0006876726313336672,0.00030380731017182227,-0.0012365782250449246,0.00043969701005209004,-0.0017784093734789638,0.0005290109659615928,-0.002199432229277867,0.0005643159896227208,-0.002407641502131749,0.0005533057848366021,-0.0023495638703056932,0.000514694388313644,-0.002019565544309583,0.0004719755416459738,-0.0014603094367528692,0.00044621689322951703,-0.0007545106230296011,0.0004494472564571966,-9.525442237508757e-06,0.0004804863805463703,0.0006625204127447117,0.0005248270329573385,0.0011654942114159132,0.0005591610166862764,0.0014369973737267208,0.0005595486565271696,0.001459592075436992,0.0005107078828024958,0.001263276666460969,0.00041319900175504706,0.0009188070689298093,0.00028585472750368066,0.0005234077882690968,0.0001625142321803923,0.00018190511093442818,7.606697121627339e-05,-5.493928822272337e-06
8,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,17.093909480285188,-8.182929371515611e-05,-5.3264924743062585e-06,2.2330604847593375e-05,-0.00032379307000346874,0.00021446820797703882,-0.0009097863901384867,0.0004244937744120402,-0.001637409544926759,0.0006036714323669485,-0.0023538558146765126,0.0007210229070328822,-0.002906906076570023,0.0007667685639161293,-0.0031735542330623818,0.0007509069802927369,-0.00308263746790605,0.0006979957998988899,-0.002627348234854943,0.0006391943000262815,-0.0018658387741596527,0.0006028447909908395,-0.0009101371070991633,0.000605504316507766,9.459073012893836e-05,0.0006459696924874703,0.0009968516615538705,0.0007047236033025109,0.0016669371636670813,0.0007498920279766796,0.002021023500768842,0.0007484903245799511,0.0020364411646497265,0.0006794222395353704,0.00175499587336842,0.0005435794852019147,0.0012737928555997173,0.00036719649632116404,0.0007257351350801791,0.00019713000863836222,0.00025391135991069733,8.15004432501431e-05,-5.9537471607962925e-06
9,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,17.82808387016232,-8.547256742852944e-05,-5.490769448107742e-06,4.677497223402795e-05,-0.0004016870880060508,0.000285959731189432,-0.0011325957288967437,0.0005468063764203917,-0.002039947743899811,0.0007690106185793712,-0.002932273185554822,0.0009144031334971121,-0.003618736274007045,0.0009708389772041746,-0.003945208431456181,0.0009503640070508561,-0.003822725927225153,0.0008830359377427668,-0.0032431897473265965,0.0008074796895163474,-0.0022801129919451644,0.0007594061101911524,-0.0010747238791120298,0.0007602546621822377,0.00019005071314231407,0.0008092144274224505,0.0013233006261802436,0.0008819975388258533,0.002161606210031282,0.0009381077718591256,0.0025995561920681264,0.0009352339517350515,0.0026091203416421555,0.0008461640314303277,0.0022438301985206843,0.0006719918202761187,0.001627070975014596,0.00044644329009705487,0.0009273298499961358,0.0002295772976408173,0.00032585132650242844,8.505858745490244e-05,-6.281177038859231e-06
10,8.388295623360214,228617676.22321084,2.9103830456733704e-11,1819.1603071366903,2.630042759367447,0.2649337867313738,0.16471889465630163,0.009384556561764505,2.6995701454178467,957.0046190715391,0.7862445176845956,4.587861149196512,471.5475333597793,0.7862445176845956,4.587861149196512,471.5475333597793,18.33936555486526,-8.805991303504291e-05,-5.5799374570101165e-06,7.240082857841889e-05,-0.00047972677131886705,0.00035844822302513214,-0.001356318857825349,0.000669826878179207,-0.0024447353875797022,0.0009348877021645317,-0.0035147879851575746,0.00110845101417701,-0.004336885557360679,0.0011759682458509129,-0.004725594045724766,0.0011512518152949546,-0.0045739338168889416,0.0010694926529070518,-0.0038722680462565363,0.000976563960316438,-0.002709207157271373,0.0009156352634638,-0.0012549437997267543,0.0009133986776456674,0.0002699748007159574,0.0009698859027440782,0.0016352130280733138,0.0010563223179162872,0.002643482881834035,0.0011235697002908004,0.003167537883137487,0.0011197212412216474,0.003173723812468976,0.0010111275666663036,0.002727058198033085,0.00079890727905839,0.0019769833529931636,0.0005243077005635418,0.001127355751877737,0.0002607250632943844,0.00039740600167754926,8.75610822115498e-05,-6.5332068090790045e-06
