时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,6.023523472372629,-8.344514285908191e-07,-2.87674975307394e-07,3.7209788487783114e-06,-1.0865693762887599e-05,1.4139970306235275e-05,-3.5133667723954955e-05,2.645860020072759e-05,-6.717032238789559e-05,3.7242098909537536e-05,-9.935436997443432e-05,4.420561736256949e-05,-0.00012396405972588841,4.658851495968261e-05,-0.0001347418119121017,4.510835450793745e-05,-0.00012814029546412878,4.152705856103981e-05,-0.00010400670841011897,3.7967720228725723e-05,-6.559517027318276e-05,3.6171973544232985e-05,-1.891073958801797e-05,3.6906337468320705e-05,2.8485471635080602e-05,3.9695638112084594e-05,6.898010203853198e-05,4.2978288659222306e-05,9.642316132578885e-05,4.4654044064381155e-05,0.00010734668664634953,4.286452027823752e-05,0.00010163143666890693,3.675727509538179e-05,8.248267401998677e-05,2.697148368071043e-05,5.571925653638478e-05,1.5665660595622054e-05,2.8535893000407426e-05,6.020772185960849e-06,7.988718197662727e-06,1.2372684848410258e-06,-4.197528260469271e-07
3,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,13.390549695219816,-1.8573209226208305e-06,-6.362639437559963e-07,1.1277425462556434e-05,-3.0303455885931494e-05,4.0857478233536165e-05,-9.87752007955645e-05,7.583701863506612e-05,-0.00018937844096972984,0.0001064958228969235,-0.00028046789499879286,0.00012633033620651883,-0.00035000316042346037,0.00013315148189678232,-0.0003800687930810994,0.0001289719589605147,-0.00036047945959785503,0.00011879170587831273,-0.00029077236374103714,0.00010866570411070212,-0.00018026456398978887,0.00010358516812132801,-4.618595649419462e-05,0.00010576396215046223,8.974496575600471e-05,0.00011384929254793562,0.00020564508037497177,0.0001233462028621016,0.0002838354289363606,0.00012818725928999937,0.0003143600168188408,0.00012299228889599105,0.0002969126310402991,0.00010529116969746502,0.00024076703224320005,7.69401974918159e-05,0.00016272928127193756,4.420347433378409e-05,8.357578780735731e-05,1.6327300492698773e-05,2.3707304879396115e-05,2.7483777503967284e-06,-9.37798172456637e-07
4,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,22.292310415076308,-3.100790573181052e-06,-1.046019710076687e-06,3.0889651036701256e-05,-7.527911880310166e-05,0.00010591547105834624,-0.00024784710246771095,0.0001945954948513566,-0.00047684372493832775,0.0002724458177853332,-0.0007073479269284698,0.0003229881147030262,-0.0008831064389344887,0.0003405748089996033,-0.0009582214357412018,0.00033015045674486787,-0.0009064881251575755,0.00030427890767593084,-0.0007265934105513713,0.00027834282554258465,-0.000442336323116004,0.000265182919900735,-9.790159247078428e-05,0.0002706466330655657,0.00025089664466356403,0.0002914168924979829,0.0005477380605772319,0.0003159664776558692,0.0007470916720471248,0.0003285589143804704,0.000823347156432158,0.00031515094709401486,0.0007758210349330335,0.0002692616447936499,0.0006285644812298259,0.00019572342219384008,0.0004250487406921618,0.0001108794805647512,0.00021895727836904606,3.885304575946771e-05,6.301592618527187e-05,4.566272073389216e-06,-1.5795423903995945e-06
5,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,27.954862661480682,-3.904684831369823e-06,-1.2866113398444078e-06,6.159373483316516e-05,-0.00014140999163118992,0.0002041759412322744,-0.0004688187556507457,0.0003725808426694898,-0.0009043552416776486,0.0005206685270247115,-0.001343556885262098,0.0006173022068896809,-0.0016789717304114909,0.0006515771808987632,-0.0018226689848657393,0.0006324027218933149,-0.0017242131640100565,0.0005831544981085804,-0.0013807021099954955,0.0005329190318357619,-0.0008372916911119414,0.0005064670521892394,-0.00017829093327162746,0.0005156040518050898,0.0004894779585869714,0.0005546055634582144,0.0010579609504563592,0.0006016350804261362,0.0014396303369872028,0.0006262750183126357,0.0015851732541818633,0.0006010621845706192,0.0014932167396439942,0.0005131457687237845,0.0012099405052135134,0.0003717719681744151,0.0008187769669435405,0.0002086320147615576,0.00042267380505803194,7.046034168239849e-05,0.00012273815516334664,5.708682778403114e-06,-2.0146049137223616e-06
6,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,30.716663762789043,-4.3087529606928685e-06,-1.385764800236195e-06,9.301621742823682e-05,-0.00020771025802322372,0.0003033311404619886,-0.000691360958422105,0.0005516089429875408,-0.0013360560596546063,0.0007702907894424265,-0.0019875358828405285,0.0009137549300250646,-0.0024866556962946694,0.0009656943230398688,-0.002702889652696149,0.0009384982198555342,-0.002561033786675034,0.0008658061827414464,-0.0020561221275502907,0.0007901829627178282,-0.0012543023407715008,0.0007486393823991729,-0.00027984403828122103,0.000759655384214255,0.000709288073110338,0.0008158161931964613,0.0015528603588875656,0.000885276463276948,0.002120716706971588,0.0009226732976370832,0.002339239562003103,0.0008865115704363364,0.002205966551563318,0.0007570299409967744,0.0017890354131731825,0.0005477406112386395,0.0012118091677306069,0.00030593667027482255,0.0006265290788160639,0.00010135431732482239,0.00018280349932063626,6.253866337517745e-06,-2.2507187884539773e-06
7,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,32.337601983599704,-4.555969385547475e-06,-1.4292876944968588e-06,0.00012466905619345285,-0.0002741446268361483,0.0004026098228338525,-0.0009150645642191533,0.0007306016735032864,-0.0017710739323824676,0.0010199746707402816,-0.0026380561284242736,0.0012108583571908815,-0.0033048797490811185,0.0012814245270237332,-0.003598015278148226,0.0012470349217909632,-0.0034170180452738957,0.001150977849038127,-0.0027543355075088133,0.0010489841164113502,-0.0016965757368298442,0.000990547114206472,-0.00040754126692166097,0.0010015243031398606,0.000903835916940032,0.0010735820792024692,0.002024977075750017,0.0011652701470144826,0.0027826438899306756,0.0012161247780609942,0.003078343238622405,0.0011700725390644748,0.002908004747186815,0.0009998922007502732,0.0023613163256740875,0.0007231287318892282,0.0016012371937725734,0.0004027960061462646,0.0008290272025704614,0.00013187725871080766,0.00024267851380288552,6.5648909218268295e-06,-2.4083757603525722e-06
8,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,33.39505123991959,-4.726077674996799e-06,-1.4453297963281876e-06,0.00015639752470942856,-0.00034071349438722205,0.0005017757164736665,-0.0011398450207932595,0.0009092307288760997,-0.002209236912280795,0.0012693068562029009,-0.0032949108093692074,0.0015081446860669026,-0.004133501723453589,0.0015982938025057162,-0.004508094661255939,0.0015575814413712067,-0.004292533783718556,0.0014383076128941785,-0.003476133177185176,0.001309019854205237,-0.0021653794101541045,0.0012319023823564,-0.0005631051537980716,0.0012408824198658001,0.0010710521436161828,0.001327501180334655,0.002472075596545067,0.0014411530755622315,0.0034232236438674016,0.0015061634702986575,0.003800540025205127,0.0014513554315948999,0.0035977710989578042,0.0012414847924529034,0.0029256694658551857,0.0008978542901948897,0.0019863754362620775,0.0004992675635235112,0.0010298243883865976,0.00016216258892081913,0.000302233944476435,6.7608896854697066e-06,-2.527148489012552e-06
9,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,34.13206573329417,-4.852649080410711e-06,-1.4457491351612003e-06,0.000188130336391285,-0.00040740490463989424,0.0006007077195533449,-0.0013656285048321314,0.0010873109731109885,-0.0026504042281942633,0.0015180346566776206,-0.003957920268845754,0.001805309476326895,-0.0049723570632293984,0.0019159809927777774,-0.005433044369369735,0.0018698421217705622,-0.005187643427609153,0.0017275550224878243,-0.004221776728585479,0.0015701056767929438,-0.0026612052328564054,0.001472546455006306,-0.0007472531187764885,0.0014775521414972035,0.0012100437460813046,0.0015773449511810405,0.0028931765679898703,0.0017126471813323615,0.0040414957015326314,0.001792498339950769,0.004504981829010278,0.0017301097099084073,0.0042745908884227485,0.0014816416341801712,0.0034816169612534864,0.0010718501782406974,0.0023669315481134857,0.0005953647084587316,0.0012287748822137484,0.00019226509019888634,0.00036141534508896475,6.8920228650054545e-06,-2.623696972901463e-06
10,0.856942057792923,29868678.389061272,-2020.6885990059109,58.50929674394956,2.003559545326322,0.26248082609402706,0.034743817686848213,0.004808398313217381,2.091808400569431,1494.574151898393,6.656362600639811,9.897221287381171,424.278134204084,4.478166247763291,7.050079217452046,992.9803421856232,34.66853837823392,-4.9522404937929745e-06,-1.436402657894078e-06,0.0002198258504338573,-0.00047419980438419534,0.000699323325367323,-0.0015923349318729327,0.0012647022498779759,-0.0030944237732505853,0.0017659522755687621,-0.004626876535232301,0.0021020917951608846,-0.005821219542541675,0.002234201137258738,-0.006372667681324645,0.0021835494504096518,-0.006102227993869322,0.0020185027225138536,-0.004991268041692927,0.0018320807541289572,-0.0031842076825695197,0.0017123505326989874,-0.0009603014968409973,0.0017113949637939,0.0013203560326084283,0.0018229314088885273,0.003287741780924126,0.0019795223823862564,0.004636908152934352,0.00207487931119845,0.005191166242121795,0.002006110795630584,0.004938053842944527,0.001720202877566532,0.004028860085997954,0.0012450360828628105,0.002742717406464335,0.0006910734666423667,0.0014257831041548645,0.00022220690245457132,0.00042018859689223106,6.983038704738165e-06,-2.7062336327171473e-06
