时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,2.8026553821143954,-2.9922479126629775e-07,-9.57285752234148e-08,1.153130990620523e-06,-5.516039318464185e-06,4.7161482918448616e-06,-1.896461244828964e-05,8.982410155858275e-06,-3.698034670963022e-05,1.2729870574789702e-05,-5.523765075137181e-05,1.5161324148416748e-05,-6.939447425194431e-05,1.6013212496547746e-05,-7.594010634020889e-05,1.552382160099986e-05,-7.287053210165274e-05,1.4283560755348499e-05,-6.006054062907127e-05,1.3010254970765769e-05,-3.9267046137724834e-05,1.2305046522207695e-05,-1.3766964848511542e-05,1.2451393462478575e-05,1.2298416739230276e-05,1.3315700807620074e-05,3.474541453372928e-05,1.4386959476763112e-05,5.0175154838232933e-05,1.495368124166243e-05,5.6640824260739686e-05,1.4369396709273376e-05,5.4019182439859687e-05,1.2321366518173584e-05,4.401009393378942e-05,9.00818037332008e-06,2.9763847245768124e-05,5.15771781925957e-06,1.5214164364095307e-05,1.8665473012404242e-06,4.250799431553467e-06,2.970965907256457e-07,-1.0153885454359137e-07
3,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,6.014985820287433,-6.426150028477688e-07,-2.0463004007035407e-07,2.902979339532811e-06,-1.3234102104335402e-05,1.1530702497943085e-05,-4.56472328179582e-05,2.1860368734882266e-05,-8.91305830635192e-05,3.094141734993554e-05,-0.0001332196006782989,3.68429841003378e-05,-0.000167374419139736,3.892226284461352e-05,-0.00018305573146754864,3.775090084896481e-05,-0.00017537970351057255,3.475599793423933e-05,-0.00014403287165798466,3.167850673475355e-05,-9.328677082186584e-05,2.9981525540432803e-05,-3.1120391781048704e-05,3.0359033524783036e-05,3.237477362148666e-05,3.2488836883122986e-05,8.699771941096482e-05,3.512422303366235e-05,0.00012445636022340013,3.652362618890467e-05,0.00013999802218361612,3.510076396656831e-05,0.00013331983699737575,3.0085508496903348e-05,0.00010857228414965841,2.1962433331685717e-05,7.345552212067309e-05,1.2517888300369462e-05,3.759873809101432e-05,4.4504750807959715e-06,1.0549788206645016e-05,6.374334438423282e-07,-2.1878815931816853e-07
4,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,9.547502871006454,-1.0209602362271971e-06,-3.2287727796578116e-07,5.61085070163746e-06,-2.427800841028235e-05,2.1597136651479666e-05,-8.403532217756725e-05,4.07303330189198e-05,-0.00016432275507088218,5.756509687143926e-05,-0.0002457741095264778,6.852718779087701e-05,-0.0003088138694501242,7.241691780042909e-05,-0.0003375462993644166,7.027903022561659e-05,-0.00032285965969127334,6.474721246187353e-05,-0.00026414926640424814,5.904949989504204e-05,-0.0001693590083491276,5.5913080053034946e-05,-5.335590455453209e-05,5.6644235083371716e-05,6.503809922335692e-05,6.065438151617062e-05,0.00016678177062442374,6.561764672936012e-05,0.00023638571409704043,6.826809460156728e-05,0.0002649644227958587,6.562059769793842e-05,0.0002519461566310288,5.621920113310059e-05,0.000205089459449426,4.096919515636012e-05,0.0001388057581574093,2.3231051123005065e-05,7.114382493141405e-05,8.093977578804245e-06,2.0048590683438602e-05,1.0113052672018694e-06,-3.4928270896736694e-07
5,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,13.581551669563446,-1.4545000128124251e-06,-4.5465528704530475e-07,1.0386456391376053e-05,-4.238955823767301e-05,3.860632781325254e-05,-0.0001473150230957971,7.235601433733968e-05,-0.00028852596686907746,0.00010207972537984671,-0.0004318903559648731,0.0001214881370769109,-0.0005427701056554887,0.00012844703440711739,-0.0005929634714582291,0.00012475780059650375,-0.0005662561747651248,0.00011502868691992255,-0.00046151818960305234,0.00010495075884392245,-0.00029280898563977794,9.937582284372494e-05,-8.651530345228967e-05,0.00010067038713715374,0.00012390775658989312,0.00010783474124600293,0.0003045755253904886,0.00011674349361089344,0.00042789306916812825,0.00012154969879922268,0.00047800803753225853,0.00011687805869339796,0.00045387894870793367,0.00010008796363304758,0.0003693259703031765,7.278984497936561e-05,0.0002500628533762608,4.102298930377786e-05,0.00012834578818226162,1.3952771110059435e-05,3.63332632663283e-05,1.437357284815486e-06,-5.015880981250479e-07
6,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,18.016200929679915,-1.934711817616348e-06,-5.912954038037595e-07,1.9865809493372057e-05,-7.615567851943231e-05,7.112684483348965e-05,-0.0002658672679599021,0.0001323515121859841,-0.0005217187340315574,0.00018634176295967284,-0.0007818261309935845,0.00022175938005259834,-0.0009831020781209154,0.0002346901434171282,-0.0010740071230105857,0.00022825572990040028,-0.0010247693339856241,0.00021065852653803611,-0.0008331215453062142,0.000192172982358219,-0.0005245694878379272,0.00018171512718472027,-0.00014723027714527568,0.00018379794204140777,0.00023773273296072352,0.0001967891216214172,0.0005682411901071459,0.00021321303453155564,0.0007936324213675008,0.00022226932594083927,0.0008847103506223864,0.0002139164334385623,0.0008394374855512475,0.00018315294177041798,0.0006830810284128237,0.00013290681106017138,0.00046280865071235004,7.438019937874359e-05,0.00023791141996283902,2.460072912315717e-05,6.767217753784392e-05,1.9034007324298935e-06,-6.771170739361092e-07
7,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,20.763710133852406,-2.2366209268026575e-06,-6.660961713890686e-07,3.078704436753281e-05,-0.00011368032054762059,0.00010774106882132547,-0.00039811711625470576,0.0001995491257268381,-0.0007824280354087033,0.00028061398402659,-0.0011738164250617415,0.0003340619654560712,-0.00147735170590011,0.000353963827064772,-0.0016152491964905114,0.0003447462710741059,-0.001542348346449771,0.0003184122317003228,-0.0012548455181289517,0.0002902434849520133,-0.0007907959014539798,0.00027377513397698605,-0.00022244047595962904,0.0002761542308939068,0.0003581226106587987,0.0002952951365838137,0.0008571917359195182,0.0003200978667599699,0.0011980964177384693,0.00033415050163447627,0.0013364571731416049,0.00032199272805929287,0.001268883268195144,0.00027579645431980945,0.001033270811484234,0.00019990536745232581,0.0007006899888181773,0.00011137783448428349,0.0003606641755395789,3.6170781223199406e-05,0.00010291017961035833,2.189478560621123e-06,-7.954038906922206e-07
8,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,22.462490603065344,-2.4272674744151118e-06,-7.03794302269623e-07,4.190499104191383e-05,-0.00015131213936759292,0.00014459388346388627,-0.0005311253480498394,0.00026700089670589426,-0.001045203507770268,0.0003752280842844929,-0.0015697930866140106,0.00044695099801561345,-0.0019779191341289387,0.0004741882841398052,-0.0021652511452287296,0.00046249300310040596,-0.002070897052054171,0.00042744710076307856,-0.0016891850416929357,0.0003892281372547528,-0.0010704532742569657,0.0003660851364304007,-0.00031092065630211255,0.0003680652266072332,0.0004663613061852922,0.0003929162277702811,0.001135875871855597,0.0004260546135004503,0.0015946229466546852,0.0004453804399606183,0.001782672771203407,0.000429789966575169,0.001694958171049829,0.0003684107245490228,0.0013817804154165635,0.00026692105484311664,0.0009380049377066368,0.00014830965424898366,0.00048339772928079064,4.760207162867065e-05,0.00013824358825020983,2.3642519460931693e-06,-8.767193008300233e-07
9,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,23.608445334936818,-2.559437953775764e-06,-7.219505888729005e-07,5.3107481310319256e-05,-0.00018900108888132757,0.00018149136299324098,-0.0006646702347884439,0.0003344257755071974,-0.0013096202745706306,0.00046982912514818105,-0.001969183561514756,0.0005600264252401365,-0.0024842217424482145,0.0005949546226399538,-0.002723615742999887,0.000581109899978497,-0.0026104182673423095,0.0005374147892103316,-0.0021367313844543666,0.0004888074218772025,-0.0013648396081833581,0.00045832543115731334,-0.0004146900150353519,0.00045917598121307795,0.0005598123701788077,0.0004892402700774333,0.0014012514044270895,0.0005306202065483379,0.0019800474316504237,0.0005554826011390633,0.002220373055353999,0.0005368759008826834,0.002115124303733161,0.0004606654327942267,0.0017266973394194911,0.00033376135168647987,0.0011735258469587756,0.00018511995622041822,0.0006054985035235023,5.8933170780523905e-05,0.00017348728858727287,2.4805579484697644e-06,-9.38477823366738e-07
10,0.35669564852198976,7895423.416934686,-345.83289930671845,10.029582424308815,1.7780801979940182,0.14708909790173835,0.01618949143938135,0.004080737691778507,1.810014374283185,1605.9362844076538,10.0,10.0,1000.0,10.0,10.0,1000.0,24.428068959720157,-2.6572524602453624e-06,-7.285856091007349e-07,6.434403040520108e-05,-0.0002267268536605076,0.00021834765211435148,-0.0007986638094780777,0.000401699211233284,-0.0015755184848483626,0.0005642573397294557,-0.0023717890990953973,0.0006731047477617096,-0.0029960860778991205,0.0007160736415506816,-0.003290277039008201,0.0007004209217933697,-0.003161036715368421,0.0006481637982888368,-0.0025978666037205747,0.0005888519212151076,-0.0016746287969086795,0.0005503726109128539,-0.0005347050220580915,0.0005493475554314856,0.0006372937159451751,0.0005840981939218337,0.0016520082152742103,0.0006335975812760326,0.0023530521213663063,0.0006642521410648351,0.002648352338485298,0.000643068216542737,0.0025283845814394355,0.0005524282298699938,0.0020672899028264242,0.0004003570628770019,0.001406794853494345,0.00022179677826510895,0.000726742832488796,7.018673304061333e-05,0.0002085740931223874,2.562535443762016e-06,-9.886450203318677e-07
