时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,3.245949841774339,-2.3101395959512372e-07,-1.218938961270812e-07,-2.522032800096363e-05,4.860251552934361e-05,-4.562623701765577e-05,9.275125089950353e-05,-6.005130535115344e-05,0.00012779654647286236,-6.812148437202981e-05,0.00015007294697795393,-7.045920778156784e-05,0.00015717228824163867,-6.848832299957091e-05,0.0001482116764122206,-6.4113619691352e-05,0.00012394251136208683,-5.933827175520949e-05,8.669098124535389e-05,-5.588288277435533e-05,4.01282618884801e-05,-5.4870490614404905e-05,-1.1104529544048548e-05,-5.662875379030486e-05,-6.187633799938262e-05,-6.063979904002915e-05,-0.00010709750530353611,-6.564259430261915e-05,-0.00014224416039073143,-6.98674273592944e-05,-0.00016382022396561104,-7.136201705682352e-05,-0.0001697113963588273,-6.835668132179122e-05,-0.0001593980078110614,-5.9613743668032936e-05,-0.00013401080509674554,-4.4710545583280414e-05,-9.622039420868578e-05,-2.42197817239363e-05,-4.997717596131706e-05,2.310092978203129e-07,-1.2189289286617793e-07
3,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,7.367616971531032,-5.244162764952079e-07,-2.7673005730766207e-07,-7.781327869085614e-05,0.0001503634909256767,-0.00014111837606062326,0.00028726762203504865,-0.00018596470600665927,0.00039628130642548954,-0.00021110580729775732,0.00046590364869070026,-0.00021843158871728707,0.0004885285612652,-0.00021235401388331298,0.000461295636391386,-0.00019879984916340243,0.0003864469251299812,-0.00018400707038716718,0.00027114998131156753,-0.0001733289427058442,0.00012678428135164856,-0.00017024945652961845,-3.2231502243543504e-05,-0.00017577095565641347,-0.00018994212788938107,-0.00018826698998041663,-0.0003305175286208595,-0.00020381130295441937,-0.00043988893716567036,-0.0002169142911881168,-0.0005071854093577581,-0.00022153678180704251,-0.0005258289827475749,-0.00021221591223721104,-0.0004941876703703067,-0.0001851332719678419,-0.0004157370768493379,-0.0001389721871550415,-0.0002987074018118881,-7.545122550223747e-05,-0.00015526283533344101,5.244019332891139e-07,-2.766207196235292e-07
4,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,12.098141654167204,-8.614337459312231e-07,-4.5465496104482166e-07,-0.00021904430573077576,0.0004228553311917572,-0.0003983600727742994,0.0008089171026907423,-0.0005256016281684085,0.0011173519851422735,-0.0005969408758904189,0.0013151291034154409,-0.0006176583164778192,0.0013801745070192316,-0.0006003525346057054,0.0013038959357988677,-0.0005619964477418003,0.0010922969127254746,-0.0005204191516550656,0.0007655219071615111,-0.0004908348090604919,0.0003558296087235085,-0.00048302357732834465,-9.577994979783465e-05,-0.0004996284294997734,-0.0005438916579885499,-0.0005358152532959356,-0.0009434449393431995,-0.0005802941189473595,-0.0012544049410404738,-0.0006174699546637884,-0.0014458383462248093,-0.0006303261178245773,-0.0014989996737370763,-0.0006035649821091372,-0.0014091578684640891,-0.0005265364660369612,-0.001186029541338021,-0.00039555353707000965,-0.0008527698343312266,-0.000215294879114873,-0.00044362989439202975,8.613935134495943e-07,-4.539990198536638e-07
5,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,14.234823279846983,-1.0141559965539835e-06,-5.35283753981748e-07,-0.0003826036880349459,0.0007346005194889281,-0.000696592811570997,0.0014060205000071399,-0.0009192599922662063,0.0019428635610177019,-0.0010436633563129499,0.0022868837244768665,-0.0010791718182530455,0.002398900847126807,-0.0010482237811825362,0.0022633909898329366,-0.000980983837230086,0.0018905823698092427,-0.0009089750839613391,0.0013157172781727146,-0.0008588576067025181,0.000595475029296716,-0.0008474644808218872,-0.00019802637582843707,-0.0008789146815634284,-0.0009849133061297017,-0.0009441955439386369,-0.001685987155358121,-0.001023140466763856,-0.0022309314586012557,-0.0010883227197605301,-0.0025654315407077476,-0.0011101219449160993,-0.002656542577301907,-0.0010621229745115684,-0.0024958646403043044,-0.0009260604609283028,-0.0021003041373167603,-0.0006956760266773384,-0.0015103428644925654,-0.0003790233984746473,-0.0007859674212443413,1.014085799728775e-06,-5.338594121011907e-07
6,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,15.306441433863748,-1.091358392650427e-06,-5.759352695306707e-07,-0.0005455319270766615,0.0010404604352242013,-0.000993635063876065,0.0019917882286034382,-0.001310912610215221,0.0027522003388557596,-0.0014872977130716367,0.003238215767188883,-0.0015364818327675842,0.003393439136456938,-0.0014911262117925904,0.003195314917414075,-0.0013949576585142423,0.002658283855828098,-0.0012933881022522042,0.0018327831894078316,-0.00122444398884132,0.0008000820463191351,-0.0012116627691769475,-0.0003364124177386718,-0.001260129619338502,-0.0014622581374221077,-0.0013561507731207892,-0.0024640955616112847,-0.0014703532420366355,-0.0032413712099359083,-0.0015634231162803883,-0.0037164531803702255,-0.00159335538850189,-0.0038422345453269354,-0.0015230107279807015,-0.003606639484538383,-0.0013269118069086545,-0.003033735351007277,-0.0009964748375011418,-0.0021813342743456907,-0.0005431087899359925,-0.0011352525927282651,1.091258436824559e-06,-5.737030249883664e-07
7,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,15.943842257026388,-1.1379445998588188e-06,-6.002863314185481e-07,-0.0007074715369867996,0.0013398224292583251,-0.0012887288404888758,0.002564932768629566,-0.0016994635876611773,0.0035433914998852963,-0.001926512012548159,0.004166550354119109,-0.00198813722065616,0.004360775381114495,-0.0019275968830699535,0.00409645098797161,-0.0018025203240058247,0.003392263163051656,-0.001672359900857982,0.0023139500914768686,-0.001586383405710807,0.0009675080455169771,-0.0015744480040545707,-0.0005122650631831948,-0.001642077629424292,-0.0019763450392534213,-0.0017703997797010333,-0.0032772949049818005,-0.0019205310326438137,-0.004284468572520119,-0.002041254762703284,-0.00489706156885548,-0.0020784460815357697,-0.0050538969108622975,-0.0019846778049250062,-0.004739243776245288,-0.001727697185260852,-0.003984304452043751,-0.0012968597723165762,-0.0028642048067369207,-0.0007069131277022042,-0.0014906450777429246,1.1378152147254366e-06,-5.972348715225638e-07
8,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,16.36126871918815,-1.1691651042123183e-06,-6.163775638108188e-07,-0.0008682437909924799,0.0016325499824438076,-0.0015815073796729732,0.0031251489902492345,-0.0020843913919143127,0.004315942471176524,-0.00236068025372532,0.005071207975626139,-0.00243346316646775,0.005300077960504588,-0.002356961744941075,0.004965876044206979,-0.002203032460581759,0.0040915882333135475,-0.0020452981560948724,0.0027583703937831346,-0.0019441209431590443,0.0010970783032869154,-0.0019352765156462359,-0.000726018778381631,-0.002024193656065033,-0.00252733331521424,-0.002186328585646949,-0.004125470589499474,-0.002372998174602698,-0.005359868620763261,-0.0025210879214075596,-0.006106719106399162,-0.002564639241803991,-0.0062908825777895925,-0.0024463920423199526,-0.005893002855439893,-0.002127767849349212,-0.004951394688818755,-0.0015963320425805437,-0.003558478692702959,-0.0008701517977545151,-0.001851883261829075,1.169006702888642e-06,-6.125059420246243e-07
9,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,16.651214787550234,-1.1916037168343549e-06,-6.276799000037064e-07,-0.0010276849959898926,0.0019185753977740369,-0.0018716512002922023,0.0036722853265483747,-0.002465255492408209,0.0050696080702841975,-0.0027892865498653613,0.005951853021285388,-0.0028719150660841716,0.006210939008655656,-0.0027786860153887626,0.005803143666688645,-0.002595992636791258,0.004755820922907979,-0.0024117398032580638,0.0031656675249284523,-0.002297219430656997,0.0011885273890598859,-0.0022937128451145125,-0.0009777926055347635,-0.0024060170843100692,-0.0031151816902681294,-0.002603431334280984,-0.005008429385817236,-0.002827197343926309,-0.0064672524221090115,-0.003002324625558622,-0.007345018680272769,-0.0030513235372903917,-0.007552739653150858,-0.002907569106084272,-0.0070674665917424,-0.0025266148269212007,-0.005934606004246499,-0.001894508244181979,-0.004263853412400368,-0.0010326124143242028,-0.002218803440045859,1.1914167914587081e-06,-6.229924917020268e-07
10,0.4426837345948593,18926665.294204105,-1577.119981861868,28.98072457692715,2.010976069920247,0.26437289326322094,0.022806291734368645,0.004385312270170988,2.1001492671035953,1697.1983244302812,10.0,10.0,0.0,10.0,10.0,0.0,16.860079232165248,-1.208562770937471e-06,-6.359341226692898e-07,-0.0011856315419069832,0.0021978462900248737,-0.002158848833440017,0.004206227950412661,-0.0028416337005532275,0.005804209815201199,-0.0032118438027406862,0.0068082484882741184,-0.0033029855635734215,0.007093079717795104,-0.0031922771328792908,0.006607961110146051,-0.0029809425778333032,0.005384691654828215,-0.002771262320059119,0.003535636016193142,-0.002645277495679758,0.0012417502481310377,-0.0026493523877007424,-0.00126756811074315,-0.0027871148835710313,-0.0037397435219803307,-0.0030212293560833237,-0.005925909712288227,-0.003282601045278749,-0.007606269788374716,-0.003484401496793106,-0.008611554677222149,-0.0035379273499542598,-0.008839042734634182,-0.003367667709146967,-0.008262226463400801,-0.00292377161970349,-0.006933584372819283,-0.0021910412739997685,-0.004980066306658591,-0.0011941060382156755,-0.002591265603600595,1.208347889238361e-06,-6.304387269898829e-07
