时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,4.1667278584527665,-6.337106824232929e-07,-3.721847317955851e-07,4.1755175320492835e-06,-1.3019233809934447e-05,1.4610825588636162e-05,-3.860193649611771e-05,2.647015070902195e-05,-7.124452419359471e-05,3.665603144395034e-05,-0.00010350421538184092,4.3150704592638925e-05,-0.00012798575534643097,4.5336909404815505e-05,-0.00013876437720654303,4.39279963335453e-05,-0.00013251491816357262,4.056627220261831e-05,-0.00010912247196500182,3.72111169526129e-05,-7.168006381470403e-05,3.5479276339170165e-05,-2.5879742724982232e-05,3.61145251283775e-05,2.108618631336762e-05,3.873937195892337e-05,6.190909992908274e-05,4.197341897921953e-05,9.056943751466516e-05,4.389985914275786e-05,0.00010348788292684059,4.275046679058844e-05,0.00010019046592844489,3.7598789416480286e-05,8.335353886758788e-05,2.8832488612573092e-05,5.8218404500469514e-05,1.823746694143321e-05,3.1503351179806135e-05,8.643376098845957e-06,1.0016499929787856e-05,2.641754802877518e-06,-3.165669708901024e-07
3,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,9.268266008042128,-1.4134905423764071e-06,-8.20604774179226e-07,1.2542443757886925e-05,-3.593567279061392e-05,4.1974312446321665e-05,-0.00010766735652136846,7.545769870732134e-05,-0.00019941539301288421,0.00010424943457116822,-0.0002901293491165183,0.00012262864286526648,-0.00035877575454635826,0.00012882324352075567,-0.00038845024228841924,0.0001248300936807999,-0.00036964043482806425,0.00011529439213173133,-0.0003020033164834483,0.00010578464935056285,-0.00019438072007765898,0.00010091594957683893,-6.307150204696648e-05,0.00010282325701708447,7.130919091674749e-05,0.00011042871500310317,0.00018779963540499638,0.00011976077812944217,0.00026913332216345484,0.0001252867882702181,0.00030505637697418895,0.00012189196412657423,0.00029424779610259474,0.00010689346601500124,0.0002444527985523427,8.14181416223494e-05,0.00017080428709557,5.065156478545365e-05,9.270157192982966e-05,2.2812153803476917e-05,2.9846601890231525e-05,5.873932195308711e-06,-7.107088893276025e-07
4,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,15.395427975467012,-2.3627927059445368e-06,-1.3341525592888652e-06,3.371524183332053e-05,-8.735761493528719e-05,0.00010711972202251684,-0.00026519710097514757,0.00019066809965410573,-0.0004932892914940016,0.00026260497697137104,-0.0007189593523136185,0.0003086395021385699,-0.000889242554464919,0.00032425848812051494,-0.0009614151090038427,0.0003143230118809501,-0.0009113499612193298,0.0002903592055315921,-0.0007381057833250211,0.00026632684139604734,-0.00046403647800049344,0.00025393148739280254,-0.00013046956163371837,0.00025870977079463627,0.00021022989552370636,0.0002780452474334382,0.0005047490680359579,0.00030185643100324094,0.0007091514263562248,0.0003159459823578287,0.0007973830679700663,0.0003071067017390111,0.0007662075380826783,0.00026838089724138143,0.0006355479481378025,0.00020267610099276455,0.000444189238213919,0.00012341181604510402,0.00024180530372419878,5.182023411890108e-05,7.890434859289256e-05,9.745791389181376e-06,-1.2054071109750875e-06
5,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,19.422808412625884,-3.009370153078832e-06,-1.6263268513728517e-06,6.764995816023953e-05,-0.00016435226202249806,0.00020788761463701739,-0.0005036201959886426,0.0003674645261657166,-0.0009397669698189118,0.0005050645885849571,-0.0013718670404506141,0.0005935117450952054,-0.0016979945584376058,0.0006240153604667754,-0.0018357013967675354,0.0006054398690667013,-0.0017382399914872713,0.0005593961413281775,-0.0014035060938860325,0.000512472672092344,-0.0008743473269697407,0.000487406035351546,-0.0002303476720376002,0.0004954157433286431,0.00042738802480884493,0.0005320083450244145,0.0009957047559716878,0.0005779279098010043,0.0013894492317824527,0.0006054877746591106,0.0015580817774671519,0.0005886276496585652,0.0014953437742420035,0.000513459503818176,0.0012399208387219715,0.00038556297027330294,0.0008670422895034267,0.00023125710339779338,0.00047297567075086505,9.211356779598589e-05,0.00015563326100679156,1.2271304056974805e-05,-1.5676681578464985e-06
6,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,21.37908388205933,-3.3441774736523975e-06,-1.7265325959490234e-06,0.00010238892077691962,-0.0002413885572902399,0.00030957973260473457,-0.0007434968912915092,0.0005452743053078414,-0.0013902382499790759,0.0007488265166364729,-0.0020321677388311318,0.000880343372252448,-0.0025179192677323332,0.0009266165408753673,-0.0027247892495183236,0.0009000550032820275,-0.002582910726700953,0.0008318374270615827,-0.0020885878743929645,0.0007609629020364552,-0.0013048469636569823,0.0007214791954518524,-0.0003494055749141239,0.0007309544491752564,0.000627742502326843,0.0007837005567740317,0.0014731719207265947,0.0008515955243719902,0.0020599181880605233,0.0008932418047031144,0.0023123878525279583,0.0008691530052786214,0.0022209201796864796,0.0007579701632082259,0.0018428086445109596,0.0005677600717907585,0.0012897234614694132,0.00033796112136557683,0.0007045897904758373,0.00013087356308228,0.00023286469113035328,1.3481173048799003e-05,-1.7768438995029226e-06
7,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,22.524122688733726,-3.557047981800634e-06,-1.751405581310279e-06,0.00013738359844550884,-0.0003185388211005181,0.00041138789597790535,-0.0009845720878580665,0.0007230169652732182,-0.0018440873092034796,0.0009925974841297413,-0.002699049077189905,0.0011677403485711563,-0.003348364977061888,0.0012306956913313738,-0.0036286821102509406,0.0011969288319972906,-0.0034465590817910324,0.001106600532003665,-0.0027962082315129235,0.001010819022858049,-0.0017603312437251485,0.0009551615437920452,-0.0004943754031490029,0.0009642025031916585,0.0008029489867751012,0.001031799169736123,0.0019278072874823887,0.001121377807713936,0.0027110145827201697,0.0011777212070246722,0.0030513914525370214,0.0011474161607242434,0.0029353743764561073,0.0010010908931329446,0.0024384605659048385,0.0007490332277017023,0.0017084303824687799,0.0004438825898892249,0.0009345922847587052,0.00016890672300521456,0.00030980695850539765,1.4177107737271071e-05,-1.9256567774540324e-06
8,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,23.269987746341524,-3.710100877337098e-06,-1.739092233818362e-06,0.00017245821950691265,-0.0003958354922865618,0.0005130590035816716,-0.0012268016495362213,0.0009003552188319016,-0.0023012090295608293,0.0012359683479542583,-0.0033724186321991106,0.0014552544107652651,-0.004189371526831779,0.0015358123591863741,-0.0045476932924767444,0.0014956736365504203,-0.004329906647883333,0.00138337293641569,-0.0035275977570101715,0.0012617902257189642,-0.002242580061631834,0.0011882180949383742,-0.0006675440935611548,0.0011948850549917895,0.0009503464787546243,0.0012759558026373397,0.0023567832223397142,0.0013868649104371536,0.0033399854463037246,0.0014585139441952752,0.0037726384541246277,0.0014230870195141773,0.003636714855285349,0.0012426475673146605,0.00302542614449221,0.0009293975338998167,0.0021222410644370993,0.0005492060042038815,0.0011624978831097962,0.00020650544368933603,0.0003862671766933661,1.462142380041323e-05,-2.044508482122446e-06
9,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,23.78915967293726,-3.82933436009362e-06,-1.7055814142286669e-06,0.00020753060391081674,-0.000473274449992434,0.0006144595737274093,-0.0014701150516052291,0.0010770918090775026,-0.0027614689999791867,0.0014786778831287518,-0.004052116893606502,0.00174257848414825,-0.00504081974610745,0.0018416491879406176,-0.005481820014154773,0.001796002921145806,-0.005233138432622631,0.0016619269684556089,-0.004283184004349805,0.0015137070787401181,-0.0027522901171180537,0.0014205070015552124,-0.000869863537107326,0.001422843022874731,0.0010687896018819253,0.0015159611657090636,0.002758863047211248,0.0016477972253714185,0.0039456221697100275,0.0017353460064943127,0.004475055640052949,0.0016959326535508456,0.004324077281285606,0.0014824971389416257,0.003603081088949629,0.001108820157376216,0.002530761830066059,0.0006539941452533134,0.001388101087950906,0.0002437897741803139,0.0004621644157265828,1.4923956408061354e-05,-2.146128187038752e-06
10,2.3815265736041735,122377027.00928555,5712.152486832492,480.898077654937,2.6737971023584315,0.33248964088853533,0.09886745943971233,0.00686023987609893,2.7802833205905535,1402.5310444691327,9.599231075689072,7.756087983792235,547.8998580798049,2.3069492507561655,9.806131097477651,241.818324371229,24.166575617131937,-3.927542799553239e-06,-1.6587674779391118e-06,0.00024255186749542912,-0.0005508357110121749,0.0007154966894486964,-0.0017144219304114073,0.0012530740356091238,-0.003224698586603286,0.0017205079155475855,-0.004737919062060721,0.0020294413678914056,-0.00590247364255518,0.002147913985033036,-0.006430870481093417,0.002097644932868786,-0.006156161641631798,0.0019420436073664582,-0.005063020096579617,0.0017664095325342322,-0.003289692096595185,0.0016519029884216703,-0.0011017478415801772,0.001647944176488994,0.001157709537929811,0.0017516410316973932,0.0031333843885549863,0.0019039514629392977,0.004527246437436559,0.002007971237714499,0.005158021101079439,0.0019657301419775458,0.004996947504790011,0.001720482714720104,0.004171044429778771,0.0012872299741682556,0.002933746230928487,0.0007582521739380963,0.0016112709770151276,0.0002808118086947228,0.0005374485905128568,1.5138809527426031e-05,-2.236776275618137e-06
