时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,12.747188303691232,-6.564256927299258e-07,-3.9912127056499484e-07,3.3096148678337674e-06,-1.032217206427831e-05,1.2603869161049163e-05,-3.287045657735895e-05,2.3576262512920692e-05,-6.261167633223678e-05,3.316736579686399e-05,-9.251698584462975e-05,3.934834682268439e-05,-0.00011546897807114113,4.1445392038251506e-05,-0.00012569487700593386,4.0096119169932234e-05,-0.00011990791685685612,3.68646135958204e-05,-9.79364999050401e-05,3.363797805913765e-05,-6.273893864266385e-05,3.197043763182818e-05,-1.9806862025464966e-05,3.2557028540215364e-05,2.3924971558024627e-05,3.499337373182483e-05,6.14531935353857e-05,3.790649718979258e-05,8.709452745638589e-05,3.943361075963781e-05,9.760752600521553e-05,3.791085609455422e-05,9.281405181404257e-05,3.2553356389588297e-05,7.55912858959322e-05,2.389435454639942e-05,5.123479924476769e-05,1.3822487761904255e-05,2.6334071479156926e-05,5.151322426457955e-06,7.388563919634901e-06,6.421271217485321e-07,-4.2662336166066956e-07
3,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,27.812840479088518,-1.436333342471077e-06,-8.634337870929789e-07,9.483978324162756e-06,-2.728874190270561e-05,3.461125634346896e-05,-8.783113024653531e-05,6.428777707058736e-05,-0.00016788840430191325,9.026389802847542e-05,-0.00024844998346621735,0.00010703947876603378,-0.00031017710426262536,0.00011276952368072223,-0.0003373408731187547,0.00010915954621637148,-0.00032096316425721136,0.00010043718756847933,-0.000260557558835633,9.172566347929159e-05,-0.00016418680559271494,8.726211921385678e-05,-4.684572075954745e-05,8.895319522520995e-05,7.251206815636881e-05,9.570090527452664e-05,0.00017473386617772633,0.00010374384508700856,0.0002442747948739697,0.00010796265783815943,0.0002722777902540759,0.00010377560426233308,0.00025828216526752864,8.901867163177468e-05,0.00021020335515663151,6.516291508363132e-05,0.00014258977686334827,3.741893073928533e-05,7.354648186250735e-05,1.3564372628591077e-05,2.095660891754169e-05,1.397401233979294e-06,-9.384677069559096e-07
4,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,46.36950626343133,-2.4096883852434022e-06,-1.4116272981757317e-06,2.430373741812554e-05,-6.341234193203384e-05,8.433062074446545e-05,-0.00020692569674601714,0.00015522050359133058,-0.00039728312385766166,0.00021737594896512806,-0.0005890538978079082,0.0002576568774209804,-0.000735769836548546,0.00027158688240618435,-0.0007995052877221335,0.00026313687645862277,-0.0007585330655003907,0.00024233736460268192,-0.0006115968458864531,0.00022145353525980827,-0.00037810528508598607,0.0002107319379956563,-9.427109955092412e-05,0.00021487618661854453,0.00019405180470908164,0.00023132310785717463,0.0004404716499367762,0.00025097842232003285,0.0006073148914524667,0.00026135265767771363,0.0006731384861699352,0.00025120958721155186,0.0006369039262216154,0.0002152198723285494,0.0005179259953930943,0.00015698402649194025,0.00035162731040001,8.928256876878275e-05,0.00018206433754317246,3.1207023335095915e-05,5.27845831575604e-05,2.3159789786119755e-06,-1.5926859074885123e-06
5,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,60.93414797279848,-3.2011624015683166e-06,-1.790003909533742e-06,5.164996727884429e-05,-0.00012504422591672298,0.0001724962601922329,-0.0004128071194777608,0.00031512798992393585,-0.0007956155538131443,0.0004404166373793768,-0.0011819440202459816,0.0005220414956454857,-0.0014777435050542802,0.0005508457338787213,-0.0016060102338346521,0.0005344339290934296,-0.001522429423532638,0.0004926078975025305,-0.0012241413725418231,0.0004499565211778176,-0.0007502352824075922,0.0004274139386933227,-0.00017403336998306478,0.00043500185988526934,0.0004113556518287311,0.0004679989919998393,0.0009115184827380665,0.0005081027732100356,0.0012496503741892264,0.0005296931547044174,0.0013819867773325703,0.0005094658187484103,0.0013064026021936818,0.00043623155653225873,0.0010623000390568105,0.0003173115707050281,0.0007218887784672602,0.00017902761584888646,0.00037491390473003237,6.0678730752924674e-05,0.00011009561567970268,3.0116274164044117e-06,-2.1569378777920644e-06
6,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,67.92927612493087,-3.6078454835060365e-06,-1.921835375399978e-06,7.982718878468569e-05,-0.00018666448730951602,0.0002618012554883467,-0.0006200873752055702,0.0004764785231724663,-0.001197931404497201,0.0006653619783582825,-0.0017822435400577522,0.0007890699756287022,-0.002230837689871393,0.0008336317084181358,-0.0024270295859237403,0.0008098794371817564,-0.0023033788013956586,0.0007469401379656582,-0.0018550050033999347,0.000681563195864454,-0.001140429828898016,0.0006456634345172727,-0.0002700749117026595,0.0006552083141376495,0.0006154118432657916,0.0007039243469793294,0.0013730420901646462,0.0007645255693382433,0.0018862022321779357,0.0007979868317188665,0.0020882183256536483,0.0007683654170637979,0.001975544926524184,0.0006581269417382086,0.0016076159947570477,0.00047820508388235125,0.0010935576775921356,0.0002687409115076044,0.0005690162769215289,8.966586205788333e-05,0.00016816323273331798,3.3219174273331344e-06,-2.4759265260096157e-06
7,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,71.99840636002634,-3.866028873372706e-06,-1.958356348858352e-06,0.00010827285723158854,-0.0002483219318816122,0.00035132184561978007,-0.0008283300850384004,0.0006379494588395786,-0.001603155749129593,0.0008905480144847064,-0.0023883471060298094,0.001056873654982166,-0.002993297997488648,0.0011180376912503227,-0.0032612576655598386,0.001087663261467741,-0.003101223591910869,0.001003674498205906,-0.002505827948519393,0.000914716387780099,-0.0015525697133971573,0.0008638994271571776,-0.0003886239840968397,0.0008737485966875851,0.0007979368010683292,0.0009371052515081094,0.00181536657543978,0.0010180438301978004,0.002506817553593765,0.0010639895060168588,0.0027821921512617195,0.0010258774096428352,0.0026360710047000206,0.000879346228480413,0.002147579521359806,0.0006387442213453607,0.001462500257280244,0.0003581506130761599,0.0007621816883377177,0.00011836556996134026,0.00022618033059331385,3.48373961459158e-06,-2.6996234277399404e-06
8,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,74.64093272113583,-4.052064535298436e-06,-1.948361178715461e-06,0.0001368192847168027,-0.0003100626599249197,0.0004408050343476968,-0.001037508782793372,0.0007991937585397561,-0.002011185565320636,0.0011155435432197245,-0.0030001314225807357,0.0013249692963042058,-0.003765090243340327,0.0014035751429628983,-0.004108891037966395,0.0013673357770356402,-0.0039165366204572056,0.0012624216276007389,-0.0031776775579419815,0.001149072948024967,-0.0019882764304052806,0.0010817800590170639,-0.0005318302053309208,0.001090229326868922,0.0009563758628591656,0.0011670670854444182,0.0022357370963482464,0.0012681169828948566,0.003108786513196928,0.0013271546709958024,0.0034614760000780376,0.0012815312989560097,0.0032860000368549734,0.0010995651344516267,0.00268074830871893,0.0007987807690782163,0.001827804207429906,0.0004472633179467419,0.000953934535887572,0.00014687522466248467,0.0002839591812530415,3.5735574294904304e-06,-2.8765758524477486e-06
9,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,76.47973262566782,-4.1976716813579355e-06,-1.9121334560833587e-06,0.00016539317707702498,-0.0003718987254879619,0.0005301326758417287,-0.0012475919190846614,0.0009600376495669071,-0.0024219453421220026,0.00134011778569209,-0.003617507753519274,0.0015930839939155943,-0.004546167131347797,0.0016899593477876912,-0.004969989186251869,0.0016486354986327942,-0.004749546697647298,0.0015229662955973933,-0.003871000543071994,0.0013844615829731641,-0.0024482379765010023,0.0012991497263436633,-0.0007006087245245588,0.0013044715256509919,0.0010896454237586581,0.0013935811231688743,0.0026329975598769415,0.001514470609305587,0.003690991107844915,0.001587197354141479,0.004125087523736233,0.0015350812180806768,0.003924550028331757,0.001318617405891837,0.0032065653218938464,0.0009582415463786486,0.00218912395894302,0.0005360819749142057,0.0011440968702679196,0.00017523727497992833,0.00034142834859351317,3.623137831571661e-06,-3.0269630098604486e-06
10,0.26268092998754744,3516262.466755169,100.84066095718043,1.4534228507755398,0.8352895364281385,0.1057085072981937,0.016590046109041388,0.002229470566688024,0.8697041285125124,1352.7457626178407,9.448856885175578,7.464054686473126,938.030739825026,9.448856885175578,7.464054686473126,938.030739825026,77.81917320834555,-4.318343651554341e-06,-1.8596014107561997e-06,0.00019395382144951956,-0.0004338259482930519,0.0006192296358531849,-0.001458531152528233,0.0011203584112571632,-0.0028353371278697086,0.00156409451324654,-0.004240346684375292,0.0018609973915206827,-0.005336403837673718,0.0019769519740557833,-0.005844475532185378,0.0019313401830031393,-0.005600267697531689,0.001785128231265801,-0.004585936343296884,0.0016207473120624539,-0.0029327414478608,0.0015158964662209053,-0.0008953942446338154,0.001516350612425689,0.00119719292336231,0.0016164826720116666,0.0030065341930003773,0.0017568980445406698,0.004252824488636137,0.0018438949614332848,0.004772486821323809,0.001786328817556056,0.004551287158143934,0.0015363627176857508,0.003724718357252446,0.0011170562054254143,0.002546263734810169,0.0006245937500788754,0.0013325675765870112,0.00020346933290648925,0.00039854864254127055,3.6480099241964922e-06,-3.160638851162178e-06
