时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,6.482949177501199,-1.1073058424128555e-06,-7.572371620078455e-07,1.0737031243007116e-05,-2.3295790087708077e-05,3.072878777366487e-05,-6.129757509311326e-05,5.2019427521375375e-05,-0.00010668507099812826,6.958782089704394e-05,-0.00014961527547301205,8.030530446319528e-05,-0.00018059474874021546,8.342671589696997e-05,-0.00019228151157395034,8.043463695664189e-05,-0.00018087509477435884,7.431869288671124e-05,-0.00014681163841853188,6.850276554746444e-05,-9.467155514828921e-05,6.570983913231716e-05,-3.231300277318713e-05,6.708146474254374e-05,3.061278389385789e-05,7.181283979384973e-05,8.449322080724227e-05,7.742741035393713e-05,0.00012158108302700744,8.062571576040567e-05,0.00013745233848995182,7.84600551797835e-05,0.00013179981793687165,6.947333686849206e-05,0.00010840994178011688,5.443283538518741e-05,7.433161939412426e-05,3.641282469372175e-05,3.8431492247922306e-05,2.0151337945498436e-05,9.589736186181241e-06,1.0137060722796808e-05,-4.382369335425121e-06
3,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,14.42330378166944,-2.4715725545088812e-06,-1.673890250641101e-06,3.450694280697922e-05,-6.970911862490999e-05,9.594358255208837e-05,-0.0001859671613553347,0.0001614998547431905,-0.0003252374583219863,0.00021563053653842862,-0.00045693215839641763,0.0002485858697951451,-0.0005513602027396332,0.0002579902283391615,-0.0005854817604283338,0.0002484036194911804,-0.0005473396550541665,0.0002291203835258254,-0.00043830476839259064,0.00021084216165525744,-0.00027282388161194295,0.00020211605539298657,-7.57125692762462e-05,0.00020653297185668258,0.00012252643440885665,0.00022153096960966117,0.000291507685982743,0.00023922897306386415,0.0004067705454405658,0.0002491109837664914,0.0004544195524023024,0.00024177812157780607,0.00043364407968202016,0.00021260179765309256,0.0003566249217803018,0.0001640802817013891,0.0002458773252489699,0.00010609422842701156,0.0001296522513929503,5.383939164437659e-05,3.6253714521406004e-05,2.2524168092490485e-05,-9.815440908562402e-06
4,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,22.739154508646543,-3.928457273276069e-06,-2.593102456395697e-06,9.884524558772968e-05,-0.00018502347416884225,0.0002664150361160359,-0.0005014487553874256,0.0004454708851032641,-0.0008817828990371278,0.0005934921677677428,-0.0012414984219552728,0.0006836392968716807,-0.0014980257726906264,0.0007091048901276484,-0.0015870827366597623,0.0006820575592135633,-0.0014751954818516713,0.0006278564296326313,-0.001166108400028798,0.0005760971932276559,-0.0007001923188273079,0.0005507791653437859,-0.00014698164638173654,0.0005623026125791434,0.0004078859093840143,0.0006037788315666434,0.0008790040474872599,0.0006530795543488755,0.0011976616871787514,0.0006803231356993426,0.0013250506253313838,0.0006586379281013173,0.0012594075282032556,0.0005747706010082044,0.0010356370711210082,0.00043594051237001057,0.0007176454452015972,0.0002704984675044685,0.00038523578319877904,0.00012182288234661045,0.0001181993840635679,3.5367577613143603e-05,-1.572834285300241e-05
5,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,26.269898418102823,-4.579296539543652e-06,-2.9349803376612117e-06,0.00017225621280785998,-0.0003125029877031793,0.00045796103624764806,-0.0008533815754210995,0.000763384331779214,-0.00150496666401687,0.0010162901878609657,-0.0021220423830954024,0.001170935939610806,-0.00256233663984646,0.0012152509910428478,-0.00271491561092704,0.001169187047081948,-0.0025218217436822885,0.0010753644657044577,-0.001989142245905346,0.0009843101659542952,-0.001186065146643473,0.0009378047422703643,-0.00023219649744227725,0.0009548136194355678,0.0007247813171060486,0.001024459300034646,0.0015372656113460488,0.0011089301493725765,0.0020863374985411226,0.0011562128646092175,0.0023048443607136277,0.0011190314880915875,0.0021898824211486548,0.0009738015239327766,0.0018020288694167443,0.0007329350295067578,0.0012518300340253435,0.0004459408100918621,0.0006769675006215916,0.00018839590129896596,0.0002149259710987672,4.0664826849270065e-05,-1.848839790151086e-05
6,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,28.042366562991845,-4.9320076937048265e-06,-3.0670491122999486e-06,0.000246147357405476,-0.00044019549085203545,0.0006497014931757502,-0.0012073717893244544,0.0010812225513993786,-0.002133407296270567,0.0014392413280764366,-0.0030120521682615586,0.0016593582308462255,-0.0036408272926083123,0.001723913555084835,-0.003861663210506501,0.0016598198123201262,-0.00359166704882201,0.001526111453958601,-0.002838793118963845,0.001393931422365927,-0.0017005543319984849,0.0013233246253322032,-0.00034625330888869525,0.0013428871912529372,0.0010144567131668404,0.0014388242240128309,0.0021714680345471292,0.0015581391777264421,0.002955078345648967,0.0016263950039391729,0.0032691938037491684,0.0015750959208434567,0.0031093433889066296,0.0013695372203215608,0.0025615174432340225,0.0010270110719583572,0.0017826641959826862,0.0006184037146574181,0.0009680306882940434,0.0002519089108023476,0.0003125275135372198,4.320257316227002e-05,-2.0070188158368476e-05
7,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,29.098727092686808,-5.163388713030215e-06,-3.113211961697911e-06,0.00032015643946312327,-0.00056835465436382,0.0008411815108227684,-0.0015636894183393849,0.0013984319984502189,-0.002767436201922304,0.0018617292423373992,-0.003912053762330084,0.0021483020678640763,-0.004734428583484136,0.00223459183126765,-0.005028913881752675,0.0021536281560973133,-0.00468722532601625,0.0019799551277500135,-0.0037186477742025543,0.0018049451212425083,-0.0022484052346816775,0.0017073396909086061,-0.0004949489830395736,0.0017264324686824338,0.0012703606176374849,0.0018466445850463785,0.002774754863144807,0.002000393366292727,0.0037972376279236377,0.0020906201912061963,0.004212134636586783,0.002026838066309233,0.004012847024579181,0.001762404513688749,0.003310332985966622,0.0013190865948073077,0.00230750957926037,0.0007892478571341261,0.001256714300695355,0.00031401975567084243,0.0004099179621214481,4.462107002888149e-05,-2.1169436293412707e-05
8,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,29.792551037449552,-5.333422261482678e-06,-3.1155265446824754e-06,0.0003941446436257566,-0.0006970449538939157,0.0010321985280764398,-0.0019223727200360493,0.0017147293554008191,-0.003407086561493848,0.002283396436464955,-0.004822137291709035,0.002637372961658555,-0.005843377192941338,0.0027469138612243814,-0.00621714829579348,0.002650321175833955,-0.005809309740265643,0.0024367148782525497,-0.004629916678865622,0.002217263220531456,-0.002831248045523472,0.002089795348843844,-0.0006802915930393266,0.0021053578472969114,0.0014902241281412685,0.0022477503000699743,0.003344773072196519,0.002435459640292186,0.0046105728477641795,0.002548663635794067,0.005131698955296561,0.002474138488231511,0.00489880048610655,0.0021524692005488923,0.004047285652104489,0.0016094407239446047,0.0028255435847800658,0.0009589330018329532,0.0015424821851126279,0.00037529621795717087,0.0005067452991749876,4.547706515824184e-05,-2.2022359757730574e-05
9,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,30.276549161502583,-5.468000751381799e-06,-3.092182074279437e-06,0.0004680323712256036,-0.0008262645287497616,0.0012226064544193444,-0.002283357015148341,0.0020298784240761246,-0.004052234029859148,0.002703913828451495,-0.0057421550373604495,0.0031261770996893184,-0.006967559787035456,0.0032604758963961,-0.0074263513072348325,0.003149546298357369,-0.006958063423871154,0.002896128920471144,-0.005572952179704458,0.0026307122292028567,-0.003449676363459743,0.0024705616411001973,-0.0009031121454564502,0.0024795135297837143,0.0016730317096139925,0.002641925900040545,0.0038804185673486156,0.0028630564806264164,0.005394003266402488,0.0030002260686855706,0.0060269242265346724,0.0029167544555906335,0.005766417005486856,0.0025396101710802176,0.004771782842196967,0.0018981007700831344,0.003336355240390938,0.0011276150928032406,0.0018250709643949535,0.000435972389811309,0.0006028463290873739,4.6011148452593646e-05,-2.2730957876959975e-05
10,3.750406018208634,109552273.5385783,10737.85894957422,381.9953637891267,2.5122379755375928,0.3962204149771049,0.10956938360854916,0.00656309245084838,2.6701210806760143,1429.9228526971096,6.386570821486778,5.714303838743475,69.99695512937762,0.6994139422342514,1.0337791599676578,225.05676983823048,30.627471850894008,-5.580121700281203e-06,-3.0523422554271325e-06,0.0005417624504211604,-0.0009559850875816893,0.0014122806242539989,-0.0026465330410341587,0.0023436603067477813,-0.004702681210661672,0.003122960593854994,-0.006671845387701681,0.0036143149458520477,-0.008106695316910882,0.0037748520655137246,-0.008656274453314043,0.0036509143951007823,-0.008133322283317833,0.003357890909661791,-0.0065477239926957686,0.0030450748222456848,-0.004103834372647446,0.0028494728690852,-0.0011637456350329861,0.0028487245325739636,0.0018182806620737199,0.003028937268602184,0.0043810828356990565,0.0032828810342668403,0.0061468947417510356,0.003444973170421969,0.006897222037887786,0.00335438564825749,0.006615199950434631,0.0029236226130514254,0.005483439877440576,0.0021849869643779233,0.0038396730343683936,0.0012953272806848935,0.002104309522807508,0.0004961530814583239,0.0006981249099688318,4.634431330585693e-05,-2.334643685549273e-05
