时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,3.3148574110522873,-8.238249114117392e-06,-7.503069784160632e-07,-8.466017482425069e-06,-9.535828763949211e-06,-4.9248055427736365e-06,-2.328157711336832e-05,-9.450567215548903e-07,-4.026745307953214e-05,2.5761263878252616e-06,-5.7922637204066366e-05,5.066927723702673e-06,-7.383674773627904e-05,6.30572966995654e-06,-8.604052002004922e-05,6.3839755654259275e-06,-9.322419661806448e-05,5.622606878309182e-06,-9.485333623009698e-05,4.4600487840053494e-06,-9.116715713801059e-05,3.3336251012733465e-06,-8.306326968800043e-05,2.5777046673278238e-06,-7.189141857429477e-05,2.3594279945142552e-06,-5.919351810834972e-05,2.665130510118638e-06,-4.643667368501255e-05,3.3377710312921756e-06,-3.478765192330328e-05,4.150679140433923e-06,-2.4970235441573328e-05,4.890729308015554e-06,-1.723128583295172e-05,5.419490884620087e-06,-1.1420790602610825e-05,5.68675799878574e-06,-7.167905505018402e-06,5.689591337088148e-06,-4.120772766835745e-06,3.236967545655074e-06,-1.377532852490931e-06
3,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,12.15342167730642,-3.0278417378775415e-05,-2.751452600831684e-06,-3.0874277078066006e-05,-3.5701874730516416e-05,-1.735520924646406e-05,-8.780112199922085e-05,-2.0681266833852857e-06,-0.00015258609648904434,1.1522481919699631e-05,-0.00022014772363519004,2.116802970504077e-05,-0.0002810148767264974,2.5975155132434992e-05,-0.0003273570898767434,2.628418331372901e-05,-0.00035392693928915585,2.335019521957107e-05,-0.00035857692887167824,1.890064827308789e-05,-0.0003422878986931329,1.4659126158085502e-05,-0.0003087235339904662,1.1931193322180052e-05,-0.0002634023838418113,1.1339686094406632e-05,-0.00021263915485139506,1.2766534422499438e-05,-0.0001624460913329806,1.5506385764398107e-05,-0.00011759329457632982,1.857534655573481e-05,-8.099879185633934e-05,2.1066720514168143e-05,-5.355570237294049e-05,2.2425371184637385e-05,-3.441948319101207e-05,2.2535225894705573e-05,-2.1683219822712722e-05,2.1589140550375306e-05,-1.3308477206754122e-05,1.1892566095593994e-05,-5.059538789051204e-06
4,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,19.076105595841966,-4.762004692249293e-05,-4.318535872364418e-06,-4.815187117511869e-05,-5.724836385510509e-05,-2.6089193470700696e-05,-0.00014168602157324736,-1.0302200858159668e-06,-0.00024719451473180655,2.1324341290550604e-05,-0.0003574820607187884,3.722364755809571e-05,-0.0004567390329771563,4.515143605531886e-05,-0.0005317739647732063,4.565466419617945e-05,-0.0005736992249089096,4.08236763617394e-05,-0.0005788785886566782,3.355089412861884e-05,-0.0005490232440102123,2.6721736305326535e-05,-0.0004904582796494837,2.2503721222738e-05,-0.0004127147943912674,2.1887245653987273e-05,-0.0003267079435371089,2.458170997310668e-05,-0.00024282993968066297,2.92821005795883e-05,-0.0001693026245229182,3.421299463919499e-05,-0.0001110873294905155,3.776540155963572e-05,-6.954111605629923e-05,3.900395211260204e-05,-4.2862562667871196e-05,3.785951221338957e-05,-2.7206425487405004e-05,3.494853491145718e-05,-1.8239090218641212e-05,1.8697434679207095e-05,-7.954473205150859e-06
5,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,25.282498982975444,-6.32300118489443e-05,-5.722124103911694e-06,-6.330217975893552e-05,-7.77332297998431e-05,-3.2804540269388004e-05,-0.00019359427112530998,1.9570526200742843e-06,-0.0003389791709630048,3.305046324505106e-05,-0.00049121814526177,5.519587053464428e-05,-0.0006280139759976521,6.622995103401157e-05,-0.0007306135937129863,6.690290363539849e-05,-0.000786329506456042,6.016112508134449e-05,-0.0007899866876321983,5.0098200616331626e-05,-0.0007441217503039357,4.079545490752338e-05,-0.000657960844182684,3.5293159974313225e-05,-0.0005453974529887009,3.491931806285117e-05,-0.00042234611518459215,3.913417296179056e-05,-0.00030395047078588227,4.5921038518703157e-05,-0.00020214972758646776,5.2594556295522856e-05,-0.00012404200704452348,5.675966195772604e-05,-7.132647687237426e-05,5.709456004649196e-05,-4.089335552772981e-05,5.3682649907726586e-05,-2.6392327113847884e-05,4.7798687882689183e-05,-2.0449218630464115e-05,2.4817414208147727e-05,-1.0560331942246482e-05
6,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,30.834547107432982,-7.724698969265098e-05,-6.9754476950311616e-06,-7.644382138356404e-05,-9.738246002460239e-05,-3.7547600985747446e-05,-0.0002440183965531767,6.902847600361422e-06,-0.00042867516263929027,4.6740280050866086e-05,-0.0006222693622887262,7.513237514695167e-05,-0.0007958587833484534,8.925179546064373e-05,-0.0009249385177078233,9.00553047716346e-05,-0.000992880631022365,8.137058038713117e-05,-0.0009929420019608687,6.853079848990544e-05,-0.0009285977107818926,5.684816113245129e-05,-0.0008122271251284982,5.0246953039879904e-05,-0.0006624415726488955,5.0363400728656806e-05,-0.0005005520273404609,5.63330357263109e-05,-0.00034681558917148416,6.531759008576414e-05,-0.000217138275578135,7.360721367531589e-05,-0.00012082779670165768,7.794291517380103e-05,-5.9782898280575775e-05,7.661708758023643e-05,-2.922068582025091e-05,6.997495051391427e-05,-1.9723844692723425e-05,6.0177195927972106e-05,-2.016909438039208e-05,3.030734512551239e-05,-1.290187716659668e-05
7,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,36.051577317796855,-9.046673307883888e-05,-8.149718094260442e-06,-8.826955521513783e-05,-0.00011745752566412879,-4.046774932971643e-05,-0.0002961719353554891,1.4260883884177027e-05,-0.0005219146153033142,6.33741935722544e-05,-0.0007587435194288685,9.837643195064837e-05,-0.000970512695694356,0.00011572713619073616,-0.0011264417799474577,0.00011661156916187126,-0.001205605818222725,0.00010582039534503516,-0.0011995951507673447,9.004050616655161e-05,-0.0011130188459383343,7.592358647933814e-05,-0.0009618753953424639,6.83408201990092e-05,-0.0007701525979330454,6.922304797764566e-05,-0.0005652913110573868,7.728207734031765e-05,-0.0003733330707638268,8.869464974454231e-05,-0.00021462765569256985,9.854814135912687e-05,-0.000100874417224335,0.00010259213631740334,-3.400797104447336e-05,9.871843288263463e-05,-7.0710354123056636e-06,8.767027108824803e-05,-6.80490684256065e-06,7.278331159621324e-05,-1.739666102745739e-05,3.54788735957424e-05,-1.5113469680974893e-05
8,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,41.58568508331153,-0.00010454532891009031,-9.389457159181492e-06,-0.00010000040804177396,-0.00014118263339903613,-4.125322263741421e-05,-0.00035859316820663253,2.6081374931070965e-05,-0.0006339899207814608,8.654725407734312e-05,-0.0009229335146810759,0.00012960065858381073,-0.001180266404251336,0.00015082839914617928,-0.0013673309174823576,0.00015171539098553173,-0.0014578299948412705,0.00013826995553169907,-0.0014413482997979164,0.00011888462716299,-0.0013240919072290038,0.00010189122963170435,-0.0011268607596168752,9.33290522664491e-05,-0.0008807064443082169,9.544626203169903e-05,-0.0006210844585961569,0.00010633361739136777,-0.0003815566826534819,0.00012081756806775122,-0.00018818197175849116,0.00013236816118653174,-5.5609623551623695e-05,0.00013543272465810831,1.444469931274744e-05,0.00012743404620156035,3.213801064105107e-05,0.00010976513043900136,1.6186991612606328e-05,8.749894203779111e-05,-1.0976035736165198e-05,4.0977791890745066e-05,-1.747489683838161e-05
9,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,46.38949883963165,-0.00011681659063302011,-1.0457891508829313e-05,-0.00010918901680476641,-0.00016468216314934547,-3.917842802529291e-05,-0.00042117399496008963,4.107034321418228e-05,-0.0007467106697910367,0.00011311809970103738,-0.001088043750371797,0.00016432852143363048,-0.001390626609786135,0.00018940947891391783,-0.0016075931778955263,0.0001901794391942512,-0.0017070911746786134,0.00017393069555579857,-0.0016767342122115693,0.00015084359366278194,-0.0015246018975970444,0.0001310023709348043,-0.0012767876970109244,0.00012164527230063455,-0.0009720408767588509,0.00012529992482995477,-0.0006544971044564218,0.00013932076443970976,-0.00036580751644830594,0.00015701275847342488,-0.0001380901538321174,0.00017005400663515482,1.101481821327837e-05,0.00017148147843834704,8.031662282757177e-05,0.00015827072047331405,8.379980347263253e-05,0.00013264829781264498,4.6504264010668864e-05,0.00010175585674621662,-1.5436982493457593e-06,4.576117993690541e-05,-1.954150491379574e-05
10,0.7346327902048007,13754958.299318433,404.6061799229792,38.17583879781266,0.639081298930577,0.06278899610462871,0.030705451793699844,0.0058648140755065995,0.6551702860435811,393.26884038987055,2.1825428208089215,9.033699391828026,815.4977648539377,5.4950447917066905,5.066478144634087,820.2039242664678,50.77760426895953,-0.00012807257281896117,-1.142405720823883e-05,-0.00011637355462585096,-0.0001896280022876126,-3.3992327273840396e-05,-0.0004883151656903431,6.035187243616526e-05,-0.0008678794175908064,0.0001449693109002871,-0.0012653325503153496,0.00020495867770982653,-0.0016157410316797209,0.00023409658515737548,-0.0018631841092297628,0.00023459830945617667,-0.0019697465133513923,0.00021519258916376835,-0.0019210209079266389,0.00018804544549877583,-0.001727399607565102,0.00016517862916589862,-0.0014211362433010112,0.00015513784013527332,-0.0010498271333197861,0.00016071058430471106,-0.0006675153203312678,0.00017835141220313836,-0.00032501589359890646,0.0001995729790227856,-6.121544012351626e-05,0.00021397133464509183,0.0001030627160242493,0.0002129785325991436,0.0001675345729512861,0.00019312515090885534,0.00015091714899756193,0.00015771860239469925,8.585192862656729e-05,0.0001164345887489722,1.1392724837837157e-05,5.013794416419238e-05,-2.1447787015457788e-05
