时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,7.843257381628771,-3.246763521105963e-07,-1.4045132985952427e-07,1.4820422806012085e-06,-7.020267137909231e-06,5.626004021428462e-06,-2.1743757977516397e-05,1.036392557196331e-05,-4.071122940457238e-05,1.442927692214997e-05,-5.951437996362354e-05,1.7012387083057108e-05,-7.380450198235388e-05,1.78715161023222e-05,-8.011779306104968e-05,1.7292284858659155e-05,-7.652451792183753e-05,1.5924766591347826e-05,-6.297748972302524e-05,1.4544312917497132e-05,-4.130097134596893e-05,1.3794699092867972e-05,-1.4825900160297705e-05,1.3978421045823377e-05,1.2258148188216367e-05,1.4953748463805603e-05,3.571212172643515e-05,1.617585517652998e-05,5.206351969402938e-05,1.687990684186119e-05,5.927061786822848e-05,1.635717857544758e-05,5.71031287706899e-05,1.4238549726683846e-05,4.716309106386329e-05,1.0689601999840875e-05,3.254126986663602e-05,6.445845144119335e-06,1.7179274867183016e-05,2.668980330623858e-06,5.060351416086469e-06,4.1923555623251707e-07,-4.7443128650376125e-07
3,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,16.8902511994171,-6.999464407450192e-07,-3.0059662637764495e-07,3.7896310365682033e-06,-1.6964211118914497e-05,1.3902301194807571e-05,-5.276556456481536e-05,2.5470901053790085e-05,-9.895025113161274e-05,3.540586701595486e-05,-0.00014475319204542648,4.17271136319367e-05,-0.00017951964512459757,4.383859346759452e-05,-0.00019474593916599667,4.24325584878346e-05,-0.00018568543496789815,3.909514275045575e-05,-0.00015221384844924147,3.5724352255695694e-05,-9.880850548688566e-05,3.390147000952339e-05,-3.3656038617328984e-05,3.4373662840081384e-05,3.293885974338221e-05,3.679562178060015e-05,9.054373723922018e-05,3.982554886816967e-05,0.00013060828408437047,4.157384354958166e-05,0.00014810265295260081,4.0285445749146956e-05,0.00014245873802530565,3.504342976071493e-05,0.00011762593438610655,2.625493811520715e-05,8.12300392786928e-05,1.574104840344887e-05,4.300845828331014e-05,6.382870114743129e-06,1.2825988389460216e-05,9.017415162813234e-07,-1.0254317299828184e-06
4,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,26.8444890699893,-1.1142149462516182e-06,-4.7331624489174436e-07,7.444880471019527e-06,-3.135439551436229e-05,2.6336133905836997e-05,-9.79820425128858e-05,4.7955544820212244e-05,-0.00018405752711183595,6.653880585969217e-05,-0.0002694590697935371,7.838293518861984e-05,-0.0003342010873445499,8.236234246176685e-05,-0.0003622975378272625,7.975619438311892e-05,-0.0003448049213522159,7.352096383330943e-05,-0.00028146914691788255,6.721078719668119e-05,-0.0001807008645307255,6.380214299643617e-05,-5.790614664332543e-05,6.471499472065519e-05,6.750424691916369e-05,6.931199537293954e-05,0.00017586393197196302,7.506494606819858e-05,0.00025104374392162266,7.839528878664156e-05,0.00028354908791232463,7.596794004888361e-05,0.0002723048512804947,6.603335235927424e-05,0.00022476974997730627,4.9358117054664746e-05,0.00015535901518889763,2.9400457579993942e-05,8.250287235296717e-05,1.1638943140332674e-05,2.491799976625903e-05,1.4305857242472343e-06,-1.6385740792852813e-06
5,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,37.906922653534565,-1.5774054739594645e-06,-6.578448412717884e-07,1.3875305185425525e-05,-5.467617717389083e-05,4.719893206424705e-05,-0.00017176813568064832,8.53392333541447e-05,-0.0003232779821519167,0.00011815691666331233,-0.0004736930448472925,0.000139125859941849,-0.0005876063497772754,0.0001462362881892005,-0.0006366242124230048,0.000141700706295998,-0.0006048142916100876,0.00013069944431197872,-0.0004916696870581656,0.00011950625127652405,-0.0003120961462632435,0.00011342236525223335,-9.346863457590776e-05,0.00011502275298305502,0.0001296733875261493,0.00012322385768146046,0.000322296155294749,0.00013353744604533232,0.000455637461594773,0.00013955160997982898,0.0005127464950649578,0.00013525658313844483,0.0004916886122076203,0.00011747943208074021,0.0004057685081662798,8.758049655421232e-05,0.00028073423271476167,5.17771930263257e-05,0.00014954904814168328,1.9928120790965456e-05,4.576788453445705e-05,2.013901533485589e-06,-2.3343218579811664e-06
6,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,49.61554953587454,-2.0741577257227015e-06,-8.35576523630022e-07,2.62676925622334e-05,-9.670127224168317e-05,8.586354724496473e-05,-0.0003055619642050943,0.00015405382125365893,-0.0005763366895428737,0.00021280961618007948,-0.00084547829340495,0.0002505149830162989,-0.001049361869041672,0.0002635196509625212,-0.0011368042482937824,0.0002556265589865489,-0.001078954045829422,0.00023594435228703947,-0.000874705935779699,0.00021565306598981773,-0.0005507479173265162,0.00020436107176019766,-0.00015632170802564705,0.00020690500812855137,0.0002462947872448368,0.00022153480264012327,0.0005938089817539528,0.0002402309265916728,0.0008341583369371899,0.00025132279871519755,0.000936578324196528,0.00024375351434341078,0.0008974588295639451,0.00021161468173165078,0.0007407934065809674,0.0001573273791213473,0.000513152546106933,9.224979014166168e-05,0.00027425662955472596,3.44022646973762e-05,8.504485238191823e-05,2.620913927296904e-06,-3.1039328709709806e-06
7,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,56.90776801206815,-2.391379855295124e-06,-9.251319389100806e-07,4.0671836263093486e-05,-0.0001437210585477102,0.00012975626565918144,-0.0004559514024998303,0.00023164591101978028,-0.0008614542569145174,0.0003195665349840846,-0.0012651844621900431,0.00037627111638301733,-0.0015716703816007873,0.00039622278375218447,-0.001703893905939778,0.0003848314868512885,-0.0016182218234953073,0.0003554065236709103,-0.0013126192179408241,0.00032453953213070445,-0.0008268113400537137,0.00030677401352168995,-0.00023451283491620267,0.0003097396831600679,0.00037078700514700763,0.0003312009943677163,0.0008938572522334797,0.0003592907180387396,0.001256172599687229,0.00037634374302950794,0.0014111493292658763,0.0003654096745071634,0.0013530586607560329,0.00031729743015370337,0.0011177721802595468,0.00023555061056169008,0.0007752323113207726,0.000137394248965768,0.00041529521696943356,5.0179086400850994e-05,0.00012983335828624484,2.986746562659246e-06,-3.622425568679892e-06
8,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,61.40416905018253,-2.593921615089446e-06,-9.619700762150356e-07,5.533761355198447e-05,-0.00019084643572970874,0.00017393219900001063,-0.0006071641523524075,0.0003095266330917425,-0.0011487676680541894,0.00042670626857878443,-0.0016890524679608408,0.0005026747962667783,-0.002100492900390901,0.0005299586638481792,-0.0022799408129509533,0.0005153812772276491,-0.0021686505937064077,0.00047622219898168686,-0.0017633387594306249,0.00043437326115086005,-0.0011165092900009743,0.00040941555209801525,-0.0003262046777595008,0.0004120499150885171,0.000482861921758277,0.00043985570532397605,0.0011833406056731585,0.00047727053197146424,0.0016699349708482615,0.0005005635879123387,0.0018798875083362587,0.00048666125888037785,0.0018050352048125209,0.0004228573014898739,0.0014929037816310388,0.000313719334410743,0.001036689491122485,0.00018240294071785403,0.0005563713722973864,6.572799942643754e-05,0.00017485667893100325,3.2020236999045767e-06,-3.9756405176989165e-06
9,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,64.43445357381917,-2.736470821047622e-06,-9.711524434697557e-07,7.011868269080666e-05,-0.00023804615630080894,0.00021816975400903768,-0.0007590141913349155,0.00038739415473747104,-0.0014379194848647006,0.0005338607582722085,-0.002116614574905408,0.0006293203171785453,-0.00263538437163338,0.0006643190802929188,-0.0028647043228914363,0.0006468952851606953,-0.0027303994470519264,0.000598051572637003,-0.0022275917253932777,0.0005448454663498952,-0.0014212394136991064,0.0005119786188459113,-0.00043347205925332947,0.0005134953455282311,0.0005798691384507733,0.0005471032026904989,0.001459232608390209,0.0005937248231519919,0.0020723076233453847,0.0006235234569969491,0.0023398256379646362,0.0006070931468817929,0.0022508398113727,0.0005279809221316719,0.0018642275946425355,0.0003916596695812015,0.001296212622659572,0.00022724423063539135,0.0006967658917118277,8.112401143055083e-05,0.00021982581598126982,3.338645294511304e-06,-4.2418248590505385e-06
10,0.22002047784319828,3067137.9607746196,23.625035862016432,0.5381458731748117,0.6642489181030717,0.05759274134059855,0.020882904243758372,0.0014398285164920733,0.6773344138993523,1617.0363779236486,9.071962808697256,6.8653172546075325,862.6117108441738,6.955236281787982,2.2025706500226123,538.4442540400123,66.59896989210675,-2.8437306949960736e-06,-9.639924353506371e-07,8.494975015172117e-05,-0.0002853095468432032,0.0002623710662316602,-0.0009114341079547123,0.0004651144251068493,-0.0017287902908687826,0.0006408638942388802,-0.002547736981621499,0.0007560219326162126,-0.0031762602559947395,0.0007991171670359269,-0.0034582259424889663,0.0007792037271688187,-0.0033037102846678085,0.000720751466244135,-0.002705876899798211,0.0006558347893080999,-0.001741782462250205,0.0006143458731203907,-0.0005573615966649361,0.000613940679261467,0.0006605561597901618,0.000652776445676856,0.0017201712870302456,0.0007084583086550155,0.0024619347188434637,0.0007450212163496967,0.002789726805409626,0.00072652730272971,0.002689444021216688,0.00063254207238541,0.0022309753957170126,0.0004693107894317988,0.0015533007005425325,0.0002719177305307458,0.0008362081789702823,9.640686771392919e-05,0.00026462921283273706,3.4290769771375642e-06,-4.456347208230561e-06
