时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,3.2768526837460064,-1.831366726344811e-06,-1.437559335664254e-06,1.6446454321213777e-06,-1.2722212863155338e-05,8.883879010845126e-06,-3.3587462851333746e-05,1.6834362251602764e-05,-5.9373630936009786e-05,2.3520136856197553e-05,-8.442058402680573e-05,2.7708531399983153e-05,-0.00010323716966486595,2.9069992433253544e-05,-0.00011151103861405856,2.810652805090097e-05,-0.00010689191473452171,2.5887090534271067e-05,-8.939803842056924e-05,2.3664560164877803e-05,-6.138307169655783e-05,2.247009708518476e-05,-2.707451500969232e-05,2.2788236378160704e-05,8.229418092132065e-06,2.4402870523356807e-05,3.915751886803155e-05,2.6465883096406946e-05,6.12724920494697e-05,2.777986862633704e-05,7.189547305508828e-05,2.721914235637706e-05,7.058753039588348e-05,2.41623581442831e-05,5.9193803698942976e-05,1.8796066454992575e-05,4.1440763991620784e-05,1.2182954632837615e-05,2.2170142818938963e-05,6.057558878785414e-06,6.35589328484661e-06,1.8121378965111874e-06,-1.4795069211522772e-06
3,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,7.518680436921378,-4.208173786808554e-06,-3.2885569159921206e-06,5.62996997804061e-06,-3.383198434505817e-05,2.5504197553959196e-05,-9.08035165805758e-05,4.735548707771626e-05,-0.00016136424266314042,6.57472471644108e-05,-0.0002299051199533451,7.727137871472268e-05,-0.0002812026188653269,8.100462280326885e-05,-0.00030326483284073895,7.832204598683087e-05,-0.0002895414885574405,7.217481249621159e-05,-0.00024007942102813152,6.603526544324554e-05,-0.0001614457747254101,6.277063927229781e-05,-6.54495874022676e-05,6.373143590850632e-05,3.309707136489236e-05,6.83098064775578e-05,0.0001191688978880665,7.412062692001268e-05,0.00018034945091648417,7.778917644463375e-05,0.00020914726569871072,7.613644276466862e-05,0.0002043532755772025,6.740422613886545e-05,0.00017117299759011154,5.2119530361278854e-05,0.00012010789463744133,3.3294814825373044e-05,6.482025551906922e-05,1.5859971015180184e-05,1.939650185401597e-05,4.154535492516855e-06,-3.405994687180886e-06
4,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,12.143657523667901,-6.812845543225268e-06,-5.28266384164703e-06,1.4375726273678275e-05,-6.786367422189783e-05,5.5720924265783024e-05,-0.00018572146813524367,0.0001012073453691942,-0.0003319967948755877,0.00013952061271019561,-0.00047406411841297805,0.0001635380427109601,-0.0005799354584373707,0.0001713003840291696,-0.000624335630822723,0.00016564460867743802,-0.0005934275624656264,0.0001527236218102873,-0.00048730327389819744,0.00013982128491480525,-0.00031985783983596477,0.00013299093520347357,-0.00011610962688312436,0.00013511083123863952,9.252905834733955e-05,0.00014490831099700667,0.000274168787539371,0.00015730449465078874,0.00040244794823541516,0.00016507352390176503,0.00046147586409674276,0.0001613832959680858,0.00044874102014908027,0.0001424445592699834,0.00037540893604784886,0.00010939092259441149,0.00026395730898474143,6.872213757888472e-05,0.00014364965925400288,3.108799201539036e-05,4.4743026407591264e-05,6.69939907669214e-06,-5.532039049724663e-06
5,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,17.164454295425777,-9.675938950644578e-06,-7.376391678645596e-06,3.6569831540326215e-05,-0.00013670086070575918,0.00012331785121974187,-0.0003828748958822718,0.00021873633972191756,-0.0006890788968840037,0.00029917521731962713,-0.0009864900418383852,0.00034970423174143116,-0.001207277959273668,0.00036611692164382294,-0.0012976764278548308,0.000354199794631274,-0.001228164153320831,0.0003267484092011786,-0.00099887449455915,0.0002991045580407923,-0.0006394116250627272,0.0002842190183090943,-0.00020320619507024847,0.00028844075345994927,0.00024253954667838925,0.0003092514619974492,0.0006295052269576859,0.00033582043001889605,0.0009011629215547127,0.0003524927743605406,0.001023455659400256,0.0003443301513889388,0.0009911086574149125,0.00030298420402582484,0.0008282998305136574,0.00023089537030607755,0.0005835837359863407,0.00014228011029128053,0.0003201712817442853,6.042225370699502e-05,0.00010353650751732376,9.433994701611016e-06,-7.910568883036671e-06
6,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,19.874466879002053,-1.1263240347817714e-05,-8.419989927651426e-06,6.378288239210778e-05,-0.00021231810124474183,0.0002014412079351482,-0.0006029035091607522,0.00035277993068348216,-0.0010895554076883847,0.0004804978280711268,-0.0015626650057152525,0.0005610331141848599,-0.0019138682072933034,0.000587575677902403,-0.0020570795420174533,0.0005689340319420087,-0.0019448702191172094,0.0005250383515583885,-0.001577201725452479,0.0004801475158821541,-0.0010012175090764938,0.0004551383810426472,-0.0003023134078859537,0.00046066791966423577,0.0004118725061435995,0.0004932197966484252,0.001031708610686744,0.0005356514189787289,0.0014663360853213584,0.0005626497687939971,0.0016609274555504472,0.0005497710109743856,0.0016069296292008713,0.0004831951872236686,0.0013431796045485934,0.0003667474203240376,0.0009477315093364279,0.00022353109068873147,0.0005222248039359234,9.138271346916203e-05,0.00017203442526935193,1.0876287395308683e-05,-9.276461617222612e-06
7,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,21.40357834716522,-1.2194725465941012e-05,-8.935214949124577e-06,9.194654340548403e-05,-0.00028755184874997757,0.0002804649222938292,-0.0008234852412765995,0.00048763267183541396,-0.0014923175166295793,0.0006627037850243918,-0.0021435350677857725,0.0007736258710297703,-0.002627970889867961,0.0008108884944523348,-0.0028268824321861746,0.0007859867130380922,-0.0026745755141534926,0.0007256001412650412,-0.0021704921933432112,0.000662726304363069,-0.0013790185420205466,0.0006263436670046626,-0.0004173345010670366,0.0006318766252524084,0.0005664848114156189,0.0006753027797189819,0.0014212899210527515,0.0007334179844263879,0.002021531521560374,0.0007711381359954162,0.002291209421962054,0.0007541419562520362,0.002218154084277229,0.0006627583723770696,0.0018556338486770349,0.0005020344652852368,0.001311070591205627,0.00030406493513124305,0.0007244727584090793,0.00012147006359806623,0.00024114858573985742,1.1662635434927286e-05,-1.01147573891506e-05
8,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,22.37871914175483,-1.2819307211998318e-05,-9.20216021655142e-06,0.00012051761165352453,-0.0003627072565351983,0.0003597564130976815,-0.0010448560488619104,0.0006225817516326489,-0.0018975821907191409,0.0008450305995206665,-0.0027294356809899048,0.0009867155663441987,-0.003350246004738999,0.0010353319443383994,-0.0036083082020889733,0.0010047120478002946,-0.0034192910031963716,0.0009278703801297546,-0.0027817062731107915,0.0008463292273860263,-0.001776777972789286,0.0007973184022455894,-0.000553149489577636,0.0008014880657358089,0.00070081258281857,0.0008548311451096991,0.0017923562368637046,0.0009283837275397516,0.0025609487666301703,0.0009772309348083962,0.00290900890301907,0.000956834152106749,0.002820333886758096,0.0008412872354676499,0.0023622604757391986,0.0006366544631057666,0.0016712803235467213,0.00038406008268905073,0.0009255456243545668,0.00015107093644172384,0.0003101970584234177,1.214235149723071e-05,-1.0704537692381884e-05
9,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,23.048868287444474,-1.327562415904615e-05,-9.332116773553107e-06,0.00014927605098873043,-0.00043789723954923773,0.0004390524233224884,-0.001267094771224955,0.0007573208246702252,-0.002305427224016396,0.0010271391027544103,-0.0033205158769785657,0.0011999513557451938,-0.004081010258232876,0.0012605717895685382,-0.004401941465566925,0.0012248178570686617,-0.004179952736422619,0.0011316091536583766,-0.0034121804752590135,0.001030756013535318,-0.0021962329482481235,0.0009678700021834066,-0.0007118381619835121,0.0009692812117537688,0.0008125491946973686,0.0010315352082388041,0.0021425329799121266,0.0011202402368820728,0.0030823192338495474,0.0011806210320602188,0.003512319275685608,0.0011575968403838492,0.003411834811613854,0.0010186350370329747,0.0028618468305093465,0.0007705856999473423,0.002027554504878156,0.00046360711407404225,0.0011249728419210022,0.0001803490343840266,0.0003789372479448299,1.2454226255472872e-05,-1.115672853702634e-05
10,2.7092276037651617,98425699.71742485,7580.442450525545,301.4027815097774,2.244619277360059,0.2394984076997821,0.11174450140864314,0.006068603999446587,2.3110133351730386,1320.6358394366289,2.849166774379105,1.5083115861537113,283.50624745449886,2.849166774379105,1.5083115861537113,283.50624745449886,23.533317734418386,-1.3630100341482802e-05,-9.378460939953936e-06,0.0001781098798902544,-0.0005131590893876085,0.000518207505860268,-0.0014901907315766337,0.0008916653889043453,-0.0027158043732938685,0.0012088071568625669,-0.003916728246314996,0.0014130857679937922,-0.004820273531634959,0.0014863583956042177,-0.005207910409397833,0.0014460791385085073,-0.0049568602568872,0.0013366343085484767,-0.004062421127498397,0.0012158666803001549,-0.002638106546200612,0.0011378798364728771,-0.0008943183407766897,0.0011351281895584807,0.0009006380300598734,0.001205254748240402,0.002470707521383583,0.0013087937469993367,0.003584567287939164,0.001381104741896186,0.004100184944356563,0.0013562544099676994,0.003991878637159158,0.0011946887144547095,0.0033538165406532885,0.0009037930779080922,0.0023795107296297607,0.000542740037151301,0.0013225314315361797,0.00020938125396955675,0.0004472539212253449,1.2664783004408062e-05,-1.1524489490119792e-05
