时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,7.028616790772352,-5.432405769562806e-06,-3.6630620948089877e-06,-4.019540044734569e-06,-2.48390025263028e-05,8.392775640845235e-06,-5.712955726010103e-05,2.2466300625168024e-05,-9.715355625679042e-05,3.4717223632722705e-05,-0.00013780979590900788,4.2834679796700644e-05,-0.00017216390846863812,4.5985515620096195e-05,-0.00019455489935948765,4.473731334058452e-05,-0.00020148251896262906,4.067614090456377e-05,-0.0001920920765252138,3.582658539502885e-05,-0.00016819472627974886,3.201981789508036e-05,-0.00013382685977556764,3.0369464556290175e-05,-9.443345172911633e-05,3.099230175884526e-05,-5.5824787138028734e-05,3.3049415071549724e-05,-2.310226367927604e-05,3.509338300972863e-05,2.3960929319612396e-07,3.561295153458722e-05,1.2858466189823217e-05,3.3600131030483234e-05,1.565282955544519e-05,2.8948957102740413e-05,1.138054543567627e-05,2.254541084213594e-05,3.900952025324126e-06,1.6024889844646218e-05,-2.833863094605407e-06,6.0721371292093876e-06,-2.819499971297759e-06
3,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,15.572182246964616,-1.205906304815244e-05,-8.105339695019141e-06,-6.759591426783119e-06,-5.9137809211297694e-05,2.4649333725179016e-05,-0.00013887425905485882,6.035328092375971e-05,-0.00023826111776286692,9.150815798196917e-05,-0.00033923251357157266,0.0001121755948019033,-0.00042386812840330404,0.00012019186501534004,-0.0004774290663501224,0.00011702214591361682,-0.000490795962676421,0.00010679001875781713,-0.00046182630097270523,9.476440756484892e-05,-0.00039545582561148235,8.569025287607285e-05,-0.0003025516935386982,8.239103738396938e-05,-0.000197740772256873,8.501716484527543e-05,-9.66119347322347e-05,9.115437334535366e-05,-1.2818294220203197e-05,9.676458859194051e-05,4.436020089103073e-05,9.767401105409357e-05,7.151388286763957e-05,9.113729095703321e-05,7.137624337596973e-05,7.695982468586102e-05,5.183604326752741e-05,5.7793135654847544e-05,2.3938325452445165e-05,3.852362026556697e-05,-7.721803241715152e-07,1.3459449487273871e-05,-6.2651815857392634e-06
4,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,24.046407043062633,-1.8665583826487977e-05,-1.2488773951557319e-05,-5.14050097646944e-06,-0.0001013976751615795,5.276174878931961e-05,-0.00024424884166581004,0.00011860020072920399,-0.0004231103197571358,0.00017608644041448913,-0.0006045395277257772,0.00021418829879747456,-0.0007549102811483517,0.00022887504852838416,-0.0008464105713684791,0.00022292793565894175,-0.0008618736069527815,0.00020415113969618574,-0.0007975126135808417,0.00018251124952291787,-0.0006631969175067705,0.00016693919135535507,-0.0004802761589738488,0.00016262272281516548,-0.00027737563146492636,0.00016953252491528378,-8.493313894380973e-05,0.00018262791350544152,7.049518570199413e-05,0.00019371639719583967,0.00017105327828527926,0.00019442299924078265,0.00021057169713827964,0.00017933978005369217,0.00019515042730120332,0.00014831960417627046,0.00014126427695631869,0.00010713408094747605,7.187374705741679e-05,6.630130533770731e-05,1.1266666417919277e-05,2.078688211649545e-05,-9.715055462541235e-06
5,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,33.353592678623514,-2.5985583949331228e-05,-1.723990003717976e-05,7.965635844402954e-06,-0.0001692620508476211,0.000114456478537241,-0.0004224697626727572,0.0002351186107653395,-0.0007404295049706502,0.0003402247873110979,-0.001061402058879549,0.00040958052992531537,-0.0013226404334254148,0.00043588342153717856,-0.001472126108080481,0.000424480040347524,-0.0014780401417767977,0.0003900961470582897,-0.001334190313171512,0.00035149046400572093,-0.0010606505190356628,0.00032537937707403556,-0.0006996095567055128,0.0003212049515957787,-0.0003072176764448434,0.00033822578161706366,5.7096073408309356e-05,0.00036588689630916334,0.0003418338106345939,0.00038750690750498124,0.0005129675821029425,0.00038625339984877885,0.000559877912440377,0.0003515438689964743,0.0004965208958071763,0.00028374917528021143,0.0003576770093743523,0.00019557610944333158,0.00019123574037133284,0.00010966022880817433,4.803312023444311e-05,2.8813293865081114e-05,-1.3577142735603346e-05
6,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,41.3561942239123,-3.240363846675556e-05,-2.1168533340268767e-05,4.6308017891439386e-05,-0.0002789674727222556,0.00024041010291510513,-0.0007243445879097047,0.0004586741746495026,-0.0012835650178205297,0.0006477382760771272,-0.0018436182497135417,0.0007715829928105886,-0.0022892454415196126,0.0008174800037648736,-0.00252523378145202,0.000795555051911119,-0.002494324844211013,0.0007329644984409306,-0.002187459762147814,0.0006642609536130999,-0.0016449554416988331,0.0006202182440950417,-0.0009486214671315785,0.0006179358764586672,-0.0002062485619099775,0.0006551051061727155,0.00046881779528528674,0.0007105159254576618,0.0009792364670303318,0.0007511519303339918,0.0012620829091241324,0.000744004314177713,0.0013002667792449975,0.000668880387203973,0.0011245858579650302,0.0005278215480538014,0.0008061654397379654,0.000347740473834749,0.00044122959456158997,0.00017524860722479857,0.00013137234303719635,3.564008440049296e-05,-1.7054671344060357e-05
7,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,45.2225534293275,-3.562009821609532e-05,-2.2906410571463147e-05,9.198249195476142e-05,-0.000383770285506307,0.0003739937203613025,-0.0010199409451156318,0.000689302404411346,-0.001817997676125147,0.0009613663747752637,-0.002613139818347483,0.001138906338342806,-0.0032374161354731673,0.001204026179715224,-0.0035526867735485744,0.0011714635562946698,-0.003476902010203012,0.0010804226828717164,-0.002999000310690379,0.0009810022830818467,-0.0021804546304160133,0.0009181399612723052,-0.0011435556198196787,0.0009169743481519148,-4.8485859813799254e-05,0.0009739639868097871,0.000936935022493615,0.0010572057855292956,0.0016693175176636333,0.0011168696215053205,0.0020571644993504297,0.0011031295172852856,0.002077822885619758,0.0009858401695035566,0.0017802509551613425,0.0007689953120090333,0.0012732894795867158,0.0004945606708809491,0.0007025488250167481,0.00023407418548195122,0.00022092835006547908,3.885838656335656e-05,-1.888247490808109e-05
8,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,47.472429302622174,-3.758576620915871e-05,-2.378589230073404e-05,0.00014058969341891367,-0.0004871286005327315,0.0005105684737613444,-0.001314642710993687,0.0009225497637469612,-0.002352222589363611,0.0012772078429449836,-0.0033829098534610916,0.001508408687758689,-0.0041858299798475185,0.0015931333027968987,-0.004579911652538173,0.0015503445646701391,-0.004458479218995624,0.00143073856680551,-0.0038086733561396645,0.0012996357612137057,-0.002713265007105896,0.001216300318183133,-0.0013350973528346176,0.0012144900619821659,0.00011318709774306662,0.0012900749308515026,0.0014091792105952127,0.0014007682479302936,0.0023633237636546244,0.0014797320940522884,0.002855553108174478,0.001459803961253445,0.0028578509915260703,0.0013004345189945117,0.002437659210049627,0.0010075042525301901,0.0017417800342241299,0.0006383596939485035,0.0009652077853610072,0.00028987141130042674,0.00031190954991482074,4.066813512829255e-05,-2.0061967118310962e-05
9,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,48.93028276068214,-3.89406697313897e-05,-2.4243546293631034e-05,0.00019063359425084927,-0.0005900832769753405,0.0006485091569082809,-0.0016100469137424844,0.001156841762447321,-0.002888903219187068,0.001593907358382015,-0.00415725940361915,0.001879058269018359,-0.005141045374840404,0.0019841067241860217,-0.0056160865978533555,0.001931760145677606,-0.005450984026866181,0.0017835770778818502,-0.0046309695499849425,0.0016197438240588054,-0.003259930303868421,0.0015140391386157708,-0.001541046808428835,0.0015095040309375336,0.00026071238707844397,0.0016021892515642763,0.001868304461289679,0.0017398635411103377,0.003045803224358693,0.0018385743185583689,0.0036443321972483215,0.0018133109077426383,0.0036303626481194585,0.001612585017821595,0.003089752955251182,0.0012439433416814106,0.0022071547704831836,0.000780262939645994,0.001226686272685783,0.00034402063539326204,0.00040304003699780035,4.1790731735666286e-05,-2.0921956615055824e-05
10,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,49.94178045382072,-3.9953492319280946e-05,-2.446268617819675e-05,0.00024145353452419043,-0.0006930118183760297,0.0007870533544240328,-0.0019066790657016853,0.0013913914290177838,-0.0034289465070428786,0.0019107365579059603,-0.004937779999262459,0.0022502492097289436,-0.006105634400849213,0.0023764926140205974,-0.006664978029790075,0.002315396322671614,-0.006459454520211556,0.0021387115520824507,-0.005472113864274344,0.0019411068277126623,-0.0038276158136082345,0.001811060676468712,-0.001769122907858661,0.0018015916845513858,0.00038629981443594734,0.0019097609201632019,0.0023069578166621625,0.0020739015876800547,0.0037102892971797104,0.0021928897533889406,0.004418232728714585,0.0021633601296013267,0.004391412758099858,0.0019223036212107415,0.0037338486763637975,0.0014786284769365444,0.0026677757208855113,0.000920803127812748,0.0014860862320897781,0.00039713136546182845,0.00049384764552162,4.2529043691997413e-05,-2.1600558273016506e-05
11,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,50.6747450304845,-4.0754777461340623e-05,-2.4532450715426256e-05,0.0002927083831709851,-0.0007960637366911293,0.0009257757440108549,-0.0022047084817515042,0.0016257200627918396,-0.003972661126483916,0.0022272068055049304,-0.005725092561351352,0.002621528126194057,-0.007080708967313301,0.002769909458530048,-0.007728325374598777,0.0027009600438918577,-0.0074863178175129655,0.0024959250809986865,-0.00633519015382628,0.002263542547093455,-0.004419939984531044,0.002107159945515327,-0.0020232747560574083,0.0020904771346639357,0.00048593384234191407,0.0022124316753184842,0.0027213424960889345,0.002402480785119243,0.004353456835391915,0.0025423125056173303,0.0051745718749715815,0.0025097088078004028,0.00513902224848203,0.0022295286244842123,0.004368625999725466,0.0017116819746048836,0.0031228554753507617,0.001060232709715524,0.0017429856218730124,0.00044950157557449165,0.0005841109087145998,4.303030059884168e-05,-2.216487189557242e-05
12,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,51.22191271565555,-4.1416650121367335e-05,-2.4502195796442915e-05,0.000344196294941402,-0.0008992957302911453,0.001064404060283862,-0.002504155778700098,0.0018594942747975549,-0.00452009048906832,0.0025429444582605915,-0.006519365963886883,0.0029925112688834548,-0.008066679134303421,0.0031639985559145743,-0.008806875261111636,0.0030881479039295318,-0.008532708783747516,0.0028549818755820872,-0.007221720540527385,0.0025868682805240692,-0.00503875836630738,0.002402168836667831,-0.002305586994056724,0.0023759619770712544,0.0005574479362735042,0.0025099470892078093,0.0031093791439358006,0.0027253028637592943,0.004973469883041701,0.002886549532973495,0.005911864979211787,0.002852133472232411,0.00587209780685198,0.0025341553278408844,0.004993357873546888,0.0019431285361217368,0.003571961469997673,0.0011986732719595568,0.00199715245900371,0.0005012922111056689,0.0006737076291727688,4.337591627748341e-05,-2.265198488320975e-05
13,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,51.63761194205139,-4.1981360436174014e-05,-2.4400903206632028e-05,0.0003957880056889974,-0.0010027225826388813,0.0012027462177929403,-0.002804983185893378,0.002092456230185389,-0.005071177290129385,0.002857635556755526,-0.007320593117897417,0.003362853021299965,-0.009063672610330739,0.003558419042446404,-0.0099009643909538,0.0034766607032256556,-0.009599219475493952,0.003215645676402281,-0.00813256495813316,0.002910904165922887,-0.005685176833226406,0.0026959299588972204,-0.002617353428929209,0.0026578662756633047,0.000599453913328949,0.00280207416157758,0.0034697022184252578,0.0030420857932287305,0.005569099935352482,0.0032253095667845065,0.006629103398477133,0.0031903903623404363,0.006589885659811259,0.0028360337481919207,0.005607534751048752,0.0021729265025757973,0.004014785793442031,0.0013361695033494074,0.0022484219761662316,0.0005525901086303653,0.0007625565119130335,4.3613656859178836e-05,-2.3083597611014195e-05
14,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,51.95638343212787,-4.247573501857311e-05,-2.424705862395959e-05,0.0004473931666973381,-0.0011063371381389308,0.0013406560997749404,-0.0031071182280127414,0.002324394903168313,-0.00562579707658514,0.003171005573070031,-0.008128643664542107,0.0037322328396245654,-0.010071616106647517,0.003952838235184497,-0.011010636391359754,0.003866194108907027,-0.010686053247246965,0.003577670592028046,-0.009068108325221824,0.0032354669148674108,-0.006359762405346587,0.002988296750241502,-0.002959298547677221,0.002936036823351097,0.0006111240731425763,0.003088616778745377,0.0038014596506180803,0.0033525838345344087,0.00613955486399938,0.0035583257416569,0.007325620407851204,0.0035242407180796154,0.00729187632413021,0.003134998156732089,0.006210803528446256,0.0024010024190545846,0.004451108704479683,0.001472726724622093,0.002496673712577525,0.0006034438306320648,0.0008505994922138844,4.37739109039612e-05,-2.3473488925147507e-05
15,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,52.20095497446127,-4.291740210964925e-05,-2.4052874703022876e-05,0.0004989448434775406,-0.0012101207647486228,0.0014780150707895874,-0.003410473516063523,0.002555126843312207,-0.00618379795474727,0.0034828031121970746,-0.008943335331812824,0.004100345705204611,-0.01109034861091521,0.004346930722237862,-0.012135803562676165,0.004256444781511509,-0.011793236337618744,0.003940809115926823,-0.01002851709468671,0.0035603729359382132,-0.007062833338242956,0.0032791263134441927,-0.0033318844654800076,0.0032103283015205964,0.0005918871381762988,0.0033693885852889077,0.004104031200915926,0.0036565588242617846,0.006684235655394145,0.0038853324190738898,0.008000896330733075,0.0038534379168735696,0.007977661260686272,0.003430865597636325,0.006802872394843145,0.002627258740374751,0.004880743082630237,0.0016083238555214938,0.002741803712866548,0.0006538779752234764,0.0009377893018646131,4.387670685984792e-05,-2.383069801863711e-05
16,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,52.3869784056096,-4.331847406032445e-05,-2.3826806247304767e-05,0.0005503905813005283,-0.0013140480059789723,0.0016147223941541942,-0.0037149520849019315,0.0027844876312368154,-0.006745008944858305,0.003792793595312547,-0.009764448699219205,0.004466898166921003,-0.012119646032244928,0.004740376094838202,-0.013276283965387343,0.004647108911423176,-0.012920668102826927,0.0043048109680692975,-0.01101380112355045,0.0038854375603190276,-0.007794529319966666,0.0035682794427233195,-0.0037353845886135602,0.0034806045033138927,0.0005413564920081831,0.003644215539769943,0.00437696363942193,0.003953784015829795,0.007202682506694701,0.004206070346088181,0.008654517817608474,0.004177734180180105,0.008646905427673225,0.0037234443469174225,0.007383494569236067,0.0028515837740964336,0.005303525792302743,0.0017429238535731956,0.0029837196431031204,0.0007039026826803428,0.001024085481511227,4.3935859059643623e-05,-2.4161425984283805e-05
17,4.017094878754249,99207958.6472593,7609.232800218728,1112.4884088871618,1.3878277214854542,0.19694854812255164,0.05874646853789099,0.0122060309600685,1.459116281541915,435.72794403005497,9.002405387600822,7.427518940207791,459.8360964318549,8.005246360403136,9.79075887572869,794.4632302697183,52.52563603435439,-4.368757167903871e-05,-2.3574934490298052e-05,0.0006016876787432964,-0.001418089109136308,0.0017506906702649864,-0.0040204498946388835,0.003012328683506411,-0.007309243135795795,0.004100758025316502,-0.010591732220181522,0.004831608706319014,-0.013159229336393952,0.005132859924475219,-0.014431813530505736,0.005037882956632778,-0.014068137309319717,0.0046694234539228895,-0.012023833440888535,0.004210475674103364,-0.008554832970071315,0.003855622593122912,-0.004169904889758667,0.0037467424465316202,0.000459311039302744,0.003912942267582115,0.004619955189019411,0.004244052059001389,0.0076945637054981215,0.0045202953551802625,0.009286171354877994,0.00449688928392603,0.009299344854409787,0.004012542284607637,0.007952468572455414,0.003073859517194609,0.005719318792179197,0.0018764806767642603,0.0032223410689050784,0.0007535192791559991,0.0011094531294602813,4.396124449419978e-05,-2.4470085212395945e-05
