时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,6.485082758802317,-2.6353142394546234e-06,-2.1163773141108464e-06,-7.56551923957466e-07,-1.0764720921448497e-05,4.557835596017396e-06,-2.927700823705919e-05,1.0886123700873e-05,-5.350860221139596e-05,1.6461636076464348e-05,-7.83122855222942e-05,2.0157897817423343e-05,-9.858219576666651e-05,2.15837344106261e-05,-0.00011017776520178374,2.1036728623549807e-05,-0.00011064261067526975,1.9303059835663095e-05,-9.959735790771466e-05,1.7360487358133423e-05,-7.87426805577365e-05,1.60580646939139e-05,-5.147819523659865e-05,1.5852715860495844e-05,-2.2212908955215352e-05,1.667469042039251e-05,4.501273030273473e-06,1.796548782718332e-05,2.484631012160518e-05,1.8884108907991502e-05,3.645313239848776e-05,1.8622452852122028e-05,3.8812120252494174e-05,1.6728531143992642e-05,3.3296776829949665e-05,1.3325722134988112e-05,2.2796313050749724e-05,9.145015173058136e-06,1.1035628872046318e-05,5.302285150783114e-06,1.7323179342959132e-06,2.6257209696375446e-06,-2.1307737248471274e-06
3,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,14.268161285395227,-5.803610963170628e-06,-4.654604033776607e-06,-9.667533313807917e-07,-2.5633834476782393e-05,1.2204232985066903e-05,-7.09297901681019e-05,2.7894117929439503e-05,-0.00013042997838638167,4.174036888242803e-05,-0.00019136475657964555,5.0930472526720526e-05,-0.0002409485305248171,5.447722619892158e-05,-0.00026875768764639583,5.3117278428136944e-05,-0.0002685906130500078,4.881791278584306e-05,-0.00023949505306316218,4.403427703206819e-05,-0.00018579818687741834,4.090096094866191e-05,-0.00011615275507775224,4.056045858572324e-05,-4.1790476547739805e-05,4.281421778124195e-05,2.568342150622702e-05,4.621271020349617e-05,7.653007336388153e-05,4.8579658360459516e-05,0.00010471174451911545,4.782253336798109e-05,0.00010895478340656815,4.27699589826453e-05,9.282901888998937e-05,3.3747345802211e-05,6.383205247592413e-05,2.267569083589037e-05,3.16777409167225e-05,1.2534664896049933e-05,6.166093809329417e-06,5.779203608443248e-06,-4.691594397747648e-06
4,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,22.977636437421424,-9.357721931025721e-06,-7.490831932593108e-06,2.544026504321235e-07,-4.633391169663902e-05,2.525319466216958e-05,-0.00013099384384739277,5.501041158009966e-05,-0.0002425741259053218,8.129978290179254e-05,-0.0003568285938423499,9.876040837235614e-05,-0.0004492525871880297,0.0001054930014505928,-0.0004997632732040329,0.00010289351514953018,-0.000496385578192191,9.472738908289893e-05,-0.00043731224972655647,8.571326945851966e-05,-0.0003310092579073048,7.996315975663181e-05,-0.00019438848892717916,7.966847855003584e-05,-4.941595487145836e-05,8.440049593313403e-05,8.119624909820288e-05,9.126800282308418e-05,0.00017838517973490852,9.593892963065636e-05,0.00023035574036553847,9.424429082563876e-05,0.0002346978213873226,8.385208300037828e-05,0.00019857997775872167,6.543303317562282e-05,0.00013699389824072198,4.288532754301936e-05,6.943726758840568e-05,2.2336863861364523e-05,1.576348593953018e-05,9.310068506907257e-06,-7.563845515694612e-06
5,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,30.775592454817232,-1.2550589900344389e-05,-1.002299812359419e-05,3.695676498469408e-06,-7.141019536025984e-05,4.411458785328177e-05,-0.00020630187858749588,9.213036539697163e-05,-0.00038449450484131684,0.0001345566367382339,-0.0005667943039513553,0.0001627339530001725,-0.0007133075923339239,0.00017357705771488705,-0.0007912151181206598,0.00016933545633805058,-0.0007809335625338221,0.00015612110666300322,-0.0006795926229893928,0.0001416272104796879,-0.0005012716891171247,0.0001325831528410268,-0.0002740246320287203,0.00013257410137980854,-3.429149880928746e-05,0.00014084528262035557,0.0001802383952353775,0.00015252470156680375,0.00033794039106492286,0.00016030905236052377,0.00041930475989696486,0.00015716022291055071,0.00042050442321600427,0.00013914886957276865,0.00035376407996230583,0.00010745430922685914,0.0002444818027210726,6.877465617633217e-05,0.00012574439484841173,3.372224304016695e-05,3.143325829502007e-05,1.2471680395968792e-05,-1.0145082190015612e-05
6,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,40.50419016301751,-1.6558600348266664e-05,-1.3159867242233009e-05,1.4775131544564734e-05,-0.00012163084562241398,8.824135731463899e-05,-0.00036229536775507585,0.00017510420613873172,-0.0006807850293326682,0.00025177144165994654,-0.001005897833668176,0.0003026630748048321,-0.0012646788247434016,0.00032220364284778744,-0.0013969248288333185,0.00031441877673481396,-0.0013667598064299985,0.00029035926470275675,-0.0011692275250290882,0.0002640596437452332,-0.0008308457602311938,0.000247924765590598,-0.00040415944811985065,0.0002486418381773939,4.262300714205112e-05,0.0002648038994096359,0.0004389581385054457,0.00028717159126399953,0.0007257118979091138,0.0003017841243582562,0.0008666004065146537,0.0002951240018744155,0.0008549900601699334,0.0002596593604630434,0.0007146636258888979,0.00019778023894127887,0.0004944474742490433,0.00012262423083259877,0.0002579137707307367,5.509439104001513e-05,7.0388468307942e-05,1.6411298905392875e-05,-1.3390508938408482e-05
7,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,46.17258030506946,-1.892104703834765e-05,-1.4959445807967296e-05,2.9524347663646048e-05,-0.0001741183953903097,0.00013900698779216477,-0.0005292012729331699,0.0002679148242343086,-0.0009994311355496555,0.0003815595833766056,-0.0014786978946381834,0.0004570279973608968,-0.0018579786576777728,0.00048608456104469797,-0.00204721668439339,0.0004745531513504347,-0.0019928280472793726,0.00043864722645765527,-0.0016877027276900713,0.00039918371243418413,-0.0011721104880802141,0.00037482362379167954,-0.0005255654090535014,0.00037586370730580826,0.0001487510009750925,0.00040040598502119547,0.0007441130615288867,0.000434487924085259,0.001171099526022579,0.00045669521619524494,0.0013750266024802674,0.00044613504277424477,0.0013463526448855867,0.00039113411050760243,0.0011218746601416563,0.0002954504976468017,0.0007765517617006109,0.000179554400108907,0.0004078378463170766,7.601390281271367e-05,0.0001159218188250423,1.8698583770392608e-05,-1.5310197797986253e-05
8,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,49.596470075159665,-2.0371385947214738e-05,-1.602186730996584e-05,4.553900719210039e-05,-0.0002258286796581844,0.00019107456334628133,-0.0006955806152752108,0.0003618949603481846,-0.0013180350209664122,0.0005123943426590545,-0.0019520806746554614,0.0006124937858604541,-0.002452498900055012,0.0006513087784349743,-0.0026992547218469493,0.0006362765919330864,-0.0026209529995528556,0.0005885097329469895,-0.0022082503577657473,0.0005354557008292175,-0.0015151191914039672,0.000502116854540569,-0.0006480466051221274,0.0005026871621308027,0.00025472693738051456,0.0005350918226591313,0.0010501214460496384,0.0005807880654972792,0.0016182140309329077,0.0006107979660794731,0.001885744046140651,0.0005965810917216588,0.0018401901936850817,0.0005220845550895981,0.0015314083246076068,0.00039239000248190574,0.0010606063224019027,0.0002354598455274349,0.000559251702248569,9.576575509023966e-05,0.00016251679469975853,2.0073554305020262e-05,-1.6493415838120634e-05
9,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,51.87157724999358,-2.1355953297382217e-05,-1.6706779366456614e-05,6.219511226320661e-05,-0.0002772230812651327,0.00024375506879130803,-0.0008620943545668253,0.00045634788751603794,-0.001637671586613448,0.0006436194917625713,-0.0024278050082850414,0.0007684806354105864,-0.003050962465970152,0.000817388990857133,-0.0033569681124733654,0.0007991850916134093,-0.0032564265943633903,0.0007395901703920831,-0.002737554813112996,0.0006725097774780731,-0.0018678229228541873,0.0006293676751388296,-0.0007805292356475071,0.0006285607701537763,0.00035109107352143443,0.0006681929537737909,0.001347535641116781,0.0007253383561220753,0.002058196400967597,0.0007633937356603506,0.0023910025934101757,0.0007459215178713382,0.002330241815278135,0.000652235429063037,0.001938670288572705,0.0004886419398115148,0.0013436271725257181,0.00029067567392547646,0.0007105031676787463,0.00011486165156263431,0.00020941067685365853,2.0982777730647726e-05,-1.7299258140604454e-05
10,0.2142688193287035,4272317.214375272,0.0,5.748492007343396,0.9073577036121856,0.08791859138917131,0.015681861178134048,0.003964136211250086,0.9295884738339046,801.392935649827,4.665321390438083,2.2484466959213254,418.71984055531357,4.665321390438083,2.2484466959213254,418.71984055531357,53.48095407040559,-2.207179869068773e-05,-1.7172819128125332e-05,7.920955441062687e-05,-0.0003284848953350638,0.00029672563827242625,-0.0010289878081658607,0.0005509383278943457,-0.0019587627697909863,0.0007749127168028243,-0.0029066218492029682,0.0009247004876215822,-0.003654605115645789,0.0009840850028788638,-0.004022202959920808,0.0009630882903918433,-0.003901772593391622,0.0008917350509857937,-0.0032788082445247557,0.000810202079685139,-0.002233988754724105,0.0007564078752864331,-0.0009271810106367878,0.0007532652429968343,0.00043351391408527097,0.0007994345939119649,0.001632137173773135,0.0008678345187498402,0.002487204298568884,0.0009142004225106496,0.0028875500917734174,0.0008939565636789182,0.002813974349625181,0.0007815153006733791,0.002341872308136074,0.000584276410353769,0.0016244953410357082,0.0003453874566757135,0.00086098580034387,0.00013354285504665157,0.0002563107018620353,2.1623388211951985e-05,-1.788614388338187e-05
