时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,6.328134617959042,-3.2801965378338468e-06,-1.0071290299658204e-06,6.134014664988552e-07,-1.4753637858426748e-05,9.429371781340394e-06,-3.9636132890742225e-05,1.9324813644627767e-05,-7.089919736356661e-05,2.804176518707234e-05,-0.00010269732600817607,3.412165994034504e-05,-0.00012938493297969363,3.706372927484262e-05,-0.00014641408531090367,3.725074910743147e-05,-0.00015103458579339286,3.5693332183931185e-05,-0.00014266411945913304,3.36616317780821e-05,-0.00012287674545060105,3.229258155455848e-05,-9.501985974612865e-05,3.226723120146229e-05,-6.35344145308753e-05,3.364017320279921e-05,-3.3103896170012674e-05,3.5868100184862586e-05,-7.790432747237053e-06,3.8030549601005745e-05,9.678035615936217e-06,3.9176423342752766e-05,1.8331723430844317e-05,3.868525685860911e-05,1.9013057959977325e-05,3.6520126993465503e-05,1.4052240961088887e-05,3.327920060595222e-05,6.636417465207668e-06,3.002597607592512e-05,-1.1734582816511592e-08,2.6838412337250433e-05,-2.966165033073803e-06
3,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,14.189500973039122,-7.36685996846825e-06,-2.2527566647335633e-06,2.498621153149418e-06,-3.579073139291163e-05,2.433674934316461e-05,-9.709028840443118e-05,4.893036419378688e-05,-0.0001744341324634106,7.061302580307174e-05,-0.00025312596419610933,8.567980411598042e-05,-0.00031876663868965423,9.284060930263101e-05,-0.0003596664916837635,9.306229376432563e-05,-0.0003687350683619042,8.89287242330187e-05,-0.00034450058108495416,8.369693590464628e-05,-0.00029111841862796453,8.027800036136879e-05,-0.000217393182018687,8.039064006842495e-05,-0.00013500817074166757,8.410704310336287e-05,-5.629063511391374e-05,8.992194563411091e-05,8.070747425985974e-06,9.533448454868555e-05,5.092274812797123e-05,9.777283096178209e-05,6.979266511952316e-05,9.556945831405354e-05,6.706457589269493e-05,8.86595804083763e-05,4.916255741282186e-05,7.875349684512591e-05,2.492834923409996e-05,6.892289137616346e-05,3.5021089311818683e-06,6.025239034628021e-05,-6.678008640793027e-06
4,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,22.440731077293446,-1.1673232565012251e-05,-3.548711910609402e-06,6.738583995139764e-06,-6.330234653128469e-05,4.629566730972296e-05,-0.00017360907034180248,9.093684756175878e-05,-0.0003132608507228351,0.00013027542727749516,-0.00045520609699411575,0.00015745151387783186,-0.0005725776353431478,0.00017005556172138827,-0.0006434139701066656,0.00016988809299417284,-0.0006543804939785668,0.00016179052596821035,-0.0006028164750481752,0.00015187917591113874,-0.0004968235717505864,0.00014561141033710669,-0.00035343551760094743,0.00014615778838477197,-0.00019523451555918684,0.00015351186035202,-4.6042092988983833e-05,0.00016460908286612027,7.351237884394516e-05,0.00017445421169292767,0.00014970228560693842,0.00017793949815155468,0.00017797519146287616,0.00017178592401617419,0.0001633539778414026,0.00015596098625615982,0.00011891462323712496,0.00013407518408857462,6.269671944551497e-05,0.00011262182943586604,1.365006637838245e-05,9.541078645922977e-05,-1.0615645959397763e-05
5,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,30.982215400499015,-1.6157112346736106e-05,-4.865396922268159e-06,1.592309211359693e-05,-0.00010327795024925124,8.221418227491532e-05,-0.0002867166548436315,0.00015701904798369947,-0.0005193852343690372,0.00022276507948920982,-0.0007551383200303505,0.00026777636519368,-0.0009476188985870508,0.00028795216516419825,-0.001058753517969396,0.0002864259490030437,-0.0010654904171154365,0.0002715959389329584,-0.0009635677752605266,0.0002540855564294484,-0.0007677788220277777,0.0002433604369997248,-0.0005087876500325202,0.0002448289755466539,-0.00022712819125793624,0.0002582147962501971,3.4506928415340176e-05,0.00027773278799030386,0.00023925323891590185,0.0002941168736129698,0.00036281105747589334,0.00029795372788967437,0.0003976154813820775,0.00028328820117535695,0.0003536367118863259,0.00025029621366113653,0.0002557011000453048,0.00020608466004917394,0.0001379634969045953,0.0001633336966355372,3.663172490808064e-05,0.0001318999285732593,-1.4759932682626363e-05
6,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,39.96469338362619,-2.0924405369959383e-05,-6.1833636150853324e-06,3.8211594383320764e-05,-0.00017563182104760833,0.00015433130433602658,-0.000494306455381852,0.00028487462816796703,-0.0008982161021307497,0.0003989120905304147,-0.0013048188186326173,0.0004759203368882748,-0.0016305847159487931,0.0005087842459798005,-0.0018068583100665223,0.0005032425184612151,-0.0017924840610979943,0.00047446054875489906,-0.0015809318929559419,0.00044165615532810754,-0.001200897309357425,0.0004219837970324435,-0.0007104533219197452,0.00042513415295997826,-0.00018588820157849694,0.0004501611992947179,0.0002927489118261868,0.00048567484448856394,0.0006567248524678433,0.0005136454054027049,0.0008614206176789936,0.0005158611073603718,0.0008942980444835601,0.00048102408337188934,0.0007764484865251981,0.0004100580272946693,0.0005574972806672356,0.00031770615595386425,0.0003050681219215006,0.00022980103000685216,9.095182078535753e-05,0.0001703725781198541,-1.9261299416336015e-05
7,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,45.081111552835836,-2.369449537438579e-05,-6.852266596991225e-06,6.619655189436147e-05,-0.0002537037340499741,0.0002367150255993238,-0.0007199980549610654,0.0004275542428329036,-0.0013099267539808759,0.0005933779238840427,-0.0019005637996168554,0.0007042847416323572,-0.00236734838656944,0.0007500304292384647,-0.002608136408944705,0.0007391684668593563,-0.002562311525221827,0.0006941338684395005,-0.0022215541046063467,0.0006434939104274764,-0.0016307292471559715,0.0006129403438090841,-0.0008790191750990993,0.0006170770649384415,-8.297882903822193e-05,0.0006543491149439864,0.0006354789466020975,0.0007070672191697501,0.0011721422161128556,0.0007471498407245245,0.00146014015568992,0.0007462195834291768,0.0014821649993467605,0.0006868557587707721,0.0012727602134625575,0.000571032323396635,0.0009103315107449686,0.00042257859723387933,0.0005007985349297452,0.00028265178396364755,0.00015628721391644642,0.0001923354704645695,-2.1976078096670736e-05
8,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,48.07984565714664,-2.5363748957042148e-05,-7.1731358528267414e-06,9.576368457713387e-05,-0.0003314097043102059,0.0003204358270408891,-0.0009454426290146922,0.0005709621027203619,-0.001721215684708047,0.0007878657591232173,-0.0024952000187445362,0.0009321566570954726,-0.003101716049466803,0.0009905371725611024,-0.0034052087899762067,0.0009741813850011339,-0.003325809329707277,0.000912479596793978,-0.002853674889465793,0.0008431549174424398,-0.0020501002376328683,0.000800519991619625,-0.001035604285699847,0.0008044117293390565,3.279279620103969e-05,0.0008530100508323566,0.000991150442525588,0.0009224595997447195,0.0016996956746605655,0.0009744606854850183,0.002069378420047634,0.000970129917626303,0.0020783853342973054,0.0008856625964789894,0.0017751125247209365,0.0007241001502852588,0.0012671493422871083,0.0005186510809381758,0.0006989826657010449,0.0003261509574808297,0.0002231591917955305,0.00020523877002412669,-2.3688246248877044e-05
9,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,50.03429830695275,-2.649110264200438e-05,-7.321780796185683e-06,0.0001261260203610362,-0.0004091680126867766,0.0004047876707082891,-0.0011715963031150361,0.0007146232644837526,-0.002134116142543356,0.0009822569808152861,-0.0030924341570715426,0.0011598414652549773,-0.003839613165310324,0.0012310307177917105,-0.004206612977639205,0.0012093568800164683,-0.004094286986269465,0.0011307999662209392,-0.00349124965869729,0.0010420243100646856,-0.0024751811813699485,0.0009860659146449055,-0.001197880595368742,0.0009883753535425985,0.0001431888529347655,0.0010473043717763237,0.0013420091301698538,0.00113306688938866,0.002223139708988499,0.001197058177992904,0.0026752524413206436,0.0011895744707733215,0.002671993871990876,0.001080120704265414,0.002275632652186198,0.0008727099129669628,0.0016229445101822889,0.0006100687799767235,0.0008969062700681533,0.0003649184834432956,0.00029034423316437246,0.00021368267044293823,-2.4902852298094842e-05
10,1.2761224942206226,26875455.773422115,-910.3397472156357,48.58688230684325,1.0900425513991165,0.12278049407201434,0.03697467539481582,0.004695841398421661,1.125873208610835,837.3516637535558,3.5196587957833723,5.010009864658881,144.72123961248633,0.431810890731521,1.772310503300039,271.02783380763935,51.396635249769446,-2.7312498725684406e-05,-7.372422819877982e-06,0.00015692741864753394,-0.00048710150555454315,0.0004894178310346266,-0.0013987445460469747,0.0008582599652187413,-0.0025493426768961867,0.001176416422876849,-0.0036937275364683432,0.0013873913947372242,-0.00458354496438625,0.0014717631954080336,-0.005016108494682222,0.001445124721125455,-0.004872833188888941,0.0013496500599457135,-0.0041406106042869975,0.0012407130520899108,-0.002913300803010383,0.0011701792445574176,-0.0013737870311258484,0.0011695219176479426,0.00024014157292829788,0.0012377500051869396,0.0016803697144419615,0.0013394357929669611,0.0027356356116664646,0.0014156210525166002,0.003272114238542507,0.0014054728488156777,0.0032587066420411283,0.0012714660161268492,0.0027713849615406704,0.0010184256957023125,0.0019759420795679695,0.0006986634334207085,0.0010936451718071677,0.0004009410491627015,0.0003574124336673103,0.00021960982629492254,-2.5833655630353225e-05
