时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,18.60609985085302,-2.3271986985415468e-06,-9.587398026174633e-07,8.456099547012404e-06,-2.464748112202776e-05,2.905182204933511e-05,-6.311872394885883e-05,5.1070651588199816e-05,-0.00010912343251409762,6.929899760497966e-05,-0.00015290165085680827,8.045816633362147e-05,-0.0001850004981848153,8.371659241848213e-05,-0.00019803135238237406,8.055239938546687e-05,-0.00018805169203108357,7.403191554821805e-05,-0.0001552786679424178,6.771508712187437e-05,-0.00010404033380597132,6.448147087662363e-05,-4.196650179268039e-05,6.560391020560684e-05,2.1438640527427485e-05,7.034346593446622e-05,7.658486600879145e-05,7.620036656826368e-05,0.00011560300835367293,7.976181289166855e-05,0.00013381201049810664,7.789919819234073e-05,0.0001305506069188262,6.894980878999518e-05,0.0001092160922482316,5.350567860477814e-05,7.650818410894694e-05,3.4552774405224094e-05,4.106041366096822e-05,1.6871785318570808e-05,1.1701311348591249e-05,3.993547754255677e-06,-2.562931429000563e-06
3,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,41.416969565925456,-5.19178051099711e-06,-2.12189697971926e-06,2.9603845084273076e-05,-7.231508380054514e-05,9.285729418904211e-05,-0.00018924148669904523,0.0001606182690934887,-0.00032958584758089595,0.0002167931374691328,-0.0004631053380275754,0.00025119073390858813,-0.0005603088241411103,0.0002611735056783843,-0.0005980678427245621,0.0002512798167270088,-0.0005640175140329597,0.00023102444879759414,-0.00045885914006815715,0.0002115077009380288,-0.00029624588804506315,0.0002017369951164537,-0.00010025896491055531,0.00020568723664798173,9.908982474744155e-05,0.00022098288801200146,0.0002715211567907394,0.0002396595073878716,0.0003922287749671573,0.0002508432866462076,0.0004465439085893549,0.0002445701079322049,0.0004325706850467869,0.00021556958354216658,0.0003612853414764722,0.00016579380799418655,0.00025411465144637205,0.00010485215825390606,0.00013857663474250008,4.808820449890637e-05,4.280904010442101e-05,8.871423629296886e-06,-5.735705649321321e-06
4,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,65.40122592378007,-8.242318639362798e-06,-3.2986859056754815e-06,9.194338158901746e-05,-0.00018761268800333345,0.00026450597582908654,-0.0005037660124690127,0.00044961411226060905,-0.0008847869803028592,0.0006033479256185441,-0.0012472882820774027,0.0006977136892436178,-0.0015094192487113765,0.000725213232667655,-0.0016067936976942108,0.0006979585287234603,-0.0015049169019098326,0.0006418901955345445,-0.001205752132376198,0.0005876467791239337,-0.0007475098873159349,0.0005604184569764712,-0.00019769430056844808,0.000571581384218998,0.00035944369314946006,0.000614692864225757,0.0008388440021517978,0.0006673520590462579,0.0011709089546435123,0.0006986689682784459,0.0013147712026189094,0.0006802000147147497,0.0012657518272308113,0.0005969105749336066,0.001055511376298311,0.0004545145357146519,0.0007450269476144817,0.00028064765139335253,0.00041213413594211106,0.00011918329058772489,0.00013619977247913878,1.3927359753247897e-05,-9.181081160772363e-06
5,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,75.63802587418245,-9.588280692816631e-06,-3.7459364142799933e-06,0.0001656629436590041,-0.00031392761935150116,0.0004603496960867228,-0.0008534943158296865,0.000776567435594749,-0.001505384170200764,0.0010396576722383893,-0.0021262557471256466,0.0012018911701690402,-0.0025749988974614365,0.0012500419615938476,-0.0027404774052491635,0.0012040187223085444,-0.0025630244907206994,0.0011074884349137688,-0.0020457848223604234,0.0010127811210359266,-0.0012544101024381687,0.0009636883269487642,-0.00030522247093294635,0.0009807842516981217,0.0006562813851650212,0.0010538825447027147,0.001482940364518509,0.0011446392977017372,0.0020542334435386467,0.001199257200567313,0.002299487614517502,0.0011677138595791333,0.0022109131551088855,0.0010233307149993287,0.0018437311648426872,0.0007759420057372621,0.0013037282992161912,0.00047391531503546147,0.0007254670382764147,0.00019385749892616403,0.0002458926454935775,1.599900118928688e-05,-1.0776454960053919e-05
6,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,80.78518766865773,-1.0300408233647136e-05,-3.925921512874228e-06,0.00024060884450669885,-0.000440008657302067,0.0006571986037948339,-0.0012046575612642738,0.0011043018540885848,-0.002130371043391187,0.0014769983343456462,-0.0030134871457217337,0.0017080781902767438,-0.0036531332952850345,0.001778286287033488,-0.003890969967652973,0.001714533496275398,-0.0036417634925347267,0.0015773777038860083,-0.0029094350423078865,0.0014405085474542376,-0.0017866535058514155,0.0013667629482621189,-0.00043823402848092825,0.001386940000015415,0.0009291336172722696,0.001488167397622146,0.002105889385143672,0.001616675930608875,0.002920051563158481,0.0016955047306081961,0.0032706035617104815,0.0016522603691888202,0.003146291906692733,0.00144782488812202,0.0026257205183021918,0.0010958154759293719,0.001859320240241415,0.0006655388279946178,0.0010381036069896047,0.0002667768608207305,0.0003563025664541801,1.6972489560843646e-05,-1.1676766627872559e-05
7,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,83.8577773814648,-1.0754403406490864e-05,-3.9964950656365e-06,0.0003160049756964459,-0.0005664036424956186,0.0008541840215828584,-0.0015579650426144267,0.0014318547972623113,-0.002760680076037961,0.0019143470394212693,-0.003910272138464789,0.002215258401176394,-0.004745665206239564,0.0023090142359748376,-0.00506089352760762,0.0022287087147773734,-0.004744749101211222,0.0020508983258104353,-0.0038014591137032774,0.0018702336149968822,-0.0023501625329413085,0.0017689977115157096,-0.0006036712526281172,0.0017892506336124256,0.0011703702517769756,0.001916559755714409,0.002699852249382095,0.0020823516708111146,0.003760854492893842,0.0021863407506025473,0.004221430378543029,0.002133013979836972,0.004066369061562633,0.0018699886090025842,0.0033972865084197536,0.0014142319356641277,0.0024088915590994263,0.0008560730334629252,0.0013482044592250345,0.0003388073909611173,0.00046635292533396907,1.7499789386858946e-05,-1.2292143075904533e-05
8,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,85.88226944427544,-1.1078195113293347e-05,-4.011420211946277e-06,0.00039157515582807095,-0.000693284388138942,0.001050972853717288,-0.001913623471494324,0.0017588223953832205,-0.003396581884356891,0.002351234510005573,-0.004817006589588879,0.002722928832372118,-0.005853196449582972,0.0028417400454975868,-0.0062511379811718785,0.002746124929791806,-0.0058732283064976895,0.0025277191828115496,-0.004723504360538462,0.002301693236393734,-0.0029469861146267534,0.0021701409692419737,-0.0008039250260760033,0.002187411153645746,0.00137738782030953,0.0023386654256424347,0.003262196076598749,0.0025412018883989853,0.004574176270141432,0.00267130233210389,0.005149831080848559,0.0026096105403592904,0.004969431959091321,0.002289637011247125,0.004157161394601107,0.0017312153274790484,0.0029515760627082505,0.00104571927336948,0.001655219016322665,0.0004102552794031779,0.0005757057744004281,1.7802941077755874e-05,-1.2762273152245249e-05
9,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,87.30025122578789,-1.132680492912659e-05,-3.9938486824122585e-06,0.0004671841001183012,-0.0008207031168142279,0.0012473708729091528,-0.0022716636568731593,0.002084930131346749,-0.004038097207180828,0.0027873032650723635,-0.005733738355774086,0.003230674560363938,-0.006975853353235697,0.003376040446462085,-0.0074619599203011805,0.0032664038573133602,-0.007027632359328586,0.00300753925010338,-0.0056762099234491875,0.0027346572531880262,-0.003577985667977821,0.002569989895470354,-0.0010400603913667936,0.0025811880566510388,0.001548979983777548,0.0027541806762571585,0.003791672397115016,0.002992856222390607,0.0053588360105823775,0.0031500011989755317,0.00605478112921946,0.003081716073617158,0.00585466136240328,0.0027065530352923524,0.004904740018018308,0.002046691049497705,0.0034869615266201696,0.001234525876565954,0.0019588886188362017,0.0004812423886462526,0.0006842081316870265,1.797752802612089e-05,-1.31472367240393e-05
10,1.2782233719266367,36143917.47318592,2196.56792095966,31.04338247723429,0.8825617931006955,0.14454757318642275,0.05209136200381739,0.0032296091330499487,0.9421470539951684,1016.6039377143697,5.8438804460824345,9.023157540084439,131.4805672274706,3.40190882691053,3.5018834791926006,209.72073338226812,88.33392658324702,-1.1527901304092973e-05,-3.955451878755752e-06,0.0005427493103449569,-0.0009486653564376817,0.0014432357510817163,-0.0026320429438305526,0.002409950868489752,-0.004685135520747363,0.0032222339533895987,-0.006660353862926718,0.0037381053680745793,-0.008113538330715774,0.0039115021023826595,-0.008693318987077177,0.003789165386129667,-0.008208015964379162,0.003490051088185479,-0.006659759414331513,0.0031688935743864515,-0.004243498997689795,0.002968351568591808,-0.0013125731519067047,0.002970371807670883,0.0016845232877275252,0.0031628354254434913,0.004287593046831279,0.0034369778228432683,0.006114156757042281,0.0036220705751739786,0.0069356782618077385,0.0035489962906740708,0.006721565963949573,0.0031204930777305713,0.005639652124994731,0.002360534025990372,0.004014791576257443,0.0014224745758832339,0.002259053402935548,0.0005518177235770721,0.0007917716897027791,1.80716944278294e-05,-1.3477244973306243e-05
