时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,2.4202368219997603,-1.056762917141791e-06,-1.886116841673336e-07,1.3541751018555745e-06,-9.057129368731337e-06,5.733517372574404e-06,-2.5315127091700696e-05,1.0492695819530914e-05,-4.523245398463672e-05,1.446082497194102e-05,-6.444020227297159e-05,1.6925796429615933e-05,-7.874141651764672e-05,1.7709769416102045e-05,-8.486967336541202e-05,1.711807179225068e-05,-8.106875055860712e-05,1.5782485084119546e-05,-6.73897132749157e-05,1.44405947437784e-05,-4.5657620919770515e-05,1.3702452755299862e-05,-1.91172896133124e-05,1.3860883986685878e-05,8.176206504739398e-06,1.4797258465390067e-05,3.211172724420053e-05,1.6015555167620038e-05,4.92826214198454e-05,1.6803817557843193e-05,5.761147628899536e-05,1.6481677600927357e-05,5.6720008368069244e-05,1.466005797381692e-05,4.797299902434608e-05,1.1428594786649073e-05,3.4187486234441114e-05,7.405520707832954e-06,1.906449274561115e-05,3.620650785544165e-06,6.450931088719846e-06,1.114310357011571e-06,-3.5280652110377056e-07
3,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,5.263398157978995,-2.2991866593321355e-06,-4.0933573246604156e-07,3.6954594284486075e-06,-2.2115438742348446e-05,1.448642615697223e-05,-6.203497818173187e-05,2.6220669433373643e-05,-0.00011100670878899713,3.601199719303383e-05,-0.00015823894508277034,4.2098401698579486e-05,-0.00019332659317820828,4.4034750177742604e-05,-0.0002081530708453041,4.257032193872868e-05,-0.00019834553108512369,3.926511043070243e-05,-0.00016402464396716486,3.5946385724126086e-05,-0.00010972927808101945,3.4130366443488834e-05,-4.353946248603047e-05,3.454793577904275e-05,2.443930709437318e-05,3.690480663864331e-05,8.395540956897412e-05,3.99613190363568e-05,0.00012650936369655352,4.193309122886505e-05,0.00014691587734680945,4.111096418448154e-05,0.0001442316707867839,3.6514694468229515e-05,0.00012187079591512016,2.8366858917706496e-05,8.688558259846003e-05,1.822156247324614e-05,4.855629572942138e-05,8.676030889846914e-06,1.6558668053814863e-05,2.4235247930513037e-06,-7.684503992261653e-07
4,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,8.436338369649755,-3.687334905107355e-06,-6.539742245160298e-07,7.775832267105728e-06,-4.1422686612075455e-05,2.818971256118247e-05,-0.00011665767080422208,5.039712110186216e-05,-0.0002090825891343789,6.894167957190873e-05,-0.00029822970286131674,8.04799105716965e-05,-0.00036428767136100615,8.415567201327177e-05,-0.00039176406031088347,8.137544560673062e-05,-0.00037229283168413403,7.509090866784086e-05,-0.00030608986701856047,6.877586534391465e-05,-0.00020182576683903301,6.532773014196449e-05,-7.495985759874816e-05,6.615494956701684e-05,5.515445389643657e-05,7.07034160947349e-05,0.00016886825924830948,7.659464007608242e-05,0.0002498798159988813,8.038798103049995e-05,0.00028823887900536384,7.877642369679631e-05,0.0002821380380285652,6.985620167111224e-05,0.00023814619156180232,5.4051973903388146e-05,0.0001698418586657574,3.43723919644852e-05,9.512118927715508e-05,1.586036887153439e-05,3.269826434636046e-05,3.884615858987327e-06,-1.2345401910580141e-06
5,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,11.865096847230559,-5.190233934709573e-06,-9.147754206133029e-07,1.5231279747932136e-05,-7.213305240712939e-05,5.114599815207679e-05,-0.00020403089736788192,9.021798794884963e-05,-0.00036629594532131915,0.0001228715883178552,-0.0005228222107285789,0.00014322021081851163,-0.0006385230657126161,0.0001497303705665275,-0.0006858876440812869,0.00014483847237089942,-0.0006500182448917312,0.0001337158592613235,-0.0005312601488228308,0.0001224939335615875,-0.00034500953385053275,0.00011633241396424984,-0.00011877520133681266,0.00011778156627066816,0.00011295963574480062,0.00012589778357690654,0.0003151470007376291,0.0001364475323119162,0.00045868151879701225,0.0001432500742565437,0.0005257838001647894,0.0001403307474176262,0.000513224843269329,0.00012423079036744157,0.0004327670062312252,9.570054385910042e-05,0.00030874443469309083,6.0172147246603486e-05,0.00017327578772587712,2.6772501019108922e-05,6.003730249714473e-05,5.463027416274887e-06,-1.7426852309087082e-06
6,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,15.396591347988489,-6.744017690447939e-06,-1.1751466332584347e-06,2.98633424357422e-05,-0.00012632417538186098,9.334725853535251e-05,-0.0003589711681575863,0.0001623826427082294,-0.0006456496638381347,0.0002201420406024402,-0.000922350797953819,0.0002562572840012034,-0.0011266199181792127,0.0002679554962381017,-0.001209337588494534,0.0002594007899108127,-0.0011437936048886445,0.0002396044154348954,-0.0009304601394437464,0.000219393470231179,-0.0005967199076908049,0.00020803430685497316,-0.0001916795422486292,0.00021026599400661707,0.00022297275324132082,0.0002245892767041513,0.0005844255888888745,0.00024349505341428264,0.0008404283901271071,0.00025581291886991956,0.0009590005825545252,0.00025062852108623354,0.0009342811614680362,0.00022155754256360265,0.0007873710176775823,0.0001699030730298749,0.0005620247636604124,0.00010553833907590486,0.00031608756685440364,4.508726350163994e-05,0.00011035701739552713,7.08705540431766e-06,-2.2759489093426773e-06
7,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,17.588719048119138,-7.715494530013824e-06,-1.3269498635654967e-06,4.713904890142601e-05,-0.00018669408725072468,0.00014136738055843992,-0.0005322072838960986,0.00024378372484979175,-0.0009586167381717996,0.0003295858809268788,-0.0013707031676348906,0.0003834804239920926,-0.0016752798752686648,0.0004012597383912173,-0.0017988619814475679,0.0003888393528612529,-0.0017012972240092092,0.0003593165757693827,-0.0013829761550292463,0.00032867282156637923,-0.0008845135487078028,0.00031085935337271637,-0.0002790918706452663,0.00031330505560029184,0.000341125853130246,0.0003341440858055382,0.0008820995230078795,0.00036232421449192045,0.0012654282893221724,0.0003810170877285762,0.0014429728120930905,0.00037356919396035887,0.001405715065816898,0.0003301139358734027,0.0011850911195439072,0.0002524933422079355,0.0008465739093231714,0.00015563003840323263,0.0004768715011891659,6.470301963574069e-05,0.0001672853912868702,8.09331890867979e-06,-2.618348677421315e-06
8,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,18.940724000184737,-8.321257303438305e-06,-1.4120025964180312e-06,6.488557235815307e-05,-0.00024722575377566564,0.00018984250135677455,-0.0007063684125996983,0.00032560430455112874,-0.001273885016520869,0.00043951301121156205,-0.0018232773435852344,0.0005114291207344069,-0.002230432354654812,0.0005356522265477105,-0.002397228165345529,0.0005196527282655325,-0.0022697656422058544,0.0004803874705694126,-0.0018480567305857508,0.00043888479785876084,-0.0011857037747604817,0.0004138806441993003,-0.00037982277590513727,0.0004157632183305762,0.0004469459796784397,0.00044259450144056657,0.001169173916661129,0.0004799361699811916,0.0016820271988558996,0.0005052446788790017,0.0019208757999739981,0.0004959105902810572,0.0018732435411439525,0.0004383534965677982,0.0015806827446618549,0.0003348433895577179,0.001130262581967247,0.00020540057981301342,0.0006375271395883918,8.389553771565119e-05,0.00022435620406380087,8.71296305058608e-06,-2.839219089222705e-06
9,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,19.851327613587422,-8.735481224760234e-06,-1.4619659480395487e-06,8.285047579559572e-05,-0.0003078905452135227,0.00023845453068862933,-0.000881307528884813,0.0004074634361660621,-0.001591207579886076,0.0005494967561622906,-0.002279816061077533,0.0006396589292495371,-0.002791958548906828,0.000670702150297306,-0.003004638332984021,0.0006514483352238482,-0.002849903897564934,0.0006024705440282797,-0.002327053491563791,0.0005497151023786239,-0.0015023600587609797,0.0005167852118308114,-0.000496633398125718,0.0005172943436862687,0.0005371124999536605,0.0005495409342970511,0.0014419938898275232,0.0005958856598315432,0.002086520515538789,0.0006280434525157324,0.0023892515299256474,0.0006172529119433494,0.00233391267410394,0.0005459896350727528,0.001971871090883864,0.0004168208125322737,0.0014115580549986734,0.0002548777188744239,0.0007972047253862017,0.0001028184238630928,0.0002812339984436744,9.130163289917567e-06,-2.996105896468913e-06
10,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,20.50179858983218,-9.037393625420124e-06,-1.491238351620429e-06,0.00010091829724112196,-0.00036867386957981297,0.0002870570794016589,-0.001056958649024018,0.0004891834560511141,-0.0019104836653588235,0.0006593339168784952,-0.0027402327503781502,0.0007679536671935555,-0.003359858010936702,0.0008061978629113255,-0.0036212587291707984,0.0007840360079820998,-0.0034421182205084536,0.0007254059332219259,-0.002820663836672717,0.0006610294747973824,-0.0018354876500520656,0.0006194469844401953,-0.0006308105632839021,0.0006177584879417072,0.000610127788488067,0.000654814832159977,0.0016989580928295593,0.0007099776832207275,0.0024773288876409386,0.0007492127042413017,0.002846664504362294,0.0007374216938804839,0.00278652772508854,0.0006529045104403494,0.002357758958715396,0.0004983812250835698,0.0016898698154541318,0.00030408783735106287,0.0009555826978146395,0.00012154825501125413,0.0003377908983526273,9.428692308546886e-06,-3.1151872922432843e-06
11,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,20.985465105462108,-9.267800560638038e-06,-1.5072381816357737e-06,0.00011902626304068977,-0.0004295583328217119,0.00033556508875061576,-0.0012332619295574291,0.0005706539934636287,-0.0022316197259546087,0.0007688902441635114,-0.003204430845544391,0.0008961633069604038,-0.0039340766887570565,0.0009419879811958262,-0.004247128143639967,0.0009172791645184167,-0.004046585189067033,0.0008490823834156852,-0.0033292331649798644,0.0007727408782314824,-0.002185611129834298,0.0007217899440385721,-0.0007830428639665143,0.0007170718218698521,0.0006651810502874476,0.0007583105455075284,0.001939196814478813,0.000822084196911435,0.0028535969517202186,0.0008686165256230626,0.003292342630508062,0.0008562965417698634,0.0032304521326073847,0.0007590149174571679,0.0027378734701398767,0.0005794893976244893,0.0019648902639713057,0.00035304013935031443,0.001112495616168048,0.00014012385979284074,0.00039396179518863593,9.651699428255603e-06,-3.20994364854767e-06
12,1.0117688109850036,38369326.86017174,599.3765639917219,66.39155630521833,2.00600166894187,0.16676828692087653,0.04514545230685396,0.004666233696989366,2.042382680936734,1552.6472003132255,2.94912980320108,5.3727230138663336,71.42304650089,2.7915913211383607,2.955735175982623,67.13808057324059,21.35569512898747,-9.450035142486348e-06,-1.5142121058025307e-06,0.00013713542113925016,-0.0004905233472378456,0.00038392104168690335,-0.0014101522639619608,0.0006517943904778559,-0.0025545059788997957,0.0008780606191175365,-0.0036722734857478206,0.0010241633527469074,-0.004514481318799953,0.0010779411245855546,-0.004882153397628687,0.001051055943844088,-0.00466328667198124,0.000973400685463001,-0.003852845886268362,0.0008847756554101812,-0.002552932542699775,0.000823756486539035,-0.0009536483222690242,0.0008151756533322771,0.000701859017049309,0.0008599531085483799,0.002162239088491766,0.0009321096794747983,0.0032148428314659654,0.0009861484109855102,0.003725838901703182,0.0009737786953866359,0.003665309711629985,0.0008642484144258367,0.003111930329394897,0.0006601090652839274,0.0022364316090863192,0.00040173231645939376,0.001267841220477497,0.0001585653882965508,0.0004497064553889774,9.823860533537624e-06,-3.2880829202913067e-06
