时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,1.9220638654585047,-9.578279900768122e-07,-3.127444015163798e-07,5.028508124587387e-07,-9.540515136147038e-06,5.190586380654198e-06,-2.7428813726819293e-05,1.0498877039622323e-05,-5.010910029631701e-05,1.504923735296583e-05,-7.27713842212368e-05,1.7963850427274944e-05,-9.07404045813693e-05,1.8973628302780754e-05,-0.00010029429629906193,1.836713195106392e-05,-9.930462321725203e-05,1.681996515794285e-05,-8.757528133521865e-05,1.5150293667713501e-05,-6.682559447951996e-05,1.4057889015560483e-05,-4.032561569905534e-05,1.3909821815342967e-05,-1.225376412700884e-05,1.4630766914475e-05,1.3103518718414625e-05,1.5734414988298007e-05,3.2159698129170435e-05,1.649454319970389e-05,4.268909813701349e-05,1.6209131906067456e-05,4.421213340859064e-05,1.4475108661303276e-05,3.802949034945269e-05,1.1380714196129201e-05,2.6898864372242753e-05,7.544694343152158e-06,1.4420712475408208e-05,3.990857799232148e-06,4.24843434365797e-06,9.491832163280271e-07,-3.3643887488874557e-07
3,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,4.188104425922392,-2.0895837471105898e-06,-6.779993164638307e-07,1.762525879412589e-06,-2.2862168104105396e-05,1.3243978594292905e-05,-6.623175921352e-05,2.626164172783071e-05,-0.00012136543055685775,3.7437879969313766e-05,-0.00017646613776734393,4.460945838901734e-05,-0.00021998038783165217,4.7105610286978915e-05,-0.00024267155787299424,4.5631528260417286e-05,-0.00023924373107471665,4.18530039075484e-05,-0.00020920983822919468,3.779438184341548e-05,-0.00015686575795523962,3.5190526354790476e-05,-9.03897446309563e-05,3.4949371279471184e-05,-2.0241639161523582e-05,3.687183472151174e-05,4.283937145966145e-05,3.9724700430729084e-05,8.986203612839054e-05,4.166732202545396e-05,0.00011524735488466455,4.0917652858543974e-05,0.00011780582440023998,3.645015602469311e-05,0.00010083730881843583,2.8489562996124822e-05,7.133700548631104e-05,1.862035000060763e-05,3.847351474693634e-05,9.47881656939378e-06,1.1630102811527923e-05,2.0679607732061067e-06,-7.373117277819218e-07
4,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,6.6652959845875515,-3.330913221647958e-06,-1.070538125161381e-06,4.426629586966846e-06,-4.1425927232684104e-05,2.5753481117021418e-05,-0.00012105169377808074,4.994881024089759e-05,-0.00022252593211813656,7.074672439215718e-05,-0.00032391489158215057,8.411437626508303e-05,-0.0004035746554316056,8.878791318555474e-05,-0.00044412882735733717,8.607192986777514e-05,-0.000435592501018475,7.90764218680174e-05,-0.00037705995040871284,7.159732400178879e-05,-0.0002766887690680523,6.689849858728192e-05,-0.00015001456140234054,6.668772902783903e-05,-1.6924098252108126e-05,7.056971287211044e-05,0.00010214810586351342,7.616917434779061e-05,0.0001900848751006162,7.993785034056985e-05,0.0002362725661262535,7.84332478933118e-05,0.00023848684373089013,6.967079678665399e-05,0.0002031108806497106,5.409055106434601e-05,0.0001436522574408814,3.478672961556499e-05,7.78728602247726e-05,1.6926627813219326e-05,2.4089237759159697e-05,3.2898450985895347e-06,-1.1832839794852304e-06
5,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,9.14777545847168,-4.5813861079380996e-06,-1.4514592003762762e-06,9.44798877922483e-06,-6.734330684986252e-05,4.501793694841347e-05,-0.00019855639217421868,8.535794515116514e-05,-0.0003660960724112189,0.00012005521608706919,-0.0005333629122937576,0.0001423873971988537,-0.0006640009958366515,0.00015022901863927018,-0.0007287185756764204,0.00014573870794120042,-0.0007106617446832362,0.00013410987874659758,-0.0006083462999371265,0.00012171703181627653,-0.00043568403622581465,0.00011407129897967233,-0.00021915533545868127,0.00011406924312394873,7.321948815911457e-06,0.00012102545428289449,0.00020887213136173196,0.00013084517842620476,0.00035627337550732017,0.0001373894725383276,0.0004314322360900575,0.00013468376026656698,0.00043064826325284314,0.00011927885028721013,0.00036502958892353717,9.195497019498278e-05,0.0002579964704979913,5.814486870971996e-05,0.00014040733963459126,2.6930898195878003e-05,4.426631499505834e-05,4.51142889683574e-06,-1.6436771306088116e-06
6,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,11.827993297280823,-5.944896715032237e-06,-1.8337057466442808e-06,2.0298717026516725e-05,-0.00011224964103821421,8.126987856435097e-05,-0.0003343076869339056,0.0001502977097027817,-0.0006182621597916505,0.00020967055617771146,-0.0009013595960090957,0.00024794982203043035,-0.0011208958192322975,0.00026148450362160794,-0.0012262002537750006,0.00025389973310176807,-0.0011881068772190374,0.00023403208570317525,-0.0010041691208786047,0.00021283297012187103,-0.0006987945526049676,0.0001998794845020595,-0.00031837814594974336,0.00020028926007821708,7.762551985265223e-05,0.00021291871161868516,0.00042804201555261584,0.00023054909180151006,0.0006816076376631683,0.00024224001991727335,0.0008066510759824375,0.00023727494898616089,0.0007969101762439175,0.00020944832224330346,0.0006723285317328936,0.00016018901477640352,0.00047470976196718035,9.935159096083594e-05,0.0002591721319264606,4.3381099713091384e-05,8.310962732887402e-05,5.8224577387467455e-06,-2.1704367074469254e-06
7,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,13.726565505451944,-6.9291728239374375e-06,-2.0624411394257783e-06,3.5787874668597e-05,-0.00016848661251443858,0.00012907393464261938,-0.0005055907065111291,0.00023444810315474793,-0.0009370556593105625,0.0003250690397692621,-0.0013668245720073545,0.00038364209744591555,-0.001698574954563996,0.0004045850796168242,-0.0018543313405883094,0.00039324844012968927,-0.0017891951519751195,0.0003629121266614182,-0.001499497546699595,0.00033025208540118136,-0.001023095884215524,0.00031009777671374113,-0.00043192773128563353,0.0003106089070109847,0.00018175239604874125,0.00033026774602697265,0.0007229394253485827,0.0003579319993640921,0.001111981084627181,0.0003763963572932673,0.0012997213262872366,0.00036863958212890306,0.0012766496139830857,0.0003247389023732631,0.0010742040545820496,0.00024694532646423736,0.0007580261104326635,0.0001509634500449281,0.00041465710118006175,6.293200103682648e-05,0.00013437339230692826,6.739384053905227e-06,-2.58476558545404e-06
8,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,14.85985287153299,-7.533627617908061e-06,-2.1602352898312833e-06,5.217231769944004e-05,-0.00022453484444580547,0.00017779668187179864,-0.0006770680740374922,0.00031943933474265534,-0.0012567691702324243,0.0004412730628878083,-0.0018341947900674563,0.0005202797905777607,-0.002279247113874007,0.000548930409022769,-0.0024864615606870213,0.0005341151425855397,-0.0023950274129331322,0.0004933146365748445,-0.0019999011628453454,0.0004487999226732884,-0.001352289050110787,0.0004207434811814335,-0.0005496534003081727,0.0004206215116768479,0.0002828584663374363,0.00044683922257884173,0.0010162080499810588,0.0004844705889037129,0.001542088782208795,0.0005099503092600211,0.0017936128563920363,0.0004996988442071172,0.0017578687422021644,0.00043983921580742274,0.0014777607619644334,0.0003333757016126563,0.0010428436902621392,0.0002019879008075233,0.0005712210841235859,8.171200080519554e-05,0.00018623112869098042,7.276257817380085e-06,-2.86889785254022e-06
9,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,15.606142200004593,-7.94641672336948e-06,-2.1916860195469977e-06,6.899131429532378e-05,-0.0002805558614068111,0.00022689825406703326,-0.0008490016547293059,0.00040468222954781843,-0.0015779229770184688,0.0005576828458421805,-0.002304479745039728,0.0006572894129473202,-0.0028646835921400625,0.0006939995376834541,-0.003125394143414356,0.0006760378820315808,-0.003009655259084805,0.000624817135298625,-0.0025107918977037348,0.0005680494159955371,-0.0016931116763098967,0.0005313286055892503,-0.0006794126425229484,0.0005297312865049206,0.00037234113961284054,0.000561916315818655,0.0012990084883808806,0.0006093634409604613,0.001963429670895558,0.0006421011453989396,0.0022807184118794005,0.0006297666656655174,0.002234300379877849,0.0005542864591837325,0.0018783332613902188,0.00041930671763103,0.0013261289992493124,0.00025253653745157525,0.0007272532816305546,0.00010003595480076439,0.00023808294640612394,7.621514586715053e-06,-3.086648401075187e-06
10,5.821089686203538,76520990.92962998,4523.846612327281,726.4548123872303,2.7037383587071733,0.23363180660794475,0.09574633768422992,0.010412568771623023,2.7566479430738644,894.6791061933367,10.0,10.0,1000.0,10.0,10.0,1000.0,16.13103383060516,-8.250007704933075e-06,-2.1851155950339397e-06,8.603742087185865e-05,-0.0003366032109085648,0.0002761300699164606,-0.0010214702844499044,0.0004899018373644614,-0.0019007086579611084,0.0006740156340263681,-0.002778111062718257,0.0007943987061535398,-0.003455697673681249,0.0008395462476847269,-0.0037724510991116026,0.0008188050287496148,-0.003634995268229867,0.000757239000929658,-0.0030347049043828456,0.0006878328724259539,-0.002048667035026151,0.0006416700384435248,-0.0008247487124872868,0.0006377126591220755,0.0004464140351474702,0.00067522001289916,0.0015675534038073697,0.0007322935352432106,0.002372467138082183,0.0007725350577298111,0.0027579726269219883,0.000758586612680322,0.0027035040334471997,0.0006679286450412691,0.0022741693393625033,0.0005047121612573463,0.001606784137064212,0.0003026951670633376,0.0008821892900767306,0.0001180577099601197,0.00028971787493572017,7.85772511086494e-06,-3.266055889218605e-06
