时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,1.6659244990896853,-1.85414891618024e-06,-1.9300806582288025e-07,-8.581814067618332e-08,-8.95099420811513e-06,3.721134637696498e-06,-2.4563115199233035e-05,7.838746017702004e-06,-4.3642504991909603e-05,1.128539842382376e-05,-6.2244628915961e-05,1.3461737571385227e-05,-7.660140198100574e-05,1.4212227611274657e-05,-8.376910298347364e-05,1.3779358178522587e-05,-8.212491801189124e-05,1.2676301056248355e-05,-7.162092356411328e-05,1.1509977375469374e-05,-5.3754864763657195e-05,1.0793913733852368e-05,-3.12662467787141e-05,1.079453469874055e-05,-7.614321474300733e-06,1.1451863887821826e-05,1.3667141239241903e-05,1.240143034839382e-05,2.962000771708256e-05,1.3097755058936341e-05,3.8395693803951195e-05,1.3007381025835828e-05,3.957168474508342e-05,1.1812893789491186e-05,3.4190378757424976e-05,9.56052891954081e-06,2.4512967794748667e-05,6.698616766660954e-06,1.3537046401271168e-05,3.992239884674423e-06,4.367993589912056e-06,1.8476326582951471e-06,-2.0795485278136e-07
3,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,3.679642092463068,-4.098346476156029e-06,-4.244637846162081e-07,3.164110858249933e-07,-2.1523525875980264e-05,9.593496703302105e-06,-5.937561112599709e-05,1.9643672284572597e-05,-0.00010573765882544928,2.8064587527593882e-05,-0.00015094495829373608,3.3382398153901735e-05,-0.00018571410613543957,3.5209566828941275e-05,-0.00020276923742207343,3.4137328965757916e-05,-0.00019809038748473353,3.142589736147769e-05,-0.0001715572342556941,2.8570445095303153e-05,-0.00012688646361360935,2.6838793050807688e-05,-7.088360479510995e-05,2.6888359026266393e-05,-1.2149441916097987e-05,2.8565278395025815e-05,4.052352076839457e-05,3.0954984001898e-05,7.977046700821363e-05,3.2687983983556996e-05,0.00010098767474094538,3.2422541240599054e-05,0.00010312739867303311,2.935793620373722e-05,8.880338141871978e-05,2.360865721282866e-05,6.368858331312976e-05,1.6306493798562576e-05,3.532606644864374e-05,9.392491727009499e-06,1.1577844784867176e-05,4.082151611475679e-06,-4.616329175470902e-07
4,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,6.074892763414609,-6.77280437659185e-06,-6.957558541204726e-07,1.872220508911382e-06,-4.020861338442925e-05,1.9489419765958567e-05,-0.00011164238764375061,3.860284050126061e-05,-0.00019934867177423147,5.463225786181503e-05,-0.0002848572847306923,6.475423986226183e-05,-0.0003503170698474518,6.821556720956908e-05,-0.0003816866475491667,6.613770595199952e-05,-0.0003711902423830255,6.093196958620102e-05,-0.00031859658704498314,5.547205471771121e-05,-0.00023112053119566563,5.2203758976101193e-05,-0.00012198627919851773,5.2397557749560865e-05,-7.922513135964866e-06,5.574697642560119e-05,9.395443574530567e-05,6.045541945807206e-05,0.00016929779123425143,6.382712408324205e-05,0.00020913896094464977,6.321383433522979e-05,0.00021145309948564407,5.702991023676085e-05,0.00018138486090722592,4.549893285944806e-05,0.00013009703527921683,3.086666869916271e-05,7.247651881857948e-05,1.7001612849489762e-05,2.4136615012706707e-05,6.741323005399925e-06,-7.680602996511478e-07
5,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,8.077390892447513,-9.014117394854824e-06,-9.171795167255795e-07,4.592024499028516e-06,-6.0745327491473056e-05,3.157918358778468e-05,-0.00016960381191954459,6.088112738458732e-05,-0.0003034993672239251,8.546715069064169e-05,-0.0004339903838005561,0.00010099029489703575,-0.0005334595512919982,0.00010627769076708015,-0.0005801244532916398,0.00010304088475241364,-0.0005619039327477272,9.498866653816272e-05,-0.000478447829900678,8.656172688814008e-05,-0.00034101321882181444,8.155709676733902e-05,-0.00017024491801226482,8.195657302336301e-05,7.721763893948491e-06,8.72804487968874e-05,0.00016612709243743319,9.47030274348939e-05,0.000282529958005022,9.996899473375624e-05,0.0003429048846554967,9.888528228308521e-05,0.00034411455189944316,8.893418521216508e-05,0.00029428817624850757,7.046818744159973e-05,0.00021104458293414236,4.7060244653704786e-05,0.00011792517546947937,2.4879123560450256e-05,3.972509181790619e-05,8.964961170942351e-06,-1.0301453926670749e-06
6,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,10.877825348088427,-1.2161167725446146e-05,-1.211214909375932e-06,1.2448634762461305e-05,-0.00010353080303486306,5.933919161074179e-05,-0.0002913939604742961,0.0001102636735571025,-0.0005229664991013159,0.0001530057930125689,-0.0007484656390383277,0.00017999604211390132,-0.0009192730641007352,0.00018915725794204212,-0.0009969148105303388,0.00018341985699069546,-0.000960016060081673,0.00016922194528962343,-0.0008079911789287427,0.00015434691406339022,-0.0005608944971758054,0.00014552447589412463,-0.0002555258096550458,0.00014632564688333755,6.147829413539244e-05,0.00015593883647482533,0.0003423166554858136,0.00016929928537671364,0.0005468737086478939,0.00017869616795909357,0.000650091218426211,0.00017647865030607726,0.000646451489128899,0.00015802784726320223,0.000550712552227784,0.00012397968656498138,0.0003947769488554035,8.089128205056832e-05,0.0002213458878871761,4.009675143683451e-05,7.559696585977275e-05,1.2073529644971096e-05,-1.4127891836189656e-06
7,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,13.058236660825164,-1.4630656491204999e-05,-1.4132751996970264e-06,2.5453232778087687e-05,-0.00016084226882047024,9.933204316879759e-05,-0.0004556869522331913,0.0001795149860882431,-0.0008197328227998815,0.0002468291385582493,-0.0011740624068638868,0.00028939959796359517,-0.0014412967902978058,0.0003039037091269998,-0.001560052604323714,0.0002948196122503795,-0.0014961677308482245,0.00027216758972066507,-0.0012487031417868367,0.0002482270813288754,-0.0008497916195048414,0.00023379700504941157,-0.0003584734676114951,0.00023478118069765897,0.00015033156599336504,0.00025006749093720005,0.0005997365397783477,0.000271565692442699,0.0009251513808321424,0.0002867208294646474,0.0010862223935115634,0.0002829437688819689,0.0010741410485737006,0.00025257003514606165,0.0009129000478873351,0.0001966011732514298,0.0006542924467461748,0.0001258303650645253,0.0003677115389354068,5.891134866341218e-05,0.00012676554537137887,1.4489960183679385e-05,-1.7371309878643873e-06
8,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,14.360171931471093,-1.6123224989814954e-05,-1.5081774698616622e-06,3.974978377442405e-05,-0.000217960265916004,0.00014059553463173456,-0.0006201444993164043,0.00024996054308512036,-0.0011173790537419793,0.0003418183111887861,-0.0016014920792760763,0.00040007275094467647,-0.001966147668742388,0.0004201270434753706,-0.0021268320202160354,0.0004078586250679649,-0.0020363943286137477,0.0003766909745341813,-0.0016933959463957416,0.0003433156461421002,-0.001141986878605089,0.0003226851158783497,-0.00046349615110456054,0.0003232538538302542,0.00023870574840881818,0.00034383488240082147,0.0008583787372809583,0.0003734096316387954,0.001306148044533519,0.0003944906147966011,0.001526092931345934,0.0003893369343566298,0.0015059550234771699,0.00034703778381680076,0.0012789508210776235,0.0002688961522946083,0.0009168912068273385,0.00017004410757014414,0.0005160897828585116,7.66451926715583e-05,0.00017887523609994864,1.5929131183988175e-05,-1.9551950397907716e-06
9,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,15.21832351887752,-1.712306281113083e-05,-1.5488470818102845e-06,5.467633779139802e-05,-0.0002750377920220782,0.00018241160851688223,-0.0007849750022583383,0.0003208404581208882,-0.001416259275635742,0.00043720115534510637,-0.0020314411651689165,0.000511266696104592,-0.002495110809549857,0.000537132931713676,-0.0026994427723618496,0.0005219121864026881,-0.0025840795081420926,0.0004822275276149499,-0.0021468557765865937,0.00043907293552830135,-0.001443736849275306,0.0004116226323019772,-0.0005782047598374453,0.000411102912078765,0.0003179498370709735,0.0004365044546251688,0.0011090416741713586,0.00047402265328348243,0.001680716417899576,0.00050119855828261,0.0019612420481402494,0.0004949618809288107,0.001934678495606423,0.0004409615760791908,0.0016432880872071808,0.00034070854976300243,0.0011787885952563952,0.0002137146839453994,0.0006643704602443984,9.376387948795874e-05,0.0002311141738603493,1.687556329557171e-05,-2.119140840160862e-06
10,2.7603776179482797,83702867.27977477,17047.422630679263,348.1765748012937,2.279962944153958,0.17610253389492184,0.08653939231606873,0.007037806419365224,2.3157325756868934,1135.4259043345571,2.6338071675176353,7.294084539051333,128.5718767900047,2.6338071675176353,7.294084539051333,128.5718767900047,15.821816847582685,-1.784115735962022e-05,-1.558329251317013e-06,6.994448352188699e-05,-0.0003321431528939918,0.00022447036767552178,-0.000950292383958756,0.00039183208327184406,-0.001716602430426078,0.0005326558453045632,-0.002464361460477333,0.0006226759131199228,-0.0030289884028825184,0.000654646275321446,-0.0032791610039186645,0.0006367433568670024,-0.003141068127447436,0.0005885747536982192,-0.0026115398424818143,0.0005353139459704708,-0.0017580867403771587,0.000500416181355571,-0.000706131763498794,0.0004981022589868726,0.0003842176568865329,0.000527807243783499,0.0013477939160872925,0.0005731059050778293,0.002045092195608937,0.0006065520879636269,0.0023883107772776522,0.000599581847219676,0.0023575446134493443,0.0005342071935982645,0.002003843290332327,0.0004120344188323496,0.0014386238246411195,0.00025696690163330477,0.0008118135738281816,0.00011048988302261925,0.0002831976870917054,1.7540357061230245e-05,-2.251758918902699e-06
