时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,4.174964819208251,-1.9899403839029255e-06,-5.565539932491205e-07,6.837956048521753e-07,-1.6391565160596188e-05,9.381766965956115e-06,-4.1415404049546705e-05,1.858978566762465e-05,-7.127342401593904e-05,2.620011455723412e-05,-9.999515604702686e-05,3.0924476487914064e-05,-0.00012195944822784108,3.245275439084411e-05,-0.00013281302556852504,3.135387501378383e-05,-0.00013018583704856637,2.8790677788625884e-05,-0.00011405030730977766,2.6121511766580468e-05,-8.666984306392112e-05,2.4483303869479982e-05,-5.21504205550388e-05,2.44575073349625e-05,-1.567728833241213e-05,2.5906230144330723e-05,1.7428393179547188e-05,2.802821542442793e-05,4.266420773039523e-05,2.9626935430797052e-05,5.7138116532111984e-05,2.9519770801743715e-05,6.004954581245537e-05,2.6968735028603656e-05,5.277040637338628e-05,2.1997525081162605e-05,3.8510811658107873e-05,1.5488342085236018e-05,2.1639513379107946e-05,9.060071442467144e-06,6.793370004440423e-06,1.9795134555187866e-06,-5.787210503592705e-07
3,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,9.785415339903835,-4.669843985690999e-06,-1.2988572519333795e-06,4.07262023564884e-06,-4.4371715843983556e-05,2.8398760432543755e-05,-0.00011357905304809398,5.418919885780923e-05,-0.0001963345763797945,7.551955503043705e-05,-0.0002758396968211883,8.875076474516634e-05,-0.0003361388599160918,9.299371641227474e-05,-0.00036481802566786105,8.985074145299496e-05,-0.000355108986082127,8.261954935337287e-05,-0.0003069616350058633,7.516445224312293e-05,-0.00022692280288050563,7.072279531885874e-05,-0.0001268605669886676,7.093759816425404e-05,-2.176870158024786e-05,7.537315933929133e-05,7.296024760641467e-05,8.166630193758516e-05,0.00014430471625476851,8.629994673332401e-05,0.00018391967779744954,8.579792327905117e-05,0.00018954748442830396,7.799288824175186e-05,0.0001652717397148357,6.29696469651327e-05,0.00012057044663752417,4.3369193481988234e-05,6.83709491683754e-05,2.403497975266305e-05,2.2503706753976673e-05,4.639772562459874e-06,-1.3629961756159112e-06
4,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,15.069043672201198,-7.2022780339880045e-06,-1.9868577668819602e-06,1.2049603061846379e-05,-8.225868383432346e-05,5.8647491866756515e-05,-0.00021338014043444868,0.00010806515970990859,-0.0003703704566783008,0.00014893099929867668,-0.0005208823681375152,0.0001742432392667779,-0.0006339721309644047,0.00018227501536534688,-0.0006854814189361236,0.00017610976151467305,-0.0006622427767009203,0.00016212920372065298,-0.0005642495188006889,0.00014783981303506736,-0.00040446374936856566,0.00013954603810654472,-0.00020633542497686526,0.00014043564594878432,5.11707471607589e-07,0.00014959416233906013,0.00018566521325897423,0.000162274131398122,0.00032341487814434614,0.00017141741415114872,0.00039734042303816574,0.00017004395276513392,0.0004031345295810909,0.00015381012650154691,0.0003491334402382226,0.0001229290315016416,0.00025446799677934643,8.280961214623091e-05,0.00014523601885148773,4.3331116811130215e-05,4.9497270892515285e-05,7.1430415246063785e-06,-2.113595056868635e-06
5,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,21.17172702243812,-1.014715026497527e-05,-2.749130861594227e-06,3.50555110707639e-05,-0.00015935570139063277,0.0001289523831762422,-0.00042036041833662017,0.00022839334710562665,-0.000732990072159121,0.00031052712677313637,-0.0010316626635407582,0.00036129860105600897,-0.001253247576551102,0.00037721141307928114,-0.0013483451426015568,0.000364448496615383,-0.001290113746490716,0.00033591075681319976,-0.0010788723962739744,0.0003068921603703404,-0.0007417883176250909,0.0002903488268877804,-0.00032779310616220305,0.00029288769132836183,0.00010134983684626441,0.0003125856955383349,0.0004822632045464749,0.00033941750779441427,0.0007614522352133525,0.00035839073684290954,0.0009049519725498667,0.0003546247104503668,0.0009042885272826679,0.0003188748784400363,0.0007776201708929951,0.00025171721321842484,0.0005658771178685622,0.00016495659242332249,0.0003247515856153585,7.996114282165946e-05,0.00011426252369165921,1.0024178980194258e-05,-3.0132216887260137e-06
6,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,24.86790730901456,-1.1956055925422142e-05,-3.1641311726274718e-06,6.861279514125755e-05,-0.000253741287561694,0.00022166791207168802,-0.0006768366870841617,0.00038344260357889444,-0.0011836035920962857,0.0005169442431026934,-0.0016666430992463858,0.0005994907661043047,-0.002022281299398685,0.0006253607047116203,-0.002169352393794644,0.0006044024042095248,-0.0020638813050191194,0.0005574210887751827,-0.001706757503312043,0.0005093639703681746,-0.0011432708361300004,0.00048167644165764237,-0.0004547518890024213,0.00048557896783025205,0.00025619051844380145,0.0005181679343258475,0.000884287857846649,0.0005628297667524564,0.0013407718879129516,0.0005943401721223282,0.0015695056772704731,0.0005874632052417835,0.0015569650439864774,0.0005264677828820353,0.0013341320982224079,0.00041238576550258995,0.0009700095035658988,0.000265434714402691,0.0005582205802107183,0.00012196567023616655,0.00019964555602718814,1.175243107018711e-05,-3.6026239767767527e-06
7,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,26.891255766470795,-1.2968085890224122e-05,-3.349732460673621e-06,0.00010423577768037655,-0.00034766596029116303,0.00031638878938370653,-0.0009335711480320624,0.0005402998418515804,-0.001635572503515467,0.0007250828444784927,-0.0023042735102258524,0.0008396150978589524,-0.002795225968130363,0.0008758798690998347,-0.002995293931437707,0.0008470709511226134,-0.0028432195157899877,0.0007815238203487549,-0.002340364629022914,0.0007136658072411055,-0.0015500955955283185,0.0006735998700591535,-0.0005861698454986543,0.0006775958747193202,0.00040783141825044436,0.0007222271317369051,0.0012845296670661926,0.0007845087582339958,0.001919629771039992,0.0008288490149036295,0.0022346196104901716,0.0008192755198142443,0.00221083446861041,0.0007331969100311009,0.001892105147366428,0.0005719680827309633,0.0013755956343528297,0.0003643894065363907,0.0007929561604612546,0.00016210458591926552,0.00028601946067259966,1.2683755242805863e-05,-3.963267874091843e-06
8,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,28.15735925328597,-1.3619761368950265e-05,-3.4311146745397317e-06,0.0001407713800521086,-0.000441628023217036,0.00041188743026609656,-0.0011913185631665997,0.0006977272737748304,-0.002090180694917616,0.0009337681566836353,-0.0029467094732703873,0.0010806190060934032,-0.003575472304866932,0.0011278698311463782,-0.0038311205526389233,0.001091700063787393,-0.0036348631655778196,0.0010075570361810305,-0.002988277415334234,0.0009191402056323927,-0.0019725576720246167,0.0008653689684191706,-0.0007336964234370486,0.0008680251350999074,0.000543827240711166,0.0009236780014038265,0.0016704498008498667,0.0010032695760787864,0.0024861478433415296,0.001060780231636458,0.0028897723443902976,0.001049160482246962,0.0028572616074028453,0.000938570507324434,0.0024450706743286543,0.0007304829474726578,0.001778322449456797,0.0004623376802462749,0.001026507603379651,0.00020126663623801756,0.0003722791631616086,1.3255004018487157e-05,-4.2196528857870915e-06
9,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,29.01769826752806,-1.4078827671382672e-05,-3.4563741999470567e-06,0.000177764242584703,-0.0005357926312642715,0.000507664319921566,-0.0014503182039869835,0.0008552076157116979,-0.002547873281369892,0.0011424975847228196,-0.003594770797353428,0.0013220449982183629,-0.004364386518842635,0.001380941042371661,-0.004678884851505069,0.001337975572222082,-0.004441629908241642,0.0012352673177022124,-0.003654074310696653,0.0011255581171955313,-0.00241489800019149,0.0010567318029724112,-0.0009020447824047907,0.0010565531798009218,0.000659257012321671,0.0011221352921833715,0.0020372242565704236,0.0012186854649614243,0.0030358988187578874,0.0012897319262002562,0.0035311802822226073,0.0012768232572942955,0.0034932620365509454,0.001142469001488881,0.0029908865997022496,0.0008880133473466074,0.002176821827813764,0.0005595396963726814,0.0012581224502833332,0.00023982310786336823,0.00045807760095146056,1.363405857192446e-05,-4.419658765720397e-06
10,4.555096567371557,95784798.10294795,-1.4551915228366852e-11,473.9007230532067,1.7881551258707709,0.19863679086774763,0.1405538343602391,0.007496500696653346,1.845366164416206,829.6351840445774,6.381614430621619,9.825879301685022,874.8332672067527,6.381614430621619,9.825879301685022,874.8332672067527,29.634735851796947,-1.4422856576594087e-05,-3.447775646909912e-06,0.00021499197866805492,-0.0006302097547256499,0.0006034571147677148,-0.0017106145914302165,0.0010124463877303925,-0.0030087532587001874,0.0013509595608414775,-0.004248712369476049,0.001563585166052378,-0.00516247601856892,0.0016348129325004198,-0.005539432245284378,0.0015856630523816279,-0.005264755190269232,0.0014644706133392256,-0.00433938666972442,0.0013327703351444116,-0.002879097303056788,0.0012475432400535784,-0.001093447153858119,0.0012430068110286525,0.0007517761039407693,0.0013173813231143066,0.002382556713326761,0.0014305052127415966,0.003566790297115643,0.0015154572997762427,0.004157078133422434,0.0015020727078007062,0.004117468124057662,0.0013447999314839957,0.0035285929704271645,0.001044581302934534,0.0025704960087267943,0.0006561140384668113,0.0014874795526721649,0.0002779481664221056,0.0005432664298926918,1.3898586411015988e-05,-4.58543181719954e-06
