时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,3.595770758370294,-4.470079369043308e-06,-1.7416903235155355e-06,-3.939709856240246e-06,-1.581914421404113e-05,2.6663364480714835e-06,-3.8206831143059236e-05,1.0085675279114203e-05,-6.590234562899483e-05,1.661551248433548e-05,-9.438933666251938e-05,2.1165026604235743e-05,-0.00011937584571120715,2.3331186099527313e-05,-0.00013737194596131745,2.333609401976303e-05,-0.00014613931367643025,2.1855364761561972e-05,-0.0001449308580654218,1.977893636618642e-05,-0.0001344894679975623,1.7956056340861395e-05,-0.00011681266941017659,1.697970526419986e-05,-9.472900003931872e-05,1.7059106109444565e-05,-7.136248208875729e-05,1.8009846015022628e-05,-4.958167140155544e-05,1.936080462272503e-05,-3.1533978765312625e-05,2.0542608385393077e-05,-1.8351650632546196e-05,2.109500694621412e-05,-1.0083151749416062e-05,2.0820904655767365e-05,-5.860906369476836e-06,1.982908073521516e-05,-4.267291122796803e-06,1.844576912919759e-05,-3.8327601068783315e-06,1.3913480033205318e-05,-2.2476620757096568e-06
3,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,9.563990476334581,-1.1914764959094657e-05,-4.630118394175085e-06,-9.81647660750647e-06,-4.386173385672654e-05,9.051953430993004e-06,-0.00010707834051123902,3.0346558248802752e-05,-0.0001857448455127814,4.9155309770263246e-05,-0.00026682715215546767,6.227702611643006e-05,-0.000337702882361888,6.850356841402824e-05,-0.0003879958007713882,6.847052725123733e-05,-0.0004110135045158422,6.416536785500417e-05,-0.00040453650232341923,5.82190097833052e-05,-0.000370859785871181,5.313831634601564e-05,-0.00031610555506422745,5.064927581011199e-05,-0.00024894525233330305,5.130327434409544e-05,-0.000178963586294532,5.444282737330098e-05,-0.00011496002666251029,5.853089558806191e-05,-6.349784999902552e-05,6.174062340569721e-05,-2.796824967557402e-05,6.26154318082438e-05,-8.337524910910323e-06,6.057684575404241e-05,-1.6131816191118403e-06,5.60996193066016e-05,-2.914747721911331e-06,5.048898220462624e-05,-6.9445753872915785e-06,3.707731440314086e-05,-5.994123404018143e-06
4,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,14.859838403933184,-1.8549691695240687e-05,-7.188212748182878e-06,-1.3926201093566973e-05,-7.165223185565074e-05,1.7861223955873836e-05,-0.00017684553038945216,5.3850235953158495e-05,-0.000308365694650308,8.570913891677376e-05,-0.00044405785389728717,0.0001079338328661207,-0.0005621193866734117,0.00011841736795328946,-0.000644466984657897,0.00011824241872112549,-0.0006793966869834923,0.00011085133954696207,-0.0006630793146601621,0.0001008154656512282,-0.0005997039148634934,9.248183382099391e-05,-0.0005002964601310321,8.88011315809255e-05,-0.00038045609842182146,9.06158147895179e-05,-0.0002574231470750091,9.659224003237795e-05,-0.00014700896895553152,0.00010381642334168339,-6.09482317527472e-05,0.00010887656366059123,-5.160924118608417e-06,0.00010909222569252723,2.076571277705197e-05,0.00010348495195460027,2.2804445764169575e-05,9.315733402233127e-05,1.0623106137513713e-05,8.095245376655853e-05,-5.003427145054191e-06,5.770690757414289e-05,-9.338699005458517e-06
5,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,19.228942206242486,-2.4046825468317642e-05,-9.292042857206985e-06,-1.6007965249035744e-05,-9.796452504170256e-05,2.874109680328772e-05,-0.00024427668366235836,7.947796651111815e-05,-0.0004278035028921056,0.00012443030607428828,-0.0006171301566259166,0.00015574785370177052,-0.0007809592572708683,0.00017040400113438865,-0.000893166635728478,0.00016995144571210695,-0.0009368245078778336,0.00015935320824042473,-0.0009065039619088576,0.0001452090053307817,-0.0008085641902996693,0.0001337803980833274,-0.0006594589020565661,0.00012926180121264292,-0.0004824103483373517,0.00013271768857362859,-0.0003030598767360335,0.00014197403405431103,-0.00014488125008331796,0.0001525103660028853,-2.5194876720547746e-05,0.00015910077162415904,4.7481951438562763e-05,0.00015769808627026131,7.427460711556641e-05,0.00014694813331590672,6.486462822725431e-05,0.00012882330510726294,3.4762965295365535e-05,0.00010816802594020293,1.492883981818427e-06,7.478090880510185e-05,-1.2116564652444632e-05
6,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,23.18758605797512,-2.904879085163627e-05,-1.1189166609629748e-05,-1.622455045038306e-05,-0.00012608161664955794,4.311696147997349e-05,-0.0003176767319551132,0.00011040100387076035,-0.0005585355168653745,0.0001699949265105566,-0.0008067246536098229,0.00021140761504477562,-0.001020053356386376,0.0002305874444049178,-0.0011631437302639378,0.0002296479847375714,-0.0012130935862525371,0.00021531785334642092,-0.0011627628998655904,0.00019654422499988173,-0.0010212578645802865,0.00018179365509889153,-0.0008116408832879991,0.00017666321897003882,-0.0005663404855010425,0.00018239408281492048,-0.0003210991584261818,0.0001957099911889881,-0.0001085515902062618,0.00021007038980170334,4.7391258530349046e-05,0.00021800274380060438,0.00013531157390009926,0.00021380597351920594,0.00015752699382763752,0.00019575073410122592,0.0001286295062256313,0.00016703852802945823,7.170788783816943e-05,0.00013520583393445614,1.3023723700238244e-05,9.029386107025916e-05,-1.4652858843779492e-05
7,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,27.65109797220715,-3.4719056822847105e-05,-1.3309797218904252e-05,-1.3228831379667524e-05,-0.00016603826576184019,6.796851744659367e-05,-0.00042394737286235117,0.000159857325954754,-0.0007485844621273061,0.00024107739205548608,-0.0010821289298723591,0.00029723997592844,-0.0013658804327918697,0.0003228180785508542,-0.0015504645118496465,0.0003208269535099137,-0.0016040583478649211,0.0003007049603431081,-0.0015172229673826687,0.00027498057055016205,-0.0013036986769050783,0.00025546836998112095,-0.0009971824275607955,0.00024985418485559414,-0.0006447474240296339,0.0002595345105881172,-0.0002980966883859981,0.0002793622194951976,-4.224080275077808e-06,0.0002994778180973757,0.0002028029284129041,0.00030876878054273283,0.00030740160817033186,0.00029892028008299357,0.00031435186380701787,0.000267745905366517,0.0002467141279182816,0.00022067451884802481,0.00014033409596591608,0.00016989510516908084,3.606311581856435e-05,0.00010783468676273716,-1.7544344818103568e-05
8,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,32.32180969531108,-4.070179099108725e-05,-1.5487571275966175e-05,-3.098245547015194e-06,-0.00022563381514781482,0.00011242521647719473,-0.0005854354555235091,0.000242506570767877,-0.0010380490112282814,0.0003569410502463426,-0.0015004697806899252,0.00043541745994309263,-0.0018879366895132223,0.00047026357839652773,-0.002129166225941715,0.00046601961598136143,-0.0021786792692306436,0.00043643661939470735,-0.0020240893845646243,0.0003997038276069157,-0.001687357750520448,0.0003729175918118946,-0.0012200175530307808,0.0003670165905312555,-0.000693322650334543,0.0003834966225016779,-0.0001850766555427305,0.0004139722031756351,0.00023450421257140489,0.0004429601640153129,0.0005152882280650051,0.0004532503221260652,0.0006357104816726929,0.0004322637655503488,0.0006056359787939928,0.00037731155025551115,0.00046315021815924936,0.0002979392833722067,0.00026610273213489676,0.00021453395281500887,8.01549566227768e-05,0.0001262460592759265,-2.062876572132234e-05
9,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,36.44197827400719,-4.605259540054231e-05,-1.7330248725207502e-05,1.8762429469314882e-05,-0.00031112170410020336,0.00018545016088994084,-0.0008205633715044604,0.0003716852226361529,-0.00145968109818245,0.0005343771960777163,-0.002107555560720409,0.0006447956403163265,-0.0026405862406597967,0.0006923682221963918,-0.0029552617892258408,0.0006839974616786225,-0.0029865667306149977,0.0006397977005682709,-0.0027188359198094163,0.0005863093250905933,-0.002187561285248872,0.0005484871033237216,-0.0014721526935930066,0.0005421524103279965,-0.0006810519870434947,0.0005689086789445307,6.820750946153326e-05,0.0006153109883282482,0.0006704729033310173,0.0006570758888223658,0.001051997564847439,0.0006674758534457533,0.0011833280939031329,0.0006274046627684352,0.0010835222843667276,0.0005337124082106913,0.0008149890370777376,0.0004028232521703279,0.00047025925675041265,0.0002682886781222827,0.00015346943798475588,0.00014253745562158214,-2.34452793670752e-05
10,2.523645056119702,76786967.80628647,-4819.668141327587,613.4619328661528,1.2521233869737611,0.13474192877553662,0.06002601157066173,0.010110528227428046,1.2897799039005255,456.31585170222394,5.8146853291832405,6.328727338964244,299.37248443677197,1.88658645977128,5.026826141906244,221.6060725487398,38.888167910426105,-4.9296601642115634e-05,-1.8343871049848102e-05,4.474688254008882e-05,-0.0003951826409730748,0.00026265719708903787,-0.0010538358576434657,0.0005045251446733398,-0.0018779399063004046,0.0007146464221185498,-0.0027082777175327817,0.0008562294366631562,-0.003382363953971794,0.0009159975472574518,-0.003764766377615232,0.0009031578590552746,-0.0037715208831493674,0.0008439760347419129,-0.003384427173418443,0.0007731737904054469,-0.0026532735829178106,0.0007235792499669593,-0.0016860271595718573,0.0007160811157220389,-0.0006288379992401114,0.0007525851676318493,0.00036073393521219855,0.000814608570662496,0.0011425953203983788,0.0008688540554399971,0.0016197344671131035,0.0008787518971177085,0.0017555108169471378,0.0008184713168555215,0.001579115042135487,0.0006845218894737319,0.0011782461603208315,0.0005006397551429593,0.0006808750258638191,0.00031406081256026735,0.00023000161389448591,0.00015224135666248298,-2.5206342828447846e-05
