时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,2.7875787509730174,-2.153448747655851e-06,-1.4591134232578184e-06,1.4017402112141527e-08,-8.775824530867116e-06,5.076716955335307e-06,-2.558530762375486e-05,1.1078394483839659e-05,-4.777034557760637e-05,1.6344444862909895e-05,-7.024500774049506e-05,1.9787793058081406e-05,-8.793434297635207e-05,2.1048847319556586e-05,-9.674233599078998e-05,2.045039647431766e-05,-9.431653211360164e-05,1.87937053156065e-05,-8.046403890368674e-05,1.7053908892816794e-05,-5.714940064689678e-05,1.605159133135851e-05,-2.8080353988850177e-05,1.6185430209220016e-05,2.0362440141388777e-06,1.730233399688204e-05,2.8425069016605568e-05,1.875085235462987e-05,4.717833683157777e-05,1.961199392460299e-05,5.601105709171276e-05,1.9042278185617098e-05,5.468219599723474e-05,1.66190841985633e-05,4.499574036038179e-05,1.2568018945077404e-05,3.0381359775750305e-05,7.784350441591846e-06,1.5144177699512788e-05,3.6202243419858627e-06,3.535088821507771e-06,1.4793465701727557e-06,-1.1684775747953255e-06
3,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,6.363940994024548,-4.919158534969011e-06,-3.3311938149127866e-06,8.825316464512475e-07,-2.243329655342772e-05,1.4277359018955033e-05,-6.655300009426723e-05,3.0159460974228072e-05,-0.00012492980043038725,4.41082913361464e-05,-0.0001840917862910203,5.323566254282277e-05,-0.00023050989337859297,5.657677630061715e-05,-0.00025322492085710707,5.498136823786085e-05,-0.0002459270939779442,5.057871620716598e-05,-0.00020809560518234138,4.5970098135856865e-05,-0.00014500898320064708,4.335102876348818e-05,-6.664191759155642e-05,4.378936524492757e-05,1.4331326576136555e-05,4.686745117046839e-05,8.504233985602679e-05,5.081776821600277e-05,0.00013495484801222995,5.3142567071053804e-05,0.00015790890826635422,5.154442998473122e-05,0.00015326740703038884,4.486909236256932e-05,0.00012593105137459403,3.373143169309242e-05,8.522113451440945e-05,2.0584216933071002e-05,4.287114803601403e-05,9.155979487673313e-06,1.0536395739355242e-05,3.3779134328338276e-06,-2.6689984586997817e-06
4,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,9.955019586779184,-7.700339787444045e-06,-5.210702831546027e-06,3.3275583730805386e-06,-4.058251113016265e-05,2.845903359667834e-05,-0.00012268955034706072,5.824300374409689e-05,-0.00023156865242202957,8.441754645625355e-05,-0.0003419239091397238,0.00010155542464502693,-0.0004282032916796028,0.00010782680936962917,-0.0004696387890639256,0.00010481255284915621,-0.00045424711114649236,9.651414345783813e-05,-0.0003810380930622492,8.784390055657093e-05,-0.00026006517337378877,8.296714233264438e-05,-0.00011034556245297498,8.39197668928358e-05,4.393432402073942e-05,8.990397009678912e-05,0.00017819829116731835,9.75253976674233e-05,0.00027231412130578454,0.00010197016207309472,0.0003145174636299115,9.879761943176187e-05,0.00030362521520545287,8.577093276268022e-05,0.0002490858108688552,6.408195329799203e-05,0.00016886439890185023,3.850040471484899e-05,8.56233768645126e-05,1.631098062804077e-05,2.1981960095830754e-05,5.284617414031699e-06,-4.1779590155300145e-06
5,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,14.306284638105021,-1.107860990137666e-05,-7.486374530834551e-06,1.051094078765474e-05,-7.449050698059528e-05,5.884156853543948e-05,-0.0002308965970860393,0.00011602432584561552,-0.0004387635994618449,0.00016629124199249023,-0.0006494135693210065,0.00019923743953910835,-0.0008133708871670907,0.00021131330362604212,-0.0008902784882567499,0.0002054958795325915,-0.0008567969124998792,0.0001894412180889561,-0.000711001700975476,0.00017263302036877811,-0.0004725526073401449,0.00016319586018286302,-0.00017868225603169923,0.00016516740700415366,0.00012319747697893993,0.0001770365366145299,0.0003848575685296286,0.00019212408246186707,0.0005667639138587651,0.0002008662072555474,0.0006458348281139495,0.00019438727403656367,0.0006198468921020616,0.00016819576333886355,0.0005075783603371543,0.00012467857560310752,0.00034468396786840763,7.342574972762213e-05,0.00017621090041583314,2.912853062781639e-05,4.730466628765545e-05,7.59418793968558e-06,-6.01165660853902e-06
6,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,17.83354506392299,-1.383080693036933e-05,-9.326683537331378e-06,2.4408770497157054e-05,-0.00012484741101569552,0.00010862683290836606,-0.00039568758591666526,0.00020803095068949127,-0.00075627141592832,0.00029542316875405826,-0.0011217222669573435,0.0003528341429423142,-0.0014053837151520037,0.00037404575976412004,-0.0015363741760058786,0.00036403529253436047,-0.0014736031181286813,0.00033591216404921107,-0.0012136209505570622,0.0003061466924108581,-0.0007910172597889321,0.00028910116206343173,-0.00027144624835665317,0.0002921612651619258,0.00026134541782261376,0.00031293209331104154,0.0007220364972078298,0.0003396765629730943,0.0010406041796611398,0.00035527131709429526,0.0011761582567339712,0.00034365651366399433,0.001124847676995855,0.00029662665133654836,0.0009201731168127868,0.00021844781601287202,0.0006256938097498053,0.00012646318121372875,0.0003217707907681297,4.725311642208828e-05,8.912178774963621e-05,9.463608936564708e-06,-7.507282637985206e-06
7,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,19.759996298490034,-1.5347231138778402e-05,-1.0326990271988057e-05,3.9786021791308167e-05,-0.0001745130679561386,0.00016001572391351649,-0.0005604936879137394,0.0003016698629898212,-0.0010750839886756237,0.0004262591507377216,-0.0015970340635368078,0.0005083749006412377,-0.002002204692329975,0.0005390959932938443,-0.0021888495671788942,0.0005251806234386107,-0.0020978176973078383,0.00048492057903740365,-0.0017239036105420236,0.0004416498505470483,-0.001116513967318287,0.00041611120601317065,-0.0003697681992482139,0.0004193870273590653,0.0003960301401856085,0.00044854608278106425,0.0010580921730732682,0.0004869234041435566,0.0015154670335669454,0.0005096732166660199,0.001709081400020786,0.0004932141948223628,0.001633254042807066,0.00042534423468281363,0.0013362116518004987,0.0003121603682445004,0.0009095898174430289,0.00017895651777399122,0.0004693399141531647,6.449785937952211e-05,0.00013208815410633532,1.0482126413247768e-05,-8.33248875478529e-06
8,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,20.9629245926085,-1.6306182894036507e-05,-1.0947458265901431e-05,5.580562777853752e-05,-0.00022389863165952584,0.00021201104802302473,-0.0007255863255853997,0.0003958056209623328,-0.0013953827605290604,0.0005575761800950186,-0.002075647242654528,0.000664618733413083,-0.0026045974078600744,0.000705273451342954,-0.0028493709250690153,0.0006878352397287693,-0.002732453197438029,0.0006354636489858747,-0.0022465602368790666,0.0005781855110448874,-0.0014556163864970924,0.0005432349533633492,-0.00048199262462843035,0.0005457420861132957,0.0005175117725626108,0.0005826301531854904,0.0013825153626751273,0.0006325099265632582,0.0019808596274807767,0.0006627282564265132,0.002234941824260805,0.0006418960750473717,0.002136931506599679,0.0005535317979744851,0.001749539442849756,0.00040545528093922955,0.0011923157652889628,0.0002309997637204535,0.0006167178945924509,8.127685585046129e-05,0.00017530045498859918,1.111687742351376e-05,-8.854457688044025e-06
9,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,21.77940438424449,-1.6968563739850565e-05,-1.136497933929928e-05,7.214680607654583e-05,-0.00027316597633766953,0.00026423735239004955,-0.0008911025194134689,0.0004900208074626132,-0.0017173362927931906,0.0006889344383639008,-0.0025578733572412726,0.0008211282558038581,-0.003213162180718107,0.0008721687900537704,-0.003518978723782875,0.0008516360456612751,-0.0033791159112188294,0.0007872261998693782,-0.002783834020032402,0.0007154671266047624,-0.001811198227016879,0.0006701796159451268,-0.0006115266964733398,0.0006708926152530167,0.0006220352769882154,0.0007147944041284149,0.0016914550953860395,0.0007760082960256572,0.0024331128736808792,0.0008140208754274652,0.0027505070959470746,0.0007893646746768321,0.0026332712464686068,0.0006809865418294017,0.002158259333765597,0.0004982893076128907,0.001472662751558112,0.00028269113171911745,0.0007632578725565973,9.777171513348419e-05,0.00021847537188234484,1.1547515020846116e-05,-9.214351026854599e-06
10,0.7931369952215892,22678138.532324363,-111.24883221054552,81.09567002739011,2.261841624132692,0.21598521535706314,0.02294192340946628,0.006521507487690039,2.3156955858447024,1224.5776719631979,2.667512121297663,1.5047694347127791,295.56526155715915,3.86772341876006,1.8821570225229163,539.2387676664066,22.3647014898076,-1.7454634603667954e-05,-1.1661063505143368e-05,8.86573680762897e-05,-0.00032237807750982523,0.0003165084442894746,-0.001057073411231098,0.0005840980922302672,-0.002040973902701808,0.0008200933090759512,-0.003043804373266306,0.0009776537491487701,-0.003828137167873591,0.0010395424531101246,-0.004198140624498119,0.0010163718898229697,-0.004038567684648458,0.0009400336871191693,-0.0033368127989207605,0.0008533485471265192,-0.0021846626383801976,0.000796804547540192,-0.0007600308834702239,0.0007946770233792718,0.0007077853546018357,0.0008448417747406653,0.001983074309564242,0.0009171942616373169,0.002870507617585221,0.0009633299658539165,0.003254295312572318,0.0009354418862806319,0.0031211064329954787,0.0008076051299921757,0.002561545094851541,0.0005906438910266712,0.001750118170236988,0.00033408157694516023,0.0009086907980884952,0.00011406935040371702,0.00026149266916729205,1.1856847066186572e-05,-9.47721165174099e-06
