时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,5.451544356780453,-1.3203429472695038e-06,-5.145687928439995e-07,-1.2329766235195939e-05,2.1941749423146958e-05,-2.0070061625342703e-05,4.248136301438306e-05,-2.546874854841187e-05,5.7913544559384855e-05,-2.8377748591387693e-05,6.61792286757305e-05,-2.908298156910584e-05,6.596723450190131e-05,-2.8201320461262744e-05,5.686442287930674e-05,-2.653606745049234e-05,3.940916417652446e-05,-2.4910472366419932e-05,1.504664407396826e-05,-2.4007255978512132e-05,-1.4010790342012342e-05,-2.424021465822754e-05,-4.500297583444254e-05,-2.5677304698012316e-05,-7.489792871797691e-05,-2.8025425780008466e-05,-0.00010069567502127084,-3.0677078101954894e-05,-0.00011972908452749127,-3.280994805149648e-05,-0.0001299320558413388,-3.352358527842558e-05,-0.0001300494471582078,-3.199323492852314e-05,-0.00011976883045954141,-2.761971696682508e-05,-9.976202047463761e-05,-2.0155171417867303e-05,-7.163040376474899e-05,-9.780502565177306e-06,-3.776265063127534e-05,1.3203749428171831e-06,-5.145619432366449e-07
3,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,12.763582249677308,-3.093202151202026e-06,-1.204875087201263e-06,-3.410701592996476e-05,6.513701270318026e-05,-5.650742099485981e-05,0.00012574285220754295,-7.2157083514647e-05,0.00017183189906642965,-8.063255399796986e-05,0.0001975311227042651,-8.274521420576346e-05,0.00019908247202665187,-8.02513022006148e-05,0.00017526716925948284,-7.54401936440879e-05,0.00012755887032015338,-7.066044786182902e-05,5.9998494772657805e-05,-6.786393072694012e-05,-2.119986095031643e-05,-6.82423812318482e-05,-0.00010826879887900898,-7.20112227790217e-05,-0.0001926675425501115,-7.836870759229086e-05,-0.0002659399384669343,-8.562962016425074e-05,-0.000320563057975347,-9.150696910088522e-05,-0.0003507026134786082,-9.349605553359365e-05,-0.00035280310271822396,-8.930448300846636e-05,-0.0003259568962897684,-7.72690931418495e-05,-0.00027201832461705276,-5.670413674508786e-05,-0.0001954466346008064,-2.8116923937028458e-05,-0.00010289963685065521,3.093290511533413e-06,-1.2046705278897863e-06
4,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,19.706291398076637,-4.778736647410056e-06,-1.8605161516082409e-06,-6.408020833130563e-05,0.00013046289818788485,-0.00010799229591186061,0.0002512209148745862,-0.00013871144440361042,0.0003440036388731005,-0.00015541515063522633,0.00039744640740656126,-0.00015966876230328605,0.0004042400381323462,-0.00015487046031895845,0.00036194787843355316,-0.0001454529169059081,0.0002733058453873206,-0.000135964908757208,0.00014598567106080478,-0.00013019056118175547,-8.159990340465682e-06,-0.00013045091401772137,-0.00017428750801280418,-0.00013719297087742938,-0.0003360594373657534,-0.0001489180198712252,-0.00047729014360860337,-0.00016244433654763837,-0.000583571176043887,-0.00017344983933971372,-0.0006437157755379876,-0.00017720494977478573,-0.0006508850595438717,-0.00016938721914873717,-0.0006032902195685044,-0.00014686636856862056,-0.0005044061139345657,-0.00010835654010102483,-0.0003626667505864324,-5.482294438842017e-05,-0.00019068001261415997,4.778902384114861e-06,-1.8597888828491656e-06
5,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,27.57116299501954,-6.6915382995106e-06,-2.603686140775921e-06,-0.0001203207120787199,0.0002622800625648495,-0.00020679813063347212,0.0005037432069848426,-0.0002673490136397291,0.0006911782212588972,-0.0003003672404362521,0.0008025093932951851,-0.0003089012260708528,0.0008234469853175782,-0.00029958231664578555,0.0007490761060183893,-0.00028105758311412727,0.0005844555725001447,-0.00026218953488000744,0.0003441734265213154,-0.00025033954353535255,5.0896030024075764e-05,-0.00025002122009720463,-0.00026692707548508723,-0.0002621262359787945,-0.0005779503305698569,-0.0002838144643936492,-0.0008511004645550056,-0.00030904646187827423,-0.0010586985386247562,-0.00032964091880473707,-0.00117922759495572,-0.00033667637046234954,-0.0011994849124719533,-0.0003220281680525351,-0.0011159202641851265,-0.00027983373762011473,-0.0009350379335789716,-0.00020770077957524088,-0.0006728087244004888,-0.00010746746856994347,-0.00035315283966761964,6.691849165837943e-06,-2.601562409732908e-06
6,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,33.95882505852799,-8.250095841872081e-06,-3.2080664196881246e-06,-0.00020808261940720666,0.00047705318280620573,-0.0003634539909609427,0.0009143967805809699,-0.00047219444946312866,0.0012562134250899135,-0.0005314382107502152,0.0014632419345458852,-0.0005466894821980935,0.0015099198846034204,-0.0005298989036964743,0.0013872367228287092,-0.0004966073269735318,0.0011038403342483799,-0.0004626747540886421,0.0006852739767581893,-0.0004411910200072722,0.00017140964904070125,-0.0004400956971553155,-0.00038762695233444884,-0.0004608645432480599,-0.0009365775074917859,-0.0004984023406102216,-0.0014206550712482205,-0.000542067774823651,-0.0017910470339834695,-0.0005775879172313377,-0.0020097773208482385,-0.0005895214427818922,-0.0020534778515712503,-0.0005639012843514316,-0.001915730904951424,-0.0004907124204919452,-0.0016077721550666814,-0.0003659139411121121,-0.0011574623163665674,-0.00019272340697102413,-0.0006066143095499001,8.250633504827226e-06,-3.203288579859018e-06
7,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,37.39080831253858,-9.09267672783939e-06,-3.533530064663394e-06,-0.00029534732559638753,0.0006932915670280999,-0.0005203852086573467,0.0013273486459745296,-0.0006776569745847779,0.0018242373715263932,-0.0007630350871647439,0.002127365404730909,-0.0007846242252810392,0.0021997615208324468,-0.000759934431646088,0.0020282371242811527,-0.0007116461452522572,0.00162503288663953,-0.000662777988379541,0.0010267420273636027,-0.0006321677994681304,0.0002906057660564397,-0.0006310561254481894,-0.0005113799698854706,-0.0006612839602355444,-0.0012998577923789335,-0.0007152720540188847,-0.001996173807873756,-0.0007776228642246837,-0.002530269373107772,-0.0008279460514622248,-0.0028476329168366887,-0.000844387023468426,-0.002914682386067928,-0.0008073284342203231,-0.0027221091687927384,-0.0007028013585754877,-0.0022858888348239524,-0.0005252405980515162,-0.0016458259702975756,-0.00027924624573593467,-0.0008617351955694382,9.093441051663262e-06,-3.5258786539441617e-06
8,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,39.512859572023444,-9.618919609099338e-06,-3.7353667640585422e-06,-0.00038196945254158273,0.0009075081706786292,-0.0006766067631102574,0.0017360856923010893,-0.0008821273308286667,0.0023860008404326147,-0.00099315846462678,0.0027833360638621855,-0.0010205419200170847,0.0028796970160620754,-0.0009875531839953924,0.0026577149006921604,-0.00092420499341489,0.002133256838579116,-0.0008607733690847249,0.001354037130625096,-0.0008218028281278086,0.00039475523384478154,-0.0008216602507852375,-0.0006506451335275202,-0.0008623014105732607,-0.0016786652180886589,-0.0009334232516278077,-0.002586784731749213,-0.0010147260091922321,-0.003283732477880118,-0.0010796986544826554,-0.0036985077810455244,-0.0011002095280617887,-0.003787355110368952,-0.0010512123209014913,-0.003538101381479012,-0.0009150047995970794,-0.0029714799552794306,-0.0006846316662043903,-0.0021392647956128426,-0.00036607154241216774,-0.0011193222718315365,9.619910568507176e-06,-3.7247627209040355e-06
9,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,40.94036021852475,-9.978427163486183e-06,-3.871645480463929e-06,-0.00046792315152979243,0.0011185686964459767,-0.0008317988467591753,0.002138492689335562,-0.0010850637478021213,0.002938479783826839,-0.0012211249244009393,0.003427337112592563,-0.0012536971356092207,0.0035452716167054003,-0.0012120171722449927,0.003270762016663338,-0.0011336049904546333,0.0026233530239819667,-0.0010560706198112593,0.001661953588683871,-0.0010096014131365278,0.0004787968473237121,-0.0010114970891217864,-0.0008101761894045473,-0.0010635655642125582,-0.0020773215100083403,-0.0011525359426351146,-0.003196295909763722,-0.0012530632375743333,-0.004054690659281702,-0.0013325205561734849,-0.004565098028082332,-0.0013566457484063459,-0.004673656777870234,-0.0012951946831808083,-0.004365373657534002,-0.0011269593687272049,-0.0036657661047147967,-0.0008437310724735162,-0.0026386018428300314,-0.0004528593975586145,-0.0013798393281017978,9.979645031365186e-06,-3.858062827154092e-06
10,0.6346553237817665,15945104.12612053,4.547473508864641e-13,18.21045389149468,0.5872804078789755,0.05730789903770776,0.026249153078815313,0.0035904024173365402,0.6018694459683382,563.1908513160496,10.0,10.0,0.0,10.0,10.0,0.0,41.95504935066543,-1.0239733509831965e-05,-3.96895156624007e-06,-0.0005531722600757532,0.0013259793737333428,-0.000985768937452122,0.002533648670747974,-0.0012861558759384695,0.003480353184547453,-0.001446550242110389,0.004057693413896219,-0.0014836753829122193,0.004194519548785929,-0.001432918990662784,0.0038652003642868768,-0.001339472246633907,0.0030930193763400735,-0.001248342404561703,0.0019481571430588474,-0.0011952826772569762,0.0005404513776106037,-0.001200321939386942,-0.000992122250510696,-0.0012648522211074185,-0.0024977881125141438,-0.001372390632691213,-0.003826443160398971,-0.0014924081905606321,-0.004844634616012769,-0.0015861737098283044,-0.005448645057641043,-0.0016134483393636938,-0.005574586896779551,-0.001539027203975272,-0.00520469914512982,-0.0013384275697040514,-0.004369314338446252,-0.0010023242830068358,-0.0031442192344733207,-0.0005394271192319453,-0.0016435012729019921,1.024117878002651e-05,-3.952390792837259e-06
