时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,30.779394649036437,-1.229359874367561e-05,-4.6440654082109e-05,5.23045523192736e-06,-0.00010133836769225479,5.511879512992243e-05,-0.0001693909697825674,0.00010796114633774542,-0.00024949280952525936,0.00015213003317512527,-0.00032603019202432737,0.00017980773232797152,-0.00038393620624458264,0.00018861241754895223,-0.0004111578109598717,0.0001815656838612883,-0.00040075083159970296,0.00016569306725840548,-0.0003520973016881298,0.00014961075318119862,-0.0002711125891164594,0.00014068466953148342,-0.00016928964299243093,0.00014260058387188926,-6.162254299620535e-05,0.0001541766538844401,3.625821003263963e-05,0.00016986316435624915,0.00011109478333059691,0.00018173620967085424,0.00015443424517459816,0.0001822662095429645,0.0001639720317568094,0.00016696354656375187,0.00014364201277124126,0.00013611001878043258,0.00010253324346849642,9.515588416047135e-05,5.2958361547537436e-05,5.391622003815752e-05,7.863693217331907e-06,1.0109059419867072e-05,-7.216209375499223e-06
3,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,67.93064529515368,-2.7315931013004224e-05,-0.00010239821212006059,6.092910938220828e-05,-0.0002806390738412369,0.00024689225606184016,-0.0005266865246128223,0.0004440190091231805,-0.0008170237014933443,0.00060853988934103,-0.001093039795967611,0.0007111304415473338,-0.0012974204849803086,0.0007428693628662783,-0.0013842485241944314,0.0007153241454896812,-0.0013273545402018268,0.0006553885739214397,-0.0011252492923731923,0.0005960369196021798,-0.0008020107765092875,0.0005652578372438079,-0.00040353118153829096,0.0005765025814954977,1.0765436801792301e-05,0.0006240322228782866,0.00037940423946690005,0.000685004268341367,0.000650908827056691,0.000727542414852878,0.0007934512465431405,0.0007218883725720383,0.0008000190542147117,0.0006510011139156474,0.0006884652451793722,0.000517436539730421,0.0004969218309546721,0.0003447343294176062,0.0002759176736535965,0.00017343670124864548,7.842177922302995e-05,2.2271025298851834e-05,-1.5993391899791482e-05
4,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,90.15310566431472,-3.665204994408038e-05,-0.00013550591287110893,0.00021192887246205703,-0.0005244278455635334,0.0006585207561559296,-0.001106279020633593,0.0011312065698344189,-0.0017932767009755024,0.0015250641256353303,-0.002443521573973327,0.001770151014794037,-0.0029176115004319546,0.0018450214957881606,-0.0031042383265205324,0.001777238015573272,-0.002940764896976929,0.0016315483809219615,-0.0024253061241760964,0.0014879161267476997,-0.0016188510268779442,0.0014145614289655074,-0.0006360483057669823,0.0014441488606348762,0.0003752900745534221,0.0015617983018293062,0.0012628752806990494,0.0017099469984559134,0.0019002679752382664,0.0018085188228751082,0.002211161137008254,0.0017832008594175467,0.002182065608780233,0.0015924617250664863,0.0018616628811266764,0.00124499800275432,0.001348367709034951,0.0008027177059196126,0.000769867228714793,0.0003689525191270654,0.0002586972091134984,2.9420957147521617e-05,-2.1389174297254084e-05
5,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,98.35450889205653,-4.0406278504131384e-05,-0.00014734800609722038,0.0003761869676736864,-0.0007417892830092688,0.0010835080710294735,-0.0016621825742697282,0.001831389181477637,-0.002749580770403137,0.0024546471998160473,-0.003777544375326331,0.00284335054230524,-0.004523561660532025,0.0029631127085047613,-0.004810623220003834,0.0028561920887711437,-0.00453986492892431,0.0026238599919847527,-0.0037093914575660404,0.002392626611105623,-0.002417391014076534,0.00227176411595895,-0.0008475754211728295,0.002314808109762638,0.0007632653157407675,0.002499264138730834,0.0021711263175762064,0.002733345249327869,0.003173787071133598,0.0028879888028908035,0.0036503114052594335,0.0028428289257170377,0.0035815313998483612,0.0025306714871783835,0.003048348140510625,0.0019663447038834273,0.0022106341145995087,0.0012513200174997924,0.0012734963690646819,0.0005531550603858012,0.0004484520961019593,3.194043135899995e-05,-2.350742212412723e-05
6,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,102.58502228557974,-4.258129441807325e-05,-0.00015314937115538938,0.0005442548842209056,-0.0009531699661793093,0.0015119349970089187,-0.0022162248073593835,0.0025344653764145394,-0.003709839331748129,0.0033874435153941384,-0.005121913179158044,0.003921536870319074,-0.0061459019839177394,0.004088838946836435,-0.006538752250843434,0.003944732294603191,-0.006165400017497559,0.0036253621105713507,-0.00502387780938687,0.0033031017473294467,-0.0032491705669743876,0.003129070365051139,-0.0010934974718832073,0.0031796033447237413,0.0011176378154525055,0.0034266473718310166,0.0030482131028648014,0.0037453046895053288,0.00441954581094013,0.003957210762604055,0.005065519269364944,0.00389457288308444,0.004961229692894178,0.003463051230659951,0.004220079264575855,0.002682902600817487,0.0030634416838733153,0.001695479851242268,0.0017731836055767856,0.0007333310664119213,0.0006386331615463725,3.3149674771411046e-05,-2.4693091920287305e-05
7,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,105.14535685725008,-4.4094902324048184e-05,-0.000156397794533406,0.0007139170022253448,-0.0011632240266417646,0.0019413996912734197,-0.002773371409321261,0.003237909988791798,-0.004679559240865443,0.004320930018202053,-0.0064829473166045865,0.005002329540730443,-0.007792029654647928,0.00522007279800105,-0.008297304655350444,0.005041017226958034,-0.007827434632963237,0.004634428027103488,-0.006380182465341653,0.004217769386322675,-0.0041267519295956545,0.003984776571774055,-0.001387103205551514,0.004036580937334735,0.0014250137943444467,0.0043417768381556815,0.0038813773114954376,0.0047436482817716985,0.005626130329336381,0.005014342505911233,0.006447234109702302,0.004937282611145517,0.00631370040104344,0.004389384399227182,0.0053714082513375274,0.0033954112232980893,0.0039030281822927566,0.0021366707456639713,0.0022663814740228796,0.0009113227527850626,0.0008274037059655238,3.3809491570561045e-05,-2.5483338280776176e-05
8,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,106.84279649428744,-4.526914335660927e-05,-0.0001583176456663564,0.0008843355190367731,-0.0013735369785848597,0.0023708841332348092,-0.0033352459811456263,0.003940513144660146,-0.00566049074115479,0.00525375345534514,-0.007862650362847197,0.006084327866050927,-0.009464330715985214,0.006355477849453585,-0.010089146951469468,0.006143857594640399,-0.009529369514712303,0.005650032930272381,-0.007782246647574361,0.005135711296992778,-0.00505456189470277,0.004837963996278186,-0.0017331619267224065,0.004884721033997002,0.0016805262573540212,0.005243498853722666,0.00466596870134331,0.005727157873722185,0.006789412437550594,0.006058259000073888,0.007792060098286141,0.00597011550608238,0.007636349523071533,0.0053092570526123845,0.006500481167405824,0.004103924180427339,0.004728130868173318,0.0025753219558280823,0.0027522337695174127,0.001087758202500057,0.001014133927392897,3.418711426673011e-05,-2.6066666531242408e-05
9,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,108.03363412005804,-4.6245980188049726e-05,-0.00015944957017646885,0.0010550938258146493,-0.0015847699781655216,0.0027997978391995906,-0.003902462966794124,0.004641471273066686,-0.0066532385639904695,0.006184915221604935,-0.009261691551601897,0.007166414930815821,-0.011163621021976385,0.007493929550614307,-0.011915305741940215,0.007252222980455312,-0.011272483612149374,0.006671292033643593,-0.009231627523431164,0.006056168615352249,-0.0060344404581179545,0.005687920005485676,-0.002133753828839152,0.0057232598237121025,0.0018819683721009168,0.006130938782272289,0.005399826956980332,0.006694865743238219,0.007907457954513013,0.007087996191852184,0.009098412342735724,0.006992250760926579,0.008927977072147378,0.006222117548241079,0.007606444271879458,0.004808216553375967,0.005538165321348075,0.0030114965965252352,0.003230341805859318,0.0012628761240111904,0.001198535110560604,3.440067301112486e-05,-2.6526266699644404e-05
10,1.749436994558146,69741656.85286732,-4385.876308003051,194.66295068030712,0.8552720533490519,0.19817149065943246,0.0898879119181135,0.006034139648949699,0.965410242236585,577.8516814485359,4.3728052909360065,1.0648480369075983,390.3773974622974,5.1606119199386935,6.735731166986341,175.62162691881042,108.89925190732517,-4.709749863866064e-05,-0.00016006899380961408,0.0012259411904909567,-0.001797227597046224,0.0032277217761598437,-0.00447524885951057,0.005340145872049049,-0.0076579662775563525,0.0071135611840158946,-0.010680223667496219,0.00824758800256486,-0.012890105525644603,0.008634385882884054,-0.013776088908849668,0.008365141815137827,-0.013057224745760616,0.00769737062792215,-0.010728947036359368,0.006978440261824719,-0.0070672131704470585,0.0065340087979119865,-0.0025899075456446916,0.006551529955558502,0.002028167440059028,0.007003325878664088,0.00608175114848605,0.007645893546738188,0.008979168403218881,0.008102640222149866,0.01036538629971287,0.008002859620743477,0.01018789838294924,0.007127342174090618,0.008688806878708672,0.0055079378110573585,0.006332789316712523,0.0034451029345297112,0.003700470183631619,0.0014367583446062697,0.0013804446311826168,3.451045953156142e-05,-2.6904478467889947e-05
