时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,9.48784605485469,-3.712740873709735e-06,-8.461956265603661e-06,7.858588779779394e-06,-3.407919500439182e-05,3.0212958206757194e-05,-7.582866404466616e-05,5.4269624943253686e-05,-0.00012602961083685662,7.442334205375224e-05,-0.0001743129400677595,8.712539924352674e-05,-0.00021064308026582458,9.142448082990706e-05,-0.00022717148156361063,8.881865331246876e-05,-0.00021968446391485894,8.249309971074338e-05,-0.0001883444590169146,7.61669832989379e-05,-0.00013762925297348765,7.285913735663136e-05,-7.547427445347307e-05,7.391645456694229e-05,-1.1769712468040279e-05,7.859146336301057e-05,4.351552016761551e-05,8.430845764730275e-05,8.222288580510693e-05,8.75530350285939e-05,9.953034140749887e-05,8.512245958876696e-05,9.480781021578752e-05,7.535254996218128e-05,7.164026244655525e-05,5.8926304223970124e-05,3.702041714130365e-05,3.8998690265015795e-05,-9.429112980828182e-08,2.0548651262356724e-05,-3.0605887322776727e-05,7.053501078292356e-06,-4.530048292317334e-05
3,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,20.9393341640282,-8.232333002883103e-06,-1.86277451532322e-05,2.899095493724267e-05,-9.411674086269359e-05,9.702939642633061e-05,-0.00021986542751704463,0.00017024247913424465,-0.0003713403627922013,0.00023146403716692526,-0.0005165551676372227,0.0002697561025130514,-0.0006242940635859445,0.0002821697920546226,-0.0006700549679572764,0.00027335042716145996,-0.0006406860729177783,0.00025321935587740296,-0.0005367978265056166,0.0002334001298503707,-0.0003726223090086237,0.00022334442083396148,-0.00017333583731948368,0.00022724086102030066,2.9688909509800113e-05,0.00024263679343197655,0.00020484398122530174,0.0002612509626422951,0.000326310416191935,0.0002717990412630883,0.0003789306917433935,0.0002640029445877928,0.0003609316109102271,0.00023254140129928109,0.00028397429902429164,0.00017965880589108292,0.0001705612398727584,0.00011556020951687839,4.942471316194178e-05,5.63271153336613e-05,-5.02334691751102e-05,1.554308930474293e-05,-0.00010021920803207102
4,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,32.051839427914956,-1.2732876928826486e-05,-2.8325091877401724e-05,8.766033828359276e-05,-0.0002145418743205513,0.0002608454548726371,-0.0005318897197606033,0.00044685644582362675,-0.0009144869695773857,0.0006019934352816647,-0.0012797570223227735,0.0006983145060560292,-0.001546621015370334,0.0007282095461615699,-0.001651322843988953,0.0007035247817780834,-0.001559724551019354,0.0006498200863888258,-0.0012737655013362005,0.0005973079463152878,-0.0008311925802712222,0.0005708036677251758,-0.00029861210555833174,0.000581469159440206,0.00024097659895992843,0.0006229038022772078,0.0007039632535509027,0.000673051781484258,0.0010221830182683795,0.0007016373309357477,0.0011559441494813103,0.000680975362645,0.0011012691822466021,0.0005967385059847412,0.0008899009617412004,0.00045508049180737934,0.0005822388284861804,0.0002836361650794303,0.000254948803025637,0.000125743702465956,-1.4229786665882963e-05,2.3586276868274154e-05,-0.00015393553411416325
5,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,37.25057597303862,-1.4981016933566185e-05,-3.26392097293252e-05,0.00016389849350183973,-0.0003509077881800641,0.00046366632619308134,-0.0008997268818938918,0.00078512267647637,-0.0015618173664939338,0.0010530247663073267,-0.002192988783315483,0.0012192201802121278,-0.0026513568927975057,0.0012703177076643889,-0.002825348377167027,0.001226294596737674,-0.002655300751767625,0.001131023359622271,-0.0021447795020628673,0.0010370395093523858,-0.0013601358150171939,0.0009882125902852348,-0.0004184492416945648,0.0010050075508925115,0.0005342227648662712,0.0010769904352901055,0.0013505783183023314,0.001165585020707259,0.001910499459240048,0.0012169773310754318,0.002144237218471078,0.0011814987154389882,0.002045273250123796,0.0010332184889925845,0.001670166741500387,0.0007829668225776106,0.0011257942296953169,0.00048006808087780787,0.0005472804195748889,0.00020167181824325598,7.136484399587392e-05,2.7052712568784232e-05,-0.00017943259970864864
6,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,39.80720919224957,-1.6205224210759254e-05,-3.457107457597611e-05,0.00024184946034959932,-0.00048495482822857384,0.0006678237659851899,-0.0012667556710855988,0.0011241952668617405,-0.00221084433518328,0.0015047388590493753,-0.0031110514459517027,0.001741427885850288,-0.0037642484849458933,0.001814830889128711,-0.004010700095720157,0.0017522604425603708,-0.003764945726522748,0.0016150446099292407,-0.003031874545753405,0.0014776972265871334,-0.001906081414531928,0.0014035964655695842,-0.0005548143578926081,0.0014235626985937277,0.000812879287478858,0.001524205605062863,0.0019857490188552535,0.0016509425441785575,0.002791243457245649,0.0017261393431582074,0.003129081354832913,0.0016773217902909356,0.002989903933374399,0.0014661471884430733,0.002454934476264195,0.001107794709385956,0.0016773473510001537,0.0006735043308861602,0.0008504012792983928,0.00027468016615377544,0.00016948697861958532,2.850608274411876e-05,-0.00019223045574391612
7,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,41.315110625045875,-1.7023924657372133e-05,-3.5553801133764786e-05,0.00032043402106268445,-0.000618550392947719,0.0008722293120003238,-0.0016351950537649847,0.0014630630356857034,-0.0028643980353717786,0.001956291723358003,-0.004037702609092189,0.002264343133404571,-0.004890311460359655,0.0023614594518379895,-0.005213945943224245,0.002281441680228122,-0.004896989381887753,0.0021021475169103153,-0.003945221845094406,0.0019196598825371926,-0.0024809496650404217,0.0018172897524983166,-0.0007210862932958177,0.0018372928458291744,0.001062588989288526,0.0019644855800007776,0.0025947500396443627,0.0021289096473413207,0.00364995806882645,0.0022289294608926397,0.004096834716655225,0.0021684842412987627,0.003922700104434048,0.001895971349542859,0.0032330646003384624,0.0014304842239080946,0.0022270022430713973,0.000865271792577838,0.0011554130572500362,0.0003463324439848213,0.00027190176172504536,2.9163071024193256e-05,-0.00019997245719243563
8,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,42.29996600846962,-1.7641201259446218e-05,-3.606041639405509e-05,0.0003992737137376296,-0.000752281116243409,0.001076461935569083,-0.0020057088418414717,0.001801279856296969,-0.003523320166303782,0.0024072417259095383,-0.00497409527277039,0.0027875721264694103,-0.006031147710723019,0.002909905991552122,-0.006437250132087167,0.0028136721342783754,-0.006054229093368824,0.0025922975253545614,-0.004888269564944788,0.0023629810818527027,-0.0030887941860605617,0.002229358555099989,-0.0009218060027961376,0.0022462006280189327,0.0012785128192162015,0.0023977312946802188,0.0031726785653000866,0.0025993084904533392,0.0044819078229398355,0.002725169573931568,0.005043106359557324,0.00265490851907521,0.0048397079345815185,0.0023227922813810553,0.004001046117726041,0.001751336488896173,0.0027716279602903403,0.0010558280614894997,0.0014594622346109293,0.00041716026816667926,0.0003759216818718216,2.9426370301676623e-05,-0.0002051842715144627
9,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,42.98503890135038,-1.814367877508413e-05,-3.629195015917018e-05,0.00047818610128333726,-0.000886365495328891,0.0012802789776074767,-0.002378497044865113,0.0021385345350435226,-0.0041878325153964936,0.002857217753188264,-0.005920543068435433,0.00331071634173372,-0.007187242837785465,0.0034597956587311177,-0.007681340632092156,0.0033486513651971132,-0.007237685209612024,0.003085294732643472,-0.005862356724122966,0.002807546792637274,-0.0037312700458561046,0.0026397225652650363,-0.001158902546979336,0.0026501744285075267,0.0014585355135585823,0.0028237563814214454,0.0037173551834805466,0.0030618812905172056,0.005284975160135836,0.0032145816765799494,0.005965936869292177,0.0031363716945860907,0.0057391742983645775,0.0027465058738724677,0.004757334519490913,0.002070389271957167,0.003309859201572614,0.0012453277448171791,0.0017613168633843622,0.0004873799204619451,0.0004803978219720803,2.9467421605615787e-05,-0.00020893946962765667
10,2.0580992849318682,68692334.83585906,-413.68058748503245,261.5830594252057,1.8092163983723974,0.29684373200748987,0.10519263664226863,0.006808301834684902,1.9317758660196287,989.9336057471996,4.102094474877868,1.1608572524523613,116.85542759384043,2.1288307109318074,0.22045846260327728,402.37781515183826,43.48123062737541,-1.857432426312256e-05,-3.634836041564756e-05,0.0005570626326214889,-0.0010208860240874655,0.0014835060013901888,-0.0027535870245580484,0.0024745674912313898,-0.004857921474754163,0.0033058739332539897,-0.006877034342334441,0.003833370471961646,-0.00835864376044363,0.004010715328837129,-0.008946377268947025,0.0038860162507124863,-0.008447674852775073,0.00358086401166519,-0.006867991350456466,0.003253168297405729,-0.004409095253811075,0.003048237304950115,-0.0014332968183159282,0.0030490524246788698,0.001601577356303626,0.0032423341027089663,0.004227618153973737,0.003516329839052246,0.006058003422074377,0.0036968355923208225,0.006864244712964098,0.003612577951493832,0.0066201307167486935,0.0031669116176171173,0.005501082543962269,0.0023875649769360195,0.003840959271443946,0.0014338011784266014,0.0020603301994737318,0.0005570857140986258,0.000584746447542513,2.9371594203185974e-05,-0.00021177157988500764
