时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,6.069763355988826,-9.136045428861863e-07,-1.2616813607478236e-06,6.628014601448363e-06,-1.6278755045128947e-05,2.2811584769798857e-05,-4.788425929209012e-05,4.1507651298942384e-05,-8.875231291661698e-05,5.7707226558295184e-05,-0.00012930009220983265,6.805263858204962e-05,-0.00015985211932383837,7.145385379010086e-05,-0.00017258516530197954,6.904032083628763e-05,-0.00016309627149035464,6.351598131167442e-05,-0.0001312646004663867,5.812335842434858e-05,-8.127656954580655e-05,5.550892175183005e-05,-2.0809199973963844e-05,5.681693429182541e-05,4.047366730742819e-05,6.128917220668059e-05,9.282716885668074e-05,6.651194648432623e-05,0.0001283549894136556,6.925628673182707e-05,0.000142565513603471,6.666137393687944e-05,0.00013522709377133762,5.7385415477978594e-05,0.0001103483138085434,4.23359700759143e-05,7.529007195350745e-05,2.4721353862857842e-05,3.921940256001702e-05,9.355052399866767e-06,1.1189694388119425e-05,8.863063755256704e-07,-1.3072731711126064e-06
3,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,13.638097084615536,-2.0655322412805982e-06,-2.8138694747271882e-06,2.212406626094628e-05,-4.9088401771856576e-05,7.286382176181827e-05,-0.0001476401925622736,0.00013156205421511438,-0.0002754645351718642,0.00018251941782807923,-0.0004024632466307042,0.00021515647700322794,-0.000498063209007763,0.00022598218303179724,-0.0005374575381101207,0.00021847863244952963,-0.0005066273814618314,0.00020111641678539804,-0.0004051267379469073,0.00018412151626306825,-0.00024619866287235823,0.0001758942924020294,-5.420891299783988e-05,0.00018010888484383997,0.00014012352520014837,0.00019439215752180725,0.00030579910986403084,0.00021106692674156035,0.0004177058408128938,0.00021981717884181543,0.00046159999590063554,0.00021148511819203954,0.00043683654205189736,0.0001817802270078587,0.00035628483819300774,0.00013363301708201131,0.0002434718384308624,7.734434376886534e-05,0.00012763124273078814,2.832790904820231e-05,3.7617924527747276e-05,1.9794224892432596e-06,-2.958703165776035e-06
4,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,21.72364885850377,-3.344322573431868e-06,-4.39071329083871e-06,6.635542167537871e-05,-0.00013218750319907017,0.00020886265620553046,-0.00040806291164884495,0.00037389396152586363,-0.0007672804746921752,0.0005175635448263879,-0.0011250814691328083,0.0006101446692582794,-0.001394765694030278,0.0006415363003572942,-0.0015056852891421329,0.0006210470770364364,-0.0014176656028620884,0.0005721097128562486,-0.0011290613088768425,0.0005234740267919687,-0.0006772113105579752,0.000499200799843742,-0.00013127541987726347,0.0005102631653160863,0.0004212539854717634,0.000550414160186597,0.0008918809324651634,0.0005979545877230043,0.00120884523706646,0.0006232339958286923,0.001331516459117672,0.0005996906031528746,0.0012582661154298767,0.0005147856843300797,0.001026125807047183,0.0003769559793783734,0.0007024443299954065,0.00021596714616257097,0.0003706006540786631,7.615590823758225e-05,0.00011274005965086019,3.101278592764831e-06,-4.802625351998856e-06
5,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,25.070267055578906,-3.92826718929955e-06,-4.950118648009431e-06,0.00011603806506118532,-0.00022135683386659594,0.0003585488277330961,-0.0006916356182453935,0.0006394743145781058,-0.001305626773465624,0.0008845929424650545,-0.0019187367799296895,0.0010435355764875657,-0.002382492213870573,0.0010987366121875156,-0.00257561428850375,0.0010651325113809258,-0.002428798208306519,0.0009816944182796535,-0.0019385482696780995,0.0008970732297036623,-0.0011680526062802109,0.0008528545490782395,-0.00023513657053390947,0.0008689599480487294,0.0007105990442140547,0.0009358836506200667,0.001517381035661144,0.0010170178691011663,0.002061822870873144,0.0010612450798981416,0.0022738901801242603,0.0010221882806114655,0.0021505854310132798,0.0008776011572180744,0.0017552870773006406,0.0006417681793652187,0.001203214812399331,0.0003660714859942859,0.000636787380246456,0.00012691764711645078,0.0001962331404843303,3.514065550905602e-06,-5.654383391839293e-06
6,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,26.768390613076036,-4.268400238974422e-06,-5.15913111748336e-06,0.00016617990079242985,-0.00031044821236237064,0.000508590367491756,-0.0009767214777472771,0.0009052893866272074,-0.0018486072081842933,0.0012521490145888927,-0.002721452441511731,0.0014784546937721336,-0.0033845118809432816,0.0015589474130355844,-0.0036653142906858185,0.0015134245633491455,-0.003464856411928782,0.0013955184942121036,-0.002777190607608254,0.0012733776991705218,-0.0016907400931808576,0.0012065163437396434,-0.0003715137833993092,0.0012248508881458416,0.0009689229995400803,0.0013167289651936174,0.002115218354505152,0.0014311912755078015,0.0028917196718050626,0.0014953952645743748,0.0031982775260601622,0.001442333562588387,0.003029971053617891,0.0012392487372311293,0.002476155614590713,0.0009059471916489911,0.0016996068309319736,0.000515630501525405,0.0009014433708626201,0.00017716277135765673,0.00027975047584648656,3.683166915578699e-06,-6.155916949764686e-06
7,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,27.786736005692728,-4.508277489762939e-06,-5.223265327953369e-06,0.00021645063498892684,-0.00039966955817773647,0.0006584925197016284,-0.0012633734109836036,0.0011706415300988717,-0.0023960743192984572,0.0016193409220204818,-0.0035329277009169217,0.0019138819586859508,-0.0044005175179014965,0.0020211200019306028,-0.0047746957995447184,0.001964944536458679,-0.004526229312919065,0.001812726057294796,-0.003646099869631856,0.0016516347876431913,-0.0022472709778355855,0.001559453286805625,-0.0005433105049512004,0.001577120406568239,0.0011925723380717438,0.0016919913662042623,0.0026813033871525096,0.001839397863192544,0.003694410002708023,0.0019246007721987913,0.004100905997278552,0.0018591912843407099,0.0038932986677400493,0.0015990773502081344,0.003186406882901111,0.001169185506499893,0.0021900908860621945,0.0006646414929504532,0.001163694926369684,0.00022707775612161246,0.00036284901247397785,3.7523736841520696e-06,-6.512176446925193e-06
8,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,28.458650533758608,-4.697292525533375e-06,-5.213273665719316e-06,0.0002667285754736232,-0.0004890800150923392,0.000808055470710212,-0.0015515732024022452,0.001435223052910347,-0.002947916411203162,0.0019857450055987933,-0.004352982764717167,0.00234930413112174,-0.005430324065469131,0.0024847096287079744,-0.005903653805046662,0.0024191844122604506,-0.0056129849074687856,0.002232892747418749,-0.004545604229613953,0.0020315046717706846,-0.0028382960679620554,0.0019113630096059748,-0.0007515114329896236,0.0019254347059347722,0.001380288356115046,0.002061256561957965,0.003214228341199894,0.0022411457393544396,0.004468491634731566,0.0023483496818495365,0.004980518104466426,0.002272314431745838,0.004739547959404328,0.001956776677236759,0.003885294456658407,0.001431335945508367,0.0026741807270278736,0.0008130936208831979,0.0014232637733763934,0.0002767276911536862,0.0004453836909247799,3.771173737365317e-06,-6.793707677998671e-06
9,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,28.929177948497227,-4.856916593059951e-06,-5.159981870086756e-06,0.0003169485283151739,-0.0005786847396054678,0.0009571502421797616,-0.0018412471604616553,0.001698811048100161,-0.003503962298901763,0.0023510310251986582,-0.0051813638560737245,0.0027843013136793957,-0.006473637883182544,0.002949256505733023,-0.007051912024218468,0.0028757089651417693,-0.006724926090609874,0.002655657910563052,-0.005475647493676957,0.002412711158555323,-0.003463952816417064,0.0022620173914776726,-0.000996472200920426,0.0022695514704849234,0.0015315198446423062,0.002424217243513635,0.0037133164753784587,0.0026360548127361155,0.0052132560483530484,0.002766230337848802,0.005836458801977957,0.0026813283749081,0.0055681739817809795,0.0023120705019570747,0.004572409105268298,0.001692246720648167,0.00315160336052649,0.0009609424315397301,0.00167999369113691,0.0003261307457296309,0.0005272795259860909,3.7611185694596456e-06,-7.031188005432586e-06
10,2.501215209509519,96061495.66907306,0.0,326.17639191988906,2.6228802026562215,0.40399213130043926,0.08541688175977528,0.006280976221272647,2.7804525545220216,1508.9119523089935,6.991355483205,3.0168280033003994,518.4911193502567,6.991355483205,3.0168280033003994,518.4911193502567,29.2714635843264,-4.997957233035491e-06,-5.078971993408585e-06,0.00036706636457356896,-0.0006684670648844232,0.0011056734014555807,-0.0021322957945907506,0.0019612121374312,-0.004064008039523346,0.002714899796083075,-0.006017772506928844,0.0032184824816951876,-0.007530101683598771,0.0034143243610213875,-0.008219102869497525,0.003334100295531221,-0.007861727793614146,0.0030806743588576557,-0.0064360022536987934,0.0027949923939220886,-0.004124163617238852,0.0026112083774969164,-0.0012782976591787791,0.002609256410649242,0.0016459855601221932,0.002780600103264684,0.00417815866994101,0.0030237793171506468,0.005928238543152132,0.0031778586779526224,0.006668276275363262,0.0030858736287543865,0.006378785372664489,0.002664683094056595,0.005247445613272563,0.00195175398443354,0.003622148809166718,0.0011081242880738257,0.0019337644339016708,0.00037528492727390684,0.0006084846553818339,3.733095288418887e-06,-7.240065185353032e-06
