时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,6.5454589279941455,-2.44164143374479e-06,-3.476340117915049e-07,1.8614755788183065e-06,-9.721915452116721e-06,1.2204497594518544e-05,-3.3302131482804266e-05,2.4713203049236752e-05,-6.517655338418055e-05,3.582847831906566e-05,-9.764531389361414e-05,4.3126127527958456e-05,-0.00012281000855466262,4.5750475103012623e-05,-0.0001341917879129872,4.4387719418220255e-05,-0.0001280432296020828,4.082751200881536e-05,-0.00010408472658411719,3.72558494747395e-05,-6.554467972763738e-05,3.547867715073789e-05,-1.8501963141594146e-05,3.629709181928957e-05,2.9337818674669838e-05,3.9223915554306645e-05,7.019388789060092e-05,4.264332459575107e-05,9.777923946244968e-05,4.4383234334985225e-05,0.00010856311603129445,4.253151778477302e-05,0.00010245931494393352,3.623228471037327e-05,8.279507238259685e-05,2.618548206489673e-05,5.556649871519036e-05,1.4662087240428607e-05,2.8150480783506628e-05,4.9877910994876385e-06,7.727312468527302e-06,6.154292483755426e-07,-2.649758606309714e-07
3,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,14.542966795082611,-5.4272268897451365e-06,-7.709779018690745e-07,6.880583125386273e-06,-2.7130857876639226e-05,3.626783022755147e-05,-9.378541110494483e-05,7.182855354617152e-05,-0.0001841152592386247,0.00010346504179791523,-0.00027622044658354893,0.00012426710559080366,-0.0003475189826136803,0.0001317704715551631,-0.00037943172035038997,0.0001278998389555077,-0.00036118109092023567,0.00011774035479998316,-0.00029193615052016677,0.00010753519100061392,-0.00018095004406934987,0.0001024677045397495,-4.568625873824587e-05,0.00010485599470048631,9.169307154075737e-05,0.00011331321567761625,0.0002087944589241511,0.00012318416557043207,0.0002875215381874511,0.00012818760353673487,0.0003177248703325821,0.00012278217693795728,0.0002991930237586246,0.00010448540489629748,0.00024156141317966572,7.533209338577901e-05,0.00016216333388938034,4.191913699412878e-05,8.231661159923624e-05,1.3909659145836118e-05,2.2795639326134206e-05,1.3666252099544827e-06,-5.903679393303613e-07
4,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,24.281607167529295,-9.069301514402644e-06,-1.2810717311812932e-06,2.278502814739728e-05,-6.809876813655432e-05,9.813131028874877e-05,-0.00023813120850994243,0.00018931038384576855,-0.0004692934595411736,0.0002705526111932287,-0.0007053678171731804,0.0003241423771362492,-0.0008880193502391643,0.0003436536682278058,-0.0009690688768089937,0.0003338523668323685,-0.0009204450962233815,0.0003076578547335192,-0.0007398433147270925,0.0002811135969129033,-0.0004511588322259102,0.00026771355786957876,-9.969048243984064e-05,0.0002736590124571532,0.00025694333231392284,0.0002955222317412967,0.0005604313269934936,0.0003212338325885482,0.0007636163208458089,0.0003343161515059963,0.0008400787201518581,0.0003201360581174453,0.0007893692964302637,0.00027210109766645415,0.0006367542760362118,0.00019556788501428016,0.00042756769372355463,0.00010794310992063589,0.00021749582879404297,3.468270953827414e-05,6.082170479137808e-05,2.278365519918406e-06,-9.922572409954938e-07
5,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,30.309718230941186,-1.1334193137931179e-05,-1.5873014687795569e-06,4.922192427949259e-05,-0.00012707914346807135,0.00019147896465903033,-0.0004478522520935832,0.00036355892972594054,-0.000885115763772331,0.0005171311345056989,-0.0013325904740196682,0.0006189160079305705,-0.0016794925434371862,0.0006566029973086511,-0.0018340503539273252,0.0006386917385359153,-0.001742544331096428,0.0005890605814001642,-0.0014001619962046821,0.0005378521623083446,-0.000851927167207364,0.000510933089159484,-0.00018372279616830418,0.0005207424930654741,0.0004948623645310198,0.0005614210110354702,0.0010726394284495625,0.0006102578159527144,0.0014594994723643663,0.0006356074041383284,0.0016048650816288432,0.000609031894983099,0.001507793182298893,0.0005175304653702821,0.001216466216466966,0.00037128927972893805,0.0008173118369401205,0.00020383710398699594,0.0004164034370920711,6.411509678918232e-05,0.00011715023531140426,2.837648660304291e-06,-1.2504092312028672e-06
6,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,33.25621347145862,-1.2451653425092395e-05,-1.7283499259754114e-06,7.699640515020964e-05,-0.00018616545244731143,0.0002863062087824174,-0.0006589938675856111,0.0005394055878431504,-0.0013049335720511862,0.0007656336536102283,-0.0019674151954565144,0.000916334955205661,-0.002482712642146621,0.0009731803091029708,-0.002714887109735511,0.0009479113937520321,-0.0025840129835653872,0.0008747941160285745,-0.002082269617414594,0.0007978216051257914,-0.001275414142975198,0.0007555385661355856,-0.00028972033290672236,0.0007673562149812922,0.0007131385842596757,0.0008257277844942522,0.0015686546687531592,0.0008976185723756384,0.0021431251909913266,0.0009359483607437968,0.002361195190357481,0.000897846827282089,0.002221009951022209,0.0007633509081943216,0.001793479888898172,0.0005473271919470285,0.0012060750578498,0.00029968627703811935,0.000615263270596716,9.323762550043467e-05,0.00017368990920595603,3.106790990340652e-06,-1.3848988149103008e-06
7,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,34.98788443223566,-1.3118038995613278e-05,-1.8042660639211139e-06,0.0001052516799079791,-0.0002453459957785777,0.0003815010573390556,-0.0008711927617898757,0.0007154466151619658,-0.001727921229353927,0.001014402861109009,-0.0026086320311810435,0.0012145918887545603,-0.003296363966799304,0.0012915628300652062,-0.0036105945989221033,0.0012597894296791088,-0.0034447084971185263,0.001163289123175513,-0.002787339089021782,0.0010595704224838213,-0.0017244263599942183,0.0010000921596843378,-0.00042218735128185926,0.0010119560696324871,0.0009058086812692991,0.001086724616767829,0.002041569316481838,0.0011814589601734156,0.002807331727150385,0.0012334848830921727,0.003102375126869524,0.0011849361789287424,0.0029233998360145754,0.0010083236039101133,0.0023636254802620934,0.0007229591375315747,0.0015912199512779148,0.0003952614030346029,0.0008127619424216405,0.00012215443738254974,0.00023001833177668264,3.2619139842876104e-06,-1.470569313480997e-06
8,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,36.11857246457578,-1.3562406547675655e-05,-1.847958307410378e-06,0.00013371080838144394,-0.00030462739824843344,0.0004767135894535877,-0.0010843750221887565,0.0008912441671627912,-0.002153913367872273,0.0012629165740085132,-0.00325602658460825,0.00151310832358874,-0.004120273743236561,0.0016111636400955817,-0.004521161870887819,0.0015737809554645077,-0.0043249073557416326,0.0014540724363002785,-0.0035160400038360706,0.001322689418198052,-0.0022000855904322375,0.0012442053197062445,-0.000582684560252205,0.0012541185223583049,0.0010709717338351784,0.0013439187753937001,0.002489313747629074,0.0014612286979373509,0.0034500860435538244,0.0015276666023231642,0.003826598334346193,0.0014698281925868855,0.003613517792343001,0.0012521200966297468,0.0029258794051759897,0.0008980225883259233,0.0019721266918327125,0.0004905387662704579,0.0010086007852311586,0.00015091844206658686,0.00028603649658239124,3.3609403678990055e-06,-1.532044526142876e-06
9,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,36.90712758074639,-1.3881361204849511e-05,-1.8733101549246223e-06,0.0001622516568525564,-0.00036400202123842393,0.0005717761859770203,-0.00129847426836481,0.0010665686935765436,-0.00258277533720704,0.0015108776600777103,-0.003909418840508743,0.0018115336099590357,-0.0049542662422630114,0.0019316131643389708,-0.005446480680826478,0.001889540709898263,-0.005224632530473784,0.0017468546748051726,-0.004268580897518774,0.0015869474782314024,-0.0027028201232394823,0.0014876755942843732,-0.0007718597473885492,0.001493624633972217,0.0012078056848916353,0.0015970418127070865,0.002910976802504507,0.0017366107067075906,0.004070490127676994,0.0018181644181471772,0.004533070627539026,0.0017522354895405223,0.004290733115988796,0.001494538690763326,0.003479797536951021,0.0010724156106598013,0.002348527340016023,0.0005854971002907939,0.0012026511213458512,0.00017955041657628098,0.0003417020612026483,3.428299385646262e-06,-1.579708168169426e-06
10,0.2556818713875024,12377567.905842368,-303.51313837672024,17.741352151879603,1.9085360105367872,0.2539098603846222,0.014680547832353548,0.004212122201584886,1.9951304371277083,1666.4626898972244,1.8873715778523925,6.957000813260288,828.7089227450823,7.408003416960856,9.24225096496485,703.2622372298686,37.48138718598783,-1.412261384125725e-05,-1.8871828006691359e-06,0.00019080821995705959,-0.00042345467124310757,0.0006665848066971904,-0.0015134172602898766,0.0012412599626819656,-0.003014362006427235,0.001758060092224714,-0.004568604693465839,0.002109584980455799,-0.005798113361879535,0.0022526025077189227,-0.006386344998409419,0.0022067758685870116,-0.006143747599801096,0.0020413932564901397,-0.005044938556020483,0.0018521599244339434,-0.0032327534420092,0.0017303521114170161,-0.0009899949985452238,0.0017303150611025833,0.0013158906362103825,0.0018458913138185678,0.0033060535079207083,0.0020073545256202837,0.00466802230397523,0.002104708240839953,0.005221315767010799,0.0020319144071961237,0.004954656919403942,0.0017354016356181123,0.0040250976145458275,0.001246040878377802,0.002720245853511302,0.0006801057062879513,0.0013948260671904308,0.00020805598111699495,0.0003969871961724147,3.4760578194406977e-06,-1.618686359807482e-06
