时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,7.904620455862436,-1.3954444577607925e-06,-1.0448605396294544e-06,3.912612483355698e-06,-1.632280573266756e-05,1.646351917432515e-05,-4.482045315957724e-05,3.0576682181477906e-05,-8.060383381700325e-05,4.262384845729902e-05,-0.00011577320401406248,5.0257340577288726e-05,-0.00014253332014878937,5.276968306757028e-05,-0.0001546642542758513,5.101147212002313e-05,-0.00014868643788411032,4.692104597008018e-05,-0.0001244840306108519,4.280751206234952e-05,-8.529480914383836e-05,4.0578581856447033e-05,-3.7072876755131766e-05,4.112248685420396e-05,1.265551667254698e-05,4.402175199159737e-05,5.623188295805135e-05,4.7693616812196336e-05,8.732725884730786e-05,4.9930427399408215e-05,0.00010213889797784557,4.868664525886389e-05,0.00010008093804185039,4.287066709923036e-05,8.383167530669868e-05,3.288161967226441e-05,5.872811903552161e-05,2.070475937723875e-05,3.164469496681334e-05,9.50150459207348e-06,9.566886953584659e-06,1.4831647198681877e-06,-8.988116973177682e-07
3,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,18.00232426715244,-3.1834475569885747e-06,-2.3718522477835277e-06,1.3550622791009289e-05,-4.621204348109237e-05,5.058461375640351e-05,-0.0001293596889849914,9.224772691456924e-05,-0.00023404386227723073,0.00012785194947185415,-0.0003369126410951817,0.000150437335321151,-0.00041475625061224966,0.00015788029362381496,-0.0004489850486324509,0.00015268042688240248,-0.00042917736809292234,0.00014058836358737766,-0.0003549970603374556,0.00012848466985401175,-0.0002361946643671102,0.00012207193713463117,-9.071110035213565e-05,0.00012400464812137378,5.875985054467569e-05,0.00013300197336421063,0.0001891173228591774,0.0001442488421218526,0.0002812797892760217,0.0001510229304808688,0.00032381771805503563,0.00014709051625229021,0.0003150546055102078,0.000129131260966413,0.00026321473610935154,9.839039282965747e-05,0.00018459624615333942,6.097988657607018e-05,0.0001001854458999196,2.6640405046868126e-05,3.1372481885508056e-05,3.37512678963225e-06,-2.0542245133596464e-06
4,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,29.182030906969928,-5.178691667288427e-06,-3.815277823992997e-06,3.9289176369559056e-05,-0.0001087217788581697,0.0001306879795578595,-0.0003115373642581581,0.00023343205156779067,-0.0005675037264408497,0.0003213028584962233,-0.0008188830189329667,0.0003771434533168273,-0.001007893297148272,0.00039563430302761067,-0.001088095153516526,0.0003828350969340886,-0.00103341167176383,0.00035290177646070696,-0.0008430498347013713,0.00032292315452174574,-0.000541585163004896,0.00030719752331437994,-0.00017425811974465606,0.000312476236329536,0.00020164995669725617,0.0003355886326501923,0.0005277934444554737,0.0003643215239021378,0.0007560058619512639,0.0003814958934756099,0.0008575644567737249,0.00037111778627516213,0.0008285555707721505,0.0003246745590504496,0.0006902368695902262,0.0002454455625605224,0.00048436670006754535,0.00014927682286277683,0.00026458531208659107,6.135696614670732e-05,8.560577972676275e-05,5.459431755456368e-06,-3.3557384033244526e-06
5,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,36.19490965081171,-6.455764227334604e-06,-4.676110072242591e-06,8.112790788246696e-05,-0.00019833351017374795,0.00025289152057130854,-0.0005775727560402912,0.00044571741385041725,-0.0010570165936790062,0.0006107576291843452,-0.0015279309533591694,0.0007160015861505614,-0.0018810738927507323,0.0007513244554938626,-0.0020284862858463166,0.0007276842862305142,-0.00192070520367731,0.0006712587033150661,-0.0015561773463492125,0.0006140856034695571,-0.0009815000904570606,0.0005834310381702454,-0.0002826064221742174,0.0005926292281432147,0.00043152182538887176,0.0006361694852092262,0.001049723483713731,0.0006909659221214872,0.001480181192893912,0.000723982848033641,0.0016682518246688607,0.0007041745502717336,0.0016068064045627062,0.0006149078073176477,0.0013368753218053948,0.0004625096584628752,0.0009385900457598888,0.0002777477989267222,0.0005146098734331253,0.00010938066458267773,0.00016955926550021272,6.748364094685532e-06,-4.20875848767434e-06
6,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,39.59277788356792,-7.0976133520311706e-06,-5.052526141325612e-06,0.0001245511287090418,-0.00028747318039508787,0.00037680388449981155,-0.0008444230932235692,0.000659731630351563,-0.001549581919718845,0.0009021586000417298,-0.002242921447039487,0.0010574382793352782,-0.0027632951557573274,0.0011105010909014208,-0.0029807894659423075,0.0010767025380040924,-0.0028221839221891872,0.000993674287501799,-0.002284853700705505,0.0009081625589290556,-0.0014371808834849915,0.0008607022624047061,-0.0004057002845453962,0.0008719265296349774,0.0006487599678111813,0.0009347132027717198,0.0015618244862550777,0.0010154238168650336,0.002197488980820806,0.0010649154572067165,0.0024747177285434773,0.0010364711934049975,0.0023829143319409546,0.000904769907934754,0.0019828548223484815,0.0006790187478478934,0.001393119024151823,0.0004051799229490612,0.0007654432906504348,0.00015602510863570157,0.0002544171768860641,7.3565477259704905e-06,-4.65426692228579e-06
7,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,41.58009703508516,-7.492028759339658e-06,-5.239660656658763e-06,0.00016854765251005476,-0.0003766233379210246,0.0005011645747667304,-0.0011125087936751015,0.00087400034356476,-0.002045663777634065,0.0011939003968401529,-0.002964618259610775,0.0013998290006976548,-0.0036560057049582996,0.0014716280312112543,-0.003947592638145807,0.001428505758644102,-0.0037420130065802157,0.0013189061467783144,-0.0030351427549181525,0.0012039646224328686,-0.001916698065122974,0.00113773858738045,-0.0005534390888622648,0.0011488888488029058,0.000842120008683285,0.001229490042731017,0.0020522454987625107,0.0013357940535437148,0.0028963451675282355,0.0014024191604468238,0.003266495933206667,0.0013664229456931676,0.0031482047654751992,0.0011932086048485873,0.0026216725693653346,0.0008945879710342661,0.00184365094003876,0.000531826117934491,0.00101467266291825,0.00020198221713077852,0.0003390887557802293,7.699749088096293e-06,-4.940286983753913e-06
8,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,42.87457434318833,-7.765330720316204e-06,-5.33362606297738e-06,0.000212785475906013,-0.000465937703335904,0.0006255579985063189,-0.0013819736393105124,0.0010880343640299345,-0.0025454586607528617,0.0014854444667326441,-0.0036933831460757376,0.0017426237551147466,-0.004559873641263294,0.0018341879986227985,-0.00493001025805532,0.001782644387736384,-0.004681863718266468,0.0016465807862672413,-0.003809329431224811,0.0015011669015501153,-0.0024229329741664936,0.0014142084840136286,-0.000729193851671917,0.0014231209784540972,0.0010079379191404543,0.0015200151950269536,0.0025172907999833826,0.0016515291110184168,0.0035732987819465756,0.0017359601166355672,0.0040406148346345755,0.001693607197617098,0.0039003344438466475,0.0014799912373185,0.0032516573230416275,0.001109201275691327,0.0022891285217073298,0.0006578504577532123,0.0012617180097522812,0.00024751297543947336,0.00042329399068289714,7.913383042626187e-06,-5.147637772610455e-06
9,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,43.77551645288158,-7.970205512400827e-06,-5.3745297028057286e-06,0.0002571148108178718,-0.00055546068014431,0.0007497761187318845,-0.0016528242093789868,0.001301561793099078,-0.003048962643147364,0.0017764617495162063,-0.004429262387316727,0.0020854599539977888,-0.005475074153208704,0.0021978223098777752,-0.00592842343105612,0.0021388016544109044,-0.0056423826749460206,0.001976443855157514,-0.004608358200606414,0.0017995677597060597,-0.002957124691800218,0.0016899251816481725,-0.0009344502539815302,0.0016944040819803728,0.0011445774978316382,0.0018060090627104286,0.0029553052746542,0.0019622978163218695,0.004226813824718075,0.002065202119958431,0.004795768901154207,0.0020177459452569236,0.004638291324750031,0.001764948796601485,0.0038721007457870426,0.001322814495321447,0.0027291122577776956,0.0007833095569848994,0.0015063425606965419,0.00029272535875666633,0.0005069191900466674,8.053946752518473e-06,-5.310028748727095e-06
10,3.020452899517498,89845480.70093079,-2526.6869563656073,226.63265010839274,1.5660376235063609,0.2147353497321294,0.08137572904900343,0.005675834343567672,1.6413463587027686,1033.4443987668885,8.116500566070227,5.851052428698675,886.9525144061082,7.577659650748317,6.940631835878459,508.08285410142906,44.430753808539045,-8.132668719064213e-06,-5.382202332494481e-06,0.0003014519709548727,-0.0006451956186238638,0.000873685796426254,-0.0019250086236088973,0.0015143872610812962,-0.003556074893662854,0.0020666925787588795,-0.005172140620846749,0.002428029756189625,-0.00640152907721872,0.0025622092148685827,-0.006942845429691085,0.0024966829774363234,-0.006623720512939603,0.002308257280775638,-0.005432549602628911,0.0020989874571795074,-0.003519777944552939,0.0019647389659266075,-0.001169884573988132,0.0019625747576360996,0.001251237579528994,0.0020872608180010463,0.003365438743812963,0.0022678391876067502,0.004856076727853513,0.0023898658370448285,0.005531252437795156,0.0023385920884023293,0.005361519277088602,0.002047910746272824,0.004482606763185564,0.0015353512712047933,0.0031633517447662517,0.0009082065209256704,0.0017484100730113426,0.0003376662409537954,0.0005899013051443496,8.14935705144501e-06,-5.4441052663332816e-06
