时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,14.14429066661629,-2.1959827747538087e-06,-7.267358627275487e-06,9.152017255416352e-06,-3.119159397160688e-05,3.097442345230851e-05,-7.093988401270876e-05,5.452686992758615e-05,-0.00011893489893647313,7.418181313708533e-05,-0.00016490314112845532,8.634408050111803e-05,-0.00019880671349475231,9.004095611429678e-05,-0.0002127172809030283,8.680275246077517e-05,-0.0002023067689743358,7.99050963795298e-05,-0.00016764033449670384,7.319488867817339e-05,-0.0001131654134902315,6.981543332899939e-05,-4.6889668541919826e-05,7.118718503256275e-05,2.110982328136856e-05,7.654642913132487e-05,8.057873013862515e-05,8.319551205013277e-05,0.00012301675567177308,8.740748055143286e-05,0.00014326386862921492,8.572197091039589e-05,0.00014042193879766068,7.623912650501125e-05,0.00011793751267529458,5.9501143733601076e-05,8.283618064277704e-05,3.867763220361262e-05,4.4296419418507504e-05,1.895452232890664e-05,1.1812583930942407e-05,4.536021000900679e-06,-4.860263285626062e-06
3,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,31.368558154066957,-4.890707558572374e-06,-1.6093273139553672e-05,3.2459139984355666e-05,-8.851705927531925e-05,0.00010098376589529001,-0.00021217551347676243,0.00017512229367371834,-0.00036210757012506117,0.00023710751660547543,-0.0005057745731111181,0.00027551332179019325,-0.0006111690471145591,0.00028718038266262,-0.0006529216692587701,0.00027689110632118534,-0.0006171463438109654,0.0002550154139054257,-0.0005040503969516688,0.00023380087293365856,-0.0003279424643692376,0.0002232960660351868,-0.00011461681362939507,0.0002280473060736754,0.00010344229309749491,0.0002455647268350787,0.0002931797636673783,0.000267090404314222,0.0004272360311952635,0.0002805143507204767,0.0004890975582983241,0.00027459398643407803,0.0004760767655707211,0.00024318373577424557,0.0003995474780546074,0.00018811767305551002,0.0002824307882160114,0.00011979679113829584,0.0001545463732066401,5.5169299931386395e-05,4.670714678538285e-05,1.0042359186512838e-05,-1.0808113073296137e-05
4,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,48.43154129309349,-7.628094562942253e-06,-2.4742310514856437e-05,9.886905040416781e-05,-0.00021448624600148983,0.0002850593861876312,-0.000548233718365351,0.0004868723756080686,-0.0009547170954794739,0.0006560142774683276,-0.0013446383557320324,0.0007612354815742737,-0.0016295883486969341,0.0007935788853955695,-0.0017392661782574435,0.0007656514175617364,-0.0016350643104432073,0.0007054955125314781,-0.0013174500607846691,0.0006466879846081822,-0.0008261019506070088,0.0006171861056030035,-0.0002327630308506407,0.0006299931201275206,0.00037203469060173225,0.0006785270230916399,0.0008960666331111127,0.0007384259861370426,0.0012630576618972208,0.0007755904565626506,0.0014272394519414732,0.0007581687025194962,0.001381730448888826,0.0006687262532768857,0.0011590487485340336,0.0005125604799297011,0.0008238418382275919,0.0003192937476771903,0.000459670076871458,0.00013690330568569183,0.00015257938198357147,1.5428372132514797e-05,-1.679750852253302e-05
5,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,55.38598009190525,-8.817859362700493e-06,-2.8157385398336086e-05,0.00017403266776265446,-0.00034318411354937066,0.0004872061074260812,-0.0009049009078364081,0.0008268597433394318,-0.0015908940010205797,0.0011121287006776702,-0.0022500349362253314,0.0012905399350942987,-0.0027322551886288164,0.0013465486000893319,-0.0029180575897034934,0.0013004524999987485,-0.0027416337620876697,0.0011986318985481685,-0.002203397295809858,0.0010974721659772094,-0.0013702728819083437,0.0010447892520397707,-0.0003637464777235951,0.0010637414592657444,0.0006624810597459739,0.0011442786931786227,0.0015514959427738212,0.0012455151756630008,0.0021733442715551827,0.0013091317185670978,0.002450081421175337,0.001280068185171729,0.002370192074838293,0.0011278764889398902,0.0019893359045400866,0.0008614027632427372,0.0014176636378115583,0.0005315277409951199,0.0007970722874923997,0.000220527425743458,0.00027339128519105523,1.7546400977939733e-05,-1.9342101734225216e-05
6,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,58.910320643716034,-9.479883264880536e-06,-2.9797610307199343e-05,0.0002502170915869806,-0.0004702472115848561,0.0006901432737399282,-0.0012617854907868368,0.0011674144933381868,-0.00223058169195723,0.00156909944832064,-0.003163304494726287,0.0018217839265010334,-0.0038476895250788064,0.001903025546555708,-0.0041145483852503256,0.0018399616541987125,-0.0038704319747840366,0.0016963916452234133,-0.0031152397608114287,0.0015511136152422762,-0.0019426475705641012,0.0014722433277872572,-0.0005234817729694281,0.0014941902964377093,0.0009255014103914166,0.00160460630249108,0.002182421427098096,0.0017466996625729646,0.003063081054562815,0.0018377143276719818,0.0034567619486187,0.0017985525838729358,0.003346895636015418,0.0015848714896076882,0.002812047016035939,0.0012086439657592995,0.0020076492892218893,0.0007421739093618416,0.0011335960374677016,0.00030248375917918716,0.000395141814147129,1.8560056527346157e-05,-2.0710963996584377e-05
7,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,61.02452714194484,-9.925478942816105e-06,-3.0705933816550946e-05,0.0003267737653517757,-0.0005970464836675437,0.0008931254144129245,-0.0016203548031386366,0.0015076745622544104,-0.002875370149551078,0.0020259666557616244,-0.00408625375349918,0.0023539695684831894,-0.004978071396321509,0.0024620555283548884,-0.0053314858956597135,0.002383336049561251,-0.00502496926951615,0.0021980602472529147,-0.004057401971371869,0.0020069759850752473,-0.00254861774475441,0.001898890198002112,-0.0007182332067639586,0.0019205585389235767,0.0011542221783099665,0.002058562058904272,0.002781763177042079,0.002240917244912922,0.003925446523287268,0.0023603065027440074,0.004441145723227148,0.0023128114167923278,0.004306698913131163,0.002039289355464414,0.003623173249645133,0.001554331436739228,0.0025908918307439217,0.0009517151573606776,0.0014672648190713277,0.00038356380373521116,0.0005165305375016049,1.912129876986357e-05,-2.1594582837368934e-05
8,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,62.421107335880876,-1.0261381921688828e-05,-3.1240011055006986e-05,0.00040346663417335267,-0.0007240358723429928,0.0010958522719244107,-0.001981071146202206,0.001847251844636995,-0.0035257442886186706,0.002482253380468637,-0.005019437094828358,0.002886562252118615,-0.006124093443678901,0.0030231028179523284,-0.006569776090128454,0.002930097598109199,-0.006206433946419882,0.0027032493087195443,-0.005031406509854765,0.0024647471339782783,-0.0031900590226113896,0.0023244390373297263,-0.0009501935160469103,0.0023425085184945386,0.0013462374360061968,0.0025057194853292707,0.003347062622233521,0.002727665581917651,0.0047581086904747135,0.00287639910845303,0.005401178798559185,0.002822426522742757,0.0052479178750978964,0.0024908875496485036,0.00442142534362657,0.001898434021988276,0.00316646483062473,0.0011603067440959537,0.0017974448622476119,0.00046404193586844193,0.0006371288053500666,1.945374129227258e-05,-2.2229730131632173e-05
9,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,63.40091812336333,-1.0533932230285746e-05,-3.155528962922845e-05,0.00048017606404329976,-0.0008513894569921391,0.0012981395096953957,-0.002344070506727738,0.002185869466811987,-0.004181803472518338,0.0029375827089684753,-0.005962946173800481,0.003419109607754461,-0.007285885520415569,0.0035856927174256602,-0.007829636917236552,0.00347981057108041,-0.0074151788656770115,0.0032116033702374465,-0.0060377819778756605,0.002924152035987974,-0.0038677029155363704,0.002748653199343725,-0.0012202944643015224,0.0027597800283224424,0.0015004619543255973,0.0029457481922680155,0.0038771686258295183,0.003206541207862765,0.005559953881769139,0.003385561621568623,0.006335871944220896,0.0033270148467478347,0.006169738455285165,0.0029393993391518816,0.005206178168112799,0.002240834239445752,0.0037339189145267223,0.0013679663254765394,0.002123832732686425,0.0005440232454601319,0.0007567396451692742,1.9654598238552194e-05,-2.2719262153225764e-05
10,2.359042865194007,36150024.66633825,3073.1262543425346,52.425030959594025,1.2309624480064545,0.20532910603547305,0.08064730558772669,0.004235983792148396,1.316997713653559,1093.6288846601954,5.681997455128852,1.125391752185827,195.7128026136777,2.7150969075047238,1.694858914737802,122.12120066650186,64.1156569670049,-1.0766461017977198e-05,-3.173020300027054e-05,0.0005568265477551795,-0.0009791736659034947,0.001499846266924589,-0.002709360382178289,0.0025232912079545403,-0.0048434905853463606,0.0033916121687472935,-0.006916679897303958,0.003951184148388106,-0.008463339719272331,0.004149364390874192,-0.009110995297165284,0.004032043892786276,-0.008651206406930607,0.003722767610006602,-0.007076645735880232,0.003384919269837604,-0.0045818156106721165,0.0031713085326614894,-0.0015289648938489576,0.0031721362195777014,0.0016163258830609853,0.0033783485737993125,0.0043714283355807465,0.0036771707701975056,0.006330321369611075,0.0038873828648166645,0.007244621911291042,0.0038261932805452514,0.007071654207266701,0.0033845343549569057,0.005977036159163123,0.0025813690339271784,0.004292967266284043,0.0015746506035971544,0.0024462384833763293,0.0006235448137911889,0.0008752493171012848,1.977293861863915e-05,-2.311502443866145e-05
