时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,6.259604609340905,-1.0189862499232755e-05,-1.3014374887753727e-05,-2.0955840311662293e-05,-6.585148930377529e-05,2.409390390257329e-06,-0.00011399687430662322,2.6004024326851803e-05,-0.0001691626220170232,4.585261693680205e-05,-0.00022364023714048476,5.908043644955005e-05,-0.0002704368147278416,6.469651691624481e-05,-0.00030388804900691055,6.351604329625348e-05,-0.00032033904664802355,5.770374952462582e-05,-0.0003185398885237808,5.00860811804867e-05,-0.00029969566439024084,4.337804123447902e-05,-0.0002671535002595902,3.950485964159726e-05,-0.00022576915002335101,3.918559098789168e-05,-0.0001810508551980496,4.1880300795559974e-05,-0.0001382316462308088,4.6098734577563035e-05,-0.00010144434401185084,4.99619115185449e-05,-7.315529349200976e-05,5.1835731485257736e-05,-5.395259546902153e-05,5.0833649712739656e-05,-4.271846777930872e-05,4.708642181603218e-05,-3.714265373650387e-05,4.215735553064643e-05,-3.471168760093263e-05,1.0124551618308775e-05,-1.3099898245786231e-05
3,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,12.820854536902337,-2.0917521350625275e-05,-2.66536494389824e-05,-4.0125409802522143e-05,-0.00013931044927151655,1.1972192376841438e-05,-0.0002449224613679857,6.477257725466064e-05,-0.0003662265805279506,0.00010919726408507928,-0.00048581743233747744,0.0001387041135312087,-0.0005876677152730403,0.0001510488081835368,-0.0006587471688969699,0.00014814249750123363,-0.0006907042100838268,0.0001350076473821335,-0.0006808472801639739,0.00011816851460584525,-0.0006322831041584708,0.00010382937493161299,-0.0005531733595160645,9.627541182281108e-05,-0.000455213675320092,9.690052821434894e-05,-0.00035157349936710067,0.0001041086595100261,-0.00025466348837685336,0.00011408487306197025,-0.000174151237437027,0.0001221761820001328,-0.00011559939877064278,0.0001244483147036838,-7.995383849575656e-05,0.00011893409365704528,-6.394553763242926e-05,0.00010631178889757994,-6.129510068474316e-05,9.076917313197434e-05,-6.495315872230068e-05,2.0761658567978773e-05,-2.6863127788893623e-05
4,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,18.923420613020863,-3.094489662950214e-05,-3.932865441392923e-05,-5.356791794717761e-05,-0.000214419617773089,3.163370339459632e-05,-0.00038400404157196047,0.00011819255422341312,-0.00057906947327525,0.00019093506724580958,-0.0007708105111678389,0.00023900252592715476,-0.0009323504335108148,0.0002587183029440175,-0.0010417920177983534,0.0002533954394575036,-0.0010852270637854249,0.00023158538235474,-0.0010584994644266517,0.00020432276398112668,-0.0009674714176536306,0.00018198618265957952,-0.0008267281130240938,0.00017154044817653993,-0.0006569033690753548,0.0001748758297659045,-0.0004810496758278422,0.0001886837141652509,-0.0003207026002791873,0.00020586623450815245,-0.00019238498869254302,0.00021802351446325533,-0.00010521098215390926,0.0002182538498752841,-5.998987841914439e-05,0.00020341439339081308,-4.993188749055312e-05,0.0001753481201413533,-6.274847270321712e-05,0.00014214758691985952,-8.440916111872293e-05,3.067253419844148e-05,-3.970353569473724e-05
5,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,24.814412133135665,-4.0680971799080535e-05,-5.1539190347351585e-05,-5.936283773484077e-05,-0.00029785591660804297,6.792284961406769e-05,-0.000545913628454987,0.00019735836992222216,-0.0008313126996497723,0.0003058177021661404,-0.0011105083456749991,0.0003769413564785604,-0.0013424114374080778,0.0004053246830337496,-0.0014935467784837249,0.00039626930168276924,-0.0015429241037302175,0.0003630963126621268,-0.0014848963173779322,0.0003228455877174746,-0.0013296033465469348,0.0002913452287353791,-0.0011009002500439406,0.00027887541374207276,-0.0008320582314559312,0.00028758220600938206,-0.000559920742292862,0.000311359259860288,-0.00031856525466915716,0.0003382033363073536,-0.00013367920214450428,0.0003543118407519314,-1.8719428848578693e-05,0.0003486850482611229,2.6497363768203243e-05,0.00031685207986103506,1.4623029113485523e-05,0.0002628630257855248,-3.2620695993229774e-05,0.00020085912445959563,-9.025483619568224e-05,4.024632031295954e-05,-5.215108134310127e-05
6,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,30.500651241704503,-5.015195755829224e-05,-6.327160267360363e-05,-5.205935776949097e-05,-0.0003978627177870594,0.00013365396215051512,-0.0007511469354844226,0.00032231963616064733,-0.0011570310542440322,0.000479593566331884,-0.0015512017691637287,0.0005816050904764419,-0.001872456186511838,0.000620782980670095,-0.0020710921208631707,0.0006055011434864408,-0.002116519147814591,0.0005560472166197905,-0.0020017104328963215,0.0004980869879615577,-0.0017438739366556016,0.00045512857344436514,-0.001381189629367615,0.0004418833470870045,-0.0009660532708894289,0.0004603423909733309,-0.0005558912794126347,0.0004997197059307761,-0.00020319975884283228,0.0005402950192365119,5.327644932990799e-05,0.0005600113009946019,0.0001945240080186257,0.0005418611550940877,0.00022336978821655502,0.0004798581221579015,0.00016250524930951448,0.00038213256654931195,4.9026455087664114e-05,0.0002725850714943919,-7.443340215398693e-05,4.9475226323729644e-05,-6.424484954653004e-05
7,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,35.399471418498266,-5.840625011837862e-05,-7.328150340703638e-05,-2.4433085793779654e-05,-0.0005161587905763624,0.0002406594245438809,-0.0010084474861000365,0.0005091696103973015,-0.0015722380518822716,0.0007314307443194532,-0.0021146266601760255,0.0008736846654362009,-0.002546825774668339,0.000925799876049642,-0.0027972151733974284,0.0009006956375242473,-0.00282275390973042,0.0008284471588602802,-0.002615586663929754,0.00074666488983418,-0.0022039373152839955,0.0006893403289019543,-0.0016470764410085302,0.0006769841800515959,-0.0010250103651819335,0.0007108289370427814,-0.0004244871190934387,0.0007728999373152883,7.617026887091698e-05,0.0008320597102223702,0.0004204564280994982,0.0008542943561853089,0.0005826662471383978,0.0008141969800615411,0.0005708663505136352,0.0007042049496164791,0.00042357159121732735,0.0005391836917295492,0.00020113245735438518,0.0003577123009266183,-2.7524637280780748e-05,5.73845107553021e-05,-7.477785520891041e-05
8,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,40.85688917942895,-6.782776145736203e-05,-8.414026214021014e-05,6.63029314974536e-05,-0.0007386527276510375,0.0005006321632929318,-0.0015218324074637859,0.0009377172997055041,-0.002412974451056106,0.0012954176338130414,-0.0032572796508593665,0.0015198390492827411,-0.003906876899412373,0.001596209597320229,-0.004244181406958868,0.001547624172605546,-0.004201319526730675,0.001425251483832838,-0.0037710557013756465,0.001292280780644656,-0.0030078306318499335,0.0012050902934569244,-0.0020186410823489413,0.001196375573968056,-0.0009448309005010279,0.0012651394931853205,6.25279565233462e-05,0.0013769448365065864,0.0008693153970448221,0.0014748653255062187,0.0013818374182463422,0.0014981670032432688,0.0015622780020347682,0.0014031741266786037,0.0014331834360223007,0.0011799062985524218,0.001070598369518006,0.0008597327131605686,0.0005879583697894497,0.0005147964591280519,0.0001130639797894103,6.604868629139484e-05,-8.679878589209288e-05
9,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,43.65849169210693,-7.290480163651753e-05,-8.937014183760476e-05,0.0001806443844424988,-0.0009564330773593343,0.0007926213581171231,-0.0020443279585685512,0.0014054257879746153,-0.0032764239209846033,0.0019033460309033903,-0.004431933660339806,0.0022121916833768734,-0.005300642904309295,0.0023126837621090706,-0.0057173086495224765,0.002238386892237551,-0.005589273313628078,0.002062160498361137,-0.004911545480710295,0.0018738048705152117,-0.0037676582051751405,0.0017534069031966276,-0.002316086234962986,0.0017469646104239884,-0.0007636837413639502,0.0018515256364666003,0.0006701816014476499,0.002015219962244019,0.0017926047528979913,0.00215328799795578,0.002471446818718725,0.002175953653143958,0.0026576465981918867,0.002019781681793832,0.0023910078173326266,0.001672591511468268,0.001789027192279937,0.001184323579463622,0.0010223069533356849,0.0006636764345063794,0.0002810925013061191,7.032247017932596e-05,-9.327049816217569e-05
10,18.36258818685471,230547075.03300995,-2.9103830456733704e-11,7984.82752597544,1.5370341880859884,0.2775239991742811,0.1613213164629463,0.019674743010657855,1.6617687859808012,282.36940296150215,9.267839783866833,5.1831949046890875,227.5286013895269,9.267839783866833,5.1831949046890875,227.5286013895269,45.27324752504368,-7.602976108751324e-05,-9.208951962735371e-05,0.00030260122187331535,-0.0011688513978460049,0.001091731781850741,-0.0025631073690956696,0.0018792218871982074,-0.00413757764032861,0.0025164693489378343,-0.005604794603339503,0.00290956508221072,-0.006691903301380902,0.003034635237947312,-0.007186220450916198,0.002934997256818315,-0.006970837519350454,0.0027043333044862194,-0.0060435477457532576,0.002458616993204716,-0.004517314980418539,0.0023019538334459405,-0.0026022242507749453,0.0022945600812263817,-0.0005707074627569653,0.0024325335938708906,0.0012894581685256401,0.002647093509701908,0.0027264815456105513,0.0028254172750475154,0.00356988789215691,0.0028479164875648924,0.0037598266479565304,0.002630635315949001,0.003354041514793605,0.0021589577917783733,0.0025120228956176543,0.0015018046828818798,0.001461575770942713,0.0008050173077842459,0.0004549062247707219,7.264517657216102e-05,-9.72357548844892e-05
