时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,1.929987467463369,-1.4702991123487282e-06,-8.98769496153126e-07,4.852028065896818e-07,-9.12963587922964e-06,4.938575201002914e-06,-2.5550649420759154e-05,9.94109080814323e-06,-4.6324631883406614e-05,1.4210339814817403e-05,-6.683716324465449e-05,1.693915203873253e-05,-8.259447404651263e-05,1.789404067983693e-05,-9.004175523204734e-05,1.7367292601319765e-05,-8.720018831494856e-05,1.601277457741723e-05,-7.400260847655777e-05,1.4609972604860794e-05,-5.2272527087862645e-05,1.3812211526725407e-05,-2.53545249722279e-05,1.3940836563280178e-05,2.5334044270210206e-06,1.48823379738027e-05,2.710501086443188e-05,1.612441743441539e-05,4.481705844111809e-05,1.6929536596968106e-05,5.3531331274781674e-05,1.6599730816671195e-05,5.289819386656235e-05,1.4750971523976721e-05,4.4386345047534095e-05,1.1504968443669844e-05,3.095276760431674e-05,7.5286276183755425e-06,1.6419812163785324e-05,3.901677768821719e-06,4.678669787035331e-06,1.4596540498953886e-06,-9.272628363957631e-07
3,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,4.248282784915974,-3.2393734841607434e-06,-1.974009531070824e-06,1.7732960109696161e-06,-2.2341253097710143e-05,1.2899914461281077e-05,-6.318222357446021e-05,2.54099891361525e-05,-0.00011494346495921112,3.6094921049115046e-05,-0.00016606162780204587,4.292659191893416e-05,-0.00020521736330827205,4.531213128596616e-05,-0.00022342937873690661,4.397956563390676e-05,-0.0002156867153330523,4.0569958455031024e-05,-0.00018181447623279198,3.704663363475185e-05,-0.00012643173534066098,3.506019953418406e-05,-5.802164501684451e-05,3.5424512713946384e-05,1.2707929700871044e-05,3.784975921620281e-05,7.486790609722504e-05,4.1028132472847715e-05,0.0001194513258672523,4.307262278578146e-05,0.00014102105684877923,4.2193370298455785e-05,0.00013869228327883018,3.7402538330998064e-05,0.00011621706963817389,2.901032891845412e-05,8.115566855562491e-05,1.8732012583129006e-05,4.3304637752488004e-05,9.35517224094037e-06,1.268618581523503e-05,3.2123733922586097e-06,-2.046413321034788e-06
4,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,6.673772877972397,-5.094902107044864e-06,-3.0909385797796695e-06,4.385898921765337e-06,-4.019216617058292e-05,2.4853832480944023e-05,-0.00011497063381981615,4.787879695129735e-05,-0.0002099003987174119,6.755667805736107e-05,-0.0003036493168798183,8.014208464888697e-05,-0.0003752305488195913,8.452838688895868e-05,-0.00040794268245651936,8.204674173860926e-05,-0.00039244676849591167,7.572364639933672e-05,-0.000328409810295611,6.919666037787759e-05,-0.00022444809984596242,6.553810303589132e-05,-9.6406411873892e-05,6.627161217301164e-05,3.5696209686441345e-05,7.08583915324025e-05,0.00015148554628266532,7.684216175765222e-05,0.0002340981874458254,8.066472107957214e-05,0.000273352472862585,7.894052737562e-05,0.00026760379500872237,6.979483363468983e-05,0.00022391995204551826,5.38115729484023e-05,0.00015654701050144261,3.424575316820382e-05,8.398381267222198e-05,1.6402098995659285e-05,2.5237460797760167e-05,5.044473664445743e-06,-3.226428361465044e-06
5,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,9.466036863956107,-7.240433894100552e-06,-4.358127575220211e-06,1.0264288952819278e-05,-6.989724984554811e-05,4.6809180600077745e-05,-0.00020274716746433605,8.791771470356848e-05,-0.0003716711191672342,0.00012306640457657462,-0.0005384628545000561,0.0001455606655740507,-0.0006653368606669812,0.00015339623004061056,-0.0007221276339647654,0.00014891630489442684,-0.0006919262731440058,0.0001375144635008808,-0.0005741155006668307,0.00012572250694451722,-0.0003843129556153702,0.00011910527823014834,-0.00015128397873542172,0.0001204620125209039,8.858340829076153e-05,0.0001288469982819892,0.00029821616816676927,0.00013978532741047042,0.0004469040881869102,0.00014673934017795227,0.0005161022153675326,0.0001434544829697581,0.000502846214405091,0.00012644998861981155,0.00042010592285174933,9.679646466103315e-05,0.00029402033540202623,6.052514819672631e-05,0.00015859428403891966,2.748200359689103e-05,4.89057158245514e-05,7.148884371142128e-06,-4.604649866067337e-06
6,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,12.263192959993527,-9.409886878290622e-06,-5.583859134464866e-06,2.2759824656444396e-05,-0.00012079058079826827,8.759725798205442e-05,-0.00035563571771823573,0.00016046727237069945,-0.000654713174180446,0.00022279919855362098,-0.0009500212074818958,0.00026276905349214424,-0.0011739809724657436,0.0002767707586377951,-0.0012724724318399349,0.0002688256403610622,-0.0012150663353668377,0.0002483799370383571,-0.0010005772053223313,0.00022702716186801759,-0.0006570473323865493,0.0002148107763268244,-0.00023626428890714286,0.00021694521375650728,0.00019614179095915735,0.00023190580635824287,0.000573198578119959,0.0002516646236482364,0.0008393520178145726,0.0002642789995369077,0.0009610243285419326,0.00025820446858500695,0.0009328706354717859,0.00022695566260908418,0.0007784806582273511,0.00017246086754664714,0.000545415874339052,0.00010584033091365102,0.000295642762030209,4.525412513787561e-05,9.328031807554813e-05,9.244960445541552e-06,-6.0289804739134064e-06
7,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,13.942326689078557,-1.0734931127755107e-05,-6.2693067388419354e-06,3.778231902123395e-05,-0.00017552498935714044,0.0001334241479878982,-0.0005218149576676917,0.0002408081392892193,-0.0009633950737712074,0.0003327234894433656,-0.001399727626056789,0.00039185941097015454,-0.0017305830609502207,0.00041283110788577855,-0.0018754996848567064,0.0004013113030562856,-0.0017890784164356585,0.0003709486249884985,-0.0014693252848946292,0.00033875327374551634,-0.0009577204079610809,0.0003197517492123327,-0.00033116167798570914,0.00032205023654343793,0.0003126894232710938,0.0003437571281606351,0.0008739889625530813,0.00037307858576806735,0.0012697632238399688,0.0003920675835343632,0.0014497464468668068,0.00038316046943034996,0.0014058205904214868,0.0003363706297579808,0.001173135584960367,0.0002545039960871381,0.0008227380153949687,0.0001543643160343055,0.00044731741773306415,6.340127802613453e-05,0.00014296661908372944,1.048960819798748e-05,-6.932361303766032e-06
8,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,14.976249989215567,-1.1570929985262669e-05,-6.6478125786756085e-06,5.3476535181103516e-05,-0.00023007857426490035,0.00017989084516097553,-0.0006884383904141693,0.0003217106721977039,-0.0012737138940302787,0.0004432164524279473,-0.0018527848789970716,0.0005217145295375716,-0.0022925987338319053,0.000549999200004584,-0.002486101967791201,0.0005351937750001051,-0.0023726395861040374,0.0004949031928618956,-0.0019491253524859969,0.0004514285001112113,-0.0012702386971638632,0.00042487593250616144,-0.00043784510405409994,0.0004265261237543818,0.0004183642004032413,0.00045443176335734314,0.0011655193066180652,0.0004931954886012989,0.0016929513967908355,0.0005187978335769617,0.0019333865800655679,0.0005074219766806533,0.0018756500835886006,0.00044534103313496935,0.0015662539244788198,0.00033613832896289207,0.0010996267012840799,0.00020237139445581907,0.0005991676908908014,8.092889302498101e-05,0.000193026453916707,1.1245097136021465e-05,-7.529310910388485e-06
9,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,15.672000100859522,-1.2151360076320116e-05,-6.865326881830075e-06,6.94980519975067e-05,-0.00028457455033232816,0.00022659667731790448,-0.0008555637039277145,0.00040272614727628536,-0.001585711198777015,0.0005538014304178428,-0.002309334796841401,0.0006518571762471617,-0.0028604371431388,0.0006878255105666166,-0.0031051445174247,0.0006700714257842031,-0.0029672453280179235,0.000619892950521173,-0.0024422250548481995,0.000564734895313015,-0.001597638629782472,0.0005298638335607505,-0.0005600689100706892,0.0005300161079718437,0.0005088765333814806,0.0005635174090270295,0.0014432406362403017,0.0006115609767202273,0.002104436751821148,0.0006440204431262046,0.0024078612688146306,0.0006306127404188003,0.0023389418479908795,0.0005536298317105647,0.001955250828082436,0.00041730626549746564,0.0013743633594517995,0.0002499812861779705,0.0007502375107368397,9.808674969248051e-05,0.00024304556008358848,1.1745132823237115e-05,-7.96510856348723e-06
10,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,16.16798711048537,-1.2581549033436809e-05,-6.987685768235568e-06,8.568858303977494e-05,-0.0003390602856422889,0.00027335315446009554,-0.001023200511856506,0.00048363811008848655,-0.0018993916028325385,0.0006642423232346829,-0.002769444607774164,0.0007820457159196471,-0.00343431686974758,0.0008260807646934479,-0.00373308882759987,0.0008057432820626302,-0.003573675596492578,0.0007457515641973181,-0.002949766073530232,0.0006785324948338199,-0.001941422394719803,0.0006345809085921846,-0.00069964336038006,0.0006323671172850872,0.0005822101287440844,0.0006708288263442202,0.0017050696730157345,0.0007279640802100443,0.002502222388777614,0.0007675255929111061,0.0028714006027910854,0.0007525616598334793,0.00279425669506576,0.0006611377548861162,0.002339068641708831,0.0004979957467668076,0.0016462637049664524,0.0002972611609265693,0.0009001532946733507,0.00011499382043075307,0.0002928587760879878,1.2095138678098068e-05,-8.305313654260045e-06
11,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,16.536280606326592,-1.291635293589173e-05,-7.0492064307270906e-06,0.00010196193217733525,-0.00039354793702736396,0.00032005117146117584,-0.001191317267773932,0.0005643128030160266,-0.002214693075148585,0.000774383074221276,-0.003233060376742631,0.0009121100783353774,-0.004014246715217203,0.0009645953926659645,-0.004370064597027522,0.0009420569439850724,-0.004192230380538941,0.0008723550957698908,-0.0034722494939715873,0.0007927250377534018,-0.002302297304514794,0.0007389447251818072,-0.0008574570412559883,0.0007334903285841764,0.0006373500557395059,0.0007762556762201562,0.001949942923327326,0.0008422726291546265,0.0028852828280769814,0.0008891757744003656,0.003323095589225899,0.0008731520758549162,0.0032408583217664187,0.0007677926904455991,0.0027171696099220766,0.0005781897860974183,0.001914982336048411,0.00034424286189849786,0.0010487275888482362,0.00013171203490156913,0.00034238283632775614,1.2350030373520714e-05,-8.584076953124067e-06
12,2.122322692507572,94006610.78604981,7.275957614183426e-12,340.15672589944813,2.5758736177316597,0.217405559004152,0.09901599408506392,0.00633901389238001,2.6240005091692047,1379.4424334788105,2.715830228051403,1.46770672014617,439.12086625081815,2.715830228051403,1.46770672014617,439.12086625081815,16.81758448930107,-1.3186753055808709e-05,-7.069299572745327e-06,0.00011826592823636679,-0.0004480330165176715,0.000366618545755958,-0.0013598620758261428,0.0006446538883417862,-0.0025315188965381987,0.0008841025306009262,-0.003700064400737893,0.0010419100347696683,-0.004600126616414468,0.0011032234488640967,-0.005016033363200372,0.0010788781307508426,-0.004822972787735202,0.000999594634280531,-0.0040098687063115784,0.0009072314767674099,-0.0026805989801799083,0.0008428911649142056,-0.0010339788482354685,0.0008333196908703536,0.0006737254213408864,0.0008797139606961881,0.0021772371431489825,0.0009543813065580278,0.003253000651935257,0.001008856405304132,0.003762388863200987,0.0009922817427484446,0.003678289323533653,0.0008735250184649641,0.003089216351276576,0.0006578608433826394,0.0021803011121575336,0.0003909363459202312,0.00119584216740319,0.00014827436219996734,0.00039156671622645606,1.254083663893396e-05,-8.820681370509892e-06
