时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,14.061267236045827,-2.3634671438884e-06,-2.752202816843613e-06,2.4324241643626434e-05,-3.5174106279599724e-05,8.157414040450439e-05,-0.0001005106291925512,0.00014918510679977947,-0.0001857634995342277,0.00020927736793594095,-0.0002714366193398587,0.00024886435678166656,-0.0003372148437017686,0.00026278688749328116,-0.00036607644340909965,0.0002543383774637345,-0.0003478143432111809,0.00023344177391943546,-0.00028122175557734874,0.00021283827524436568,-0.00017470854731290383,0.00020327192060536073,-4.499197626178042e-05,0.0002092877880776709,8.622580821315997e-05,0.00022739426935969878,0.0001970277455493345,0.0002474721605231692,0.00027016534775796506,0.00025679558203435304,0.0002966209734440561,0.00024498549264974736,0.00027706697926526406,0.0002081515736417086,0.0002212188492089083,0.00015095744119223537,0.00014545395277070457,8.609422802140289e-05,6.933484002095477e-05,3.109394599255883e-05,1.1473297390264141e-05,1.8008554358399522e-06,-1.2337393543889426e-05
3,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,31.030353534082277,-5.326123290429327e-06,-5.971006383414667e-06,0.0001259216984738581,-0.00015089037113022956,0.0003987992514047804,-0.00045881118082673276,0.0007228530642487729,-0.0008648302986273066,0.001012579768635739,-0.0012751002360732078,0.0012049471987722383,-0.0015903767826112194,0.0012739685454887793,-0.001726908118027181,0.0012342872666833995,-0.0016339088950444555,0.0011331829518653688,-0.001304646009367433,0.001032582012811172,-0.000779849610200952,0.0009855233445173058,-0.00014168568592954055,0.0010150018418309044,0.0005024989728407909,0.0011042494132996912,0.0010440777571809796,0.001203341063822894,0.0013979145433226986,0.0012492023568276885,0.0015203968440315038,0.0011905171703207814,0.001416468601621573,0.0010084963546102173,0.001135643066390592,0.0007269879223356215,0.0007593833246654023,0.0004091654748652739,0.000383327879965529,0.000141057032855928,9.742267474314434e-05,3.86089297705861e-06,-2.73586429489704e-05
4,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,36.86130338110495,-6.497302486877725e-06,-6.9318390695042315e-06,0.00026167621193494016,-0.0002936908985293818,0.0008127296766980769,-0.0009163022772948773,0.0014684162992352249,-0.0017416413416736318,0.002056755153185814,-0.002578588399961678,0.0024501963714498275,-0.003223887070477416,0.0025946758654822703,-0.003505845582227577,0.0025173659006069078,-0.0033200382144688836,0.002311986927065179,-0.0026517144127214424,0.0021037858233104493,-0.001582807072939375,0.0020021756319028566,-0.00028025867423535654,0.002056741644318045,0.0010364810801879417,0.0022356769698627195,0.0021443026273622787,0.002437837043358524,0.0028679900913133704,0.0025333988596581976,0.0031182043118729123,0.002415785314804743,0.002906149877289301,0.0020455148322942557,0.002334480153213681,0.0014715893829582338,0.0015700704116172611,0.0008240827749584199,0.0008068358912227311,0.00027908219843492956,0.00022601882019849894,4.406274709292593e-06,-3.268920830541078e-05
5,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,39.2544616144792,-7.101520007435148e-06,-7.207967519983313e-06,0.0003983957443248263,-0.00043594156820314823,0.0012270512796249365,-0.0013767694809213979,0.0022137536720434276,-0.0026281806616061205,0.0031013313319850715,-0.00390050312800452,0.0036985745063807998,-0.004884939730148988,0.003922645385881773,-0.005320982759472614,0.0038110284018876123,-0.005050223160535139,0.003501431344166803,-0.004049408325256795,0.0031813705852272362,-0.002440655319340672,0.0030178592441341924,-0.0004745412657543258,0.0030900312585056106,0.0015177610261452143,0.003354048594271998,0.003197808099925137,0.003658888414884028,0.004298732490880391,0.003807069209209991,0.004684253913213577,0.0036344743801645734,0.004371608794421593,0.003078902825904672,0.003516909537203092,0.0022138932917334575,0.0023722596775503763,0.0012371253907394709,0.0012286222323334187,0.00041568575298161597,0.0003570080714179534,4.5006852984748295e-06,-3.5007200769750263e-05
6,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,40.546845373014605,-7.524780383766541e-06,-7.263645980477029e-06,0.0005354047179224646,-0.0005787435842591471,0.0016409902086069233,-0.0018416313739367779,0.0029577730280829573,-0.003526050686617552,0.0041447512084124664,-0.0052425087969069275,0.0049480990344098865,-0.00657525219150979,0.005255680436499292,-0.007174240709106624,0.005113138547335159,-0.006826916671285607,0.004699626879268663,-0.005501170075009636,0.004263676653734821,-0.0033582635229968015,0.004030920581575486,-0.0007310246932804784,0.004112931533551185,0.0019384416880696188,0.004456985061351445,0.004195904944681286,0.004863791192238068,0.0056814660847797896,0.005067543271507888,0.006210610574463207,0.0048443917419860654,0.005806109562597263,0.00410727884639226,0.004677532726395309,0.0029534077577329106,0.0031617552793141816,0.0016484938118852689,0.0016454009417796352,0.0005514131219956896,0.0004876910691638767,4.452245514247232e-06,-3.6357326360541074e-05
7,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,41.34743861206521,-7.86764657034227e-06,-7.219894677135493e-06,0.0006725037943382266,-0.0007223685073011954,0.0020542421807620385,-0.002311211264351339,0.0036999392736334078,-0.0044355917204038425,0.005186173738853653,-0.006604946587114652,0.006197657171916078,-0.008295176726765023,0.006592528922626655,-0.009066011800048786,0.006422475514663403,-0.008650615171036696,0.00590551288196825,-0.007007722372815417,0.005349823093727757,-0.004336737071486037,0.005040553270272564,-0.0010512969450928375,0.00512454494167856,0.0022965024886309054,0.005543384755403635,0.005136346685366124,0.006051262229107243,0.007013985491609708,0.006313510746480912,0.00769531641217067,0.006044410736324396,0.007208030422088468,0.005129871035463477,0.005815055035695175,0.0036897706515277395,0.003937530309572404,0.0020581525071732476,0.0020563412153074643,0.0006863920230400693,0.0006173686858409215,4.341335396134502e-06,-3.727251906204117e-05
8,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,41.88415598524606,-8.16769816702322e-06,-7.122062179079987e-06,0.0008095814851668855,-0.0008668875566232158,0.002466554210848995,-0.002785534495037457,0.004439746482428837,-0.005356758532411369,0.0062247858283232815,-0.00798771054009786,0.007446175001602163,-0.010044577981964814,0.007931987128300606,-0.010996159550488604,0.007737865980627452,-0.010521215097123808,0.007118068087963675,-0.008569068174197787,0.006438966620905963,-0.005376299348074861,0.006046005836063202,-0.0014358927374020988,0.006124064092248901,0.002591108489180649,0.006612272115357689,0.0060181249948626555,0.007220157407729916,0.008295279334457641,0.007543774620649234,0.009137478979465326,0.007233455178071527,0.008576637111969791,0.00614587838148436,0.006928886807418923,0.004422524594975294,0.004699115406412656,0.00246594107819264,0.0024610760176573955,0.0008206327735434253,0.0007457576163962713,4.19810676307356e-06,-3.795220538907941e-05
9,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,42.26185924752363,-8.442171089394496e-06,-6.991067166956035e-06,0.00094655320119105,-0.0010123031722123663,0.002877687311996833,-0.0032645133885055287,0.005176695161969402,-0.006289344205035786,0.007259778153081495,-0.009390490399097767,0.00869257999417352,-0.011823083908998519,0.009272847428524366,-0.012964283967674198,0.009058125610927347,-0.012438317301033074,0.008336256821358736,-0.010184869512010777,0.0075302568033183805,-0.006476776846382363,0.007046539854270739,-0.001884897376343276,0.007110721020246463,0.0028219055541205684,0.007662730823891065,0.006840711396040099,0.008369394422671048,0.009524782555327817,0.008757182464080207,0.01053659428606505,0.008410462609949215,0.009911513503229216,0.007154480748189903,0.008018686276651827,0.005151170389847512,0.005446231078280555,0.0028716513070258963,0.0028593903069742757,0.0009541052013536012,0.000872708320749342,4.036485686647295e-06,-3.848810727245256e-05
10,6.469007845927733,105126782.52204931,21772.477991148175,713.0769992760748,2.5467347154328976,0.6642181072318754,0.09595976226723482,0.009102939476224365,2.9528778991272446,1133.7934966828075,7.614990811695285,6.5451885912245515,849.5668743193226,9.665595231404371,1.5091375567828473,714.1691524896023,42.535334520359434,-8.700022948710028e-06,-6.837886210599467e-06,0.0010833451560716804,-0.0011585900379444856,0.003287407797290978,-0.0037480157809345977,0.005910287729077681,-0.007233080261453773,0.008290342228081855,-0.010812901829189517,0.009935800409956345,-0.01363024304619303,0.010613902938375837,-0.014969905397067182,0.010382069885292411,-0.014401441710132355,0.00955904185748123,-0.011854699635897087,0.00862284188762539,-0.007637892391542235,0.008041419066121328,-0.0023982759680810707,0.008083755250036798,0.0029886706263363744,0.008693855410164522,0.007603709638528618,0.00949790030187771,0.010702054407380923,0.009952584415624651,0.011892268635288769,0.009574362858305117,0.01121233668518656,0.008154839771757471,0.00908418777757967,0.005875184228198748,0.006178660174379429,0.003275050938198265,0.0032511237034483545,0.0010867610066463357,0.0009981236224424553,3.8637969734909124e-06,-3.892810920352259e-05
