时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,11.085217231718206,-1.0211133856053279e-05,-1.8848950153837695e-05,1.0364703478014418e-05,-4.9828325851926535e-05,5.0598161981507945e-05,-0.00010492005251002978,9.575301871388444e-05,-0.00017360198798723345,0.00013463291694969085,-0.00024083736023516953,0.00015961731317949113,-0.000291509430199886,0.00016814162915826684,-0.0003133388062831568,0.00016276711322211546,-0.0002993005190586158,0.00014984197088668897,-0.0002490101483228693,0.0001371353267344407,-0.00016890689638245486,0.00013109205311691305,-7.11145031952404e-05,0.00013456248879734395,2.889171234351653e-05,0.00014579652947458363,0.00011538917421917505,0.0001590899892294776,0.00017558713606034647,0.00016686484685005072,0.0002021309710056183,0.00016245670596201476,0.00019438817662814376,0.00014268651388179177,0.0001583262582996947,0.0001093911696226914,0.00010508156535117079,6.946317857256064e-05,4.8616187789100706e-05,3.3267477184860824e-05,2.8287067771014255e-06,1.0077888722775473e-05,-1.895308565437149e-05
3,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,25.697785329851914,-2.383256494244054e-05,-4.3598859962742095e-05,6.760430045579826e-05,-0.0001686296635569799,0.00023805342189933264,-0.0003998782312257993,0.00042976496606098665,-0.0006897099027770359,0.0005950764609476109,-0.0009735895563006458,0.0007011747881213331,-0.0011858921386122278,0.0007367374030972077,-0.0012730427813056598,0.0007124855816757605,-0.0012042788206563604,0.0006556900677311924,-0.000977950043397079,0.0006000606498113523,-0.0006224819782175055,0.0005737478311222934,-0.0001914794412904834,0.000589209715334664,0.0002465667153701964,0.0006385691786742334,0.0006221412198262274,0.000696357424069572,0.0008789855837708387,0.0007287784929766805,0.00098532125663641,0.0007062416235186786,0.0009394765081761818,0.0006149280857981938,0.0007690523658890693,0.00046361058337773483,0.0005242582524179074,0.00028360729142855193,0.0002672565805629333,0.00012149114864495128,5.9521716835695953e-05,2.32571114485856e-05,-4.4101021639307395e-05
4,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,32.92555672689734,-3.084378974927374e-05,-5.5596479728197516e-05,0.00018056347603185872,-0.00033114555494380773,0.0005646432479696085,-0.0008520852581723958,0.000996835128751477,-0.0015071892291970443,0.0013701054421745432,-0.002149574522974695,0.0016103514321846887,-0.0026290970559093843,0.0016912803164761975,-0.002823041342082008,0.0016359909912362677,-0.0026608662314703733,0.0015053551040660714,-0.002138665575981596,0.0013758163366995872,-0.001321463317770457,0.0013122717009245491,-0.00033225845193355947,0.0013444130840777194,0.0006713747222164261,0.0014551674290022962,0.0015292372413445814,0.00158623191823107,0.0021118176360092862,0.0016592492779068985,0.0023466250772389142,0.0016052138256861053,0.002231227545140622,0.0013919257533289992,0.001830783546562389,0.0010401718664284619,0.0012618784904921802,0.0006232778181087599,0.0006673787547957487,0.000249442154639868,0.00018765100652550013,2.953786410766181e-05,-5.6796453102425835e-05
5,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,35.72989286433985,-3.3799697556074256e-05,-6.002261767666724e-05,0.0002986693965406624,-0.0004861206647878423,0.0008961339318432808,-0.0012997366902516919,0.0015684674214535657,-0.0023252397234548652,0.002150136549434233,-0.0033324412659460675,0.0025262506162177134,-0.004085568574581309,0.002655005197344411,-0.004392023505047343,0.0025703916930731974,-0.004141076269588528,0.0023653323690438167,-0.003326190474831035,0.0021584371214471293,-0.0020485025761242896,0.0020522623383602396,-0.0005000322287408396,0.0020957074221850495,0.0010724287580322748,0.0022644363949944966,0.0024172146480601884,0.0024681205004992747,0.003330479428307712,0.0025831618245925362,0.00369825838031047,0.0024995530830224256,0.0035172807548829958,0.002165314932639314,0.002890630194216305,0.001612882396642053,0.0020014534098070757,0.0009582662247042964,0.0010728888186750042,0.0003722526870969968,0.00032341702880232174,3.176423272866954e-05,-6.193025383645283e-05
6,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,37.20749156909211,-3.554119270031109e-05,-6.217298376616705e-05,0.00041827017781175674,-0.0006395819796025213,0.0012286133491601207,-0.0017490375214634273,0.0021404644817817546,-0.0031502895242810844,0.0029307692782339963,-0.004529038981813001,0.003444475487899202,-0.005562971543560568,0.003623782473057802,-0.005989030427067908,0.0035120294660879762,-0.005655968013066382,0.0032324666893377334,-0.004554172354202201,0.0029450876885304305,-0.002820134686641486,0.0027908750993639636,-0.0007140548775605416,0.002839932210608498,0.0014284833150239463,0.0030628079674334865,0.003264037076856982,0.003338281637185141,0.004513558844651799,0.00349712403967199,0.005020732440159289,0.0033868535766819075,0.004780974532865478,0.002934189647779545,0.003935117247643358,0.0021825218142323124,0.002732502129257782,0.0012908175674115376,0.001475683732345119,0.0004930919117686015,0.00046026171944545113,3.277846840061665e-05,-6.478945914189587e-05
7,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,38.11085959665686,-3.6759225906484164e-05,-6.333550855910149e-05,0.0005384620453752785,-0.0007929867845583341,0.0015610710274700697,-0.00220148674838485,0.0027116718678241525,-0.003983917581351777,0.00371071099491547,-0.005741108648024076,0.004363664745395887,-0.007063323316849217,0.004596295843095892,-0.0076164800365248015,0.004459741995705095,-0.007208480318612531,0.004105799317337997,-0.005826172573533392,0.00373497152288146,-0.003640589906916787,0.003527358069241467,-0.0009791596849932941,0.0035762497037165253,0.001734318260144334,0.003849297816838769,0.004064437306704041,0.004195645105752689,0.0056561111551569985,0.004400149494132325,0.006309714550041716,0.004266421539241871,0.006018730769866205,0.0036983059604387253,0.004961412512943977,0.002749330445469289,0.0034528149457252136,0.001621552967762408,0.0018739922553981142,0.0006127745323151832,0.0005966626029132906,3.327191114074671e-05,-6.665984758805973e-05
8,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,38.71232907051588,-3.770379794973922e-05,-6.397665400101003e-05,0.0006588815388155418,-0.0009468265762772541,0.0018930212406321016,-0.0026575232642694476,0.0032814279260591325,-0.004826517717056995,0.0044891138203704125,-0.006969046658788463,0.005282838071240226,-0.008587092668323306,0.005571536354174279,-0.009274983133631308,0.00541260374243446,-0.008799430537925788,0.004984558445174263,-0.007143279450841905,0.004527464537065377,-0.004511280416342041,0.004261154127731423,-0.001297085709821887,0.00430405878092583,0.0019879513301375613,0.004623186926750555,0.0048163539049501745,0.0050393867052477125,0.006756182782087702,0.0052914092566064075,0.007563499602949801,0.005137566367941416,0.007229152383367294,0.004457232667681431,0.005968416138118468,0.003313181205838583,0.004161537947373761,0.0019505999780264635,0.002267139674439722,0.0007315707002167804,0.0007320556784977185,3.3495011817324785e-05,-6.800681569978647e-05
9,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,39.13447211560416,-3.8487302113616404e-05,-6.430660053641296e-05,0.0007793335214973402,-0.0011012885916026637,0.002224141423693663,-0.003117242468357954,0.0038492225682594033,-0.005678083994437917,0.0052652616238608885,-0.008212778073170526,0.006201118531086015,-0.010134191067115808,0.006548565532559159,-0.010964493011360557,0.0063697301898457,-0.010428865346263954,0.005867996512620094,-0.008505691827216225,0.005321968524229332,-0.005432620380906718,0.004991749978748952,-0.0016684976419969097,0.005022825487686609,0.0021884985417731,0.0053838365705219885,0.005518785062270742,0.005868752443228916,0.00781278262888202,0.006170107026817066,0.008781205857132898,0.005999571496522088,0.00841150879069824,0.005210447752242984,0.006955546068122959,0.0038738026554373042,0.004858216995336519,0.002277912199100761,0.002654776249390472,0.0008495728072818031,0.0008661684925721297,3.3560653063897926e-05,-6.903979614830448e-05
10,8.756428362311492,163232064.9968662,2.1827872842550278e-11,857.5114777177738,2.3853049527069974,0.5207720179727734,0.15264898273533956,0.007862963680208546,2.6607980297804503,1160.8996407882532,1.3727001078298606,0.64224803476875,368.3828221649726,1.3727001078298606,0.64224803476875,368.3828221649726,39.44041957017762,-3.9167500347026174e-05,-6.443378603786775e-05,0.0008996902214684939,-0.0012564397774163286,0.0025541753070212054,-0.0035806044746554164,0.004414608245461641,-0.006538453249845442,0.006038493126891857,-0.009472042954620435,0.007117672242996562,-0.011704312621742482,0.007526473963015867,-0.012684708901789663,0.00733025324611842,-0.012096536296648225,0.006755374868007325,-0.009913270014629319,0.006117894082226776,-0.006404645671095693,0.00571864754665804,-0.0020936548793487938,0.005732039405000472,0.0023354871014851252,0.0061306352399342744,0.006171121598986278,0.006683009583892552,0.008825272175305604,0.007035451023530481,0.00996225011674086,0.006851700387215863,0.009565309261499193,0.005957383317881413,0.007922406276268688,0.004430857494968565,0.005542542975815469,0.0026033684047718107,0.003036673380123385,0.0009668003335368902,0.00099884144944772,3.3527104550895305e-05,-6.986660150702695e-05
