时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,0.41313619203864416,-4.2125760426525875e-06,-5.100654006613137e-07,-5.173764789798835e-06,-6.291190287160105e-06,-3.189849980351308e-06,-1.4015475376780446e-05,-1.0722865566446645e-06,-2.3235561020815514e-05,7.898413166767179e-07,-3.27807660629819e-05,2.137984813176589e-06,-4.159675936574537e-05,2.868736207341572e-06,-4.881914213253541e-05,3.0135478164906106e-06,-5.383996030862346e-05,2.7049874020360304e-06,-5.634260207817707e-05,2.1343844127951573e-06,-5.6300772909805805e-05,1.5073595220824388e-06,-5.394305373905937e-05,1.0041732962506853e-06,-4.9689817144629974e-05,7.511611982752666e-07,-4.407327103142373e-05,8.074188771195423e-07,-3.765403711690097e-05,1.1673781184954707e-06,-3.09483183535905e-05,1.775679693184729e-06,-2.437803465108664e-05,2.547084189968308e-06,-1.8252246544564858e-05,3.382325131494071e-06,-1.278270247082258e-05,4.171339625028112e-06,-8.129914848812536e-06,4.808100056475441e-06,-4.482518185236681e-06,2.890598004466163e-06,-1.3043318601389313e-06
3,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,2.380069190043038,-2.4336241776236085e-05,-2.943090171498641e-06,-2.9844181320596637e-05,-3.646773917531694e-05,-1.8254621046569733e-05,-8.152579806531714e-05,-5.8207067692458915e-06,-0.0001355496353282628,5.158003561345562e-06,-0.0001916473640635284,1.3133044804520226e-05,-0.00024351950224626791,1.7471021088162947e-05,-0.0002859505449334186,1.8345412187422165e-05,-0.00031524718126671946,1.6540352732614067e-05,-0.0003294768992399397,1.3197275802134502e-05,-0.00032848004208267076,9.545006731217472e-06,-0.00031366435097041116,6.6567143330394425e-06,-0.0002876235402269675,5.27339903512121e-06,-0.0002536462070130149,5.721074680836369e-06,-0.00021519779348026078,7.927320166674347e-06,-0.00017546253273659397,1.1516662286465191e-05,-0.00013702218237763783,1.594121880636869e-05,-0.00010172343826549257,2.0591166986556432e-05,-7.075196700374394e-05,2.4832588258899724e-05,-4.4891179800412204e-05,2.8111059818116896e-05,-2.4977687205840893e-05,1.6695953749615917e-05,-7.52452294113499e-06
4,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,5.368441839966396,-5.512769593062306e-05,-6.6534613013127636e-06,-6.736517763532628e-05,-8.325798793102111e-05,-4.054407394992481e-05,-0.00018720643104565786,-1.1548586630197139e-05,-0.0003126862942123221,1.4206953884998978e-05,-0.00044356254666688834,3.3005130429403626e-05,-0.0005647468078283641,4.3276872414801334e-05,-0.0006635605742365978,4.538921847241286e-05,-0.0007309360975573334,4.119517243546528e-05,-0.0007621023730446406,3.3425730474576185e-05,-0.0007566844270387786,2.5027378182419116e-05,-0.0007182357603740094,1.855620871707661e-05,-0.0006533063798432338,1.573240765037982e-05,-0.0005702122555454483,1.72294170295219e-05,-0.00047771463005276117,2.27190601853525e-05,-0.0003838297165646753,3.112721902921123e-05,-0.00029496524065883016,4.0994379703214265e-05,-0.00021551850740483388,5.080264074469879e-05,-0.00014798496809300248,5.9136474252858316e-05,-9.352556857776554e-05,6.49818287160307e-05,-5.300655961520752e-05,3.78081972286288e-05,-1.701008835714518e-05
5,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,7.953152160977432,-8.198267959316026e-05,-9.874972352074655e-06,-9.969471608593859e-05,-0.00012513357085198914,-5.8808287661161394e-05,-0.0002829678263160378,-1.4323975099293136e-05,-0.00047461780624076776,2.5383458218375194e-05,-0.0006752378597680994,5.4470847279544124e-05,-0.0008611190337928432,7.04109099874974e-05,-0.001012082953729204,7.372224861645174e-05,-0.0011135818112255934,6.728928272099077e-05,-0.0011579418986140874,5.54051085957009e-05,-0.0011446229749623874,4.270715319813854e-05,-0.0010795190285081864,3.319009220033331e-05,-0.0009734637674821989,2.9472004217036668e-05,-0.0008402110836682008,3.244506956111946e-05,-0.0006942336729642371,4.1356622992216986e-05,-0.0005487063102332017,5.4255134289640024e-05,-0.00041400372806191645,6.863204673710219e-05,-0.0002969435153366046,8.203104638891361e-05,-0.0002008634114306878,9.240197326837113e-05,-0.00012645591311503986,9.86342488416194e-05,-7.336255100442214e-05,5.620712494668025e-05,-2.5254144867064436e-05
6,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,10.002484832893149,-0.00010343114744940641,-1.243591626919728e-05,-0.00012507109302383498,-0.00015978081811690982,-7.216369368647705e-05,-0.0003631574855601973,-1.4326416311853387e-05,-0.0006112376677889091,3.7482475054851974e-05,-0.0008716081673365115,7.552580134160427e-05,-0.0011128333458989624,9.639971830538435e-05,-0.001307892657390698,0.00010074105146629977,-0.001437194735415652,9.235386178341068e-05,-0.001490408310517071,7.693807033614545e-05,-0.0014669204234361284,6.065239418598964e-05,-0.0013749468222637902,4.8766308127401666e-05,-0.001229512121258322,4.4648953429291785e-05,-0.0010496683299810678,4.928635826360327e-05,-0.0008554250617214233,6.140275152095429e-05,-0.0006649017611794547,7.810626331924235e-05,-0.0004921662820899131,9.583029396690107e-05,-0.00034608996967611984,0.00011125250394681909,-0.0002303549669129247,0.00012187606000945924,-0.00014451870744274805,0.00012679614488706189,-8.611855120683826e-05,7.088951184440398e-05,-3.182194328495221e-05
7,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,11.700707292612789,-0.00012131548572268901,-1.4561201961007637e-05,-0.0001457691463172568,-0.00018992007965424305,-8.207322936894514e-05,-0.00043368459697384464,-1.2192759374230499e-05,-0.0007321108273451002,5.056331792774615e-05,-0.001045905214988255,9.671346465471087e-05,-0.0013364473109946265,0.00012203608890672293,-0.0015702792495545155,0.00012727391101852753,-0.0017230459552578373,0.00011708862047451732,-0.001781934965626686,9.849611253978106e-05,-0.001746358661649443,7.907374260780726e-05,-0.0016268977772856256,6.526238872944647e-05,-0.001442773288669486,6.108351481699799e-05,-0.0012183102115727702,6.752573865070701e-05,-0.0009789951770758096,8.271129740244687e-05,-0.0007477828155133854,0.00010275242905438234,-0.0005422530943455816,0.0001230105994574054,-0.0003730548218613926,0.0001393486705390499,-0.00024382327551787186,0.00014896334418181508,-0.0001524644973232324,0.0001513786412863094,-9.37637234307834e-05,8.312129746772212e-05,-3.7289482621025285e-05
8,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,12.86760984998073,-0.0001336652886226362,-1.6022305746620828e-05,-0.0001597217819617867,-0.0002116534530793511,-8.803446642756315e-05,-0.00048500774316492524,-9.215011962876154e-06,-0.0008204474453458716,6.167247610074364e-05,-0.0011735325220236464,0.00011383673103260793,-0.0015001892810086461,0.00014243991399552936,-0.0017620405883328385,0.000148307860460465,-0.0019310892454058907,0.00013675776217968993,-0.001992653272985763,0.00011580993826577485,-0.0019462383234401493,9.412024137212655e-05,-0.0018043581401751786,7.900871888019142e-05,-0.0015896070376318048,7.496254022813103e-05,-0.0013305219353183864,8.292002095772984e-05,-0.001056937944415704,0.00010047661912298213,-0.0007956091422672372,0.00012291696357810656,-0.0005668093780012921,0.00014473950982197534,-0.00038243589420570827,0.0001611884121438511,-0.00024584912044530057,0.00016929856010757267,-0.0001533342568973128,0.000169063341726598,-9.711792043831095e-05,9.156074356102206e-05,-4.106168722241611e-05
9,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,13.955301544085678,-0.00014522433429363314,-1.7383989381846767e-05,-0.00017244322529018596,-0.00023291319288530905,-9.27516289185856e-05,-0.0005356059310689077,-4.97659804326605e-06,-0.0009078110583790658,7.40519440969365e-05,-0.0012998931286922737,0.0001322229893645977,-0.00166222017733106,0.00016407887936874282,-0.0019513821125875094,0.00017053631800783068,-0.0021356614406782466,0.00015758664051008202,-0.002198498096836845,0.00013427913367154403,-0.002139569818225209,0.00011036967681088205,-0.0019734880527644966,9.406474823156099e-05,-0.001726450340445888,9.03000142099857e-05,-0.0014314637441799254,9.991739696381613e-05,-0.001122951269023271,0.0001199162499599327,-0.0008316376050090709,0.00014467821406505678,-0.0005805509345792702,0.0001677831646178646,-0.0003827596566135054,0.00018384849360475434,-0.00024112857288078923,0.00018980781187365363,-0.00014997495419972058,0.0001862550013156531,-9.852855221180904e-05,9.945335106048846e-05,-4.459094080943874e-05
10,22.643184804252304,258285365.21694195,-62545.03453037242,10008.340866233566,1.7547063807667262,0.17485168593681052,0.13578214570260036,0.02224861225005824,1.8001201499122972,289.1813952225418,2.6266008551225815,8.434736821528142,645.7299660396286,3.8086157970199874,3.3883273598716066,404.12847635682635,14.80084037176032,-0.00015424261662777607,-1.8441838822249293e-05,-0.00018208840780935766,-0.0002502595201316431,-9.572597627299968e-05,-0.0005771747109725954,-4.93760911587437e-07,-0.0009797563315531224,8.530334743515427e-05,-0.0014040100737388098,0.00014845302668387678,-0.0017956108665730202,0.00018298308797189507,-0.0021068912561532714,0.0001898937221136137,-0.0023029959781722155,0.00017575105615880236,-0.002365809294037385,0.00015047710600101755,-0.0022952191802106886,0.0001247565540460858,-0.0021077071973510837,0.00010753649516089956,-0.0018326357750293226,0.00010411154164169946,-0.0015069137188629693,0.00011520906837224874,-0.0011689457795408438,0.00013728231951538384,-0.0008528721882687569,0.00016390833437373117,-0.000584042963034987,0.00018786501319917472,-0.00037643196436050995,0.00020324584773097798,-0.00023232192552003072,0.00020694720571259154,-0.00014413763717281564,0.0002001583999998062,-9.83030132260133e-05,0.00010560610995181487,-4.7344253784780726e-05
