时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,3.4238200192697645,-4.8430646425322566e-06,-5.078935539570628e-07,-3.5136037055447768e-06,-5.799030180104444e-06,-3.3315964524122734e-07,-1.8430576752094988e-05,3.4810863192399602e-06,-3.537353658098098e-05,6.921907437378757e-06,-5.3017240606757666e-05,9.336169460937548e-06,-6.779247373177541e-05,1.0485979795857243e-05,-7.678782024768018e-05,1.0517500743480822e-05,-7.823844494946755e-05,9.851073292522658e-06,-7.179608410720257e-05,9.021185448543598e-06,-5.85343853278519e-05,8.503098431489094e-06,-4.069258027029837e-05,8.567478687513449e-06,-2.1208944005328637e-05,9.202262358816097e-06,-3.1344357775667333e-06,1.0127565704833366e-05,1.0959282599439848e-05,1.0903779177410322e-05,1.9460433047168928e-05,1.1101439817337892e-05,2.1989901966914236e-05,1.0476366432516836e-05,1.9411453081477363e-05,9.086654649451318e-06,1.3577996866964358e-05,7.304012453216743e-06,6.867776506952569e-06,5.7022655914908275e-06,1.6054927897138278e-06,4.8409472360741555e-06,-5.113301294624707e-07
3,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,8.066420431990311,-1.1419455130487267e-05,-1.1966581016465653e-06,-8.03620519171082e-06,-1.4520381707363401e-05,4.001647176544325e-08,-4.650347102441005e-05,9.747122546751118e-06,-8.954658229565601e-05,1.851312353840385e-05,-0.0001344128874754285,2.4655149473517768e-05,-0.00017188379291701694,2.755348870814896e-05,-0.00019439849710200618,2.7580046214531002e-05,-0.00019735805843518723,2.5819035578613275e-05,-0.00017985309072345132,2.3654244683029057e-05,-0.0001446935547786135,2.2317965383499442e-05,-9.774784629237126e-05,2.2509301563600013e-05,-4.672548092763418e-05,2.4185863847548855e-05,3.599584753703898e-07,2.659930287615847e-05,3.6748026159359646e-05,2.8578023521149963e-05,5.8201082209617756e-05,2.897633828550845e-05,6.373232142762592e-05,2.71414303466131e-05,5.564731203953166e-05,2.3230143752277286e-05,3.889482862616739e-05,1.8249635967651318e-05,1.9867740393113275e-05,1.3777818697268106e-05,4.9028735570788315e-06,1.1413899817574922e-05,-1.2057248016816314e-06
4,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,13.329638761484377,-1.8888863139183807e-05,-1.97736714751877e-06,-1.2676676450496351e-05,-2.6117858451849303e-05,2.094594356754309e-06,-8.440877389562174e-05,1.9882221701480345e-05,-0.0001631242531775342,3.595663867627896e-05,-0.0002452269646554837,4.719474009586675e-05,-0.0003135375519554512,5.243405839075999e-05,-0.00035388382933046724,5.235700487428535e-05,-0.0003576165934752641,4.89806547222277e-05,-0.00032302993327114175,4.489062795263498e-05,-0.00025545133650851215,4.23946146654282e-05,-0.00016601268215815762,4.279725213986448e-05,-6.9354469140761e-05,4.599628543745153e-05,1.9289314838830704e-05,5.054085155256174e-05,8.705725509124177e-05,5.4166045997635526e-05,0.00012589145538400578,5.4654554515762635e-05,0.00013394738161913786,5.0741542000361e-05,0.00011570374966061025,4.273849909222492e-05,8.076193688346153e-05,3.263224674453526e-05,4.159996749413649e-05,2.35764755730287e-05,1.0751832255712852e-05,1.8878315556419453e-05,-1.994690468049591e-06
5,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,18.47046804893193,-2.6200221654888173e-05,-2.7393358876692353e-06,-1.6430492545365073e-05,-4.0160222397499784e-05,6.670773524576391e-06,-0.00013099455249799454,3.4517535355657004e-05,-0.0002539980887265259,5.9683223510064316e-05,-0.00038230214834835725,7.722704618006503e-05,-0.00048856510063204,8.529458069917492e-05,-0.0005501164374601346,8.495707482489536e-05,-0.0005530868594825774,7.941719321974915e-05,-0.0004947658731208681,7.279887439280433e-05,-0.00038379840229936296,6.879409035284487e-05,-0.000238232557454577,6.948647456537484e-05,-8.18217771948141e-05,7.468014812771643e-05,6.069772594476314e-05,8.197614293324066e-05,0.00016843360819684993,8.763498595639535e-05,0.0002283139732185857,8.79910700472311e-05,0.00023741811001070853,8.095394017407002e-05,0.00020320071215105824,6.705789051250937e-05,0.00014158679129465837,4.965330640271735e-05,7.33627612491423e-05,3.410601784961589e-05,1.9623749948993878e-05,2.6183115540761013e-05,-2.767603913794022e-06
6,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,23.50730441973188,-3.3381115762418224e-05,-3.4845031471506083e-06,-1.8860882250945632e-05,-5.824489247950097e-05,1.521952461541013e-05,-0.0001917718844574166,5.629976060157445e-05,-0.00037296540066360527,9.339754295338551e-05,-0.0005618522547398796,0.00011916720341955062,-0.0007174359492249753,0.0001308354722141031,-0.0008055814405027305,0.00012998717888425328,-0.0008053785283551776,0.00012140469559755821,-0.0007128110540466457,0.00011127751376436594,-0.0005411257568951254,0.000105172209795924,-0.0003179088913983193,0.00010623480321225811,-7.947496747390751e-05,0.00011413363605996255,0.0001363406773361794,0.00012514034314434926,0.00029758220274842396,0.00013343851233334523,0.0003843018935972362,0.00013331601095511826,0.00039218638918754454,0.00012151937117781328,0.0003329603370036844,9.891944283629588e-05,0.00023152229093012833,7.084289262122562e-05,0.00012045685977097772,4.58643070212061e-05,3.3080631136795754e-05,3.3354979623375494e-05,-3.527952006216944e-06
7,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,29.36623679537157,-4.1762983817208544e-05,-4.347214830452175e-06,-1.8727111116644246e-05,-8.952780946913854e-05,3.471790893536886e-05,-0.0002981403379245125,9.903245388516128e-05,-0.0005816516309531542,0.00015699494367690833,-0.0008767198104267926,0.00019705406750243282,-0.001117901667924867,0.00021483027457298967,-0.0012505102494113213,0.0002127994264422522,-0.001241050595964737,0.00019851463669130214,-0.001083297494879627,0.00018183370770136724,-0.0007990053861547935,0.00017170765406368855,-0.0004332434768476946,0.00017324616238757444,-4.531496596708503e-05,0.0001859028568289213,0.0003029846104880957,0.00020350407178440917,0.0005594917340075403,0.0002163530220245844,0.0006917771520269484,0.0002148852283251164,0.0006931805265589076,0.0001936608749904485,0.0005835623050962593,0.00015422205566305536,0.00040467805810471847,0.00010569137342216874,0.0002112215400539467,6.277486820650446e-05,5.9426789974974734e-05,4.172034643691816e-05,-4.4185882345355745e-06
8,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,33.620216805122126,-4.788045566548015e-05,-4.967262370194998e-06,-1.4517860567856774e-05,-0.00012649063029129224,6.2058553966023e-05,-0.0004248800097601399,0.00015396776600579436,-0.0008306231657127578,0.0002366115086071756,-0.0012522110172715258,0.00029351216747412675,-0.0015947114398595374,0.0003184045787624223,-0.0017786570093536193,0.0003147682199082775,-0.0017554260027652572,0.00029336696446338804,-0.0015162501760964196,0.00026840005288592667,-0.001093349768717087,0.00025293662452216417,-0.0005531685972359693,0.00025458707668472256,1.6912413782593554e-05,0.00027267054070878924,0.0005258388351454703,0.00029807082070673824,0.0008967908992002071,0.00031626892149082405,0.0010821764994632724,0.0003128423623775751,0.0010726420872777154,0.00027957558322065006,0.0008982550686353986,0.00021886599035854143,0.0006216969724874194,0.0001446509653933343,0.0003250200653111464,7.935916652009671e-05,9.27701040261096e-05,4.78176846379591e-05,-5.072863550292894e-06
9,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,36.32278559359128,-5.1794621847279466e-05,-5.354974590507405e-06,-8.037801060836163e-06,-0.0001632151118286945,9.158349883733574e-05,-0.0005514295571699556,0.00021085927511107962,-0.0010794804192511276,0.0003179298520169377,-0.001627631158641432,0.00039151809298312596,-0.002071382751838537,0.0004235029157406049,-0.0023064160751103276,0.0004182648367093723,-0.002268935970034554,0.00038961341691046776,-0.0019476195579334898,0.0003559862267957162,-0.0013851850566676401,0.00033461570691801205,-0.0006695370905322947,0.000335788088470125,8.372015845142e-05,0.0003588792769636055,0.0007540831683056087,0.0003919083779895453,0.0012398860904007589,0.0004154466889867359,0.0014782494338179664,0.0004100254759295935,0.001457120392997932,0.0003644999033791805,0.001216896844385399,0.0002821132056566607,0.0008414049671646032,0.00018175832833791596,0.00044031349576592556,9.378089273781953e-05,0.0001267258980916346,5.1711609552542556e-05,-5.495069491982534e-06
10,0.14651876233894987,3659467.184133049,-1.1368683772161603e-13,2.0009594692135506,1.0014074719234762,0.07906175337112094,0.011446699003947262,0.002477181754513887,1.0178121941503546,1376.4404672224673,0.6084805973895531,1.8237621296772506,652.0160771151192,0.6084805973895531,1.8237621296772506,652.0160771151192,38.17868961758973,-5.4508054746557e-05,-5.615748236946784e-06,-3.2026583275245094e-07,-0.00019986542614884502,0.0001222726814283538,-0.0006781464971573076,0.0002687417172742496,-0.0013289778996379324,0.00040007472928340205,-0.0020043775863407684,0.0004903111426134061,-0.0025502133002102243,0.0005294888317189785,-0.0028372175480307045,0.000522768706219504,-0.0027863080185179,0.0004868219836212969,-0.0023834875712740304,0.0004442064528155658,-0.0016818630352349552,0.0004163587219465547,-0.0007907263782179785,0.000416428295801699,0.00014610354250118505,0.00044406930056707265,0.0009786030468682092,0.0004845557970685097,0.0015801259737950213,0.0005135022543491357,0.0018723533856010515,0.0005062286705267117,0.0018404116324102964,0.00044850115932617977,0.0015349606464186857,0.0003443595611750103,0.001060948820574053,0.00021772638634833539,0.0005556692399109101,0.00010697964911883868,0.0001608184162621723,5.440478371296392e-05,-5.790408761483966e-06
